NAME|XCORD|YCORD|ADDR
대전 한사랑빌딩|36.3295479|127.3688481|대전광역시 서구 계룡로 582 (괴정동) 
김포 자이에비뉴상가|37.4697991|126.6824631|경기도 김포시 태장로 823 (장기동) 
옥길 지움프라자|37.4698821|126.8137912|경기도 부천시 양지로 208 (옥길동) 
용인흥덕 노블레스|37.2764589|127.071522|경기도 용인시 기흥구 흥덕중앙로 59 (영덕동) 
대야하이빌3차|37.5044969|126.747697|경기도 부천시 소향로13번길 14-11 (상동) 
진로그린마트 진안점|37.2152105|127.0405461|경기도 화성시 병점1로 236-12 (진안동) 
LG베스트샵 철산점|37.4740387|126.8366872|경기도 광명시 오리로 908 (광명동) 
더브리티시몰|37.5572542|126.8539945|서울특별시 강서구 공항대로45길 63 
M3빌딩|37.6640889|126.7636716|경기도 고양시 일산동구 고봉로 32-20 (장항동) 
여수식자재마트 죽립점|34.7615931|127.6333277|전라남도 여수시 소라면 죽림중앙로 7-22 
LG베스트샵 전주송천본점|35.8645101|127.1115548|전라북도 전주시 덕진구 송천중앙로 252 (송천동2가) 
안산 유통상가 317동|37.3245812|126.7856518|경기도 안산시 단원구 풍전로 37-24 (원곡동) 
안산 공구단지 314동|37.3245813|126.7856518|경기도 안산시 단원구 풍전로 37-9 (원곡동)
진접농협 오남지점|37.6800767|127.2081117|경기도 남양주시 오남읍 진건오남로 520 
장당프라자|37.0602924|127.0577093|경기도 평택시 경기대로 1194 (이충동) 
LG베스트샵 의정부점|37.7322863|127.0454728|경기도 의정부시 평화로 453 (의정부동) 
LG베스트샵 안동본점|36.5646772|128.6990938|경상북도 안동시 경북대로 396 (옥동) 
성보타워|37.5103908|127.0628555|서울특별시 강남구 테헤란로107길 11 (삼성동) 
LG베스트샵 유성온천점|36.3565929|127.3417011|대전광역시 유성구 대학로 2 (봉명동) 
한국소아마비협회|37.5513581|127.095197|서울특별시 광진구 워커힐로 93 (구의동) 
석탑프라자빌딩|37.3175201|126.8277928|경기도 안산시 단원구 중앙대로 869 (고잔동) 
골든프라자1차|37.7417297|127.0837653|경기도 의정부시 오목로205번길 39 (민락동) 
LG베스트샵 서청주점|36.6292012|127.4207874|충청북도 청주시 흥덕구 2순환로 1073
테라비즈 지식산업센터|37.6389137|126.6807725|경기도 김포시 태장로 751 (장기동) 
다인로얄테크노1차|37.5477073|127.1841221|경기도 하남시 안터로 16-15 (풍산동)
호매실로얄팰리스4차|37.2730578|126.9513585|경기도 수원시 권선구 금곡로196번길 92 (금곡동) 
씨티빌딩|37.5012103|127.0246573|서울특별시 강남구 강남대로 422 (역삼동) 
다산리코빌파크뷰|37.6056647|127.1493432|경기도 남양주시 다산순환로 220 (다산동) 
춘천CC주차장|37.8749166|127.7436772|강원도 춘천시 서부대성로239번길 29 (효자동) 
광주 칼라스빌딩|35.2035897|126.8620873|광주광역시 북구 첨단연신로 25 (연제동) 
송정KTX주차장|35.1346571|126.7821202|광주광역시 광산구 평동로 1112-3 (송정동) 
미사강변 SK V1|37.5685199|127.1798539|경기도 하남시 미사강변한강로 155 (망월동) 
성신여대 솔하임|37.5915962|127.0118787|서울특별시 성북구 보문로40길 11 (동소문동5가) 
강남 웅진베어스빌|37.490173|127.0306195|서울특별시 강남구 도곡로 113 (역삼동) 
골든웨딩타운|35.2373455|129.0873429|부산광역시 금정구 중앙대로1719번길 47 (부곡동) 
한남법조타운|37.3119085|126.8256097|경기도 안산시 단원구 광덕서로 82 (고잔동) 
화성반월 엘홈주차장|37.2241309|127.0603206|경기도 화성시 반월남길 5 (반월동) 
오앤에스골드타워|37.4649414|126.8197328|경기도 부천시 옥길로 110-11 (옥길동) 
우리은행 창원지점|35.2212502|128.677948|경상남도 창원시 성산구 상남로 83 (상남동) 
국민은행 창원지점|35.2216691|128.6783107|경상남도 창원시 성산구 상남로 87 (상남동) 
신진정밀|35.8477141|128.4821609|대구광역시 달서구 달서대로109길 63 (호산동) 
월드타워|37.2991413|127.0045659|경기도 수원시 장안구 송원로 39 (송죽동) 
삼원빌딩|37.5292157|127.1342605|서울특별시 강동구 양재대로 1377 (성내동) 
용산 아이피아대주피오레|37.5333702|126.9652765|서울특별시 용산구 청파로20길 9 
풍무동 골든프라자2|37.6005067|126.7240734|경기도 김포시 풍무로 69 (풍무동)
화도 하나클리닉|37.6549041|127.2990753|경기도 남양주시 화도읍 비룡로 30 
종로타워 주차장|37.5707075|126.9813826|서울특별시 종로구 종로 51
이천 삼원주차장|37.2804293|127.4459539|경기도 이천시 영창로 232
청라 마루힐프라자|37.5222273|126.6322879|인천광역시 서구 중봉대로 610
김포 로지스밸리서울(주) 김포센터|37.5946829|126.7818166|경기도 김포시 고촌읍 아라육로57번길 108
안산 주공프라자주차장|37.3087591|126.8130947|경기도 안산시 단원구 초지로 114 
송우 스크린주차장|37.8267702|127.1421589|경기도 포천시 소흘읍 솔모루로 49 
부산 일영빌딩|35.0612435|128.9737724|부산광역시 사하구 다대로 485 
성남 고령친화종합체험관|37.4091874|127.1357535|경기도 성남시 분당구 야탑로205번길 26 
대구 굿모닝주차빌딩|35.8984632|128.5365676|대구광역시 북구 내곡로 38-8
의왕농협 부곡지점|37.3195906|126.9476146|경기도 의왕시 부곡중앙남1길 16
시립목동청소년센터|37.5306952|126.8732522|서울특별시 양천구 목동서로 143 
파주 윤정프라자|37.7321595|126.7457286|경기도 파주시 미래로602번길 3
충주 아토몰|36.9872134|127.9163369|충청북도 충주시 번영대로 211
오산 세명프라자 주차장|37.1491087|127.0692009|경기도 오산시 성호대로 89 (중앙동, 세명프라자)
정안빌딩주차장|37.6574006|127.0117018|서울특별시 도봉구 삼양로 610
전주 문학빌딩|35.8141862|127.0920645|전라북도 전주시 완산구 우전로 250 
KH렌트카 동탄지점|37.225283|127.0626482|경기도 화성시 반월동 459-3
수원 성오스포츠|37.2780674|127.0009755|경기도 수원시 팔달구 팔달로 105
시흥 스페이스타워|37.4319259|126.7913828|경기도 시흥시 시흥대로1074번길 5 
군포 한림엘타워|37.3580799|126.9514956|경기도 군포시 당정동 181-4
강릉 안인주차장|37.7368409|128.9726306|강원도 강릉시 안인리 138-4
안양 에이원골프클럽|37.391119|126.9334115|경기도 안양시 만안구 전파로 23 
병점 화인메디컬프라자|37.2135838|127.0396195|경기도 화성시 병점1로 221
하남 미사인스타시티|37.5512235|127.1844203|경기도 하남시 풍산동 113-13
문래동 시립문래청소년센터|37.5188211|126.8918218|서울특별시 영등포구 문래로 110
용산 지오베르크|37.5373719|126.9650912|서울특별시 용산구 백범로 346 
인천 루원탑프라자|37.5260785|126.667978|인천광역시 서구 염곡로464번길 11
인천 두손지젤타워|37.4012671|126.7059391|인천광역시 남동구 호구포로 201 
영주동 신일 주차장|35.1114577|129.0350392|부산광역시 중구 동광길 209
평택 오원 비전프라자|36.9977021|127.1136664|경기도 평택시 문화촌로 33 
김포 신유베라트오피스텔|37.6120454|126.7291342|경기도 김포시 풍무동 15-5
평택 벤처CM타워|37.043909|127.01122|경기도 평택시 고덕여염로 87 고덕영염로 30
포항 씨앤씨빌딩|36.0197726|129.3369974|경상북도 포항시 남구 대이로111번길 5 
영종도 신성하우스빌|37.4948477|126.4878591|인천광역시 중구 영종대로 100 
양주 더테라스|37.7865997|127.0361936|경기도 양주시 고읍남로 14
김포구래 월드퍼스티 오피스텔|37.6455419|126.6258627|경기도 김포시 구래동 6878-6
신한은행 제주중앙금융센터|33.503914|126.5241469|제주특별자치도 제주시 중앙로 166 
일산 우신프라자|37.6697058|126.7580774|경기도 고양시 일산서구 주화로 70
영등포 공군회관|37.5101407|126.9216965|서울특별시 영등포구 여의대방로 259 
대광프라자(지하)|37.4448069|126.6992748|인천광역시 남동구 인하로489번길 28 
대광프라자(옥외 지상)|37.4448069|126.6992748|경기도 광주시 장지1길 28
인천 로데오프라자21|37.4448069|126.6992748|인천광역시 남동구 인하로489번길 28 
경산 더원빌딩|35.8296438|128.7176206|경상북도 경산시 펜타힐즈2로 65
관악 해태보라매타워|37.491172|126.9227863|서울특별시 동작구 보라매로3길 29
127.7426118|37.8503974|127.7426118|강원도 춘천시 지석로 88
수원 하나로클리닉|37.2949382|126.9919127|경기도 수원시 장안구 정자천로 163
산본 GS휘트니스클럽|37.3593346|126.9204253|경기도 군포시 고산로 515
인천광역시 서구 청라에메랄드로 94|37.5334857|126.6546224|인천광역시 서구 청라에메랄드로 94
안산 연지프라자|37.2944801|126.8701159|경기도 안산시 상록구 각골로 55
김포 카림애비뉴상가|37.6447205|126.6652284|경기도 김포시 김포한강4로 487 
세종 SR파크|37.3200431|126.827677|세종특별자치시  한누리대로 205 
투원브레스빌 오피스텔|37.3200431|126.827677|경기도 안산시 단원구 광덕대로 263 
대구 한국의집|35.8684287|128.5902782|대구광역시 중구 중앙대로77길 22
산본 디퍼아웅렛|37.3629667|126.9303628|경기도 군포시 산본천로 99
에브리데이 신탄진점|36.4527193|127.4329955|대전광역시 대덕구 대청로 62 
에브리데이 서충주점|37.0176401|127.8197869|충청북도 충주시 용전리 683
동탄 천년프라자|37.2016666|127.0693528|경기도 화성시 메타폴리스로 38
갈매중아파크타워|35.2324086|128.8946671|경기도 구리시 산마루로 11-12 
김해 한양쇼핑|35.2324086|128.8946671|경상남도 김해시 활천로36번길 36
읍성카드 주차장|35.5654775|129.1206728|울산광역시 울주군 남문2길 2-2
투썸플레이스 울산삼산현대점|35.5440571|129.3309958|울산광역시 남구 돋질로 259 (삼산동) 
남해터미널|34.8416471|127.8958484|경상남도 남해군 남해대로 2835
영종도 진로마트|37.4889423|126.5609107|인천광역시 중구 하늘중앙로195번길 29
동탄 비즈타워|37.1917463|126.6818409|경기도 화성시 동탄첨단산업1로 63-12 (영천동) 
배곧타운2차|37.3711666|126.7063927|경기도 시흥시 배곧4로 22 (배곧동, 배곧타운2) 
화도농협 녹촌지점|37.6511892|127.2881756|경기도 남양주시 가구단지중앙길 108-11 (화도읍) 
호만프라자|37.6618782|127.2466791|경기도 남양주시 천마산로 2 (호평동) 
삼천포 내과의원|34.9375915|128.0765738|경상남도 사천시 중앙로 131
청라 하엘에스페이스|37.5049425|126.6478281|인천광역시 서구 청라동 한내로 96
JH프라자|37.6158427|126.6197137|경기도 김포시 황금4로 22 학운리 3872
덕소주차장|37.5854482|127.2102697|경기도 남양주시 덕소로97번길 2 
태천센타빌딩|37.2140046|126.9718664|경기도 화성시 와우로73번길 6
드림타워|35.874096|128.6611429|대구광역시 동구 첨단로8길 5
티엔에레져|35.2433824|129.2141737|부산광역시 기장군 차성동로 63
중앙스포츠센타|36.1291939|128.3228654|경상북도 구미시 원남로 38
이스타빌1차 오피스텔|37.5632316|126.8504876|서울특별시 강서구 양천로57길 10-20 (가양제2동, 이스타빌1차) 
굿모닝프라자|37.5041459|126.7663802|경기도 부천시 길주로 199 (중4동, 굿모닝프라자) 
연수 브랫슬|37.4170229|126.6759229|인천광역시 연수구 벚꽃로 114 (연수2동, 브랫슬) 
꿈의숲 요양병원|37.6200142|127.0424863|서울특별시 강북구 월계로 183 (번3동, 웨딩피에스타귀족) 
한양메디컬타워|37.6988695||경기도 남양주시 진건오남로 813 
송파IT벤처타워|37.495083|127.1203647|서울특별시 송파구 중대로 135 (가락본동, 아이티벤처타워) 
트리플렉스 B단지|37.3245878|126.7883862|경기도 안산시 단원구 풍전로 37-24 (원곡동, 트리플렉스) 
트리플렉스 A단지|37.3245835|126.7883862|경기도 안산시 단원구 풍전로 37-9 (원곡동, 트리플렉스) 
대운프라자|36.7120865|127.4280558|충청북도 청주시 청원구 중심상업로 14 (대운프라자) 
아이즈빌2오페스텔|37.319761|126.829552|경기도 안산시 단원구 고잔로 57-9 (중앙동, 아이즈빌II오피스텔) 
메트로비즈|37.5661473|126.8282458|서울특별시 강서구 마곡동 799-14
포레스타타워|37.3953395|126.9833064|경기도 의왕시 안양판교로 103 (청계동, 포레스타타워) 
한길프라자|37.3073499|127.0832722|경기도 용인시 수지구 만현로 103 (상현동, 한길프라자) 
삼정 자이언츠파크|35.1961938|129.0591286|부산광역시 동래구 사직북로 4 (사직제1동, 사직동자이언츠파크) 
창라 홍익파크|37.5320232|126.6500431|인천광역시 서구 중봉대로586번길 19 (청라1동, 홍익파크) 
농협은행 양평군지부|37.4903396|127.4912895|경기도 양평군 양근로 178 (양평읍, 농협중앙회 양평군지부) 
양산 플러스존|35.340865|128.9964806|경상남도 양산시 야리로 127 (플러스존) 
평촌 한양월드빌|37.3942871|126.9601908|경기도 안양시 동안구 시민대로 295 (부림동, 평촌월드빌) 
마곡 인터시티 서울호텔|37.5504022|126.7901147|서울특별시 강서구 마곡중앙6로 76-3 (가양제1동, 인터시티365) 
마곡 갤럭시 인텔리젼스|37.5503226|126.8163793|서울특별시 강서구 강서로 415 (가양제1동, 갤럭시인텔리젼스) 
한미주차장|35.8673277|128.5546208|대구광역시 서구 서대구로 90 (평리4동) 
진영 롯데주차빌딩|35.3105882|128.7182359|경상남도 김해시 진산대로 63-31 
서울숲ITCT|37.5427956|127.0402975|서울특별시 성동구 성수일로 10 
신영프라자|37.6144813|126.8322426|경기도 고양시 덕양구 충장로 18 (행신2동, 신영프라자) 
그랑프리엔상가|37.4907236|127.054517|서울특별시 강남구 남부순환로 2912 (대치동) 
에프아이알|34.9547865|127.483046|전라남도 순천시 황금2길 11-11
병운할인마트|36.6375916|127.467994|충청북도 청주시 서원구 사직대로265번길 16 (사직동) 
디펠리체|37.5901755|127.0018332|세종특별자치시  나성북1로 22 (나성동, 디펠리체) 
당산 삼성쉐르빌|37.5331584|126.8983698|서울특별시 영등포구 당산로45길 1 (당산동5가, 당산 삼성쉐르빌) 
예일주차장|37.8930241|127.0511551|경기도 동두천시 중앙로 134-12 (송내동, 예일복합타워) 
엔타운프라자|37.3089328|126.849704|경기도 안산시 상록구 광덕1로 385 (이동, 엔타운) 
목감 키움프라자|37.3799222|126.8735425|경기도 시흥시 목감남서로 9-27 (조남동) 
엔즈빌주차장|37.4125605|127.1232986|경기도 성남시 분당구 장미로48번길 14 (야탑1동, 엔즈빌오피스텔) 
밀래니엄프라자|37.2590839|127.0425018|경기도 수원시 영통구 효원로 393
계양프라자|37.5396758|126.7350219|인천광역시 계양구 오조산공원로 22 (계산4동, 계양프라자) 
서소문 시티스퀘어|37.5630505|126.9729835|서울특별시 중구 서소문로 124
본가왕뼈감자탕|37.211753|127.0355572|경기도 화성시 병점중앙로 159 (진안동) 
우덕빌딩|37.4926402|127.0284362|서울특별시 강남구 강남대로 330 (역삼1동, 우덕빌딩) 
오산 거성그린주차장|37.1496401|127.0732253|경기도 오산시 운천로 80-5 (중앙동) 
중울산농협 무룡지점|35.5866335|129.3602339|울산광역시 북구 화봉로 66 (효문동, 연암농협) 
농협은행 영천시지부|35.9643539|128.9371067|경상북도 영천시 완산로 48 (완산동, 농협은행영천시지부) 
하남 우승프라자|37.5680132|127.1828669|경기도 하남시 망월동968-3
안산 GD컨벤션|37.3142368|126.825818|경기도 안산시 단원구 광덕3로 135-18 (호수동, 월드타워) 
안산 화랑타워|37.3142283|126.825818|경기도 안산시 단원구 광덕서로 106 (호수동, 화랑주차타워) 
안산 월드타워|37.3114836|126.8261592|경기도 안산시 단원구 광덕3로 135-18 (호수동, 월드타워) 
선릉대림아크로텔|37.5066087|127.0460952|서울특별시 강남구 선릉로 524 (삼성2동, 선릉대림아크로텔) 
센트럴파크2|37.5649277|127.1818459|경기도 하남시 미사강변중앙로 221 (망월동, 센트럴파크2) 
한강파크빌딩|37.532338|127.0646453|서울특별시 광진구 능동로 7 (자양제4동, 한강복합빌딩) 
스타힐타워|37.5792416|127.072742|세종특별자치시  한누리대로 2135 (보람동, 스타힐타워1) 
휴먼빌파크|37.3860069|126.6411951|인천광역시 연수구 인천타워대로132번길 30 (송도동, 휴먼빌파크) 
세종앤까뮤스퀘어|37.5394795|126.8905576|서울특별시 영등포구 양평로30길 10
한신휴시티|36.1163255|128.1776341|경상북도 김천시 혁신1로 81 (율곡동, 한신휴시티오피스텔) 
우리들공원|36.3269823|127.4230981|대전광역시 중구 중앙로138번길 30 (대흥동) 
르메이에르|35.220226|129.0801246|부산광역시 동래구 금강공원로20번길 46 (온천제1동, 르·메이에르동래타운) 
현대해상 천안사옥|36.787553|127.1079563|충청남도 아산시 고속철대로 171 고속철대로 157
방배 신대명 서리풀타워|37.4835773|126.9937814|서울특별시 서초구 방배로 107 (방배1동, 신대명빌딩) 
우리은행 의정부지점주차장|37.7389668|127.0557204|경기도 의정부시 시민로 58 (의정부2동, 우리은행) 
LG베스트샵 용암점|36.6216385|127.511366|충청북도 청주시 상당구 중고개로 199 (용암동) 
화랑대 대덕프라자|37.6210204|127.0812604|서울특별시 노원구 노원로1길 67 (공릉2동, 대덕프라자) 
이수자이|37.4845485|126.9785334|서울특별시 동작구 사당로 300 (사당제1동, 이수자이) 
LG베스트샵 종앙점|37.5993138|127.0325521|서울특별시 성북구 종암로 102 (종암동, LG하이프라자) 
인천 청라프라자|37.5326529|126.6509452|인천광역시 서구 중봉대로612번길 10-20 (청라1동, 청라프라자) 
한국아울렛|35.2017187|128.5705374|경상남도 창원시 마산합포구 동서동2길 33 (신포동2가) 
세종몰리브상가|36.5026316|127.2454603|세종특별자치시  도움1로 108
LG베스트샵 마석점|37.6512383|127.3052757|경기도 남양주시 경춘로 1971 (화도읍) 
창원 서울메디컬센터|35.2207196|128.6776415|경상남도 창원시 성산구 상남로 73 (중앙동, 서울메디컬센터) 
해링턴타운|37.2851861|127.0550186|경기도 수원시 영통구 광교중앙로 170
신림 르네상스쇼핑몰|37.4846632|126.9278577|서울특별시 관악구 신림로 340 (신림동, 르네상스복합쇼핑몰) 
일산 제일프라자|37.6698836|126.7616322|경기도 고양시 일산서구 강성로 101 (주엽1동, 제일프라자) 
LG베스트샵 의정부시청점|37.7382963|127.0366809|경기도 의정부시 시민로 44 (의정부2동) 
우리은행 불광동지점|37.612621|126.9198649|서울특별시 은평구 통일로 715 (대조동) WB은평타워
광교데시앙루브|37.290435|127.0436153|경기도 수원시 영통구 광교로 114 (광교1동, 광교데시앙루브) 
강남24시주차장|37.502117|127.0261101|서울특별시 강남구 강남대로100길 29 (역삼1동) 
일산 풍성프라자|37.6630418|126.7656796|경기도 고양시 일산동구 무궁화로 31-2 (장항2동, 풍성프라자) 
동탄 우성에듀파크|37.1738784|127.0868563|경기도 화성시 동탄순환대로 127-23 (산척동) 
동탄 우성르보아시티|37.1737755|127.1021772|경기도 화성시 동탄대로 557-9
마곡 우성에스비타워|37.559811|126.8362702|서울특별시 강서구 강서로 385 (마곡동, 우성에스비타워) 
안산 세바프라자|37.3182057|126.8314685|경기도 안산시 단원구 당곡로 12 (고잔2동, 세바프라자) 
부천 향신채빌딩|37.4999409|126.7678638|경기도 부천시 신흥로 403
청주 산업단지비즈니센터|36.6447914|127.4333371|충청북도 청주시 흥덕구 대신로 132 (송정동, 청주산업단지 비즈니스센터) (송정동)
동탄 우성메디피아|37.1398442|127.0486526|경기도 화성시 동탄순환대로 127-17 (산척동) 
오산 탑프라자|37.1397767|127.0814833|경기도 오산시 오산로 193 (대원동, 탑프라자) 
한미프라자|37.7287511|126.7609616|경기도 파주시 경의로1240번길 39 (와동동) 
부천 해피플러스|37.5049737|126.7530055|경기도 부천시 길주로 86 (상2동, 해피플러스) 
김포 리버뷰테라스오피스텔|37.6534999|126.6836056|경기도 김포시 김포한강11로 312 (운양동) 
세종 고운프라자|36.5194093|127.2321833|세종특별자치시  마음로 264 (아름동, 고운프라자) 
우리은행 평리동지점|35.8706616|128.552427|대구광역시 서구 서대구로 141 (평리5동) 
안산 현대월드프라자|37.3064014|126.876988|경기도 안산시 상록구 건건로 131 (반월동, 현대월드프라자) 
일산 동신파크|37.6694971|126.7620931|경기도 고양시 일산서구 주엽동 72-1
서초두산위브센티움|37.4861867|127.0304301| 서울시 서초구 서초동 1362
우리은행 중화동지점|37.597024|127.0629217|서울특별시 중랑구 동일로 837 (중화제2동, 우리은행) 
창원 롯데마트 양덕점|35.2252354|128.5833269|경상남도 창원시 마산회원구 삼호로 80 (양덕2동, 메트로시티2단지) 
현대해상 광주사옥|35.1548575|126.8501723|광주광역시 서구 시청로 72 (치평동) 
현대해상 강서사옥|37.5274619|126.8945449|서울특별시 영등포구 당산로 141 (당산제1동, 현대해상) 
탑마트 마산석전점|35.2289603|128.5742247|경상남도 창원시 마산회원구 양덕옛2길 13 (석전동, (주)서원유통탑마트) 
현대해상 전주사옥|35.8242765|127.1446452|전라북도 전주시 완산구 노송광장로 29 (서노송동, 현대해상빌딩) 
탑마트 현풍점|35.6932327|128.4442779|대구광역시 달성군 현풍중앙로 40 (현풍읍) 
농협은행 경주시지부|35.8440828|129.2097327|경상북도 경주시 중앙로 46 (중부동) 
송도 일셋빌딩|37.3849703|126.6413925|인천광역시 연수구 테크노파크로111번길 15 (송도동, 일셋빌딩) 
시흥5차푸르지오상가|37.4413838|126.7849271|경기도 시흥시 복지로 15 (신천동, 시흥5차푸르지오) 
탑마트 청도점|35.6424951|128.743447|경상북도 청도군 고수동4길 7-11 
탑마트 대구점|35.8612114|128.5915306|대구광역시 중구 중앙대로66길 20 (남산동, 반월당효성해링턴플레이스) 
현대해상 대구사옥|35.8586311|128.5587879|대구광역시 달서구 달구벌대로 1790 (두류1.2동, 현대해상빌딩) 
현대해상 명동사옥|37.5629667|126.9505746|서울특별시 중구 명동2길 20 (명동2가, 현대해상화재보험명동사옥) 
금촌 식자자마트|7.7677139|126.7739002|경기도 파주시 경의로 1815 (금촌1동, 남도시골밥상) 
감정지구 자이에비뉴2|37.6382409|126.6694153|경기도 김포시 태장로 825 (장기동) 
동탄 KH스퀘어|37.1940744|127.071367|경기도 화성시 동탄솔빛로 57 (동탄1동, 삼성미즈빌딩) 
현대해상 대전사옥|36.3532813|127.3804265|대전광역시 서구 둔산서로 75 (둔산2동, 현대해상) 
현대해상 수원사옥|37.2615074|127.0286687|경기도 화성시 동탄솔빛로 57 (동탄1동, 삼성미즈빌딩) 
휴플러스빌딩 지하주차장|35.8249459|128.5192876|대구광역시 달서구 조암로 14 (월성1동) 
더원빌딩|35.8309352|128.7152279|경상북도 경산시 펜타힐즈2로 60 (중산동) 펜타힐즈2로 65
LG베스트샵 칠곡태전점|35.9283339|128.5450035|대구광역시 북구 칠곡중앙대로 371 (태전1동) 태정동 1068-3번지
판교 에메트타운빌딩|37.4043412|127.1008242|경기도 성남시 분당구 판교로 375 (삼평동)
율곡스퀘어더에이스|36.8156068|127.104217|충청남도 천안시 서북구 불당25로 176 (불당동) 
현대해상 인천사옥|37.4506293|126.7017901|인천광역시 남동구 미래로 7 (구월1동, 현대해상빌딩) 
일산 성원프라자|37.6806766|126.7803382|경기도 고양시 일산동구 하늘마을1로 8 (중산동) 
농협은행 이천시지부|37.2807196|127.4438517|경기도 이천시 영창로 212 (창전동, 농협중앙회 이천시지부) 
송산기업 부설주차장|36.5628391|128.7016433|경상북도 안동시 옥광1길 8-15 (옥동) 옥동 639-6
동아대학교 구덕1캠퍼스(요양병원)|35.1207271|129.016487|부산광역시 서구 대신공원로 32 (동대신동3가, 동아대학교구덕캠퍼스) 
드리머스(드림타운)|35.2401316|129.0173778|부산광역시 북구 화명대로94번길 104 (화명동) 화명동 1161-1
쥬네브문월드 주차장|37.2757956|127.1493555|경기도 용인시 기흥구 동백5로 22 (동백동, 쥬네브문월드빌딩) 
동아대학교 구덕1캠퍼스(요양병원)|35.1207271|129.0164875|부산광역시 서구 대신공원로 32 (동대신동3가, 동아대학교구덕캠퍼스) 
대구 현대볼링장|35.8405967|128.5445636|대구광역시 달서구 대명천로 148 (본리동) 
탑마트 천상점|35.5615484|129.2254552|울산광역시 울주군 천상길 34 (범서읍) 
의왕 포일프라자|37.396479|126.9831004|경기도 의왕시 봇들로 40 (포일동, 포일프라자) 
현대해상 강남사옥|37.5002987|127.0318311|서울특별시 강남구 테헤란로 137 (역삼동, 현대해상강남사옥) 
LG베스트샵 부산교대역점|34.8858487|128.6067904|부산광역시 연제구 중앙대로 1242 (거제제1동, (주)하이프라자) 
여주 월드피아2040|37.2950506|127.637683|경기도 여주시 세종로79번길 8 (여흥동, 월드피아2040) 
탑마트 문덕점|35.9663618|129.3998214|경상북도 포항시 남구 원동로 33 
탑마트 가곡점|35.4737386|128.7634067|경상남도 밀양시 가곡7길 24 (가곡동) 
탑마트 언양점|35.5655308|129.1171732|울산광역시 울주군 헌양길 117 (언양읍) 
동의대학교|35.1429679|129.0319021|부산광역시 부산진구 엄광로 176 (가야제1동, 동의대학교) 
브이 샤르망빌딩|7.486171|127.012263|서울특별시 서초구 효령로55길 28 (서초3동, 브이 샤르망) 
구미 휴드림 주차장|36.1378887|128.4166643|경상북도 구미시 산호대로29길 13-17 (양포동) 
청주 발산문고|36.6432683|127.4663629|충청북도 청주시 흥덕구 사운로 303 (운천.신봉동) 
광교하이니티|37.2901253|127.0440161|경기도 수원시 영통구 에듀타운로106번길 16
부천 건주프라자|37.5242228|126.804813|경기도 부천시 원종로 63 (원종1동, 건주프라자) 
용인 푸른종합상가|37.293433|127.1182252|경기도 용인시 기흥구 구성로 102 (구성동) (상록)
인천 스카이플러스2|37.4258415|126.7461777|인천광역시 남동구 서창동 686-1
