NAME|ID|BRANCH|NEW_ADDR|DEATAIL_ADDR|TELL|XCORD|YCORD
아리따움|11008400|중앙대점|서울 동작구 서달로 159|(흑석동)|028230768|126.9619504|37.507614
아리따움|11007533|정릉앨리스|서울 성북구 보국문로11길 1|(정릉동)|029180684|127.0096875|37.6082503
아리따움|11008934|낙성대점|서울 관악구 남부순환로248길 17|(봉천동)|028835143|126.965714|37.475177
아리따움|11075507|노원세이브존점|서울시 노원구 한글비석로 57,|1층 (하계동, 세이브존)|029788823|127.068634|37.637916
아리따움|11009010|서판교점|경기 성남시 분당구 운중로 128|1층 (운중동,마크시티그린)|03180161160|127.077347|37.391287
아리따움|11008301|경복궁역점|서울특별시 종로구 자하문로|15|027208051|126.9719185|37.5774205
아리따움|11009033|북한산시티점|서울 강북구 솔샘로 207|1층 (미아동)|029854874|127.015598|37.620242
아리따움|11065571|2001중계점|서울특별시 노원구 동일로 204가길 46,|1층(중계동, 2001아울렛)|0233998557|127.067958|37.64117
아리따움|11074330|종각역점|서울특별시 종로구 종로 80,|1층(종로2가)|027342037|126.986243|37.59916
아리따움|11007322|과천점|경기 과천시 별양상가1로 10|(별양동)|025021954|126.9919766|37.4269717
아리따움|11008041|관악 중앙점|서울 관악구 봉천동 862-1|에그 옐로우 1층 8,9,10,11호|028847298|126.9533044|37.4829571
아리따움|11089239|프로 메이크업스튜디오 마포|서울특별시 마포구 마포대로|173-14, 1층 110호(아현동, 마포 센텀 슬로우 스퀘어)|023135505|126.953449|37.550964
아리따움|11008941|Live 서울대점|서울 관악구 관악로 157|(봉천동)|028771150|126.951989|37.479403
아리따움|11076592|노량진역점|서울특별시 동작구 노량진로 161, 1층| 104호 (노량진동)|028125556|126.94392|37.514014
아리따움|11007553|남양주 퇴계원점|경기 남양주시 퇴계원면 퇴계원로 52|(퇴계원리)|0315744515|127.1423672|37.6511982
아리따움|11008704|노원 중계점|서울 노원구 한글비석로 264|116호 (중계동,중계그랜드프라자)|029364832|127.0771233|37.6509555
아리따움|11038225|수내역점|경기 성남시 분당구 백현로101번길 13|1층 103호 (수내동,월드프라자)|0317161231|127.1121024|37.3772109
아리따움|11056905|남양주 금곡점|경기 남양주시 금곡로 72|105호 (금곡동,센터프라자)|0315943338|127.211147|37.634573
아리따움|11007835|노원 상계점|서울 노원구 동일로 1390|상가 107호 (상계동,상계주공단지)|029341262|127.0615393|37.6525101
