BRANCH|SERVICENM|TELL|ADDR|XCORD|YCORD
신정남부점 기아오토큐|전문서비스|0226497778|서울특별시 양천구 신목로 41  신정동|126.874985|37.516418
신정북부점 기아오토큐|전문서비스|0226923336|서울특별시 양천구 신정중앙로 29  신정동|126.8571611|37.5248694
역삼점 기아오토큐|전문서비스|025618285|서울특별시 강남구 언주로104길 15 (역삼동)|127.043304|37.504614
오류점 기아오토큐|전문서비스|0226831626|서울특별시 구로구 경인로 22  오류동, 지평회관|126.827492|37.486723
월곡점 기아오토큐|전문서비스|029698572|서울 성북구 화랑로 180(상월곡동)|127.0525817|37.6042643
이촌점|전문서비스|027170242|서울특별시 용산구 이촌로2길 25|127.45315277777777|37.16633888888889
장안점 기아오토큐|전문서비스|0222148582|서울특별시 동대문구 사가정로 254  장안동|127.075349|37.576219
청담점기아오토큐|전문서비스|0262418585|서울특별시 강남구 삼성로148길 10 (청담동)|127.050603|37.52086
현대강남서비스|종합서비스|025751900|서울특별시 서초구 마방로26 (양재동), 현대기아자동차서비스|127.0431439|37.4720393
화곡북부점 기아오토큐|전문서비스|0226951651|서울특별시 강서구 까치산로 167  화곡동, 기아자동차서비스|126.855021|37.549433
화곡서부점 기아오토큐|전문서비스|0226081700|서울특별시 강서구 강서로17길 150  화곡동, 기아자동차큐서비스|126.839901|37.528929
도곡공업사|종합서비스|025757666|서울특별시 강남구 남부순환로381길 45 (도곡동)|127.04747|37.4842345
성동서비스센터|직영서비스센터|024988585|서울특별시 성동구 성수이로26길 61 (성수동2가)|127.0663278|37.5420806
성우자동차공업|종합서비스|024981885|서울특별시 성동구 왕십리로16길26 (성수동1가), 성우자동차공업(주)|127.049227|37.54854
시흥서비스센터|직영서비스센터|028048585|서울특별시 금천구 시흥대로51길 20 (시흥동)|126.901151|37.448419
영등포점|전문서비스|0226768581|서울 영등포구 국회대로 636|126.906475|37.5225861
동남모터스|종합서비스|0222930626|서울 성동구 행당동 고산자로 224(행당동)|127.0365556|37.5570556
목동한신모터스|종합서비스|0226789100|서울특별시 영등포구 양평로28길 1 (양평동6가), 한신자동차|126.8920593|37.5372582
천호점|전문서비스|024778572|서울특별시 강동구 올림픽로 741 (천호동)|127.128431|37.544908
㈜일원점 기아오토큐|전문서비스|024455285|서울특별시 강남구 개포로140길 24 (일원동)| | 
강동종합서비스 기아오토큐|종합서비스|024771123|서울특별시 강동구 성내로 60| | 
강일점 기아오토큐|전문서비스|024298211|서울특별시 강동구 상일로 134 (강일동 711번지)|127.1735305|37.5561926
구로모터스|종합서비스|0226879300|서울특별시 구로구 개봉로 23가길 26 (개봉동 206-2)|126.8597412|37.4923065
도봉서비스센터|직영서비스센터|0234938585|서울특별시 도봉구 도봉로180나길 48  도봉동, 기아자동차서비스도봉사업소|127.0522722|37.6807083
마곡종합서비스 기아오토큐|종합서비스|0236621371|서울특별시 강서구 남부순환로 223-29| | 
마포국도서비스|종합서비스|023767900|서울특별시 마포구 월드컵로 200 (성산동)| | 
방학점|전문서비스|029553733|서울특별시 도봉구 방학로 35|127.0516357|37.6590465
방화점 기아오토큐|전문서비스|0226614595|서울특별시 강서구 방화대로 354|126.8191146|37.5695828
봉천점 기아오토큐|전문서비스|028898282|서울특별시 관악구 봉천로 342|126.9401168|37.4818532
삼성점 기아오토큐|전문서비스|025158840|서울특별시 강남구 봉은사로 441 (삼성동)|127.0501556|37.5089756
세진모터스|종합서비스|025711817|서울특별시 서초구 성촌4길 19 (우면동)|127.0243835|37.464488
오금점 기아오토큐|전문서비스|024021208|서울특별시 송파구 중대로 294 (오금동)|127.1347427|37.5038222
자양점 기아오토큐|전문서비스|0234368585|서울특별시 광진구 자양로 46| | 
중곡북부점|전문서비스|024915333|서울특별시 광진구 면목로 194, (중곡동 554-5) (중곡동)| | 
북강릉서비스 기아오토큐|종합서비스|0336477233|강원 강릉시 율곡로 3081|128.8884277|37.7737885
문막점 기아오토큐|전문서비스|0337359997|강원 원주시 문막읍 건등리 194-4|127.834125|37.3169444
동춘천종합서비스|종합서비스|0332542604|강원 춘천시 후평동 243-1|127.7518222|37.8859639
㈜한서자동차공업사|종합서비스|0334351925|강원 홍천군 북방면 하화계리 170-2|127.8620376|37.6801912
연봉점|전문서비스|0334342754|강원 홍천군 홍천읍 연봉리 202-28|127.8755667|37.6804944
교1동점 기아오토큐|전문서비스|0336448272|강원도 강릉시 강릉대로 127-1  교동|128.8866049|37.7534535
포남점 기아오토큐|전문서비스|0336538572|강원도 강릉시 강릉대로 489  포남동|128.9172843|37.773279
강릉서비스센터|직영서비스센터|0336518585|강원도 강릉시 강변로604번길 11-4  입암동|128.9291667|37.7650806
입암점 기아오토큐|전문서비스|0336428241|강원도 강릉시 입암로 8  입암동|128.913973|37.746977
주문진점 기아오토큐|전문서비스|0336629888|강원도 강릉시 주문진읍 연주로 526  |128.8259034|37.8959729
해광자동차정비|종합서비스|0336317001|강원도 고성군 죽왕면 선유담길 68|128.5058083|38.3567639
천곡점 기아오토큐|전문서비스|0335338572|강원도 동해시 동굴2길 1  천곡동, 기아모터스|129.1139373|37.5152769
이도점 기아오토큐|전문서비스|0335218572|강원도 동해시 동해대로 4854 외1 이도동, 기아모터스|129.115739|37.476092
항도공업사|종합서비스|0335218585|강원도 동해시 동해대로 5026  효가동, 항도공업사|129.113575|37.491142
정상점 기아오토큐|전문서비스|0335748572|강원도 삼척시 동해대로 4102  정상동, 기아모터스|129.181245|37.444616
삼척대형점 기아오토큐|전문서비스|0335732940|강원도 삼척시 동해대로 4195-19  교동, 대흥카센타|129.1766083|37.4510278
삼척서비스 기아오토큐|종합서비스|0335735191|강원도 삼척시 동해대로 4303  갈천동, 흥우자동차정비공장|129.1656036|37.4541691
교동점 기아오토큐|전문서비스|0336376114|강원도 속초시 도리원길 118  교동|128.573929|38.192746
속초서비스|종합서비스|0336334972|강원도 속초시 동해대로 4179 , 563-1 ,633-56 ,633-57 ,633-78 ,565 조양동|128.5807342|38.1897042
평화공업사|종합서비스|0334827272|강원도 양구군 양구읍 박수근로 349|127.9841889|38.0998361
양양종합서비스|종합서비스|0336735511|강원도 양양군 양양읍 안산1길 79| | 
영월점|전문서비스|0333758585|강원도 영월군 영월읍 영월로 1846|128.4843167|37.1808694
단구점 기아오토큐|전문서비스|0337648584|강원도 원주시 단구로 339  단구동|127.9612778|37.3229111
신일자동차공업사|종합서비스|0337311391|강원도 원주시 소초면 흥양리 1500번지|127.9805603|37.3849159
원주서비스센터|직영서비스센터|0337438585|강원도 원주시 우산로 233  우산동|127.9412139|37.3778778
왕성모터스|종합서비스|0337615200|강원도 원주시 판부면 남원로 189  |127.9297485|37.3058384
중부자동차서비스|종합서비스|0337439765|강원도 원주시 호저면 우무개로 393 (만종리)|127.9177551|37.3591246
인제점 기아오토큐|전문서비스|0334627447|강원도 인제군 인제읍 인제로178번길 48-3  |128.1756222|38.0615611
정선점 기아오토큐|전문서비스|0335638570|강원도 정선군 정선읍 정선로 1223  |128.653118|37.376827
동송점 기아오토큐|전문서비스|0334557373|강원도 철원군 동송읍 금학로 133  |127.2239761|38.1982402
소양기공사|종합서비스|0332574102|강원도 춘천시 공지로494번길 4  근화동|127.7171325|37.8739253
춘천중부1급정비|종합서비스|0332648222|강원도 춘천시 동내면 동내로 57 (신촌리 570-1)|127.7611999|37.8463389
퇴계점 기아오토 큐|전문서비스|0332426816|강원도 춘천시 백석골길 8-6 , 798 퇴계동|127.7237639|37.8543222
근화점 기아오토큐|전문서비스|0332555916|강원도 춘천시 영서로 2468  근화동, 기아자동차|127.7145528|37.8759806
(합)공신기업|종합서비스|0332536466|강원도 춘천시 춘천로 427  후평동, KIA MOTORS (합)공신기업|127.754642|37.888554
황지점 기아오토큐|전문서비스|0335530608|강원도 태백시 서학로 1100  황지동|128.9876251|37.1515789
태백형제모터스|종합서비스|0335528250|강원도 태백시 외솔배기길 64(화전동)|128.9772338|37.1763506
대화점 기아오토큐|전문서비스|0333331925|강원도 평창군 대화면 평창대로 601  |128.4508666|37.4734515
봉평점 기아오토큐|전문서비스|0333350210|강원도 평창군 봉평면 기풍로 121-13  |128.3805167|37.6118917
하이테크1급써비스|종합서비스|0333342525|강원도 평창군 용평면 경강로 1828-2|128.4267425|37.5966197
희망점|전문서비스|0334348488|강원도 홍천군 홍천읍 닭바위2길 41|127.889813|37.693732
둔내점 기아오토큐|전문서비스|0333425766|강원도 횡성군 둔내면 둔내로 19  |128.215025|37.5094694
횡성점 기아오토큐|전문서비스|0333457100|강원도 횡성군 횡성읍 태기로 82  |127.9949972|37.4890111
인창점 기아오토큐|전문서비스|0315572723|경기 구리시 동구릉로 30번길 3|127.1348876|37.6006191
상동점 기아오토큐 주식회사|전문서비스|0326112133|경기 부천시 원미구 부일로 271(상동, 1층)|126.7623889|37.4856444
이매점 기아오토큐|전문서비스|0317035425|경기 성남시 분당구 이매동 94-1,9,10,11,12|127.131188|37.394849
중앙자동차공업사|종합서비스|0317318877|경기 성남시 수정구 산성동 2129|127.151858|37.4496
하대원점 기아오토큐|전문서비스|0317558703|경기 성남시 중원구 하대원동 118-7|127.1441879|37.4254896
정왕북부점|전문서비스|0314312510|경기 시흥시 정왕동 1853-3|126.7235028|37.3501111
원곡점 기아오토큐|전문서비스|0314938957|경기 안산시 단원구 원선로 1(원곡동)|126.7972194|37.3228028
청원자동차정비|종합서비스|0314094433|경기 안산시 상록구 오목로 171|126.878776|37.290043
상하점 기아오토큐|전문서비스|0312828588|경기 용인시 기흥구 상하동 135-2|127.1457672|37.2524057
㈜이천써비스|종합서비스|0316370063|경기 이천시 대월면 사동리 14-5|127.5028991|37.2368845
송우점 기아오토큐|전문서비스|0315418285|경기 포천시 소흘읍 호국로 588|127.152725|37.8261444
가평점 기아오토큐|전문서비스|0315815515|경기도 가평군 가평읍 가화로 255(가평읍 승안리 11-36)|127.5083923|37.8378272
청평점|전문서비스|0315842035|경기도 가평군 청평면 경춘로 789-1|127.4179458|37.7338987
덕은점 기아오토큐|전문서비스|0231597300|경기도 고양시 덕양구 덕은로 41|126.8787307|37.5837057
삼송점 기아오토큐|전문서비스|023815777|경기도 고양시 덕양구 삼송로 140 (삼송동 143-12) 삼송동|126.891571|37.6493991
화정점 기아오토큐|전문서비스|0319728255|경기도 고양시 덕양구 지도로92번길 90  토당동|126.828624|37.624923
㈜오토킹|종합서비스|0319780088|경기도 고양시 덕양구 충장로 208  화정동, (주)오토킹|126.8393249|37.6278453
고양점 기아오토큐|전문서비스|0319628538|경기도 고양시 덕양구 혜음로 17-9, 기아오토큐 고양점 (고양동)|126.9030685|37.699437
주교점 기아오토큐|전문서비스|0319667657|경기도 고양시 덕양구 호국로716번길 10  성사동|126.8344421|37.6479703
백석점 기아오토큐|전문서비스|0319044972|경기도 고양시 일산동구 강촌로12번길 7-3  백석동|126.7803421|37.6426582
굿모닝자동차서비스|종합서비스|0319010999|경기도 고양시 일산동구 고봉로 466  성석동|126.7838439|37.6970374
21C일산현대자동차회사|종합서비스|0319039955|경기도 고양시 일산동구 고양대로 900-28  풍동|126.797142|37.6743051
일산점 기아오토큐|전문서비스|0319018505|경기도 고양시 일산동구 일산로372번길 30-2  정발산동|126.7857437|37.6659156
일산중부점 기아오토큐|전문서비스|0319173399|경기도 고양시 일산동구 일산로428번길 31  정발산동|126.7823181|37.6711239
북부일산자동차서비스|종합서비스|0319229000|경기도 고양시 일산서구 경의로 939  덕이동|126.7616195|37.6984967
일산북부점 기아 오토큐|전문서비스|0319768255|경기도 고양시 일산서구 고봉로 321  일산동, 인산빌딩|126.7791442|37.685082
킨텍스점 기아오토큐|전문서비스|0319178086|경기도 고양시 일산서구 대산로211번길 3, (대화동) (대화동)|126.757225|37.6751172
대화점 기아오토큐|전문서비스|0319178522|경기도 고양시 일산서구 대화로398번길 7-15  대화동|126.755249|37.6793974
한일카독크|종합서비스|0319188585|경기도 고양시 일산서구 덕이로 48  덕이동|126.7565994|37.6875061
과천점 기아오토큐|전문서비스|025036824|경기도 과천시 중앙로 388  과천동|127.0003356|37.4455353
광명IC점|전문서비스|0226192929|경기도 광명시 광명로 351| | 
광명점 기아오토큐|전문서비스|0226848285|경기도 광명시 광명로812번길 37  광명동|126.853598|37.46564
이화카독크|종합서비스|028973431|경기도 광명시 구름산로 33  하안동|126.8790139|37.4554583
철산점 기아오토큐|전문서비스|0226865671|경기도 광명시 시청로 152  철산동|126.871733|37.485189
소하북부점|전문서비스|028058285|경기도 광명시 신촌로5번길 9 (소하동)|126.8909694|37.4452472
KTX광명역점|전문서비스|028991121|경기도 광명시 오리로 127  일직동|126.8810958|37.4110431
광주점 기아오토큐|전문서비스|0317685630|경기도 광주시 경안로 149 (경안동)|127.250473|37.4070254
태전점|전문서비스|0317699800|경기도 광주시 고불로 6, . (중대동)| | 
 삼운모터스|종합서비스|0317656100|경기도 광주시 오포읍 회안대로 40  |127.255271|37.351308
곤지암점|전문서비스|0317641959|경기도 광주시 초월읍 경충대로 995-5 ( 쌍동리 14-2 )|127.3068695|37.3657617
상상초월|종합서비스|0317654972|경기도 광주시 초월읍 현산로 18|127.288427|37.389139
주식회사 명성모터스|종합서비스|0317978111|경기도 광주시 회덕길 19-11  회덕동|127.2429351|37.4271688
현대공업사|종합서비스|0315534576|경기도 구리시 동구릉로200번길 34  인창동|127.142338|37.614099
수택점 기아오토큐|전문서비스|0315555989|경기도 구리시 이문안로 87  수택동, 기아큐서비스|127.143376|37.58934
산본모터스|종합서비스|0314298585|경기도 군포시 고산로 126|126.9590606|37.3470227
산본점|전문서비스|0314563813|경기도 군포시 고산로 708 (산본동)|126.946325|37.3614722
당동점 기아오토큐|전문서비스|0314556794|경기도 군포시 금당로 25  당동|126.942871|37.3473769
고촌점 기아오토큐|전문서비스|0319838583|경기도 김포시 고촌읍 은행영사정로23|126.7746963|37.5986774
장기점 기아오토큐|전문서비스|0319828383|경기도 김포시 김포한강2로24번길 114  장기동|126.6770095|37.6442824
대곶점 기아오토큐|전문서비스|0319818575|경기도 김포시 대곶면 율마로 60|126.596447|37.654637
김포서비스 기아오토큐|종합서비스|0319977833|경기도 김포시 양촌읍 석모로5번길 16|126.6517715|37.6483367
사우점기아오토큐(주|전문서비스|0319838285|경기도 김포시 중구로 3(북변동)|126.711963|37.619479
감정점 기아오토큐|전문서비스|0319885189|경기도 김포시 중봉로25번길 14  감정동|126.6987806|37.6219667
통진점 기아오토큐|전문서비스|0319843504|경기도 김포시 통진읍 월하로 566  |126.6205749|37.7089194
한강자동차정비|종합서비스|0319860101|경기도 김포시 통진읍 흥신로 252  |126.6136627|37.6757156
지금점 기아 오토큐|전문서비스|0315556530|경기도 남양주시 경춘로 448 (다산동)|127.1651306|37.605803
금곡점 기아오토큐|전문서비스|0315920034|경기도 남양주시 경춘로 924-10  금곡동, KIA MORTORS AUTO Q|127.2069361|37.6297167
남양주자동차|종합서비스|0315598600|경기도 남양주시 금곡로 9  금곡동, 남양주자동차|127.2061|37.6308722
별내점 기아오토큐|전문서비스|0315742580|경기도 남양주시 덕송1로55번길 22 (별내동)|127.119522|37.6650791
북부자동차공업|종합서비스|0318437300|경기도 남양주시 별내면 청학로 79 (청학리 513-1)|127.1199951|37.7043522
수동점 기아 오토큐|전문서비스|0315115109|경기도 남양주시 수동면 비룡로 708  |127.329|37.6992361
오남점 기아오토큐|전문서비스|0315278282|경기도 남양주시 오남읍 진건오남로 836|127.2029266|37.6980876
덕소모터스|종합서비스|0315777110|경기도 남양주시 와부읍 덕소리 수례로 52(와부읍 덕소리  141-1)|127.2195358|37.5858123
덕소점 기아오토큐|전문서비스|0315770025|경기도 남양주시 와부읍 수레로 77  |127.2197806|37.5874
경기자동차|종합서비스|0315280770|경기도 남양주시 진접읍 금강로 1943-11|127.21934|37.752015
진접점 기아오토큐|전문서비스|0315285598|경기도 남양주시 진접읍 장현천로10번길 17-6 (진접읍 장현리 340-2,341-11,10)|127.1881561|37.7166739
퇴계원점 기아오토큐|전문서비스|0315728506|경기도 남양주시 퇴계원면 경춘북로613번길 101 (퇴계원면)|127.1479187|37.6547479
화도점 기아오토큐|전문서비스|0315928583|경기도 남양주시 화도읍 경춘로 1667, (묵현리)|127.233544|37.640763
마석서비스 주식회사|종합서비스|0315928586|경기도 남양주시 화도읍 경춘로 2050|127.3172607|37.6489839
신원자동차공업사|종합서비스|None|경기도 동두천시 상봉암동 144-16|127.0601083|37.9396611
상패점 기아오토큐|전문서비스|0318653311|경기도 동두천시 어수로 43|127.0497207|37.9009439
지행점 기아오토큐|전문서비스|0318638582|경기도 동두천시 평화로 2240  지행동|127.059125|37.884951
역곡점 기아오토큐|전문서비스|0323421101|경기도 부천시 경인로 435 (괴안동)|126.8063201|37.479362
소사점|전문서비스|0323418200|경기도 부천시 소사구 소사동로 107 (소사택지사업지구) 괴안동|126.8081139|37.4721417
작동점 AUTO Q KIA MOTORS|전문서비스|0326824521|경기도 부천시 오정구 성오로 18-1  작동|126.8064278|37.5135028
서부천서비스 기아오토큐|종합서비스|0326798582|경기도 부천시 오정구 신흥로413번길 18  삼정동|126.7767028|37.5180795
중동점 기아오토큐|전문서비스|0326682758|경기도 부천시 원미구 부일로 380  중동|126.774367|37.4844
오토맥스|종합서비스|0326568030|경기도 부천시 원미구 부천로 190  춘의동, 춘의동카센타|126.788793|37.497974
약대점 기아오토큐|전문서비스|0326847275|경기도 부천시 중동로 362 (약대동)|126.7721939|37.5092382
구미점 기아오토큐|전문서비스|0317128263|경기도 성남시 분당구 금곡로11번길 16  구미동|127.112541|37.341984
판교점 기아오토큐|전문서비스|0317056585|경기도 성남시 분당구 대왕판교로385번길 18  백현동|127.1020472|37.3754222
정자남부점 기아오토큐|전문서비스|0317177320|경기도 성남시 분당구 불정로65번길 5  정자동|127.1136583|37.3578694
서현자동차서비스(주|종합서비스|0317024040|경기도 성남시 분당구 새마을로 23  서현동|127.135738|37.380808
삼평점|전문서비스|0317028521|경기도 성남시 분당구 판교로227번길 6, 101~104호 (삼평동)| | 
단대점 기아오토큐|전문서비스|0317538523|경기도 성남시 수정구 논골로25 (단대동 59-3)|127.1618728|37.4536623
대림자동차정비서비스(유)|종합서비스|0317238203|경기도 성남시 수정구 사송로77번길 72 (사송동)|127.1166687|37.4061584
고등점 기아오토큐|전문서비스|0317238204|경기도 성남시 수정구 설개로 7| | 
성남점 기아오토큐|전문서비스|0317550836|경기도 성남시 수정구 탄리로52번길 4-16 (신흥동)|127.1393889|37.4373444
동양공업사|종합서비스|0317338585|경기도 성남시 중원구 순환로 116 (상대원동)|127.181583|37.431125
호매실점 기아오토큐|전문서비스|0312928582|경기도 수원시 권선구  칠보로 200 (호매실동 1374번지)|126.9628753|37.2644465
세류점 기아오토큐|전문서비스|0312390777|경기도 수원시 권선구 덕영대로 1077  세류동|127.012268|37.2519233
