##NAME|SUBNAME|TELNUM|NEWADDR|HOMEPAGE@@도서관
서울특별시교육청도봉도서관|||서울특별시 도봉구 삼양로 556|http://dblib.sen.go.kr
서울특별시교육청동대문도서관|||서울특별시 동대문구 천호대로4길 22|http://ddmlib.sen.go.kr
서울특별시교육청동작도서관|||서울특별시 동작구 노량진2동 310-150|http://djlib.sen.go.kr
서울특별시교육청마포평생학습관|||서울특별시 마포구 서교동 341-1|http://mpllc.sen.go.kr
서울특별시교육청마포평생학습관아현분관|||서울특별시 마포구 마포대로 224|http://ahyon.sen.go.kr
서울특별시교육청서대문도서관|||서울특별시 서대문구 모래내로 412|http://sdmlib.sen.go.kr
서울특별시교육청송파도서관|||서울특별시 송파구 동남로 263|http://splib.sen.go.kr
서울특별시교육청양천도서관|||서울특별시 양천구 목동서로 113|http://yclib.sen.go.kr
서울특별시교육청어린이도서관|||서울특별시 종로구 사직로9길 7|http://childlib.sen.go.kr/childlib/index.do
서울특별시교육청영등포평생학습관|||서울특별시 영등포구 버드나루로15길 10|http://ydpllc.sen.go.kr
서울특별시교육청용산도서관|||서울특별시 용산구 두텁바위로 160|http://yslib.sen.go.kr
서울특별시교육청정독도서관|||서울특별시 종로구 북촌로5길 48(화동2번지)|http://jdlib.sen.go.kr
서울특별시교육청종로도서관|||서울특별시 종로구 사직로9길 15-14(사직동 1-28번지)|http://jnlib.sen.go.kr
서초구립반포도서관|||서울특별시 서초구 고무래로 34|http://banpolib.or.kr/
선유정보문화도서관|||서울특별시 영등포구 선유로43가길 10-8(양평동3가 88-1)|http://www.sylib.or.kr/
성동구립금호도서관|||서울특별시 성동구 난계로 20(금호1가 688)|https://www.sdlib.or.kr/
성동구립도서관(구/성동문화정보센터)|||서울특별시 성동구 고산자로 10길9 (행당동 142-4)|https://www.sdlib.or.kr/
성동구립무지개도서관|||서울시 성동구 도산자로 270 성동구청 3층|https://www.sdlib.or.kr/rainbow/
성동구립성수도서관|||서울시 성동구 뚝섬로1길 43 성수문화복지회관 내 7층|http://www.sdlib.or.kr/ss
성동구립용답도서관|||서울특별시 성동구 용답 중앙3길 10(용답동 95-1)|https://www.sdlib.or.kr/YD/
성동구립청계도서관|||서울시 성동구 마장로 141|http://www.sdlib.or.kr/CG
송파구립거마도서관(거마도서정보센터)|||서울특별시 송파구 거마로2길 19  거여제2동 주민센터|http://www.splib.or.kr/spglib/index.jsp
송파글마루도서관|||서울 송파구 충민로 120|http://www.splib.or.kr/spjlib/index.jsp
송파돌마리도서관|||서울시 송파구 백제고분로 37길 16 석촌동 주민센터 5층|http://www.splib.or.kr/spdlib/index.jsp
송파위례도서관|||서울특별시 송파구 위례광장로 210, 4-5층|http://www.splib.or.kr/spwlib/index.jsp
오류도서관|||서울특별시 구로구 경인로19길 29-6|http://oryulibrary.or.kr/
은평구/상림마을작은도서관|||서울특별시 은평구 진관4로 48-25|http://www.eplib.or.kr/
은평구립도서관|||서울특별시 은평구 통일로78가길 13-84|http://www.eplib.or.kr
은평뉴타운도서관|||서울특별시 은평구 진관2로 111-51|http://www.enlib.or.kr/
응암정보도서관|||서울특별시 은평구 가좌로 7길 15(응암동 730-3)|http://www.ealib.or.kr/
이진아기념도서관|||서울특별시 서대문구 독립문공원길 80(현저동 101)|http://lib.sdm.or.kr/main/main.asp
중곡문화체육센터도서관|||서울특별시 광진구 능동로 433|http://www.gwangjinlib.seoul.kr/
중랑구립면목정보도서관|||서울특별시 중랑구 면목로 397|http://www.jungnanglib.seoul.kr/mmlib/index.php
중랑구립정보도서관|||서울특별시 중랑구 신내로15길 197|http://www.jungnanglib.seoul.kr
증산정보도서관|||서울특별시 은평구 증산로5길 6|http://www.jsplib.or.kr
지샘터올림픽공원도서관|||서울특별시 송파구 올림픽로 424 스포츠비즈홀 1층|http://lib.kspo.or.kr/index.do
한국점자도서관|||서울특별시 강동구 상암로4가길 32|http://infor.kbll.or.kr
한국학생공공도서관|||서울특별시 중구 동호로27길 30|http://www.ksplibrary.co.kr/main/main.php
구덕도서관|||부산광역시 서구 서대신동 3가 산2|http://www.guducklib.kr
구포도서관|||부산광역시 북구 백양대로1016번다길 43|http://www.gupolib.or.kr/
금곡도서관|||부산광역시 북구 효열로203번길 34(금곡동 92-2번지)|http://bglib.bsbukgu.go.kr/
금정도서관|||부산광역시 금정구 금정도서관로 33|http://library.geumjeong.go.kr
기장도서관|||부산광역시 기장군 차성동로126번길 13-5(동부리 444-2)|http://library.gijang.go.kr
남구도서관|||부산광역시 남구 수영로 267번길 61|http://library.bsnamgu.go.kr
다대도서관|||부산광역시 사하구 다대낙조2길 9|http://dadaelib.saha.go.kr/00main/index.php
동구도서관|||부산광역시 동구 성북로 36번길 54|http://library.bsdonggu.go.kr/design10/new/index.php
동래읍성도서관|||부산시 동래구 동래로 159번길 153(칠산동)|http://lib.dongnae.go.kr/
명장도서관|||부산광역시 동래구 명장1동 611-4|http://www.mjlib.kr
반송도서관|||부산광역시 해운대구 아랫반송로 22 (반송동)|http://www.bansonglib.or.kr
부산강서도서관|||부산광역시 강서구 공항로811번길 10|http://library.bsgangseo.go.kr/gangseo/index.php
부산북구디지털도서관|||부산광역시 북구 은행나무로 26 (만덕2동 843번지)|http://library.bsbukgu.go.kr
부산수영구도서관|||부산광역시 수영구 남천서로 33 (남천1동 489-33번지)|http://library.suyeong.go.kr
부산시민도서관|||부산광역시 부산진구 월드컵대로 462(초읍동 산51-1)|http://www.siminlib.go.kr/
부산중앙도서관|||부산광역시 중구 망양로193번길 146(보수1가 산31-41)|http://joonganglib.busan.kr
부산진구어린이청소년도서관|||부산광역시 부산진구 백양순환로 110번길 25 3층|http://cylib.busanjin.go.kr/
부전도서관|||부산광역시 부산진구 동천로 79|http://www.bjl.go.kr
사상도서관|||부산광역시 사상구 덕상로 72번길 9|http://www.sasang.go.kr/library/index.sasang
사하도서관|||부산광역시 사하구 승학로 247|http://www.sahalib.kr
서동도서관|||부산광역시 금정구 서부로 76번길 5|http://www.seodonglib.kr
안락누리도서관|||부산광역시 동래구 명안로10번길 64|http://lib.dongnae.go.kr/allak/
연산도서관|||부산광역시 연제구 고분로191번길 16(연산9동)|http://www.yeonsanlib.kr
연제도서관|||부산광역시 연제구 황령산로 612|http://library.yeonje.go.kr/
영도도서관|||부산광역시 영도구 함지로79번길 6(동삼동516-1)|http://library.yeongdo.go.kr/ydlib/
정관도서관|||부산광역시 기장군 정관읍 정관중앙로 100|http://jglib.gijang.go.kr/
해운대도서관|||부산광역시 해운대구 양운로 183|http://www.haeundaelib.or.kr
해운대인문학도서관|||부산광역시 해운대구 반여로 132|http://www.haeundae.go.kr/inmunlib/
화명도서관|||부산광역시 북구 화명대로12번길 59|http://hmlib.bsbukgu.go.kr/
2・28민주운동기념회관|||대구광역시 중구 2.28길 9|http://www.228lib.or.kr/
달서구립달서가족문화도서관|||대구광역시 달서구 조암남로 137(대천동)|http://www.dalseolib.kr/
달서구립달서어린이도서관|||대구광역시 달서구 송현로 67 (상인동 806-1)|http://www.dalseolib.kr/
달서구립도원도서관|||대구광역시 달서구 한실로 113(도원동 1438-3번지)|http://www.dalseolib.kr/
달서구립본리도서관|||대구광역시 달서구  당산로 37-25(본리동)|http://www.dalseolib.kr/
달서구립성서도서관|||대구광역시 달서구 선원남로 129(이곡동)|http://www.dalseolib.kr/
달성군립도서관|||대구광역시 달성군 다사읍 달구벌대로174길 10-13(죽곡리 25-2)|http://www.dalseonglib.kr/
대구/북구/구수산도서관|||대구광역시 북구 대천로 21|http://lib.buk.daegu.kr/library/
대구2·28기념학생도서관|||대구광역시 동구 아양로41길 56|http://228lib.daegu.kr/main.do
대구동구신천도서관|||대구광역시 동구 동부로6길 65|http://www.donggu-lib.kr
대구시립/남부도서관|||대구광역시 남구 앞산순환로 512|http://www.nbl.or.kr
대구시립/달성도서관|||대구광역시 달성군 현풍면 현풍동로19길 26|http://www.dsl.daegu.kr
대구시립/동부도서관|||대구광역시 동구 신암북로 11길 54|http://www.dongbu-lib.daegu.kr
대구시립/두류도서관|||대구광역시 달서구 두류3동 154|http://www.duryu-lib.daegu.kr
대구시립/북부도서관|||대구광역시 북구 옥산로 75|http://www.bukbu-lib.daegu.kr
대구시립/서부도서관|||대구광역시 서구 국채보상로49길 12|http://www.seobu-lib.daegu.kr/
대구시립/수성도서관(구/효목도서관)|||대구광역시 수성구 만촌로 151|http://www.suseong-lib.daegu.kr/
대구시립/중앙도서관|||대구광역시 중구 공평로10길 25|http://www.tglnet.or.kr
대현도서관|||대구광역시 북구 대현남로 43|http://lib.buk.daegu.kr/library/
수성구립/고산도서관|||대구광역시 수성구 달구벌대로650길 6(신매동)|http://library.suseong.kr/gosan
수성구립/범어도서관|||대구광역시 수성구 달구벌대로 2451|http://library.suseong.kr/beomeo/
수성구립/용학도서관|||대구광역시 수성구 지범로 41길 36번지 (범물동 1283-1번지)|http://library.suseong.kr/yonghak/
안심도서관|||대구광역시 동구 금호강변로 360|http://www.donggu-lib.kr/
태전도서관|||대구광역시 북구 영송로 36-16|http://lib.buk.daegu.kr
강화군립도서관|||인천광역시 강화군 강화읍 북문길42번길 5|http://www.ghlib.net/
계양도서관|||인천광역시 계양구 계양산로134번길 18|https://lib.ice.go.kr/gyeyang/index.do
남동구립서창도서관|||인천광역시 남동구 독곡로 16번길 15(서창동588-1)|http://www.namdonglib.go.kr/sclib/index.jsp
부개도서관|||인천광역시 부평구 부일로83번길 46|http://www.bppl.or.kr/usr/mav/MainView.do?libcd=1
부평기적의도서관|||인천광역시 부평구 길주남로 166|http://www.bppl.or.kr/gj/
부평도서관|||인천광역시 부평구 경원대로 1191|https://lib.ice.go.kr/bupyeong/index.do
삼산도서관|||인천광역시 부평구 부평북로 445(삼산동)|http://www.bppl.or.kr/ss
서구도서관|||인천광역시 서구 건지로 334번길 45|http://www.sgl.go.kr
송림도서관|||인천광역시 동구 새천년로72(송림동)|http://songlimlib.icdonggu.go.kr/
수봉도서관|||인천광역시 남구 경인로 218|http://www.imla.kr/sb/index.do
연수도서관|||인천광역시 연수구 함박뫼로 152번길 96|http://www.yslib.go.kr
영종도서관|||인천광역시 중구 영종대로 85|http://www.imla.kr/yj/index.do?scd=3
영종하늘도서관|||인천광역시 중구 하늘중앙로 132|http://www.michuhollib.go.kr/hanul/index.do
율목도서관|||인천광역시 중구 답동로24번길 17|http://www.ymlib.or.kr
인천광역시북구도서관|||인천광역시 부평구 신트리로 21|https://lib.ice.go.kr/bukgu/index.do
인천광역시평생학습관|||인천광역시 연수구 경원대로 73|http://www.ilec.go.kr
인천미추홀도서관|||인천광역시 광역시 남동구 인주대로 776번길 53(구월동)|http://www.michuhollib.go.kr
인천중앙도서관|||인천광역시 남동구 정각로 9|http://www.ijlib.or.kr/
주안도서관|||인천광역시 남구 구월남로 27|https://lib.ice.go.kr/juan/index.do
청라국제도서관|||인천광역시 서구 담지로 24|http://www.michuhollib.go.kr/gugje/index.do
청라호수도서관|||인천광역시 서구 크리스탈로 59|http://www.michuhollib.go.kr/hosu/index.do
청천도서관|||인천광역시 부평구 원길로 23|http://www.bppl.or.kr/usr/mav/MainView.do?libcd=6
화도진도서관|||인천광역시 동구 화도진로 122|https://lib.ice.go.kr/hwadojin/index.do
계림꿈나무도서관|||광주광역시 동구 경양로247번길 26|없음
광산구립신가도서관|||광주광역시 광산구 신가로 40번길 24|http://lib.gwangsan.go.kr/main/
광산구립장덕도서관|||광주광역시 광산구 풍영로 179|http://lib.gwangsan.go.kr/main/
광주광역시남구청소년도서관|||광주광역시 남구 제석로 100(봉선동)|http://lib.namgu.gwangju.kr/main/
광주광역시중앙도서관분관/석봉도서관|||광주광역시 북구 설죽로 315번길 8|http://lib.gen.go.kr/seokbong/
광주남구문화정보도서관|||광주광역시 남구 봉선로 208|http://lib.namgu.gwangju.kr/
광주남구푸른길도서관|||광주광역시 남구 금당로 140|http://lib.namgu.gwangju.kr/
광주북구운암도서관|||광주광역시 북구 북문대로 118(운암동)|http://ilgoklib.bukgu.gwangju.kr/main/main_u.php
광주북구일곡도서관|||광주광역시 북구 일곡로 55|http://ilgoklib.bukgu.gwangju.kr/main/main_a.php
광주송정도서관|||광주광역시 광산구 송정공원로 8-13|http://songjung.gen.go.kr
광주시립도서관/사직분관|||광주광역시 남구 제중로 56|http://www.citylib.gwangju.kr
광주시립도서관/산수분관|||광주광역시 동구 경양로 355|http://www.citylib.gwangju.kr
광주시립무등도서관|||광주광역시 북구 면앙로 130|http://citylib.gwangju.kr/
광주중앙도서관|||광주광역시 동구 장동로 23-16(동명동)|http://jungang.gen.go.kr/
광주첨단도서관|||광주광역시 광산구 임방울대로 673-12|http://lib.gwangsan.go.kr/main/
광주학생교육문화회관|||광주광역시 서구 상무민주로 77|http://gecs.gen.go.kr
광주학생독립운동기념회관|||광주광역시 서구 백일로30(화정동 512)|http://student.gen.go.kr
금호평생교육관|||광주광역시 남구 중앙로 15|http://lib.gen.go.kr/geumho
상록도서관|||광주광역시 서구 상무대로 1171번길 11|http://lib.seogu.gwangju.kr/
서구공공도서관|||광주광역시 서구 마재로 3|http://www.ymcakwangju.or.kr
서구어린이생태학습도서관|||광주광역시 서구 풍암공원로 8|http://lib.seogu.gwangju.kr/
운남어린이도서관|||광주광역시 광산구 목련로 217번길 10|http://lib.gwangsan.go.kr/main/
이야기꽃도서관|||광주광역시립 광산구 선운중앙로 67번길 6|http://lib.gwangsan.go.kr/main/
가수원도서관|||대전광역시 서구 가수원로 91-11|http://www.gasuwonlib.or.kr
가양도서관(구/대전동구문화정보관)|||대전광역시 동구 우암로277번길 72 (가양2동 22-4)|http://lib.donggu.go.kr/html/library/gayanglib/
가오도서관|||대전광역시 동구 동구청로 147(가오동)|http://lib.donggu.go.kr/html/library/gaolib/
갈마도서관|||대전광역시 서구 신갈마로 127번길 138|http://galmalib.or.kr
관평도서관|||대전광역시 유성구 테크노4로 131|http://www.gplib.or.kr
구암도서관|||대전광역시 유성구 유성대로 626번길 57|http://lib.yuseong.go.kr/?now_url=contents/mainProcess.php?simport=gulib
구즉도서관|||대전광역시 유성구 와룡로 37번길 20|http://lib.yuseong.go.kr/
노은도서관|||대전광역시 유성구 노은동로 234번길 34|http://lib.yuseong.go.kr/
대전학생교육문화원|||대전광역시 중구 동서대로 1360|http://www.djsecc.or.kr
둔산도서관(갈마도서관/분관)|||대전광역시 서구 청사로 263(둔산동)|http://www.dunsanlib.or.kr
산성도서관(대전학생교육문화원/부설,/구/대전평생학습관)|||대전광역시 중구 산서로 62번길 53(사정동)|http://www.djsecc.or.kr/
송촌평생학습도서관|||대전광역시 대덕구 송촌로 59|https://lib.daedeok.go.kr/main.jsp
신탄진평생학습도서관|||대전광역시 대덕구 신탄진동로 64|http://stlib.daedeok.go.kr
안산평생학습도서관|||대전광역시 대덕구 계족로 663번길 25|http://ansan.daedeok.go.kr
용운도서관|||대전광역시 동구 새울로 68번길 23-23|http://lib.donggu.go.kr/html/library/yongunlib/
원신흥도서관|||대전광역시 유성구 원신흥남로 59|http://lib.yuseong.go.kr/m/main/main.php
유성도서관|||대전광역시 유성구 대덕대로 507-38|http://lib.yuseong.go.kr/contents/contents.php?pageCode=070301
진잠도서관|||대전광역시 유성구 진잠로 160번길 19|http://lib.yuseong.go.kr/
한밭도서관|||대전광역시 중구 서문로 10|http://hanbatlibrary.kr/
도산도서관|||울산광역시 남구 번영로54번길 6 (야음동)|http://dosanlib.ulsannamgu.go.kr/
신복도서관|||울산광역시 남구 신복로 72번길 18-13|http://book.ulsannamgu.go.kr
약숫골도서관|||울산광역시 중구 평산4길 38|http://lib.junggu.ulsan.kr/
옥현어린이도서관|||울산광역시 남구 옥현로 58번길 40|http://book.ulsannamgu.go.kr
울산남부도서관|||울산광역시 남구 거마로13번길 6|http://www.usnl.or.kr
울산도서관|||울산광역시 남구 꽃대나리로 140(여천동)|https://library.ulsan.go.kr/cmm/main/mainPage.do
울산동부도서관|||울산광역시 동구 봉수로 505|http://www.usdl.or.kr/
울산북구매곡도서관|||울산광역시 북구 매곡로 138-19(매곡동,795-35번지)|https://usbl.bukgu.ulsan.kr/
울산북구중앙도서관|||울산광역시 북구 두부곡1길 9 (연암동)|https://usbl.bukgu.ulsan.kr/
울산중부도서관|||울산광역시 중구 도서관길 60|http://www.usjl.or.kr
울주도서관|||울산광역시 울주군 언양읍 어음리 238-2|http://www.usul.or.kr
울주선바위도서관|||울산광역시 울주군 범서읍 점촌3길 40(구영리)|http://uljulib.ulju.ulsan.kr/
울주옹기종기도서관|||울산광역시 울주군 온양읍 온양로 38-1|http://uljulib.ulju.ulsan.kr/
고양시립원당도서관|||경기도 고양시 덕양구 호국로 790번길 49-9(성사동)|http://www.goyanglib.or.kr/www2/wondang
가평군립중앙도서관|||경기도 가평군 가평읍 가화로 64|http://www.gaplib.or.kr
경기과천교육도서관|||경기도 과천시 도서관길 36 (별양동 2번지)|http://www.kwalib.kr/
경기광주교육도서관|||경기도 광주군 경안안길 58번길 3 (경안동 47-1번지)|http://www.gjlib.or.kr
경기김포교육도서관|||경기도 김포시 봉화로 68|http://www.gimpolib.or.kr
경기성남교육도서관|||경기도 성남시 수정구 공원로370번길 26 (신흥2동 2344)|http://www.snlib.or.kr
경기여주가남교육도서관|||경기도 여주시 가남읍 태평로2길 28-7|http://www.yjlib.or.kr
경기의정부교육도서관|||경기도 의정부시 체육로265-25(녹양동)|http://www.nylib.or.kr
경기중앙교육도서관|||경기도 수원시 장안구 조원로 18(조원동 495번지)|http://www.gglib.or.kr/
경기평생교육학습관|||경기도 수원시 권선구 권중로55(권선동)|http://www.gglec.go.kr
경기평택교육도서관|||경기도 평택시 서정북로125번길 103|http://www.ptlib.or.kr
경기포천교육도서관|||경기도 포천시 중앙로 92-6 (신읍동 33)|http://www.pclib.or.kr
경기화성교육도서관|||경기도 화성시 향남읍 발안로 85-10|http://www.balib.or.kr
고양시립/백석도서관|||경기도 고양시 일산동구 일산로 118(백석동 1231)|http://www.goyanglib.or.kr/www2/baekseok/
고양시립/화정도서관|||경기도 고양시 덕양구 화정동 873|http://www.koyanglib.or.kr
고양시립/화정어린이도서관|||경기도 고양시 덕양구 화정2동 945번지|http://www.koyanglib.or.kr
고양시립가좌도서관|||경기도 고양시 일산서구 가좌3로 16|http://www.goyanglib.or.kr
고양시립대화도서관|||경기도 고양시 일산서구 일산로 689(대화동)|http://www.koyanglib.or.kr/www2/dae/
고양시립덕이도서관|||경기도 고양시 일산서구 하이파크로 128(덕이동 1533)|http://www.goyanglib.or.kr/center/main/index.asp
고양시립마두도서관|||경기도 고양시 일산동구 일산로 355(마두동)|http://www.koyanglib.or.kr
고양시립삼송도서관|||경기도 고양시 덕양구 덕수천1로 73(삼송동)|http://www.goyanglib.or.kr/sam/main/index.asp
고양시립식사도서관|||경기도 일산동구 위시티2로 43-6(식사동)|http://www.goyanglib.or.kr/center/main/index.asp
고양시립신원도서관|||경기도 고양시 덕양구 신원2로 24|http://www.goyanglib.or.kr/center/main/index.asp
고양시립아람누리도서관|||경기도 고양시 일산동구 중앙로 1286(마두동)|http://www.goyanglib.or.kr
고양시립주엽어린이도서관|||경기도 고양시 일산서구 주엽로 104(주엽동)|http://www.goyanglib.or.kr
고양시립풍동도서관|||경기도 고양시 일산동구 숲속마을로 108(풍동)|http://www.goyanglib.or.kr/www2/pung/
고양시립한뫼도서관|||경기도 고양시 일산서구 탄중로 125(일산동 1558)|http://www.goyanglib.or.kr/www2/han/
고양시립행신도서관|||경기도 고양시 덕양구 행당로33번길 25-6|http://www.goyanglib.or.kr/center/main/index.asp
고양시립행신어린이도서관|||경기도 고양시 덕양구 소원로181번길 42(행신동 804)|http://www.goyanglib.or.kr/center/main/index.asp
고촌도서관|||경기도 김포시 고촌읍 장차로 14|http://www.gimpo.go.kr/lib/main.do
과천시문원도서관|||경기도 과천시 문원로 104(문원동)|http://munwon.gclib.go.kr/MW/
과천시정보과학도서관|||경기도 과천시 갈현동 677|http://www.gclib.go.kr/
광교홍재도서관|||경기도 수원시 영통구 대학로 88(이의동)|http://gh.suwonlib.go.kr/
광명시소하도서관|||경기도 광명시 소하일로 7|http://www.gmlib.or.kr/gmlibIntro.do
광명시중앙도서관|||경기도 광명시 원광명안로 48|http://www.gmlib.or.kr/gmlibIntro.do
광명시철산도서관|||경기도 광명시 철산로 56|http://www.gmlib.or.kr/CheolsanMain.do
광명시하안도서관|||경기도 광명시 철망산로 46(하안2동)|http://www.gmlib.or.kr/gmlibIntro.do
교하도서관|||경기도 파주시 교하읍 숲속노을로 256|http://www.gyohalib.or.kr/
군포시산본도서관|||경기도 군포시 광정로 96(산본동 1122)|http://gunpolib.or.kr
군포시중앙도서관|||경기도 군포시 수리산로 79|http://www.gunpolib.or.kr
김포시중봉도서관|||경기도 김포시 봉화로 130번길 26|http://lib.gimpo.go.kr
남양주시도농도서관|||경기도 남양주시 경춘로 409(도농동 산53-1)|http://lib.nyj.go.kr
남양주시별내도서관|||경기도 남양주시 별내면 청학리 416|http://www.nyj.go.kr/lib/s14_blib/staff.jsp
남양주시오남도서관|||경기도 남양주시 오남읍 양지로 240번길 12|http://lib.nyj.go.kr/onam/
남양주시와부도서관|||경기도 남양주시 와부읍 월문천로 43|http://www.nyj.go.kr
남양주시진건도서관|||경기도 남양주시 진건읍 진건오남로 41-25|http://lib.nyj.go.kr
남양주시진접도서관|||경기도 남양주시 진접읍 금강로 1554-11|http://lib.nyj.go.kr/jinjeop/
남양주시진접푸른숲도서관|||경기도 남양주시 진접읍 해밀예당2로 35|http://lib.nyj.go.kr/jinjeopgw/
남양주시퇴계원도서관|||경기도 남양주시 퇴계원면 도제원로 12|http://lib.nyj.go.kr/toegyewon/index.jsp
남양주시평내도서관|||경기도 남양주시 의안로 134|http://lib.nyj.go.kr/pynae/
남양주시호평도서관|||경기도 남양주시 천마산로67|http://lib.nyj.go.kr/hp/index.jsp
남양주시화도도서관|||경기도 남양주시 화도읍 수레로1260번길 33|http://lib.nyj.go.kr
논골작은도서관|||경기도 성남시 수정구 논골로23번길 2|없음
다원이음터도서관|||경기도 화성시 동탄순환대로 754-14(영천동)|http://www.hscitylib.or.kr
동두천꿈나무정보도서관|||경기도 동두천시 지행로 38|http://lib.ddc.go.kr/
동두천시립도서관|||경기도 동두천시 상패로 60|http://www.ddclib.net
동탄복합문화센터도서관|||경기도 화성시 노작로 134|http://www.hdmc.or.kr/
별빛도서관|||경기도 남양주시 별내중앙로 102(별내동)|http://lib.nyj.go.kr/bbit/
부곡도서관|||경기도 안산시 상록구 성호로 333 (부곡동 709-2)|http://lib.iansan.net/main.asp?sitekey=8
부천시립꿈빛도서관|||경기도 부천시 신흥로275번길 19|http://www.bcl.go.kr/site/main/index001
부천시립꿈여울도서관|||경기도 부천시 오정구 까치로 103(작동)|http://kkumyeoul.bcl.go.kr/
부천시립도당도서관|||경기도 부천시 부천로 360|http://www.bcl.go.kr/
부천시립동화도서관|||경기도 부천시 장말로 104|www.bcl.go.kr
부천시립북부도서관|||경기도 부천시 삼작로301번길 5|http://www.bcl.go.kr/site/main/index001
부천시립상동도서관|||경기도 부천시 원미구 상이로 12|http://sangdong.bcl.go.kr/
부천시립송내도서관|||경기도 부천시 소사구 경인로92번길 33(송내동)|http://www.bcl.go.kr
부천시립심곡도서관|||경기도 부천시 성무로 24 (심곡본동)|http://www.bcl.go.kr/site/main/index001
부천시립오정도서관|||경기도 부천시 성오로 172 오정어울마당|없음
부천시립원미도서관|||경기도 부천시 소사로 456|http://www.bcl.go.kr
부천시립책마루/분관|||경기도 부천시 심중로 121|http://www.bcl.go.kr
