##NAME|SUBNAME|TELNUM|NEWADDR|ETCADDR|TYPE|SINCE|WEBSITE@@작은도서관
반곡아이파크 작은도서관|||강원 원주시 반곡동 1805번지||사립|2009|
반석작은도서관|||강원 삼척시 남양동 158-1 2층||사립|2004|
반올림도서관|||강원도 춘천시 후석로 325, (후평동, 춘천더？아파트)||사립|2009|
발한동새마을문고|||강원도 동해시 동문산1길 20, (발한동) 한사랑교회||사립|2009|
백담솔방울도서관|||강원 인제군 북면 만해로 410-17||사립|2010|
백운작은도서관|||강원도 원주시 적동1길 31, (태장동, 백운2차아파트) 백운상가||사립|2012|
복골 작은도서관|||강원도 양양군 강현면 복골길 243,  천복교회||사립|2016|
봄빛작은도서관|||강원 강릉시 지변동 지변길 172번길 3(봄빛아동센터)||사립|2005|
봉산샘터 작은도서관|||강원 원주시 봉산동 937-6 예수로교회 1층||사립|2005|
빅캣영어도서관|||강원도 원주시 단관길 196, (관설동) 빅캣영어도서관||사립|2016|
빨간머리앤의작은책마을|||강원도 고성군 중앙로 535(강원건재) 빨간머리앤의작은책마을(1층)||사립|2012|
쁘레네 작은도서관 별찌|||강원도 태백시 번영로 192-3, (황지동) 쁘레네 작은도서관 별찌||사립|2016|
쁘레네작은도서관 별찌|||강원도 강릉시 솔올로 79 서강 쁘레네||사립|2013|
쁘레네작은도서관별찌|||강원도 원주시 오리현길 28||사립|2012|
쁘레네작은도서관별찌|||강원도 원주시 솔우물2길 19-1, (무실동) 2층||사립|2013|
사랑하는작은도서관|||강원도 원주시 현충로58번길 71-2, (태장동)||사립|2015|
산 아래 작은도서관|||강원도 정선군 구절안길 30-5(구절교회) 산 아래 작은도서관||사립|2015|
삼흥마을문고|||강원도 동해시 월평로 12-7, (이로동) 삼흥교회||사립|2005|
상록작은도서관|||강원도 원주시 현충로 234-13(상록2차프라자아파트) 상록프라자상가 201, 303-1호||사립|2009|
새냉이작은도서관|||강원도 강릉시 새냉이길27번길 13-5, (홍제동) 새냉이까페||사립|2016|
새능력작은도서관|||강원도 원주시 관설안길 23-12, (관설동) 1층||사립|2012|
새마을작은도서관( 구 그린새마을열린문고)|||강원 춘천시 소양로4가 소양로4가 109-1||사립|2010|
새문문고|||강원 고성군 죽왕면 문암항길 63-1||사립|2006|
생각이자라는도서관|||강원도 정선군 남면 무릉3로 30,  생각이자라는도서관||사립|2016|
서화평화도서관|||강원 인제군 서화면 금강로 1630||사립|2011|
선한문고|||강원 삼척시 교동 501-5||사립|2004|
성덕반딧불작은도서관|||강원 강릉시 입암동 632-6||공립|2008|
세인도서방|||강원 원주시 단구동 1697-3||사립|2009|
세종꿈도서관|||강원도 원주시 섬밭들2길 12, (무실동)||사립|2015|
소도교회독서실|||강원 태백시 소도동 소도길 46||사립|2005|
소망 작은도서관|||강원 홍천군 서면 반곡리 67-2||사립|2011|
속초어린이작은도서관|||강원 속초시 청호동 444-48||사립|2003|
솔올꿈나무작은도서관|||강원 강릉시 교1동 1874-3||공립|2006|
송정해변신도브래뉴아파트작은도서관|||강원도 강릉시 경강로2539번길 8, (견소동, 송정한신아파트) 289||사립|2005|
숲속에서꿈꾸는도서관|||강원도 영월군 중선로 9 24||사립|2014|
숲으로 작은도서관|||강원도 인제군 인제로240번길 3 숲으로 작은도서관||사립|2013|
스무숲도서관|||강원 춘천시 석사동 현진에버빌1차apt 관리사무소2F||사립|2008|
스카이문고|||강원 강릉시 포남동 성덕포남로174번길 44 스카이아동센터(포남문구사앞)||사립|2008|
스프링영어 작은도서관|||강원도 원주시 남원로469번길 7-19, (명륜동) 1층||사립|2016|
신화마을도서관|||강원 원주시 부론면 부론면 법천시장길 41-10 2층||사립|2009|
쌀보리작은도서관|||강원도 횡성군 횡성읍 읍하로37번길 6,  횡성여성농업인지원센터||사립|2011|
아낌없이 주는 나무|||강원 삼척시 교동로 107||사립|2009|
아낌없이주는나무|||강원 삼척시 남양동 332-13||사립|2009|
아우라지작은도서관|||강원 정선군 여량면 서동로 2908||사립|2011|
안흥찐빵마을 책사랑방|||강원도 횡성군 안흥로 27 안흥찐빵마을 책사랑방||공립|2014|
앞짱어린이도서관|||강원도 춘천시 지석로 64(퇴계(6)주공아파트) 퇴계주공6차 아파트 관리동 2층||사립|2008|
양문 작은 도서관|||강원 원주시 명륜2동 824-15||사립|2008|
양양 거말 작은도서관|||강원도 양양군 양양읍 단지길 40,  양양사랑교회||사립|2016|
양양감리교회작은도서관|||강원도 양양군 양양읍 구성사잇길 9,  양양감리교회작은도서관||사립|2012|
여행자의노래도서관|||강원도 영월군 단종로 70||사립|2011|
영랑작은도서관|||강원도 속초시 영랑로 46 196-1||공립|2009|
영재도서관|||강원 원주시 행구동 1610-1,원주영강교회 본관 1층||사립|2005|
예꿈작은도서관|||강원도 강릉시 주문진읍 철둑길 9,  주문진그리스도의교회||사립|2016|
예꿈터 작은 도서관|||강원도 원주시 원문로137번길 19-7, (단계동) .||사립|2010|
오스타작은도서관|||강원도 춘천시 춘천순환로 93(현대성우오스타) 관리동2층||사립|2014|
옥거리작은도서관|||강원도 강릉시 경강로 2157 135||공립|2012|
우리들 작은도서관|||강원도 동해시 월평로 49, (이로동, 동해규수방아파트) 이로동 규수방@ 상가 1층||사립|2014|
우리작은도서관|||강원도 동해시 청운로 82, (쇄운동) (동신교회)||사립|2009|
우천면 매화작은도서관|||강원도 횡성군 우천면 우항3길 5-2,  우천 매화작은도서관||공립|2014|
웅진다책문고|||강원도 동해시 중앙로 233, (천곡동) 신한은행 빌딩||사립|2009|
원주YMCA아름드리도서관|||강원도 원주시 원문로137번길 7-6, (단계동) .||사립|2005|
원주단관영어도서관|||강원 원주시 단구동 1630-10번지||사립|2012|
월담 작은도서관|||강원도 영월군 영월읍 중리1길 10,  월담 작은도서관||공립|2014|
월대산작은도서관|||강원도 강릉시 성덕포남로 80-21 (입암동)||공립|2014|
은혜어린이도서관|||강원 원주시 태장1동 851-8번지||사립|2009|
의상작은도서관|||강원 양양군 양양읍 남서길28-4||사립|2016|
이도작은도서관|||강원도 동해시 이원길 151, (이도동)||공립|2010|
자작나무도서관|||강원도 원주시 혁신로 92, (반곡동, 푸른숨휴브레스) 푸른숨 LH4단지||사립|2015|
작은도서관별찌(2012년개관)|||강원 춘천시 퇴계로 형인빌딩202호||사립|2012|
장성도서관|||강원도 태백시 목련길 20, (장성동) 태백주사랑교회||사립|2016|
정선꿈꾸는도서관|||강원 정선군 정선읍 용담길 65||사립|2010|
좋은씨앗작은도서관|||강원 정선군 고한읍 고한리64-44||사립|2012|
죽왕문고|||강원 고성군 죽왕면 오호길 9-7||사립|2005|
진리도서관|||강원도 홍천군 홍천읍 희망로16길 16-14,  진리31-2||사립|2004|
책날개어린이도서관|||강원 춘천시 석사동 873번지 현진에버빌2차아파트 관리동 2층||사립|2008|
책드림도서관|||강원도 춘천시 중앙로 131(춘천시민복지회관) 4층 책드림도서관||사립|2005|
천곡동 새마을문고|||강원도 동해시 평릉길 20, (천곡동) 신웅빌딩||사립|2009|
천진문고|||강원 고성군 토성면 천진2리 1반||사립|1996|
철암도서관|||강원도 태백시 피내골길 23 피내골길 23||사립|2010|
청나래작은도서관|||강원도 원주시 소초면 북원로 3223,  스포렉스 1층||사립|2015|
청소년도서관 도란도란|||강원도 원주시 서원대로 234, (단계동) 원주시청소년수련관 이음관||사립|2016|
청일면 버들골작은도서관|||강원도 횡성군 청정로 823(자율방범대) 버들골 작은도서관||공립|2011|
초당작은도서관|||강원도 강릉시 연당길 116 (초당동)||공립|2014|
초록도서관|||강원도 동해시 중앙로 184, (천곡동) 주연택크(5층)||사립|2011|
춘천YMCA푸름이도서관|||강원 춘천시 후평1동 849-6번지 춘천YMCA 3층||사립|2007|
큰사랑문고|||강원 원주시 소초면 1529-9||사립|2005|
탄광촌 생명의 양식문고|||강원도 정선군 물한리길 16-10(교회) 고한리 140-4||사립|2004|
태장도서관|||강원 원주시 현충로 53 (태장1동 809-4) 태장도서관||공립|2011|
패랭이꽃그림책버스|||강원도 원주시 토지길 1, (단구동) 토지문학공원||사립|2010|
포남어울림작은도서관|||강원 강릉시 포남동 1005-367||공립|2009|
푸른초장 작은도서관|||강원도 원주시 갈머리1길 23 일산동||사립|2012|
하남옹달샘작은도서관|||강원 화천군 하남면 원천리 539-8||공립|2007|
하늘마루 작은도서관|||강원도 홍천군 남노일로 22||사립|2011|
하슬라작은도서관|||강원도 강릉시 율곡로 2974, (교동) 교2동 주민센터 2층||공립|2010|
한빛사랑문고|||강원 태백시 상장동 연립길 8||사립|2000|
함께하는누리 작은도서관|||강원도 횡성군 횡성읍 북천서로3번길 15 함께하는 누리||사립|2014|
해누리글터 작은도서관|||강원도 양양군 관아길 25-6||사립|2010|
햇살 도서관|||강원 태백시 소도동 버들치길 10||사립|2008|
햇살작은도서관|||강원도 원주시 호저면 칠봉로 6-6,  성공회원주교회 (햇살작은도서관)||사립|2007|
행복한 도서관|||강원 평창군 대관령면 대관령면 돌뱅이길 21||사립|2006|
행복한도서관|||강원 태백시 황지동 황지로 77-1||사립|2008|
화목작은도서관|||강원도 원주시 치악로 1871, (봉산동) 2층 원주화목교회||사립|2016|
횡성느티나무작은도서관|||강원도 횡성군 횡성읍 태기로 85,||공립|2009|
희망의문고|||강원 태백시 황연동 서황지로 2길 17||사립|2000|
희망찾는작은도서관|||강원도 원주시 원문로 178, (단계동) 4층||사립|2016|
(사)행복한아침독서 책마을도서관|||경기 파주시 교하읍 회동길 455-2||사립|2009|
1318하랑 작은도서관|||경기 성남시 수정구 태평동 수정로 131, 낙원상가 내||사립|2013|
153작은도서관|||경기도 연천군 청산면 궁평로 73,  청산교회||사립|2016|
7단지 숲속도서관|||경기도 고양시 일산동구 숲속마을1로 116(숲속마을7단지아파트) 관리사무소 2층||사립|2008|
BOOK소리작은도서관|||경기도 양주시 고덕로 159(양주덕계현진에버빌2단지아파트) 관리동||사립|2012|
Book Tree(북트리)|||경기도 고양시 일산동구 일산로394번길 19-17 19-17 1층||사립|2002|
HJ제니스작은도서관|||경기도 안산시 상록구 선암로 54, (본오동)||사립|2013|
Jump작은도서관|||경기도 부천시 오정구 소사로 855, (원종동, 세창짜임아파트) 상가 2층||사립|2015|
KCC스위첸아파트 작은도서관|||경기도 오산시 오산로 49-5(케이씨씨스위첸) 스위첸아파트||사립|2012|
LG신산본자이2차아파트문고|||경기도 군포시 고산로151번길 26-23, (당정동, 당정마을 엘지아파트)||사립|2004|
LH리더스하임 작은도서관|||경기도 평택시 비전3로 59, (비전동, 엘에이치리더스하임) LH리더스하임 작은도서관||사립|2015|
THE기쁜어린이도서관|||경기도 평택시 정암로 164, (이충동)  더기쁜문화센터 2층||사립|2004|
TS푸른솔작은도서관|||경기도 양주시 부흥로 2021-7(TS푸른솔1차아파트) 관리동 2층||사립|2002|
with you 작은도서관|||경기도 부천시 오정구 신흥로377번길 24, (내동) 3층||사립|2015|
가곡힘찬문고|||경기 남양주시 화도읍 비룡로 329 3층||사립|2009|
가능1동작은도서관|||경기도 의정부시 신촌로 35, (가능동)||공립|2000|
가능2동작은도서관|||경기도 의정부시 의정로88번길 9(가능2동주민센터) 가능2동작은도서관||공립|2000|
가능3동작은도서관|||경기 의정부시 가능동 호국로 1135번길 15||공립|2000|
가온누리 작은도서관|||경기도 김포시 북변중로25번길 5 북변동 4층||사립|2014|
가온누리 작은도서관|||경기 성남시 분당구 판교동 판교동 서판교로 147번지 원마을 11단지||사립|2010|
가온책마루작은도서관|||경기도 수원시 권선구 서수원로577번길 263 (금곡동, 가온마을 3단지) 커뮤니티센터||사립|2015|
가운휴먼시아5단지 도서관|||경기도 남양주시 가운로2길 111, (가운동, 남양주가운마을휴먼시아5단지) 503동 (3.4라인)1층||사립|2009|
가좌대우푸르지오|||경기도 고양시 일산서구 가좌3로 45(가좌마을2단지아파트) 가좌마을2단지아파트 관리사무소 2층||사립|2011|
갈담 작은도서관|||경기 화성시 봉담읍화성시 봉담읍 유리 120-5 호수빌딩 2층||사립|2013|
갈릴리 작은도서관|||경기도 고양시 일산서구 대화로156번길 30-15, (대화동) 대한예수교장로회갈릴리교회 2층||사립|2016|
갈보리 작은도서관|||경기도 성남시 분당구 이매로 132 갈보리교회 4층||사립|2014|
갈현동꿈나무문고|||경기도 과천시 별양로 12, (원문동, 래미안슈르아파트) 스포츠센터내||사립|1984|
감나무골작은도서관|||경기도 시흥시 목감초등길 45(목감 종합사회복지관) 목감종합사회복지관||공립|2008|
강변교회어린이도서관|||경기도 남양주시 와부읍 덕소로 230-19,  강변교회 1층||사립|2010|
강상작은도서관|||경기도 양평군 강상면 송학길 60,  2층||공립|2014|
강아지똥작은도서관|||경기도 고양시 일산서구 탄중로471번길 36(정원상가) 정원상가 1층||사립|2001|
강촌공원 5분걸음 예쁜도서관|||경기도 고양시 일산동구 강석로 132-1(강촌공원 5분걸음 예쁜도서관) 강촌공원내||공립|2012|
강하작은도서관|||경기도 양평군 강하면 운심길 47,  2층||공립|2009|
개척병영작은도서관|||경기 양주시 광적면 효촌리 555번지||사립|1998|
거북작은도서관|||경기도 파주시 거북뫼길 115 거북뫼길 115||사립|2003|
건영리버파크아파트문고|||경기도 남양주시 와부읍 덕소로 286-1, (건영리버파크아파트) 104동 102호||사립|2004|
건영캐스빌상앗대문고|||경기도 용인시 수지구 죽전로 267, (죽전동, 내대지마을건영캐스빌아파트) 관리동 1층||사립|2007|
검바위초작은도서관|||경기도 시흥시 수인로3247번길 59, (은행동) 229-3 검바위초등학교||공립|2012|
겨자씨 작은도서관|||경기 성남시 분당구 금곡동 금곡동 미금로 215번지 청솔마을 대원A내||사립|2011|
겨자씨작은도서관|||경기도 파주시 숲속노을로 271, (문발동) 303호||사립|2016|
격파병영작은도서관|||경기도 양주시 칠봉산로168번길 222||사립|2012|
경남꿈모아도서관|||경기도 용인시 기흥구 흥덕4로30번길 11, (영덕동, 흥덕마을13단지경남아너스빌아파트) 흥덕마을 13단지 경남아너스빌 관리동||사립|2010|
경남초록작은도서관|||경기도 용인시 기흥구 흥덕중앙로105번길 41, (영덕동, 흥덕마을11단지경남아너스빌아파트) 관리동 1층||사립|2010|
경서이웃사랑문고|||경기 부천시 오정구 고강본동 351번지||사립|2009|
경성큰마을 작은도서관|||경기 남양주시 화도읍 경성 큰마을 아파트 경춘로 1606||사립|2013|
고대산병영도서관|||경기 연천군  신서면 대광리 사서함 106-15||사립|2011|
고등동 새마을문고|||경기도 수원시 팔달구 고등로 37, (고등동) 주민센터2층||사립|1998|
고리울꿈터작은도서관|||경기 부천시 오정구 고강1동 290-2||공립|2005|
고양 작은도서관|||경기도 고양시 덕양구 혜음로 19-11 고양동 종합복지회관 1층||공립|2005|
고양 포돌이 안전작은도서관|||경기도 고양시 덕양구 화중로 12, (화정동) 고양경찰서 내 별관||공립|2015|
고양윤창 작은도서관|||경기도 고양시 덕양구 동헌로 398-17(윤창아파트) 고양윤창아파트 관리사무소 2층||공립|2011|
고인돌도서관|||경기도 오산시 여계산로 10(금암마을휴먼시아7단지아파트) 관리사무소||사립|2014|
고잔2동당곡작은도서관|||경기 안산시 단원구 예술대학로 76, 고잔2동주민센터 5층||공립|2013|
고현초도서관|||경기 오산시 남부대로 459||공립|2012|
곡선동 새마을문고|||경기도 수원시 권선구 동수원로146번길 174, (곡반정동) 곡반정동, 주민센터2층||사립|1998|
골드작은도서관|||경기도 시흥시 배곧4로 81-13, (정왕동, 시흥배곧신도시골드클래스) 관리동||사립|2016|
공감의뜰 작은도서관|||경기도 성남시 수정구 수정남로 10(제일프라자) 수정남로 10 제일프라자 2층||공립|2013|
공군 제8249부대작은도서관|||경기 군포시 속달동 병목안로 474||사립|2012|
공도새마을문고 청소년공부방|||경기 안성시 공도읍 승두길 46||사립|1996|
공부잘하는 독서학교|||경기 수원시 권선구 탑동 탑동로36번길 5-18, 권선중앙교회 1층||사립|2009|
관산 작은도서관|||경기도 고양시 덕양구 통일로 789(관산동주민센터) 관산동주민센터 2층||공립|2007|
관산주공아파트도서관|||경기도 고양시 덕양구 통일로802번길 69(주공그린빌아파트) 관산주공아파트 관리사무소 2층||사립|2012|
관양2동 주민센터|||경기 안양시 동안구 관양2동 관양로 215||공립|2013|
관인작은도서관|||경기 포천시 관인면 관인로10-11||공립|2006|
광교1동 새마을문고|||경기도 수원시 영통구 도청로89번길 20, (이의동) 주민센터1층||사립|2013|
광교2동 새마을문고|||경기도 수원시 영통구 법조로149번길 155, (하동) 주민센터2층||사립|2016|
광교60단지 글향기도서관|||경기도 수원시 영통구 센트럴타운로22번길 36(광교센트럴타운60단지) (이의동, 광교60단지아파트)||사립|2015|
광교마을45단지 꿈터도서관|||경기도 용인시 수지구 광교마을로 11, (상현동, 광교마을45단지) 커뮤니티센터||사립|2015|
광교해모로 숲속작은도서관|||경기도 수원시 영통구 광교로 286(광교 웰빙타운 LH 해모로) (이의동, 광교LH해모로아파트)||사립|2014|
광교호반 책마루도서관|||경기도 수원시 영통구 광교호수로152번길 80(광교호반마을21단지) (하동, 광교21단지)||사립|2014|
광교호반도서관|||경기도 수원시 영통구 광교호수공원로 45 (원천동, 광교 호반베르디움) 호반베르디움||사립|2015|
광남새마을금고 소하지점 작은도서관|||경기도 광명시 금하로 458(웅신아트) 207호||사립|2014|
광남새마을금고 작은도서관|||경기도 광명시 광명로831번길 5-1 2층 (광명동)||사립|2013|
광남작은도서관|||경기도 광주시 회안대로 350-17, (태전동) 광주시청소년수련관 1층||공립|2015|
광명6동 작은도서관|||경기도 광명시 광명로791번길 6(광명6동 주민센터)||사립|2010|
광명다문화 작은도서관|||경기도 광명시 디지털로 34, (철산동) 광명다문화센터 2층||사립|2016|
광명역세권4단지 작은도서관|||경기도 광명시 성채로 37(광명역세권휴먼시아) 근린생활시설||사립|2013|
광명옹달샘도서관|||경기도 광명시 오리로964번길 29-1(옹달샘도서관) 오리로 964번길 29-1 (광명동)||공립|2006|
광명한우리독서 작은도서관|||경기도 광명시 오리로 923-1 2층||사립|2007|
광민작은도서관|||경기 수원시 장안구 송죽동 만석로159번길 8||사립|2012|
광성꿈나무도서관|||경기 수원시 장안구 천천동 만석로19번길 41-9, 701호||사립|2012|
광성북카페|||경기도 고양시 일산서구 경의로 956(대한예수교장로회 거룩한빛광성교회) 광성교회 지하1층||사립|1998|
광탄작은도서관|||경기 파주시 광탄면 혜음로 1044(광탄면사무소2층)||공립|2010|
교문2동작은도서관|||경기 구리시 교문2동 장자대로34(교문동821)||공립|2008|
구래 작은도서관|||경기 김포시 구래동 김포한강9로115번길 25||공립|2013|
구름산햇빛 작은도서관|||경기도 광명시 소하로 38(휴먼시아) 소하휴먼시아2단지||사립|2014|
구름울|||경기도 안양시 동안구 경수대로868번길 39, (비산동)||사립|1992|
구리 한우리 독서문화원|||경기 구리시 인창동 672-2 세신인창종합상가 704호||사립|2004|
구미1동 작은도서관|||경기도 성남시 분당구 돌마로90번길 8, (구미동) 구미1동 주민센터 2층||공립|2010|
구세군다문화꿈꾸는작은도서관|||경기도 안산시 단원구 지곡로4길 23-1(대한구세군) 지하 1층||사립|2013|
구세군작은도서관|||경기도 여주시 도예로 39-11, (현암동)||사립|2003|
구세군포천교회작은도서관|||경기도 포천시 호국로1331번길 35 구세군포천교회||사립|2014|
구운동 새마을문고|||경기도 수원시 권선구 구운로47번길 57-33, (구운동) 구운동, 주민센터2층||사립|1994|
국군양주병원작은도서관|||경기 양주시 은현면 용암리461 양주국군병원||사립|2004|
군포경찰서작은도서관|||경기도 군포시 산본로 328(군포우체국) 324번길 16||사립|2012|
군포새마을문고|||경기도 군포시 산본천로 23, (산본동) 군포새마을회관||사립|2005|
굿모닝 작은도서관|||경기도 용인시 수지구 동천로 64, (동천동, 동천마을동문굿모닝힐5차아파트) 504동 주민공동시설1층||사립|2008|
궁내동작은도서관|||경기 군포시 고산로517번길 10||공립|2010|
궁의문 작은도서관|||경기도 남양주시 양진로1020번길 32(원일궁의문아파트) 101동 1701호||사립|2011|
권선1동 새마을문고|||경기도 수원시 권선구 경수대로352번길 29, (권선동) 주민센터2층||사립|1997|
권선2동 새마을문고|||경기도 수원시 권선구 권중로 85, (권선동) 권선2동주민센터 2층||사립|1998|
권율 작은도서관|||경기도 고양시 덕양구 화랑로 497 동산동 251-131번지 권율부대생활관 2층||사립|2014|
귀인동주민센타|||경기도 안양시 동안구 부림로 16(귀인동주민센터) 1층||공립|2001|
그라페작은도서관|||경기도 부천시 원미구 중동로161번길 40, (중동) 2층||사립|2015|
그루터기도서관|||경기도 용인시 기흥구 한보라2로 167, (공세동, 한보라마을휴먼시아9단지아파트) 관리동 2층||사립|2009|
그린빌 새마을작은도서관|||경기도 수원시 장안구 천천로21번길 33, (정자동, 청솔마을주공아파트) 관리동2층||사립|2004|
