INPUT|ID|BRANCH|OLDADDR|NEWADDR|TELL|CAT|XCORD|YCORD|URL|CAR_ENT|WALK_ENT|MENU|TIME
메가박스|20059825|메가박스 세종|세종특별자치시  조치원읍 교리 24-1|세종특별자치시  조치원읍 새내로 122 세종시네마|1544-0070|['문화,예술', '영화관']|127.2981563|36.6028694|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.2983931, 'y': 36.6026858}]|[{'rep': True, 'x': 127.297962, 'y': 36.6027839}]|None|None
메가박스|1156124530|메가박스 청주사창점|충청북도 청주시 서원구 사창동 488|충청북도 청주시 서원구 1순환로 682 메가박스 청주충북대점|1544-0070|['문화,예술', '영화관']|127.4603777|36.6326748|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.460422, 'y': 36.632363}]|[{'rep': True, 'x': 127.460263, 'y': 36.632773}]|None|None
메가박스|20698014|메가박스 제천|충청북도 제천시 남천동 1145|충청북도 제천시 의병대로8길 1|1544-0070|['문화,예술', '영화관']|128.2122915|37.1353071|https://www.megabox.co.kr/|[{'rep': True, 'x': 128.2120915, 'y': 37.1351333}]|[{'rep': True, 'x': 128.2121965, 'y': 37.1355121}]|None|None
메가박스|1086174575|메가박스 세종청사점|세종특별자치시 어진동 510|세종특별자치시 도움3로 19|1544-0070|['문화,예술', '영화관']|127.2580742|36.5028949|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.2584235, 'y': 36.5029849}, {'rep': False, 'x': 127.2570787, 'y': 36.5016275}]|[{'rep': True, 'x': 127.2576989, 'y': 36.5023177}, {'rep': False, 'x': 127.2576228, 'y': 36.5021878}]|None|None
메가박스|1014775067|메가박스 세종나성점|세종특별자치시 나성동 206|세종특별자치시 나성로 38|1544-0070|['문화,예술', '영화관']|127.2637561|36.4834850|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.264108, 'y': 36.483664}]|[{'rep': True, 'x': 127.264108, 'y': 36.483664}, {'rep': False, 'x': 127.263489, 'y': 36.48378}, {'rep': False, 'x': 127.263355, 'y': 36.483335}]|None|None
메가박스|13314342|메가박스 공주|충청남도 공주시 신관동 248-3|충청남도 공주시 흑수골길 12|1544-0070|['문화,예술', '영화관']|127.1388110|36.4735388|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.1388886, 'y': 36.4737765}]|[{'rep': True, 'x': 127.1388886, 'y': 36.4737765}]|None|None
메가박스|1006427765|메가박스 대전현대아울렛|대전광역시 유성구 용산동 579 현대아울렛 3~4층||1544-0070|['문화,예술', '영화관']|127.3988187|36.4234865|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.3962531, 'y': 36.4228053}, {'rep': False, 'x': 127.4002205, 'y': 36.4239044}]|None|None|None
메가박스|1049377446|메가박스 현대아울렛대전점|대전광역시 유성구 용산동 579 현대아울렛 3~4층|대전광역시 유성구 테크노중앙로 161|1544-0070|['문화,예술', '영화관']|127.3980582|36.4247423|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.3978074, 'y': 36.4251052}]|None|None|None
메가박스|1170742975|메가박스 대전신세계 아트앤사이언스|대전광역시 유성구 도룡동 3-1|대전광역시 유성구 엑스포로 1|1544-0070|['문화,예술', '영화관']|127.3820320|36.3751116|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.383092, 'y': 36.3743941}]|None|None|None
메가박스|11635520|메가박스 대전점|대전광역시 서구 탄방동 746 로데오타운 5층 메가박스 대전점|대전광역시 서구 문정로 77 로데오타운 5층 메가박스 대전점|1544-0070|['문화,예술', '영화관']|127.3879762|36.3472512|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.3880793, 'y': 36.3477639}]|[{'rep': True, 'x': 127.3878256, 'y': 36.3468737}, {'rep': False, 'x': 127.3880931, 'y': 36.3468728}]|None|None
메가박스|1096557997|메가박스 대전유성|대전광역시 유성구 봉명동 1016-7 도안센트럴프라자|대전광역시 유성구 계룡로132번길 10 도안센트럴프라자|1544-0070|['문화,예술', '영화관']|127.3444575|36.3520939|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.3443049, 'y': 36.3519751}]|[{'rep': True, 'x': 127.3447731, 'y': 36.3525258}, {'rep': False, 'x': 127.3447574, 'y': 36.3521928}]|None|None
메가박스|1498927482|메가박스 대전중앙로|대전광역시 중구 대흥동 205-1|대전광역시 중구 중앙로 126|1544-0070|['문화,예술', '영화관']|127.4241977|36.3276482|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.424073, 'y': 36.327404}]|[{'rep': True, 'x': 127.423985, 'y': 36.327851}, {'rep': False, 'x': 127.424326, 'y': 36.327712}]|None|None
메가박스|37162026|메가박스 문경|경상북도 문경시 모전동  859-2|경상북도 문경시 모전로 65|1544-0070|['문화,예술', '영화관']|128.1904356|36.5875451|https://www.megabox.co.kr/|[{'rep': True, 'x': 128.19005, 'y': 36.5869833}]|[{'rep': True, 'x': 128.1910875, 'y': 36.5873167}]|None|매일 09:00~23:00 주차이용가능시간
메가박스|13141953|메가박스 속초|강원도 속초시 조양동 1506-1|강원도 속초시 조양로142번길 20|1544-0070|['문화,예술', '영화관']|128.5858500|38.1892180|https://www.megabox.co.kr/|[{'rep': True, 'x': 128.5863411, 'y': 38.1890441}]|[{'rep': True, 'x': 128.585562, 'y': 38.1891315}]|None|None
메가박스|1956015576|메가박스 경북도청|경상북도 예천군 호명면 산합리 1430|경상북도 예천군 호명면 새움3로 70|1544-0070|['문화,예술', '영화관']|128.4929877|36.5752757|https://www.megabox.co.kr/|[{'rep': True, 'x': 128.493336, 'y': 36.575236}]|[{'rep': True, 'x': 128.493221, 'y': 36.575407}]|None|None
메가박스|37162753|메가박스 김천|경상북도 김천시 평화동 245-82|경상북도 김천시 김천로 74|1544-0070|['문화,예술', '영화관']|128.1106657|36.1254758|https://www.megabox.co.kr/|[{'rep': True, 'x': 128.1110569, 'y': 36.1253225}]|[{'rep': True, 'x': 128.110723, 'y': 36.125568}]|None|None
메가박스|13137429|메가박스 송천|전라북도 전주시 덕진구 송천동2가 661-10|전라북도 전주시 덕진구 동부대로 1215|1544-0070|['문화,예술', '영화관']|127.1136804|35.8695305|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.1133832, 'y': 35.8693738}]|[{'rep': True, 'x': 127.1136906, 'y': 35.8697214}]|None|None
메가박스|31427596|메가박스 구미강동|경상북도 구미시 진평동 1023-2|경상북도 구미시 인동가산로 14|1544-0070|['문화,예술', '영화관']|128.4179244|36.1072216|https://www.megabox.co.kr/|[{'rep': True, 'x': 128.4180382, 'y': 36.1074558}]|[{'rep': True, 'x': 128.4181828, 'y': 36.107287}]|None|None
메가박스|1684723347|메가박스 북대구점|대구광역시 북구 동천동 895-2|대구광역시 북구 동암로 100|1544-0070|['문화,예술', '영화관']|128.5617368|35.9440638|https://www.megabox.co.kr/|[{'rep': True, 'x': 128.5616098, 'y': 35.9439034}]|[{'rep': True, 'x': 128.5618593, 'y': 35.9442219}]|None|None
메가박스|1660910204|메가박스 대구이시아|대구광역시 동구 봉무동 1548|대구광역시 동구 팔공로49길 51|1544-0070|['문화,예술', '영화관']|128.6359096|35.9206687|https://www.megabox.co.kr/|[{'rep': True, 'x': 128.63626, 'y': 35.920975}]|[{'rep': True, 'x': 128.635482, 'y': 35.920815}, {'rep': False, 'x': 128.635478, 'y': 35.920566}, {'rep': False, 'x': 128.635883, 'y': 35.920983}]|None|None
메가박스|12172690|메가박스 대구칠성로점|대구광역시 북구 칠성동2가 20-1|대구광역시 북구 침산로 93 스펙트럼시티|1544-0070|['문화,예술', '영화관']|128.5894630|35.8853149|https://www.megabox.co.kr/|[{'rep': True, 'x': 128.5893408, 'y': 35.8857497}]|[{'rep': True, 'x': 128.590458, 'y': 35.8852}]|일반팝콘  R 4,500 | 카라멜팝콘  R 5,500 | 갈릭팝콘  R 5,500 | 치즈팝콘  R 5,500 | 반반팝콘  L 6,000|None
메가박스|435207955|메가박스 대구신세계|대구광역시 동구 신천동 1506|대구광역시 동구 동부로 149|1544-0070|['문화,예술', '영화관']|128.6288260|35.8775091|https://www.megabox.co.kr/|[{'rep': True, 'x': 128.6270317, 'y': 35.8778065}]|[{'rep': True, 'x': 128.6285919, 'y': 35.8772797}]|None|None
메가박스|37668849|메가박스 하양|경상북도 경산시 하양읍 금락리 607|경상북도 경산시 하양읍 대경로 765|1544-0070|['문화,예술', '영화관']|128.8234299|35.9136060|https://www.megabox.co.kr/|[{'rep': True, 'x': 128.823308, 'y': 35.913901}, {'rep': False, 'x': 128.823455, 'y': 35.913511}]|[{'rep': True, 'x': 128.823522, 'y': 35.913729}, {'rep': False, 'x': 128.823455, 'y': 35.913511}]|None|None
메가박스|21082480|메가박스 첨단|광주광역시 광산구 쌍암동 688-4|광주광역시 광산구 앰코로 35|1544-0070|['문화,예술', '영화관']|126.8523000|35.2212346|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.8521091, 'y': 35.2207038}]|[{'rep': True, 'x': 126.8524037, 'y': 35.2206997}]|팝콘 오리지널 5,000 | 팝콘 카라멜,어니언, 갈릭 6,000 | 섞어탱이 9,500 | 몸탱이/다리탱이 5,000 | 프레즐/핫도그 4,000|None
