##NAME|SUBNAME|TELNUM|ID|NEWADDR|ADDR|TYPE|ORGNAME|SOURCE2@@식신맛집
베이커리/카페/아오이하나|||480648|서울특별시 마포구 독막로7길 44 |서울특별시 마포구 서교동 404-31  |카페/디저트|베이커리 카페 아오이하나|식신
르브리에|||839204|서울 종로구 삼청로 75-8|서울특별시 종로구 팔판동 57|카페/디저트|르브리에|식신
로라|||1054835|서울 서대문구 증가로32길 23-8|서울특별시 서대문구 북가좌동 341-24|양식/레스토랑|로라|식신
카와카츠|||1090558|서울 마포구 동교로 126|서울특별시 마포구 서교동 465-1|일식/중식/세계음식|카와카츠|식신
열정도감자집|||437057|서울 용산구 백범로87길 53|서울특별시 용산구 원효로1가 44-22|나이트라이프|열정도감자집|식신
옛날통인감자탕|||630618|서울 종로구 자하문로11길 34|서울특별시 종로구 통인동 89-20|한식|옛날통인감자탕|식신
우리슈퍼|||481888|서울특별시 용산구 녹사평대로54길 7 |서울특별시 용산구 이태원동 704 |나이트라이프|우리슈퍼|식신
오스테리아/쟌니|||631138|서울 성동구 연무장길 109|서울특별시 성동구 성수동2가 275-88|양식/레스토랑|오스테리아 쟌니|식신
도하정|||997996|서울특별시 마포구 마포대로4길 38 |서울특별시 마포구 도화동 65|한식|도하정|식신
다케오/호르몬/테판야끼|||1068326|서울 중구 을지로12길 14|서울특별시 중구 을지로3가 322-1|일식/중식/세계음식|다케오 호르몬 테판야끼|식신
만포면옥본점|||1092484|서울 은평구 연서로 171|서울특별시 은평구 갈현동 463-1|한식|만포면옥본점|식신
길운구락부|||1102081|서울특별시 종로구 삼청로 119 용수산 |서울특별시 종로구 삼청동 118-3|일식/중식/세계음식|길운구락부|식신
신촌즉석생우동|||695277|서울특별시 마포구 대흥로 38 |서울특별시 마포구 대흥동 801-13  |한식|신촌즉석생우동|식신
까이식당|||789700|서울특별시 서대문구 이화여대2가길 24 |서울특별시 서대문구 대현동 53-10|일식/중식/세계음식|까이식당|식신
히츠지야|||825598|서울 마포구 독막로3길 21|서울특별시 마포구 서교동 395-36|고기/구이류|히츠지야|식신
호계식|||982155|서울특별시 마포구 동교로 40 |서울특별시 마포구 합정동 433-1|한식|호계식|식신
서교고메|||867155|서울 마포구 월드컵로14길 19|서울특별시 마포구 서교동 442-30|한식|서교고메|식신
또이또이베트남|||996567|서울특별시 용산구 이태원로 136-1 |서울특별시 용산구 이태원동 34-113|일식/중식/세계음식|또이또이베트남|식신
쿠시카츠쿠시엔|||419179|서울특별시 마포구 월드컵북로5나길 18 서교동 대우미래사랑 |서울특별시 마포구 서교동 487|나이트라이프|쿠시카츠쿠시엔|식신
박과장의조은회사|||866186|서울특별시 성동구 독서당로 312-1|서울특별시 성동구 금호동4가 506|한식|박과장의조은회사|식신
소담식당|||1069850|서울특별시 서대문구 연세로4길 21 |서울특별시 서대문구 창천동 13-83|일식/중식/세계음식|소담식당|식신
갤러리더스퀘어|||1112801|서울특별시 종로구 계동길 128|서울특별시 종로구 계동 3-2|카페/디저트|갤러리더스퀘어|식신
에스에프베이글|||481660|서울 마포구 동교로46길 29|서울특별시 마포구 연남동 385-1|카페/디저트|에스에프베이글|식신
창화당/한남동|||869766|서울 용산구 대사관로11길 57|서울특별시 용산구 한남동 684-65|한식|창화당 한남동|식신
낙원꽃분식|||1070827|서울 종로구 삼일대로26길 17-1|서울특별시 종로구 낙원동 80-1|한식|낙원꽃분식|식신
진바식당|||1063348|서울특별시 용산구 장문로 77|서울특별시 용산구 보광동 217-16|고기/구이류|진바식당|식신
방울과꼬막|||1081745|서울 용산구 대사관로30길 11-5|서울특별시 용산구 한남동 632-10|나이트라이프|방울과꼬막|식신
진진/야연|||996785|서울 마포구 월드컵북로1길 62|서울특별시 마포구 서교동 375-32    |일식/중식/세계음식|진진 야연|식신
무쇠막연탄구이|||401514|서울 성동구 금호로 47-1|서울특별시 성동구 금호동4가 118|고기/구이류|무쇠막연탄구이|식신
샐러드/브라더스|||863455|서울특별시 마포구 양화로21길 15 |서울특별시 마포구 동교동 154-5|일식/중식/세계음식|샐러드 브라더스|식신
시타마치텐동아키미츠|||1032578|서울 종로구 종로 51|서울특별시 종로구 공평동 70|일식/중식/세계음식|시타마치텐동아키미츠|식신
진진가연|||996788|서울 마포구 월드컵북로1길 60|서울특별시 마포구 서교동 375-35|일식/중식/세계음식|진진가연|식신
베어스덴베이커리|||967279|서울 마포구 양화로23길 10-9|서울특별시 마포구 동교동 147-59|카페/디저트|베어스덴베이커리|식신
미식가주택|||1092938|서울 마포구 와우산로 15-5|서울특별시 마포구 상수동 341-2|나이트라이프|미식가주택|식신
능동샐러드|||1132966|서울특별시 광진구 능동로13길 10-7 |서울특별시 광진구 화양동 3-61|일식/중식/세계음식|능동샐러드|식신
카페/할아버지공장|||1120376|서울 성동구 성수이로7가길 9|서울특별시 성동구 성수동2가 309-133|카페/디저트|카페 할아버지공장|식신
장원|||1076991|서울특별시 종로구 돈화문로 49 |서울특별시 종로구 묘동 164|고기/구이류|장원|식신
경일옥/핏제리아|||1079516|서울특별시 중구 을지로16길 2-1 |서울특별시 중구 을지로3가 282-7|양식/레스토랑|경일옥 핏제리아|식신
근처식당|||1039846|서울 성북구 회기로3길 2|서울특별시 성북구 종암동 28-26|일식/중식/세계음식|근처식당|식신
소바쿠|||792620|서울특별시 광진구 천호대로 650|서울특별시 광진구 능동 256-4|한식|소바쿠|식신
탭퍼블릭|||863660|서울 용산구 이태원로 244|서울특별시 용산구 한남동 683-141|나이트라이프|탭퍼블릭|식신
목포낙지마을|||996871|서울 종로구 지봉로 12|서울특별시 종로구 창신동 394-1|한식|목포낙지마을|식신
길라멘|||997431|서울특별시 마포구 토정로 39-3 |서울특별시 마포구 합정동 368-51|일식/중식/세계음식|길라멘|식신
After/Jerk/Off|||1118339|서울특별시 중구 수표로 42-21 |서울특별시 중구 저동2가 15|나이트라이프|After Jerk Off|식신
마우디|||1040092|서울특별시 서대문구 연희로11길 18 |서울특별시 서대문구 연희동 132-18|양식/레스토랑|마우디|식신
멘멘|||865545|서울 마포구 토정로 23-1|서울특별시 마포구 합정동 369-45|일식/중식/세계음식|멘멘|식신
원조함흥냉면|||1030244|서울특별시 종로구 창경궁로13길 16 |서울특별시 종로구 예지동 163    |한식|원조함흥냉면|식신
노가리슈퍼/익선점|||973243|서울 종로구 수표로28길 28|서울특별시 종로구 돈의동 30|나이트라이프|노가리슈퍼 익선점|식신
오복수산|||1077459|서울 마포구 성미산로 198|서울특별시 마포구 연남동 227-15|일식/중식/세계음식|오복수산|식신
석관시장떡볶이|||803766|서울 성북구 돌곶이로22가길 27|서울특별시 성북구 석관동 270-1|한식|석관시장떡볶이|식신
곳간|||997046|서울특별시 서대문구 성산로 317 |서울특별시 서대문구 연희동 420-1|카페/디저트|곳간|식신
마담티라미수|||1003333|서울특별시 마포구 양화로3길 55 |서울특별시 마포구 합정동 386-37|카페/디저트|마담티라미수|식신
펄쉘|||801480|서울 용산구 대사관로31길 16|서울특별시 용산구 한남동 657-97|나이트라이프|펄쉘|식신
홍방원|||483142|서울 도봉구 도봉로169나길 47|서울특별시 도봉구 도봉동 596-2|일식/중식/세계음식|홍방원|식신
담택|||1096906|서울 마포구 월드컵로8길 34|서울특별시 마포구 서교동 381-22|일식/중식/세계음식|담택|식신
맹그로브|||780366|서울특별시 마포구 마포대로12길 29 |서울특별시 마포구 공덕동 242-43|일식/중식/세계음식|맹그로브|식신
화담|||1119154|서울특별시 중구 을지로9길 14 삼원빌딩 |서울특별시 중구 수표동 56-11|나이트라이프|화담|식신
알고/탭하우스|||957779|서울 광진구 광나루로17길 10|서울특별시 광진구 군자동 373-8|나이트라이프|알고 탭하우스|식신
THE/Yang|||975573|서울 서대문구 연희맛로 36|서울특별시 서대문구 연희동 137-4|일식/중식/세계음식|THE Yang|식신
줄리아|||1098586|서울 중구 수표로 48-12|서울특별시 중구 을지로3가 344-19|일식/중식/세계음식|줄리아|식신
첩첩분식|||1102298|서울 용산구 이태원로17길 23-13|서울특별시 용산구 이태원동 164-2|한식|첩첩분식|식신
꾸잉|||1120337|서울특별시 용산구 이태원로 189 |서울특별시 용산구 이태원동 123-33   |일식/중식/세계음식|꾸잉|식신
살롱순라|||1039844|서울 종로구 율곡로10길 75|서울특별시 종로구 권농동 187-7|일식/중식/세계음식|살롱순라|식신
얼땅쟈|||1066537|서울 광진구 동일로18길 68|서울특별시 광진구 자양동 11-3|일식/중식/세계음식|얼땅쟈|식신
로야토야|||999190|서울 마포구 월드컵북로6길 57|서울특별시 마포구 연남동 568-30|일식/중식/세계음식|로야토야|식신
구움양과|||1100679|서울특별시 중구 을지로 157 대림상가 |서울특별시 중구 산림동 207-2|카페/디저트|구움양과|식신
도믹스|||1127696|서울 성동구 둘레9가길 9|서울특별시 성동구 성수동1가 355-3|한식|도믹스|식신
