##NAME|SUBNAME|TELNUM|ID|NEWADDR|TYPE|TYPE2|ORGNAME|SOURCE2@@레드테이블
젤렌(이태원점)|젤렌(이태원점)||8313|서울 용산구 이태원동 116-14|양식|유럽식|젤렌(이태원점)|레드테이블
호미빙(강남역점)|호미빙(강남역점)||43639|서울시 강남구 역삼동 815-7|카페|베이커리|호미빙(강남역점)|레드테이블
대도식당(왕십리본점)|대도식당(왕십리본점)||1098|서울 성동구 홍익동 431|한식|소고기구이|대도식당(왕십리본점)|레드테이블
비트윈(이태원점)|비트윈(이태원점)||1535|서울 용산구 이태원동 124-7|양식|이탈리아식|비트윈(이태원점)|레드테이블
북막골|북막골||980|서울 종로구 삼청로 124-6|한식|족발/보쌈|북막골|레드테이블
라이너스바베큐|라이너스바베큐||43631|서울시 용산구 이태원동 56-20|양식|스테이크/바비큐|라이너스바베큐|레드테이블
코코브루니(홍대점)|코코브루니(홍대점)||1839|서울 마포구 동교동 165-3|카페|커피전문점|코코브루니(홍대점)|레드테이블
요기(신촌점)|요기(신촌점)||15196|서울 서대문구 창천동 13 3|한식|면/만두|요기(신촌점)|레드테이블
진진바라(서울점)|진진바라(서울점)||1197|서울 용산구 동자동 12|한식|한정식|진진바라(서울점)|레드테이블
롤링핀|롤링핀||4026|서울 강남구 신사동 579|양식|아시아식|롤링핀|레드테이블
부첼라(본점)|부첼라(본점)||3103|서울 강남구 신사동 534-22|카페|샌드위치/토스트|부첼라(본점)|레드테이블
자연별곡(목동점)|자연별곡(목동점)||44905|서울시 양천구 목동 917-9|한식|한정식|자연별곡(목동점)|레드테이블
온더보더(타임스퀘어점)|온더보더(타임스퀘어점)||17446|서울 영등포구 영등포동4가 442 지하1층|양식|패밀리레스토랑|온더보더(타임스퀘어점)|레드테이블
동빙고|동빙고||1459|서울 용산구 이촌로 319|카페|아이스크림/빙수/버블티|동빙고|레드테이블
아비꼬(홍대점)|아비꼬(홍대점)||1826|서울 마포구 서교동 356-1|일식|카레/덮밥/도시락|아비꼬(홍대점)|레드테이블
에비슈라|에비슈라||6258|서울 강남구 신사동 611|양식|패밀리레스토랑|에비슈라|레드테이블
영동족발(양재본점)|영동족발(양재본점)||3711|서울 서초구 양재동 1-8|한식|족발/보쌈|영동족발(양재본점)|레드테이블
성북동누룽지백숙|성북동누룽지백숙||5842|서울 성북구 성북동 281-1|한식|삼계탕/백숙|성북동누룽지백숙|레드테이블
그릴타이|그릴타이||44562|서울시 성동구 행당동 168-1|양식|아시아식|그릴타이|레드테이블
은행골|은행골||17614|서울 관악구 신림동 1654-27|일식|스시/사시미|은행골|레드테이블
후쿠오카함바그(홍대직영점)|후쿠오카함바그(홍대직영점)||1825|서울 마포구 서교동 333-29|양식|스테이크/바비큐|후쿠오카함바그(홍대직영점)|레드테이블
순대실록|순대실록||68833|서울 종로구 동숭동 1-42|한식|양/대창/곱창,일반한식|순대실록|레드테이블
부야스곱창|부야스곱창||1801|서울 마포구 어울마당로 136-13 2층|한식|양/대창/곱창|부야스곱창|레드테이블
제일제면소|제일제면소||99714|서울시 영등포구 영등포동4가 442 5층|한식|면/만두|제일제면소|레드테이블
폴앤폴리나(홍대점)|폴앤폴리나(홍대점)||1832|서울 마포구 서교동 344-6|카페|베이커리|폴앤폴리나(홍대점)|레드테이블
그리다꿈|그리다꿈||50605|서울 마포구 서교동 358-42|카페|커피전문점|그리다꿈|레드테이블
봉추찜닭(홍대점)|봉추찜닭(홍대점)||9124|서울 마포구 서교동 361-9|한식|닭/오리|봉추찜닭(홍대점)|레드테이블
빅플라토|빅플라토||8545|서울시 강남구 역삼동 619-2|양식|이탈리아식|빅플라토|레드테이블
퍼블리크|퍼블리크||1822|서울 마포구 상수동 311-1|카페|베이커리|퍼블리크|레드테이블
서가앤쿡(서울종로점)|서가앤쿡(서울종로점)||44711|서울시 종로구 관철동 18-4|양식|이탈리아식|서가앤쿡(서울종로점)|레드테이블
기쿠|기쿠||1457|서울 용산구 이촌동 301-160|일식|스시/사시미|기쿠|레드테이블
계절밥상(올림픽공원점)|계절밥상(올림픽공원점)||45349|서울시 송파구 방이동 88|양식|양식뷔페|계절밥상(올림픽공원점)|레드테이블
모우모우|모우모우||26457|서울 용산구 이태원동 118-71|주점|치킨/호프|모우모우|레드테이블
골동면|골동면||5749|서울 종로구 동숭동 1-45|한식|면/만두|골동면|레드테이블
후게츠(홍대점)|후게츠(홍대점)||5716|서울 마포구 서교동 408-27|주점|이자카야|후게츠(홍대점)|레드테이블
교대곱창|교대곱창||2969|서울 서초구 서초3동 1578-3|한식|양/대창/곱창|교대곱창|레드테이블
자하손만두|자하손만두||931|서울 종로구 부암동 245-2|한식|면/만두|자하손만두|레드테이블
우래옥|우래옥||3701|서울 중구 주교동 118-1|한식|불고기|우래옥|레드테이블
로코스|로코스||43749|서울특별시 용산구 이태원동 273-11|주점|치킨/호프|로코스|레드테이블
마노핀(이태원점)|마노핀(이태원점)||44867|서울시 용산구 이태원동 112-5|카페|베이커리|마노핀(이태원점)|레드테이블
카페히비|카페히비||50617|서울 마포구 서교동 337-1|카페|커피전문점|카페히비|레드테이블
부야스곱창|부야스곱창||71115|서울시 마포구 서교동 410-7|한식|고기구이|부야스곱창|레드테이블
별다방미스리(인사동본점)|별다방미스리(인사동본점)||2349|서울 종로구 관훈동 144|카페|떡/전통차|별다방미스리(인사동본점)|레드테이블
수연산방|수연산방||16455|서울 성북구 성북동 248|카페|떡/전통차|수연산방|레드테이블
배터리파크(동대문디자인플라자점)|배터리파크(동대문디자인플라자점)||44191|서울특별시 중구 을지로 281 B2F|양식|이탈리아식|배터리파크(동대문디자인플라자점)|레드테이블
군산오징어(본점)|군산오징어(본점)||3667|서울 송파구 삼전동 130-14|한식|해산물|군산오징어(본점)|레드테이블
두루두루|두루두루||92388|서울시 서초구 서초동 1302-32|한식|고기구이|두루두루|레드테이블
누하의숲|누하의숲||1062|서울 종로구 필운대로 42|일식|스시/사시미|누하의숲|레드테이블
또보겠지떡볶이집|또보겠지떡볶이집||43620|서울 마포구 서교동 358-68|한식|분식|또보겠지떡볶이집|레드테이블
꽁시면관|꽁시면관||7977|서울 중구 충무로1가 22-13|중식|중식당|꽁시면관|레드테이블
아소산|아소산||3673|서울 강남구 역삼동 619-4|일식|라멘/우동/소바|아소산|레드테이블
바스티유|바스티유||43834|서울시 용산구 이태원1동 118-19|카페|베이커리|바스티유|레드테이블
태극당(장충점)|태극당(장충점)||1684|서울 중구 장충동2가 189-5|양식|아시아식|태극당(장충점)|레드테이블
토다이(명동점)|토다이(명동점)||835|서울 중구 명동2가 83-5|양식|양식뷔페|토다이(명동점)|레드테이블
에스프레소퍼블릭|에스프레소퍼블릭||42|서울 강남구 역삼동 618-16|카페|커피전문점|에스프레소퍼블릭|레드테이블
오시정(가로수길점)|오시정(가로수길점)||3094|서울 강남구 신사동 525-11|카페|커피전문점|오시정(가로수길점)|레드테이블
아오이토리|아오이토리||44022|서울시 마포구 서교동 327-17|카페|베이커리|아오이토리|레드테이블
도쿄스테이크|도쿄스테이크||129|서울 광진구 화양동 11-32|양식|스테이크/바비큐|도쿄스테이크|레드테이블
평양면옥(본점)|평양면옥(본점)||1686|서울 중구 장충동 26-14|한식|냉면/막국수/밀면|평양면옥(본점)|레드테이블
동해도(테헤란점)|동해도(테헤란점)||56|서울 강남구 역삼동 649-14|일식|스시/사시미|동해도(테헤란점)|레드테이블
일일향|일일향||8014|서울 강남구 신사동 601-3|중식|중식당|일일향|레드테이블
마시찜(가로수길점)|마시찜(가로수길점)||44559|서울시 강남구 신사동 541-14|한식|갈비|마시찜(가로수길점)|레드테이블
산더미불고기|산더미불고기||15777|서울 마포구 서교동 403-16|한식|불고기|산더미불고기|레드테이블
데미타스|데미타스||16488|서울 종로구 부암동 254-5|카페|커피전문점|데미타스|레드테이블
고우|고우||70445|서울시 용산구 이태원동 119-17 지층|주점|이자카야|고우|레드테이블
돈사돈|돈사돈||45065|서울 마포구 합정동 426-5|한식|삼겹살/돼지구이|돈사돈|레드테이블
신토불이떡볶이|신토불이떡볶이||44054|서울 광진구 구의동 52-17|한식|분식|신토불이떡볶이|레드테이블
뱃고동(압구정본점)|뱃고동(압구정본점)||44030|서울시 강남구 신사동 663|한식|해산물|뱃고동(압구정본점)|레드테이블
마농트로포|마농트로포||1521|서울시 용산구 한남동 32-22|카페|커피전문점|마농트로포|레드테이블
마망갸또|마망갸또||43764|서울특별시 강남구 역삼동 812-8|카페|베이커리|마망갸또|레드테이블
비너스키친|비너스키친||1739|서울 마포구 서교동 358-50|일식|돈까스|비너스키친|레드테이블
기다스시(가로수길점)|기다스시(가로수길점)||43771|서울시 강남구 신사동 524-25|일식|스시/사시미|기다스시(가로수길점)|레드테이블
트로이카|트로이카||46022|서울 용산구 이태원동 119-29|양식|유럽식|트로이카|레드테이블
베러댄비프|베러댄비프||43650|서울시 강남구 신사동 515-6|한식,주점|삼겹살/돼지구이,전통주점|베러댄비프|레드테이블
동아냉면|동아냉면||1543|서울 용산구 보광동 265-576|한식|냉면/막국수/밀면|동아냉면|레드테이블
바토스(가로수길점)|바토스(가로수길점)||3848|서울시 강남구 신사동 532-11|주점|일반주점|바토스(가로수길점)|레드테이블
리김밥|리김밥||4039|서울시 강남구 신사동 610|한식|분식|리김밥|레드테이블
엉클스|엉클스||71459|서울시 마포구 서교동 345-6|한식|한식기타|엉클스|레드테이블
김덕후의곱창조|김덕후의곱창조||43634|서울시 마포구 상수동 92-2|한식|양/대창/곱창|김덕후의곱창조|레드테이블
치카리셔스|치카리셔스||17345|서울 마포구 상수동 313-3|카페|커피전문점|치카리셔스|레드테이블
누보|누보||72507|서울시 마포구 서교동 330-21|카페|카페,베이커리|누보|레드테이블
보나베띠(여의도점)|보나베띠(여의도점)||4484|서울 영등포구 여의도동 16-2|양식|이탈리아식|보나베띠(여의도점)|레드테이블
호호미욜|호호미욜||1737|서울 마포구 상수동 93-44|카페|커피전문점|호호미욜|레드테이블
훌리오(강남역점)|훌리오(강남역점)||8343|서울시 강남구 역삼동 619-1|주점|일반주점|훌리오(강남역점)|레드테이블
블룸앤구떼|블룸앤구떼||3146|서울 강남구 신사동 545-24|카페|베이커리|블룸앤구떼|레드테이블
핏제리아오|핏제리아오||43626|서울시 종로구 동숭동 31-19|양식|이탈리아식|핏제리아오|레드테이블
피자그라피|피자그라피||43652|서울시 마포구 서교동 395-106|양식|이탈리아식|피자그라피|레드테이블
더블트러블|더블트러블||43625|서울시 강남구 역삼동 618-3 지하1층|양식|햄버거|더블트러블|레드테이블
일호식(한남점)|일호식(한남점)||1478|서울시 용산구 한남동 68-4|한식|한정식|일호식(한남점)|레드테이블
진진바라(여의도점)|진진바라(여의도점)||5460|서울 영등포구 여의도동 45-3 NH농협캐피탈빌딩(구 유도회관) B1,B2|한식|한정식|진진바라(여의도점)|레드테이블
영빈루|영빈루||1763|서울 마포구 서교동 364-42 2층|중식|중식당|영빈루|레드테이블
바다식당|바다식당||1531|서울 용산구 한남동 743-7|한식|부대찌개|바다식당|레드테이블
우노(강남삼성타운점)|우노(강남삼성타운점)||43785|서울 서초구 서초동 1327-1|양식|햄버거|우노(강남삼성타운점)|레드테이블
빙수로|빙수로||1760|서울 마포구 홍익로 10 서교푸르지오상가 109호|카페|아이스크림/빙수/버블티|빙수로|레드테이블
노리타(홍대점)|노리타(홍대점)||8495|서울 마포구 서교동 486|양식|이탈리아식|노리타(홍대점)|레드테이블
무스토이|무스토이||72136|서울시 마포구 서교동 344-6|카페|테마카페,카페,베이커리|무스토이|레드테이블
