##NAME|SUBNAME|TELNUM|NEWADDR|FEAT|XCOORD|YCOORD@@세븐일레븐
세븐일레븐|중구초동점||서울특별시 중구 마른내로 41 (초동)|카페;의약품;토토;예약주문;무인택배접수;ATM;국제 특송 서비스;스마트픽|126.99249343|37.564582414
세븐일레븐|중구황학동점||서울특별시 중구 마장로 89  1층(황학동)|24시간;카페;의약품;예약주문;국제 특송 서비스;스마트픽|127.01981332|37.568487708
세븐일레븐|중구ENA센터점||서울특별시 중구 서소문로 120, B 1층 B12호(서소문동)|카페;무인택배접수;국제 특송 서비스;스마트픽|126.97466021|37.562950932
세븐일레븐|중국대사관점||서울특별시 중구 명동2가 남대문로 68 1층 2층|24시간;카페;치킨;군고구마;베이커리;의약품;예약주문;무인택배접수;ATM;국제 특송 서비스;스마트픽|126.98226618|37.563110895
세븐일레븐|중림종로학사점||서울특별시 중구 청파로 439  1층|24시간;카페;의약품;시디|126.9688624|37.558693236
세븐일레븐|청계을지로3가점||서울특별시 중구 수표로 65 (수표동)|24시간;카페;치킨;의약품;예약주문;국제 특송 서비스;스마트픽|126.98940986|37.567072531
세븐일레븐|청계퍼시픽점||서울특별시 중구 청계천로 8 프리미어플레이스빌딩 1층(무교동)|24시간;카페;치킨;의약품;예약주문|126.97822155181746|37.56882613653158
세븐일레븐|청구점||서울특별시 중구 다산로29길 14  1층(신당동)|24시간;카페;의약품;토토;시디|127.01323775927098|37.56111847979138
세븐일레븐|충무로최고점||서울특별시 중구 퇴계로27길 35  1층 1호(충무로3가)|카페;의약품;예약주문;ATM;국제 특송 서비스;스마트픽|126.99123047|37.562751502
세븐일레븐|충무퇴계점||서울특별시 중구 퇴계로 209  1층 전체(충무로4가)|24시간;카페;의약품;ATM;국제 특송 서비스;스마트픽|126.99507429|37.561656113
세븐일레븐|충무필동점||서울특별시 중구 필동로 5|24시간;카페;의약품;토토;예약주문;ATM|126.99625142|37.561032667
세븐일레븐|충정로2호점||서울특별시 중구 중림로 10 삼성사이버빌리지|24시간;카페;의약품;토토;예약주문;시디|126.96542118|37.558761655
세븐일레븐|태평로점||서울특별시 중구 남대문로 112  1층(남대문로 1가)|24시간;카페;의약품;토토;예약주문;ATM;국제 특송 서비스;스마트픽|126.98301681|37.5671763
세븐일레븐|퇴계로5가점||서울특별시 중구 퇴계로 272, 1층||127.001952432432|37.5628056011862
세븐일레븐|특판본부점||서울특별시 중구 청계천로 100 5층, 4층일부(수표동, 시그니쳐타워)||126.97620066|37.559372493
세븐일레븐|티마크호텔명동점||서울특별시 중구 퇴계로 52 (회현동1가)|24시간;카페;의약품|126.97854601|37.558417886
