##NAME|SUBNAME|NEWADDR|FEAT|SHOPCODE|X|Y@@GS25
GS25|담양센터점|전남 담양군 담양읍 중앙로61 (천변리 34-1)|cafe25;instant;drug;post;withdrawal;smart_atm|VS519|35.31869918|126.98260797
GS25|담양중앙점|전남 담양군 담양읍 지침6길19(지침리 114-3)|cafe25;drug;post;withdrawal;smart_atm|VU103|35.31552071|126.98515513
GS25|답십리도서관점|서울 동대문구 답십리로38길25 (답십리동 470-3)|cafe25;instant;drug;post;withdrawal|VR995|37.5731795|127.04984324
GS25|답십리동아점|서울 동대문구 답십리로60길134, 상가동 103호 (답십리동 10-3, 동아아파트상가)|cafe25;drug;post;withdrawal|VY314|37.56769701|127.06171946
GS25|답십리두산점|서울 동대문구 답십리동178 외답십리16구역래미안위브단지내상가제2블럭5호|cafe25;drug;post;battery|VI200|37.57062238|127.05456231
GS25|답십리래미안점|서울 동대문구 답십리로130 (답십리1동 178, 답십리래미안위브아파트상가2블럭4-1호)|cafe25;drug;post;battery;withdrawal|VW959|37.57124416|127.05344506
GS25|답십리사거리점|서울 동대문구 천호대로313, 101호 (답십리동 492-1, 태영빌딩)|drug;post|VU854|37.56541119|127.05529603
GS25|답십리삼성점|서울 동대문구 한천로165, 1층 (답십리동 1-52)|drug;post|V2U76|37.57572399|127.067234
GS25|답십리역점|서울 동대문구 답십리1동530-12번지 상가 14호|lotto;cafe25;drug;post|VQ847|37.56755735|127.053254
GS25|답십리우성점|서울 동대문구 답십리로57길53, 상가동 101호 (답십리동 80-1, 답십리청솔우성아파트상가)|cafe25;instant;drug;post;withdrawal|VQ945|37.57511667|127.06109429
GS25|답십리위브점|서울 동대문구 사가정로2길56, 102호 (답십리1동 322-15, 답십리근린생활시설)|drug;post|VI347|37.56976897|127.05263736
GS25|답십리중앙점|서울 동대문구 천호대로265, 1층 (답십리1동 496-1)|cafe25;instant;drug;post;withdrawal;self_cook|VM007|37.56830798|127.05135407
GS25|답십리청마루점|서울 동대문구 답십리로59길6, 외1필지 (답십리동 2-148)|cafe25;instant;drug;post;withdrawal;jella_soft;self_cook|VO651|37.57300984|127.06584145
GS25|답십리타운점|서울 동대문구 전농로53, 1층 (답십리동 260-1)|instant;drug;post|VQ475|37.5697489|127.05688266
GS25|답십리한신점|서울 동대문구 한천로17길23, 1층(답십리2동 4-73)|instant;drug;post;battery;withdrawal|V2G66|37.56990407|127.06278983
