##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|CODE|XCOORD|YCOORD@@SC제일은행
SC제일은행|남원지원출장소||전라북도 남원시 동충동 141|전라북도 남원시 용성로 59 (동충동 141)|2668|587011|531600
SC제일은행|목포지점||전라남도 목포시 상동 868-2|전라남도 목포시 옥암로 83 (상동 868-2)|3824|368881|364464
SC제일은행|순천지점||전라남도 순천시 장천동 56-9|전라남도 순천시 장명로 17 (장천동 56-9)|2682|610964|404460
SC제일은행|여천지점||전라남도 여수시 학동 85-23|전라남도 여수시 망마로 40 (학동 85-23)|2683|652686|351506
SC제일은행|익산지점||전라북도 익산시 중앙동1가 54|전라북도 익산시 중앙로1길 12 (중앙동1가 54)|2667|488451|678533
SC제일은행|전주지점||전라북도 전주시 완산구 서신동 970-1|전라북도 전주시 완산구 온고을로 28 (서신동 970-1)|2665|527066|649079
SC제일은행|전주지방법원출장소||전라북도 전주시 덕진구 덕진동1가 1416-1|전라북도 전주시 덕진구 사평로 25 (덕진동1가 1416-1)|2672|527149|650960
SC제일은행|정읍지원출장소||전라북도 정읍시 수성동 990-5|전라북도 정읍시 수성6로 29번 (수성동 990-5)|2671|468472|580276
SC제일은행|제주지점||제주도 제주시 일도1동 1476-11|제주도 제주시 관덕로 67 (일도1동 1476-11)|2707|390061|5689
SC제일은행|제주지방법원출장소||제주도 제주시 이도2동 950-1|제주도 제주시 남광북5길 3 (이도2동 950-1)|2708|392153|241
SC제일은행|공주지점||충청남도 공주시 산성동 175-5|충청남도 공주시 웅진로 207 (산성동 175-5)|2651|527953|822450
SC제일은행|공주지원출장소||충청남도 공주시 금흥동 610-1|충청남도 공주시 한적2길 34-15 (금흥동 610-1)|2650|526875|819312
SC제일은행|두정동지점||충청남도 천안시 두정동 698|충청남도 천안시 두정로 146 (두정동 698)|3834|529743|926426
SC제일은행|천안지점||충청남도 천안시 신부동 770|충청남도 천안시 터미널2로 16 (신부동 770)|2654|535312|922760
SC제일은행|청주지점||충청북도 청주시 상당구 북문로1가 165-2|충청북도 청주시 상당구 상당로81번길 26 (북문로1가 165-2)|2641|609267|871762
SC제일은행|청주터미널지점||충청북도 청주시 흥덕구 가경동 1416-2|충청북도 청주시 흥덕구 풍산로 15 (가경동 1416-2)|2642|596688|869053
SC제일은행|충주지점||충청북도 충주시 문화동 1018|충청북도 충주시 사직산19길 26 (문화동 1018)|2643|705780|965950
SC제일은행|홍성지점||충청남도 홍성군 홍성읍 오관리 188-1|충청남도 홍성군 조양로 135 (홍성읍 오관리 188-1)|2652|424981|862242
SC제일은행|홍성지원출장소||충청남도 홍성군 홍성읍 월산리 848|충청남도 홍성군 법원로 38 (홍성읍 월산리 848)|2657|421337|861880
