TYPE|TEXT|NID|LCODE|COMPLETE_DATE|LIMIT_DATE|RESULT|REQUEST_DATE|REVIEW_DATE|HEIGHT_LIMIT|WEIGHT_LIMIT|ROAD_WORK|TIME_ID|POI_CAT|POI_DATE|NET_CAT|NET_DATE|MAP_CAT|MAP_DATE|DATA_CHECK|SERVICE_CHECK|URL|CREATE_DATE|UPDATE_DATE|DEL_FLAG|CMMS_UPDATE_DATE
아파트|경남고성실버주택 - 2021.01 입주 예정|11286|313 254 5818|2020-11-01|2020-10-27|완료|2021-01-25|2020-12-01|||||완료||예정| |완료| |Yes|Yes|https://blog.naver.com/happyhouse2u/221736113161|2020-04-22|2021-01-20|0|2021-12-23 09:08:50.537148|POLYGON ((1074307.26144202 1665078.77128567, 1074299.26144202 1665079.02128567, 1074297.51144202 1665022.77128567, 1074361.01144202 1665027.52128567, 1074360.76144202 1665080.77128567, 1074307.26144202 1665078.77128567))
아파트|고덕강일리버스트 8단지 - 2021.02 입주예정|11311|593 433 3525|2020-11-01|2020-10-27|완료|2021-01-18|2021-01-18|||||완료||완료| |완료| |Yes|Yes|https://www.i-sh.co.kr/main/upload/bbs/GS0401/html/20200601054159446_1555752be3ea4146b7e4c97abfdc8779.htm|2020-04-24|2021-01-25|0|2021-12-23 09:08:50.537148|POLYGON ((971254.004685857 1952544.173823, 971298.504685857 1952411.423823, 971554.254685857 1952512.423823, 971513.004685857 1952628.923823, 971254.004685857 1952544.173823))
시설|대전 유성구 보건소 2020년 11월 예정|7301|461 893 5170|2020-11-23|2020-11-03|완료|2021-02-08|2020-12-08|||||완료||완료| |구축요청| |Yes|Yes|http://m.joongdo.co.kr/view.php?key=20200921010006520|2019-05-03|2021-01-22|0|2021-12-23 09:08:50.537148|POLYGON ((984572.196174556 1817423.91278281, 984559.696174556 1817347.16278281, 984691.446174556 1817387.91278281, 984572.196174556 1817423.91278281))
도로 : 일반도로|고성군 신월ic-월평교 도로공사 2020-12-00|2907|311 154 6080|2020-12-01|2020-11-01|완료|2021-01-04|2021-01-06|||||||구축요청||||||http://news.joins.com/article/22776593|2018-07-06|2021-01-11|0|2021-12-23 09:08:50.537148|POLYGON ((1076533.99524331 1663073.86765779, 1076502.69 1663053.07, 1076648.99524331 1662915.86765779, 1076708.99524331 1662835.86765779, 1076824.99524331 1662705.86765779, 1076884.99524331 1662599.86765779, 1076963.99524331 1662428.86765779, 1076995.99524331 1662319.86765779, 1077012.99524331 1662190.86765779, 1077038.99524331 1662051.86765779, 1077069.99524331 1662052.86765779, 1077032.99524331 1662322.86765779, 1076985.99524331 1662455.86765779, 1076887.99524331 1662651.86765779, 1076813.99524331 1662773.86765779, 1076755.99524331 1662845.86765779, 1076639.99524331 1662967.86765779, 1076533.99524331 1663073.86765779))
아파트|인천송림파인앤유-2020년12월예정|7796|583 252 7852|2020-12-01|2020-11-10|완료|2021-04-05|2021-02-02|||||완료||완료| |완료| |Yes|Yes|https://blog.naver.com/taehoomom0430/221282126998|2019-05-24|2021-02-15|0|2021-12-23 09:08:50.537148|POLYGON ((924837.536759353 1942337.57115597, 924844.638275504 1942311.87043085, 925013.045658497 1942373.07873672, 925002.224300553 1942398.4412944, 924837.536759353 1942337.57115597))
아파트|강동리엔파크 11단지 - 2021.02월 말 입주 예정|11893|591 583 3576|2020-12-01|2020-11-10|완료|2021-02-15|2021-02-17|||||완료||완료| |완료| |Yes|Yes|https://blog.naver.com/coolzet/221974328560|2020-06-25|2021-03-02|0|2021-12-23 09:08:50.537148|POLYGON ((971852.371908691 1950478.59332799, 971861.711976273 1950606.9899489, 971749.711976273 1950616.9899489, 971773.371908691 1950481.59332799, 971852.371908691 1950478.59332799))
시설|영주동 거점 주차장 2020년 12월 완공 예정|3774|512 554 9139|2020-12-01|2020-11-01|완료|2021-01-11|2020-12-14|||||구축요청||구축요청||구축요청||||http://blog.daum.net/jinhan/7862590|2018-10-05|2021-01-07|0|2021-12-23 09:08:50.537148|POLYGON ((1100048.52 1870005.58, 1100012.27 1869993.08, 1100025.02 1869962.58, 1100064.52 1869978.08, 1100048.52 1870005.58))
아파트|목포산정대광로제비앙아파트-2021년 3월 입주 예정|8258|294 612 4953|2020-12-01|2020-11-10|완료|2021-03-29|2021-03-30|||||완료||완료|2020-09-07|완료| |Yes|Yes|https://modo-phinf.pstatic.net/20180302_145/1519967057805GOFCP_JPEG/mosa3pCe30.jpeg?type=w720|2019-07-09|2021-04-05|0|2021-12-23 09:08:50.537148|POLYGON ((897702.894581974 1646324.2799366, 897744.256920519 1646036.76124184, 897890.033942953 1646109.90196244, 897780.575071437 1646322.76668031, 897702.894581974 1646324.2799366))
시설|세종벤처밸리 일반산업단지 2020-12-00|9111|493 513 4547|2020-12-01|2020-11-01|완료|2023-03-13|2020-06-29|0.0|0.0|확포장||구축요청||구축요청||구축요청||||https://ilis.kr/web/il/ILCplxQry.jsp?j_usage_menu=M_ILIS_02_02_01&q_danji_cd=236140&q_pageNo=|2019-09-23|2021-11-24|0|2021-12-23 09:08:50.537148|POLYGON ((979701.965113901 1849921.74987704, 978459.965113901 1849883.74987704, 978587.965113901 1848919.74987704, 980129.965113901 1849139.74987704, 979701.965113901 1849921.74987704))
아파트|광산쌍용예가플래티넘 2021.01 입주 예정|4103|332 942 9620|2020-12-01|2020-11-10|완료|2021-01-25|2021-01-27|||||완료||완료| |완료| |Yes|Yes|https://blog.naver.com/br1905/221989980525|2018-11-05|2021-02-01|0|2021-12-23 09:08:50.537148|POLYGON ((937368.913400572 1685288.64157481, 937369.913400572 1685115.64157481, 937654.413400572 1685079.14157481, 937678.145303558 1685278.92840017, 937368.913400572 1685288.64157481))
아파트|비스타동원2차 2020년 12월 예정|5288|344 765 5720|2020-12-01|2020-11-10|완료|2021-01-04|2021-01-05|||||완료||완료| |완료| |Yes|Yes|https://blog.naver.com/nakyung2005/221777482153|2019-02-01|2021-01-11|0|2021-12-23 09:08:50.537148|POLYGON ((1157295.010383 1698396.194805, 1157579.010383 1698298.194805, 1157597.010383 1698440.194805, 1157421.010383 1698718.194805, 1157295.010383 1698396.194805))
아파트|동래롯데캐슬퀸-2020년12월 예정|8265|337 785 4078|2020-12-01|2020-11-10|완료|2021-01-25|2021-01-27|||||완료||완료| |완료| |Yes|Yes|https://www.lottecastle.co.kr/apt/arrange/arrangeView.do?aptCd=AT00226&aptMenuCd=AM0017|2019-07-09|2021-02-01|0|2021-12-23 09:08:50.537148|POLYGON ((1143717.75583826 1691136.08514748, 1143721.49482523 1691015.01318851, 1143738.94343108 1691007.00107358, 1143756.39203693 1691062.19564311, 1143745.35312303 1691136.79733548, 1143717.75583826 1691136.08514748))
아파트|광양읍 공공실버주택 - 2021.02 예정|11287|313 303 7969|2020-12-01|2020-11-10|완료|2021-01-18|2021-01-19|||||완료||완료| |완료| |Yes|Yes|https://www.nocutnews.co.kr/news/5195782|2020-04-22|2021-01-25|0|2021-12-23 09:08:50.537148|POLYGON ((1007964.02123671 1664822.25355459, 1007967.27123671 1664785.25355459, 1008018.27123671 1664787.25355459, 1008014.52123671 1664822.50355459, 1007964.02123671 1664822.25355459))
아파트|신안동 국제미소래 3차 주상복합 아파트 2021-02-00|3452|333 313 0622|2020-12-01|2020-11-10|완료|2021-01-18|2021-01-19|||||완료||완료| |완료| |Yes|Yes|https://blog.naver.com/kes286/221830711265|2018-09-04|2021-01-25|0|2021-12-23 09:08:50.537148|POLYGON ((946028.20706 1685523.71539, 945966.7 1685476.635, 946025.075 1685452.385, 946035.95706 1685479.46539, 946043.95706 1685503.71539, 946028.20706 1685523.71539))
시설|삼정아트테라스정동-2020년12월예정|8282|592 523 1317|2020-12-01|2020-11-01|완료|2021-01-18|2021-01-20|||||구축요청||구축요청||구축요청||||http://xn--2q1bz2e7wk21b71eusfda389pu5c.com/sub/sub3_1.php|2019-07-09|2021-01-25|0|2021-12-23 09:08:50.537148|POLYGON ((953333.013539971 1951683.85937275, 953342.013539971 1951648.98437275, 953400.638539971 1951662.23437275, 953392.138539971 1951692.35937275, 953333.013539971 1951683.85937275))
도로 : 일반도로|국도 47호선 진접-내촌간 도로 1공구 2020-12-07|2605|611 083 3804|2020-12-07|2020-11-24|완료|2021-10-04|2021-01-05|||||구축요청||완료|2020-06-02|구축요청| |Yes|Yes|https://www.calspia.go.kr/portal/stat/selectMolitRoadProjStatView.do?siteNo=C2013940|2018-06-15|2021-09-30|0|2021-12-23 09:08:50.537148|POLYGON ((973970.451104 1971201.268424, 974274.451104 1971473.268424, 974514.451104 1971625.268424, 974802.451104 1972009.268424, 974818.451104 1972129.268424, 974994.451104 1972521.268424, 975178.451104 1972833.268424, 975082.451104 1972929.268424, 974914.451104 1972737.268424, 974754.451104 1972513.268424, 974674.451104 1972161.268424, 974530.451104 1971913.268424, 974266.451104 1971753.268424, 974034.451104 1971505.268424, 973882.451104 1971249.268424, 973738.451104 1971001.268424, 973586.451104 1970681.268424, 973402.451104 1970177.268424, 973266.451104 1969721.268424, 973162.451104 1969505.268424, 972914.451104 1969233.268424, 972634.451104 1968905.268424, 972434.451104 1968713.268424, 972346.451104 1968513.268424, 972250.451104 1968385.268424, 972122.451104 1968297.268424, 971914.451104 1968249.268424, 971986.451104 1968021.268424, 972190.451104 1968193.268424, 972438.451104 1968445.268424, 972562.451104 1968681.268424, 972818.451104 1968957.268424, 973134.451104 1969265.268424, 973338.451104 1969489.268424, 973458.451104 1969905.268424, 973638.451104 1970441.268424, 973790.451104 1970781.268424, 973970.451104 1971201.268424))
도로 : 일반도로|진접-내촌 2공구 2020-12-31|5377|615 463 4079|2020-12-07|2020-11-24|완료|2021-01-04|2021-01-06|||||구축요청||완료|2020-06-02|구축요청| |Yes|Yes|https://www.calspia.go.kr/portal/stat/selectMolitRoadProjStatView.do?siteNo=C2014003|2019-02-11|2021-01-11|0|2021-12-23 09:08:50.537148|POLYGON ((975646.515534 1976317.863488, 975658.506233325 1976138.87119132, 975758.506233325 1975838.87119132, 975846.515534 1975637.863488, 975974.515534 1974693.863488, 975494.515534 1973541.863488, 974950.515534 1972805.863488, 974646.515534 1972205.863488, 974846.515534 1972165.863488, 975126.515534 1972781.863488, 975494.515534 1973301.863488, 975742.515534 1973597.863488, 975926.515534 1973989.863488, 976150.515534 1974725.863488, 975990.515534 1975677.863488, 975794.506233325 1976074.87119132, 975726.515534 1976429.863488, 975646.515534 1976317.863488))
시설|화성시청 정문 수소충전소 2021년 5월 예정|8644|553 042 9787|2020-12-08|2020-12-08|완료|2021-05-10|2021-05-10|||||완료||해당없음| |구축요청| |Yes|Yes|https://www.yna.co.kr/view/AKR20190805142300061|2019-08-09|2021-05-17|0|2021-12-23 09:08:50.537148|POLYGON ((940483.058302544 1911180.1500765, 940557.308302544 1911153.4000765, 940593.308302544 1911210.6500765, 940543.558302544 1911246.9000765, 940483.058302544 1911180.1500765))
시설|수정 커뮤니티센터 및 수진동공영주차장 - 2020년 12월 12일 준공|6193|579 333 3093|2020-12-12|2020-11-12|완료|2021-01-11|2020-12-14|||||구축요청||구축요청||구축요청||||http://www.newspeak.kr/news/articleView.html?idxno=259291|2019-03-14|2021-01-06|0|2021-12-23 09:08:50.537148|POLYGON ((967762.676856406 1938058.89386907, 967782.343725965 1938006.86379644, 967856.032249885 1938032.50541118, 967836.116432609 1938088.02075184, 967762.676856406 1938058.89386907))
시설|인천1호선 송도달빛축제공원역 - 2020년 12월 12일 개통 예정|11410|575 642 7585|2020-12-12|2020-12-15|완료|2021-01-04|2020-12-01|||||완료||예정| |완료| |Yes|Yes|https://www.ajunews.com/view/20200511103536299|2020-05-12|2020-12-23|0|2021-12-23 09:08:50.537148|POLYGON ((922538.67 1934749.08, 922704.17 1934360.58, 922802.17 1934378.58, 922611.17 1934760.58, 922538.67 1934749.08))
도로 : 일반도로|합천 핫들1아파트 ~ 농산물품질관리원 간 도시계획도로 - 2020.12 준공|12782|377 384 4221|2020-12-17|2021-01-12|완료|2021-01-04|2021-01-05|||||해당없음||완료|2020-12-24|구축요청| |Yes|Yes|http://www.hannamilbo.com/news/articleView.html?idxno=268487|2020-12-21|2021-01-11|0|2021-12-23 09:08:50.537148|POLYGON ((1060347.950398 1731004.346348, 1060356.65088299 1730617.01288359, 1060235.65088299 1730633.01288359, 1060230.65088299 1730603.01288359, 1060406.65088299 1730588.01288359, 1060600.65088299 1730563.01288359, 1060581.65088299 1730444.01288359, 1060606.65088299 1730440.01288359, 1060632.65088299 1730595.01288359, 1060421.65088299 1730626.01288359, 1060389.950398 1731024.346348, 1060347.950398 1731004.346348))
도로 : 일반도로|동천제방겸용도로 우안제 2020-12-22|7411|375 965 6998|2020-12-22|2020-09-22|완료|2021-01-04|2021-01-04|||||해당없음||완료|2020-09-18|구축요청| |Yes|Yes|http://www.ujeil.com/news/articleView.html?idxno=267618|2019-05-09|2021-01-11|0|2021-12-23 09:08:50.537148|POLYGON ((1167513.755399 1730496.022326, 1167533.65 1730243.21, 1167531.65 1730103.21, 1167560.65 1730113.21, 1167597.755399 1730482.022326, 1167665.755399 1730746.022326, 1167581.755399 1730784.022326, 1167513.755399 1730496.022326))
시설|경기남양주북부경찰서 2020년 12월 예정|6964|608 393 3602|2020-12-23|2021-01-12|완료|2021-01-04|2021-01-06|||||완료||예정| |구축요청| |Yes|Yes|https://www.yna.co.kr/view/AKR20201030052300004?input=1195m|2019-04-05|2021-01-11|0|2021-12-23 09:08:50.537148|POLYGON ((972022.067617097 1967875.94079894, 972075.067617097 1967857.94079894, 972108.067617097 1967839.44079894, 972123.817617097 1967890.44079894, 972060.567617097 1967930.69079894, 972022.067617097 1967875.94079894))
시설|원주역 2020-12-23|7773|565 864 1582|2020-12-23|2020-11-24|완료|2021-02-01|2021-02-01|||||완료||완료| |완료| |Yes|Yes|https://blog.naver.com/66jaeson/221868724058|2019-05-23|2021-02-08|0|2021-12-23 09:08:50.537148|POLYGON ((1037245.93691 1924088.484682, 1037623.93691 1924092.484682, 1037599.93691 1924414.484682, 1037187.93691 1924356.484682, 1037175.51230969 1924092.25541903, 1037245.93691 1924088.484682))
도로 : 국도|청송우회도로 국도건설공사 2020-12-00|7066|466 545 4058|2020-12-24|2020-09-29|완료|2021-01-04|2021-01-04|||||구축요청||완료|2019-11-28|예정|2019-12-06|Yes|Yes|https://www.mk.co.kr/news/society/view/2020/12/1308998/|2019-04-16|2021-01-11|0|2021-12-23 09:08:50.537148|POLYGON ((1140219.53763572 1825188.55454069, 1140347.53763572 1824972.55454069, 1140347.53763572 1824428.55454069, 1140643.53763572 1824188.55454069, 1140851.53763572 1823812.55454069, 1141283.53763572 1823476.55454069, 1141611.53763572 1822900.55454069, 1141651.53763572 1822564.55454069, 1141515.53763572 1822068.55454069, 1141627.53763572 1821860.55454069, 1141684.8 1821780.78, 1141719.8 1821543.78, 1141743.8 1821548.78, 1141739.53763572 1821852.55454069, 1141611.53763572 1822084.55454069, 1141747.53763572 1822556.55454069, 1141691.53763572 1822972.55454069, 1141339.53763572 1823556.55454069, 1140915.53763572 1823884.55454069, 1140715.53763572 1824236.55454069, 1140427.53763572 1824460.55454069, 1140435.53763572 1825012.55454069, 1140275.53763572 1825252.55454069, 1140219.53763572 1825188.55454069))
시설|오산 문화의거리 제2공영주차장 완공|12817|547 443 2386|2020-12-28|2021-01-19|완료|2021-01-11|2021-01-11|||||완료||완료|2021-01-14|구축요청| |Yes|Yes|http://www.gidaily.co.kr/sub_read.html?uid=34533|2020-12-29|2021-01-18|0|2021-12-23 09:08:50.537148|POLYGON ((961856.67 1905330.58, 961856.42 1905314.83, 961885.67 1905313.08, 961887.17 1905332.08, 961856.67 1905330.58))
도로 : 일반도로|서창2지구-신천ic 연결도로 2020-12-29 개통|3255|577 972 9108|2020-12-29|2020-08-11|완료|2021-01-04|2021-01-05|||||해당없음||완료| |완료| |Yes|Yes|http://www.chungkwang.co.kr/html/site/incunic.html|2018-08-14|2021-01-11|0|2021-12-23 09:08:50.537148|POLYGON ((934486.702187 1936781.083673, 934500.702187 1936715.083673, 934704.702187 1936817.083673, 934812.702187 1936825.083673, 935154.702187 1936829.083673, 935600.702187 1936835.083673, 935796.702187 1936835.083673, 935786.702187 1936907.083673, 935408.702187 1936875.083673, 935010.702187 1936871.083673, 934672.702187 1936851.083673, 934486.702187 1936781.083673))
시설|천성산스포츠파크 준공|12816|361 075 3965|2020-12-31|2021-01-26|완료|2021-01-11|2021-01-11|||||완료||완료|2021-01-20|구축요청| |Yes|Yes|http://www.ysnews.co.kr/default/index_view_page.php?idx=85779|2020-12-29|2021-01-18|0|2021-12-23 09:08:50.537148|POLYGON ((1142354.025423 1715083.72579406, 1142306.025423 1714916.72579406, 1142516.025423 1714869.72579406, 1142486.025423 1714920.72579406, 1142478.025423 1715047.72579406, 1142354.025423 1715083.72579406))
시설|대전 부사시장 주차장 준공|12810|457 603 6321|2020-12-31|2021-01-12|완료|2021-01-04|2021-01-05|||||예정||완료|2021-01-13|구축요청| |Yes|Yes|http://www.enewstoday.co.kr/news/articleView.html?idxno=1439256|2020-12-28|2021-01-11|0|2021-12-23 09:08:50.537148|POLYGON ((994155.139176861 1812968.11468331, 994160.389176861 1812955.11468331, 994184.889176861 1812966.36468331, 994166.639176861 1812974.36468331, 994155.139176861 1812968.11468331))
도로 : 일반도로|고속도로 연속이동단속구간 확인 요청 (제천방향 평택JC ~ 고덕IC 구간)|12666|535 103 1315|2020-12-31|2020-12-29|완료|2021-01-18|2021-01-19|||||해당없음||완료|2020-12-07|해당없음| |Yes|Yes|\\\\\\\\Ddss_nas05\\\\mapplan\\\\MAPPLAN_1\\\\16.소스수집\\\\11.참조자료\\\\고속도로 연속이동단속구간 실사 요청|2020-12-08|2021-01-25|0|2021-12-23 09:08:50.537148|POLYGON ((952911.685076 1892729.344715, 953155.685076 1892507.344715, 953445.685076 1892295.344715, 953817.685076 1892069.344715, 954335.685076 1891881.344715, 954917.685076 1891787.344715, 955259.685076 1891783.344715, 955851.685076 1891847.344715, 957923.685076 1892079.344715, 959020.011970339 1891890.75382776, 959612.011970339 1891858.75382776, 959628.011970339 1891930.75382776, 959076.011970339 1891954.75382776, 958007.685076 1892113.344715, 957597.685076 1892101.344715, 957011.685076 1892029.344715, 955133.685076 1891815.344715, 954677.685076 1891853.344715, 954063.685076 1892015.344715, 953717.685076 1892171.344715, 953437.685076 1892345.344715, 953135.685076 1892591.344715, 952230.805519204 1893592.29032264, 951350.805519204 1894096.29032264, 951310.805519204 1894016.29032264, 952126.805519204 1893560.29032264, 952911.685076 1892729.344715))
도로 : 일반도로|고속도로 연속이동단속구간 확인 요청 (서울방향 서산IC ~ 당진IC 구간)|12663|510 192 6972|2020-12-31|2020-12-29|완료|2021-01-18|2021-01-19|||||해당없음||완료|2020-12-08|해당없음| |Yes|Yes|\\\\\\\\Ddss_nas05\\\\mapplan\\\\MAPPLAN_1\\\\16.소스수집\\\\11.참조자료\\\\고속도로 연속이동단속구간 실사 요청|2020-12-08|2021-01-25|0|2021-12-23 09:08:50.537148|POLYGON ((916880.711642687 1867226.98420231, 916960.711642687 1867226.98420231, 917340.297015 1868319.126974, 918912.297015 1870695.126974, 919248.297015 1871111.126974, 919660.297015 1871479.126974, 921816.297015 1873195.126974, 922244.297015 1873475.126974, 922676.297015 1873703.126974, 924144.297015 1874051.126974, 926220.297015 1874643.126974, 926560.297015 1874795.126974, 927012.297015 1875059.126974, 927164.297015 1875175.126974, 927528.297015 1875535.126974, 928308.297015 1876555.126974, 929404.297015 1877479.126974, 929348.297015 1877503.126974, 928360.297015 1876703.126974, 927992.297015 1876227.126974, 927500.297015 1875571.126974, 926876.297015 1875011.126974, 926300.297015 1874711.126974, 922636.297015 1873739.126974, 921688.297015 1873167.126974, 919280.297015 1871211.126974, 918972.297015 1870823.126974, 917972.297015 1869347.126974, 917244.297015 1868231.126974, 916880.711642687 1867226.98420231))
도로 : 국도|국도 40호선 홍성서부남당 2020-12-31|9332|481 562 5991|2020-12-31|2020-11-17|완료|2021-01-04|2021-01-04|||||구축요청||완료|2020-04-20|구축요청| |Yes|Yes|https://www.calspia.go.kr/io/cm/selectIoCmConstructionTab01View.do?sptNo=C2016024|2019-10-11|2021-01-11|0|2021-12-23 09:08:50.537148|POLYGON ((909417.12 1836792.45, 909511.12 1836914.45, 908951.498296 1837888.986979, 908151.498296 1838600.986979, 907995.12 1839068.45, 907909.12 1839044.45, 908051.12 1838562.45, 908551.12 1838200.45, 908899.12 1837736.45, 909045.12 1837568.45, 909345.12 1837118.45, 909417.12 1836792.45))
