##NAME|SUBNAME|ORGNAME|ID|TELNUM|ADDR|NEWADDR|OT|XCOORD|YCOORD@@삼성증권
삼성증권|영통WM지점|영통WM지점|76|1588-3305|경기 수원시 영통구 영통1동 998-5번지 센터프라자 2층|경기 수원시 영통구 반달로7번길 6, 2층 (영통동,센터프라자)|09:00~16:00|127.07402230000002|37.2522986
삼성증권|올림픽WM지점|올림픽WM지점|124|1588-3305|서울 송파구 양재대로 1222, 상가 1층 (방이동,올림픽프라자)|서울 송파구 양재대로 1222, 상가 1층 (방이동,올림픽프라자)|09:00~16:00|127.1322328|37.5157197
삼성증권|우리은행/영업부WM브랜치|우리은행 영업부WM브랜치(*현금입출금 및 입출고 업무 불가)|159|1588-3305|서울 중구 회현동1가 203번지 우리은행 본점 영업부 1층|서울 중구 소공로 51, 우리은행 본점 영업부 1층|09:00~16:00|126.98173250000002|37.5594007
삼성증권|울산WM지점|울산WM지점|125|1588-3305|울산 남구 삼산로 281, 2층 (삼산동,정엔정크리빌빌딩)|울산 남구 삼산로 281, 2층 (삼산동,정엔정크리빌빌딩)|09:00~16:00|129.337655|35.539707
삼성증권|원주WM브랜치|원주WM브랜치|79|1588-3305|강원 원주시 무실동 1857-6번지 정한타워 4층|강원 원주시 능라동길 61, 4층 (무실동,정한타워)|09:00~16:00|127.931370|37.334025
삼성증권|이촌WM지점|이촌WM지점|132|1588-3305|서울 용산구 이촌로64길 14, 3층 (이촌동,제일빌딩)|서울 용산구 이촌로64길 14, 3층 (이촌동,제일빌딩)|09:00~16:00|126.97009300000002|37.5203848
삼성증권|익산WM브랜치|익산WM브랜치|82|1588-3305|전라북도 익산시 익산대로16길 39, 1층 (창인동1가,SK빌딩)|전라북도 익산시 익산대로16길 39, 1층 (창인동1가,SK빌딩)|09:00~16:00|126.95200569999997|35.9401492
삼성증권|인천WM지점|인천WM지점|92|1588-3305|인천 남동구 인하로 501, 3층 (구월동,AMC인천빌딩)|인천 남동구 인하로 501, 3층 (구월동,AMC인천빌딩)|09:00~16:00|126.70236290000002|37.4434832
삼성증권|일산WM지점|일산WM지점|83|1588-3305|경기 고양시 일산서구 중앙로 1420, 2층 (주엽동,진영빌딩)|경기 고양시 일산서구 중앙로 1420, 2층 (주엽동,진영빌딩)|09:00~16:00|126.76265760000001|37.6698993
삼성증권|잠실WM지점|잠실WM지점|84|1588-3305|서울 송파구 송파대로 558, 2층 (신천동,월드타워건물)|서울 송파구 송파대로 558, 2층 (신천동,월드타워건물)|09:00~16:00|127.09963649999997|37.5150441
삼성증권|전주WM지점|전주WM지점|86|1588-3305|전라북도 전주시 완산구 효자동3가 1531-4번지 우리들빌딩 2층|전라북도 전주시 완산구 홍산로 250, 2층 (효자동3가,우리들빌딩)|09:00~16:00|127.10648549999996|35.8159904
삼성증권|정자동WM지점|정자동WM지점|37|1588-3305|경기 성남시 분당구 정자동 17-5 시그마타워 2층|경기 성남시 분당구 성남대로 349|09:00~16:00|127.107656|37.367339
삼성증권|제주WM지점|제주WM지점|89|1588-3305|제주 제주시 노형로 407, 1층 (노형동,노형타워)|제주 제주시 노형로 407, 1층 (노형동,노형타워)|09:00~16:00|126.4783486|33.485812
삼성증권|진주WM브랜치|진주WM브랜치|94|1588-3305|경상남도 진주시 진양호로 526, 3층 (본성동, 명원빌딩)|경상남도 진주시 진양호로 526, 3층 (본성동,명원빌딩)|09:00~16:00|128.082977|35.192434
삼성증권|창원WM지점|창원WM지점|95|1588-3305|경상남도 창원시 성산구 중앙대로 82, 1층 (상남동,삼성빌딩)|경상남도 창원시 성산구 중앙대로 82, 1층 (상남동,삼성빌딩)|09:00~16:00|128.67933530000005|35.2216991
삼성증권|천안아산WM지점|천안아산WM지점|96|1588-3305|충청남도 천안 아산시 배방읍 장재리 1755번지 우성메디피아 2층|충청남도 천안 아산시 배방읍 고속철대로 147, 2층 (장재리,우성메디피아)|09:00~16:00|127.10589589999995|36.7971047
삼성증권|청주WM지점|청주WM지점|99|1588-3305|충청북도 청주시 흥덕구 대농로 47, 2층 (복대동,흥복드림몰)|충청북도 청주시 흥덕구 대농로 47, 2층 (복대동,흥복드림몰)|09:00~16:00|127.427335|36.642015
삼성증권|춘천WM브랜치|춘천WM브랜치|100|1588-3305|강원 춘천시 금강로 45, 4층 (요선동,기업은행빌딩)|강원 춘천시 금강로 45, 4층 (요선동,기업은행빌딩)|09:00~16:00|127.72752700000001|37.8809287
삼성증권|판교WM지점|판교WM지점|175|1588-3305|경기도 성남시 분당구 삼평동 741 푸르지오월드마크상가 2층|경기도 성남시 분당구 대왕판교로 606번길 58 푸르지오월드마크상가 2층|09:00~16:00|127.1135970000002|37.395223
삼성증권|평촌WM지점|평촌WM지점|103|1588-3305|경기 안양시 동안구 동안로 120, 2층 (호계동,올림픽스포츠센터빌딩)|경기 안양시 동안구 동안로 120, 2층 (호계동,올림픽스포츠센터빌딩)|09:00~16:00|126.95223650000002|37.3895159
삼성증권|평택WM브랜치|평택WM브랜치|150|1588-3305|경기 평택시 중앙2로 13, 2층 (평택동,센텀스카이)|경기 평택시 중앙2로 13, 2층 (평택동,센텀스카이)|09:00~16:00|127.0885538|36.9919212
삼성증권|포항WM지점|포항WM지점|104|1588-3305|경상북도 포항시 남구 포스코대로 346, 3층 (대도동,KT빌딩)|경상북도 포항시 남구 포스코대로 346, 3층 (대도동,KT빌딩)|09:00~16:00|129.36114799999996|36.0168607
삼성증권|합정WM지점|합정WM지점|65|1588-3305|서울시 마포구 월드컵로 3길 14(합정동, 마포한강 2차 푸르지오) B동 딜라이트스퀘어|서울시 마포구 월드컵로 3길 14(합정동, 마포한강 2차 푸르지오) B동 딜라이트스퀘어|09:00~16:00|126.911589|37.550981
삼성증권|해운대센텀WM지점|해운대센텀WM지점|105|1588-3305|부산 해운대구 센텀동로 25, 2층 208,209호 (우동,대우월드마크센텀빌딩)|부산 해운대구 센텀동로 25, 2층 208,209호 (우동,대우월드마크센텀빌딩)|09:00~16:00|129.1314797|35.1714642
