##NAME|SUBNAME|TELNUM|NEWADDR|ID|FEAT|SINCE@@비영리법인
아트허브 사회적협동조합|||서울시 마포구 양화로1길 29 B1|2018-20|사단법인|
문화예술 사회적협동조합 컬처75|||경기도 안산시 상록구 광덕산안길 20, 광덕종합시장 3층, 사회적경제지원센터 11호|2018-21|사단법인|
서울가무연극 사회적협동조합|||서울 송파구 올림픽로 88 올림픽타워 401호|2018-19|사단법인|
한국미디어콘텐츠학회|||대전광역시 서구 배재로 155-40,214호|2018-18|사단법인|2017.06.13.
마을문화공동체 사회적협동조합|||경기도 김포시 북변중로25길 25, 1층 1호|2018-16|사단법인|
사회적협동조합 동화나무(해산)|||경북 칠곡군 석전읍 석적로 955-19|2018-15|재단법인|
예술인 사회적협동조합 목요일|||경기도 수원시 영통구 인계로29번길 63-14|2018-14|사단법인|
가상현실콘텐츠산업협회|||경기도 성남시 분당구 판교역로 230, 삼환하이펙스 B동 805호|2018-17|사단법인|2018.05.08.
(사)한국난연합회|||천안시 동남구 옛시청길 16, 3층|2018-16|사단법인|2018.04.30.
사회적협동조합 놀터|||서울시 광진구 구의동 546-6 테크노마트 17층 18호|2018-12|사단법인|
사단법인 린덴바움|||서울특별시 서초구 강남대로 631 크레신타워 613호|2018-15|사단법인|2018.04.19.
사단법인 한국매니지먼트연합|||서울특별시 영등포구 국회대로62길 14 한국스카웃연맹 5층, 501호|2018-14|사단법인|2018.04.17.
(사)한국서각협회||||2018-13|사단법인|2018.04.11.
사단법인 대한출판문화협회|||서울시 종로구 삼청로 6(사간동) 출판문화회관|2018-12|사단법인|1952.03.26.
(사)한국문화경제학회|||서울시 강남구 도산대로 446 경원하이츠텔 1522호|2018-11|사단법인|2018.03.28.
사단법인 한국브이알에이알 콘텐츠진흥협회|||서울특별시 강남구 테헤란로 4길6, 310호|2018-9|사단법인|2018.03.22.
카카오 임팩트|||경기도 성남시 분당구 판교역로 235|2018-10|재단법인|2018.03.23.
한국걷는길연합|||경상남도 하동군 하동읍 읍내리 425번지|2018-8|사단법인|2018.03.22.
대한아이스하키협회|||서울특별시 송파구 올림픽로 424 벨로드롬 동계종목 사무국 103호|2018-6|사단법인|2001.07.16.
한중패션산학협회|||서울시 마포구 만리재로 14, 르네상스타워 801호|2018-7|사단법인|2018.03.09.
대한수상스키/웨이크스포츠협회|||서울특별시 송파구 올림픽로 424 SK핸드볼경기장내 122호|2018-5|사단법인|2002.10.15.
신나는 사회적협동조합|||경기도 파주시 중앙로 294(금촌동) 207호|2018-3|사단법인|
대한민국농악연합회|||농악의 조사연구 및 보존, 전승과 교육에 관한 사업 등|2018-4|사단법인|2018.02.13.
대한카바디협회|||부산광역시 사하구 낙동대로 536길 27 명문OT 102호|2018-3|사단법인|2016.03.29.
대한킥복싱협회(이관, 재교부)|||경기도 성남시 중원구 양현로 411, 시티오피스타워 402호|2018-2|사단법인|2009.12.02.
사회적협동조합 문화배달|||경상북도 포항시 북구 칠성로 51번길 12-1번지|2018-1|사단법인|
넥슨재단|||서울특별시 강남구 도산대로 313, 6층(신사동, 313빌딩)|2018-1|재단법인|2018.01.24.
예술로 함께|||서울시 관악구 양지길 40-4 2층|2017-27|사단법인|2017.12.28.
지역문화진흥원|||서울시 종로구 율곡로 190 (여전도회관)|2017-26|재단법인|2017.12.08.
재단법인 플라톤 아카데미|||서울시 종로구 인사동7길32 SK건설빌딩 2층|2017-25|공익재단법인|2017.11.30.
노사학연구원|||전라남도 장성군 진원면 고산로 68(고산서원 집의재)|2017-24|사단법인|2017.10.18.
(사)한국예절문화원|||(03977) 서울특별시 마포구 성미산로 107. 유진빌딩 2층|2017-23|공익사단법인|2017.09.13.
시흥시민축구단 사회적협동조합|||경기도 시흥시 정왕동 2160|2017-15|사단법인|
스포츠복지 케이디 사회적협동조합|||경기도 성남시 중원구 둔촌대로 449 중앙인더스피아 304호|2017-14|사단법인|
재단법인 넷마블문화재단|||서울특별시 구로구 디지털로 300 지밸리비즈플라자 19층|2017-22|재단법인|2017.08.07.
대한요트협회|||서울특별시 송파구 올림픽로 424 올림픽회관 501호|2017-21|사단법인|2006.04.21.
대한카라테연맹|||서울특별시 송파구 올림픽로 424 올림픽 공원 벨로드롬 B08호|2017-20|사단법인|2017.07.21.
(사)한국음식인문학연구원|||서울특별시 서초구 사평대로 140 코웰빌딩 타호비즈센터 201-1호|2017-19|사단법인|2017.07.06.
놀이마당 얼쑤 사회적협동조합|||제주도 제주시 전농로 96, 지하1층|2017-11|사단법인|
(사)한국청소년게임문화협의회|||서울시 송파구 올림픽로 82, 8층 802호|2017-18|사단법인|2017.06.13.
아시아모델페스티벌조직위원회|||서울시 강남구 봉은사로 129, 거평타운 1812호|2017-17|사단법인|2017.06.12.
대한씨름협회|||서울특별시 송파구 올림픽로 25 잠실주경기장 B 103|2017-16|사단법인|2012.12.05.
(사)동학농민혁명유족회|||서울시 종로구 삼일대로 457 수운회관 1205호|2017-15|사단법인|2017.05.08.
한국방송예술인단체연합회|||서울시 영등포구 의사당대로 1길 대우메종 오피스텔 813호|2017-14|사단법인|2017.05.01.
캐릭터디자이너협회|||서울특별시 마포구 와우산로 103 (서교동)|2017-13|사단법인|2001.03.19.
문화콘텐츠개발원|||서울특별시 서초구 서초중앙로22길 122, 4층 (서초동,가나빌딩)|2017-12|사단법인|2003.05.07.
한국전통춤협회|||서울시 서초구 논현로 151 103호|2017-11|사단법인|2017.04.06.
한국민족춤협회|||서울시 송파구 백제고분로 22길 29(삼전동)|2017-10|사단법인|2017.03.17.
사단법인 저작권해외진흥협회|||서울특별시 마포구 월드컵북로 375. 디엠씨이안상암 1동 1807호|2017-9|사단법인|2017.03.15.
한국문학관협회|||경기도 광주시 남한산성면 남한산성로 792번길 24-7|2017-8|사단법인|2017.03.14.
한국사진교육학회|||경기도 성남시 분당구 정자일로|2017-7|사단법인|2017.03.08.
한국관광유람선업협회|||인천광역시 중구 연안부두로 36 (해양광장전망대 1층)|2017-6|사단법인|2017.02.06.
대한산악연맹|||서울특별시 송파구 올림픽로 424(제2체육관 106호)|2017-5|사단법인|1966.12.09.
세계전통문화놀이협회|||경기도 수원시 효원로288 대원콤비프라자 11층|2017-4|사단법인|2017.01.20.
사단법인 전국지역문화재단연합회|||경기도 용인시 수지구 포은대로 499(용인문화재단 내)|2017-3|사단법인|2017.01.16.
사단법인 한국광역문화재단연합회|||대구광역시 중구 대봉동 260번지|2017-2|사단법인|2017.01.16.
한국문화관광연구원|||서울시 강서구 금낭화로154|2017-1|특수법인|2017.01.06.
재단법인 유네스코국제무예센터|||충주시 으뜸로 21 충주시청|2016-40|재단법인|2016.12.19.
사단법인 한국농아인스포츠연맹|||서울특별시 강남구 테헤란로 435 대종빌딩 1301호|2016-39|사단법인|2016.12.14.
공공통번역협회|||서울특별시 동대문구 이문로 107 한국외국어대학교 교수회관 435호|2016-38|사단법인|2016.11.29.
가산불교문화연구원|||서울시 종로구 창경궁로26길 15(명륜4가 206-6)|2016-37|사단법인|1993.03.30.
재단법인 한국저작권보호원|||서울 마포구 월드컵북로 400(서울산업진흥원 빌딩 9, 10층)|2016-36|재단법인|2016.09.29.
사단법인 지리산권역인문연구원|||전북 남원시 충정로 134(2층)|2016-35|사단법인|2016.09.22.
대한우슈협회|||서울특별시 송파구 올림픽로 424, SK핸드볼경기장 118호|2016-34|사단법인|2010.11.29.
한국가톨릭문인회|||서울시 종로구 돈의동 낙원오피스텔 205호|2016-33|사단법인|2016.09.02.
대한패러글라이딩협회|||서울특별시 송파구 올림픽로 25 잠실주경기장 B311호|2016-32|사단법인|2016.09.01.
2019광주세계수영선수권대회조직위원회|||광주광역시 동구 천변우로 369|2016-31|재단법인|2016.08.26.
또하나의문화|||서울시 마포구 동교동 184-6 대재빌라 302호|2016-30|사단법인|1999.03.30.
대한컬링경기연맹|||서울특별시 송파구 올림픽로 424 벨로드롬 동계종목 사무국 105호|2016-28|사단법인|2016.07.15.
한국 에스지아이(SGI)|||서울특별시 구로구 구로5동 45번지|2016-29|재단법인|2000.04.15.
대한민국댄스스포츠연맹|||서울특별시 송파구 올림픽로 424 Sk핸드볼경기장 119호|2016-25|사단법인|2016.07.14.
한국테디베어협회|||서울특별시 마포구 독막로 7길 64 풀꽃빌딩 1층|2016-26|사단법인|2016.07.14.
2017 무주 WTF 세계태권도선수권대회 조직위원회|||전북 저주시 완산구 중화산로 68번지 강석빌딩 2층|2016-27|재단법인|2015.11.23.
사랑그리고문화나눔|||서울특별시 강남구 광평로 295 동관 1117호 (수서동, 사이룩스오피스텔)|2016-24|사단법인|2016.06.01.
한국패션문화협회|||경상북도 경산시 대학로 280, 영남대학교 패션디자인연구실|2016-23|사단법인|1997.06.19.
대한피구연맹|||경기도 고양시 일산동구 중산로 248 (중산동,702호)|2016-22|사단법인|2016.05.13.
대한루지경기연맹|||서울특별시 송파구 올림픽로 424|2016-21|사단법인|2016.05.11.
대한그라운드골프협회|||경남 창원시 의창구 원이대로 450, 창원종합운동장 152-2호|2016-20|사단법인|2016.05.12.
대한민국줄다리기협회|||서울 송파구 올림픽로 25, B-215|2016-19|사단법인|2016.05.12.
대한국학기공협회|||서울 송파구 올림픽로25(잠실동) 주경기장내 B-309호 국학기공|2016-15|사단법인|2016.05.04.
대한파크골프협회|||서울특별시 송파구 올림픽로 25, B202호(잠실동, 잠실주경기장)|2016-14|사단법인|2016.05.04.
대한게이트볼협회|||경기도 수원시 권선구 여기산로 26번길 30(서둔동)|2016-13|사단법인|2016.05.04.
대한민국플라잉디스크연맹|||서울시 강서구 개화동로 523, 4층|2016-18|사단법인|2016.05.10.
대한민국족구협회|||서울특별시 송파구 올림픽로 25 잠실동, 잠실주경기장 B208호|2016-17|사단법인|2016.05.10.
대한민국줄넘기협회|||인천광역시 남구 낙섬중로 3, 302호|2016-16|사단법인|2016.05.10.
대한당구연맹|||서울특별시 송파구 오륜동 88-2 올림픽공원 SK핸드볼경기장 115호|2016-12|사단법인|2016.05.09.
재단법인 생활문화진흥원|||서울 종로구 율곡로 190|2016-11|재단법인|2016.05.04.
대한궁도협회|||서울특별시 중구 퇴계로 51길 20, 608호|2016-10|사단법인|2016.05.02.
대한봅슬레이스켈레톤경기연맹|||서울특별시 송파구 올림픽로 424 올림픽공원 벨로드롬 동계종목단체 107호|2016-9|사단법인|2016.04.26.
재단법인 2017피파20세월드컵조직위원회|||서울시 용산구 한강대로 366 트윈시티남산 3층|2016-8|재단법인|2016.03.31.
대한크리켓협회|||인천광역시 서구 봉수대로 806 연희크리켓 경기장|2016-6|사단법인|2016.03.29.
대한카바디협회|||부산광역시 사하구 낙동대로 536길 27 명문OT 102호|2016-7|사단법인|2016.03.29.
대한민국독도사랑 세계연대|||경상남도 김해시 함박로 45번길 3-2, 1층|2016-5|사단법인|2015.12.29.
대한체육회|||서울 송파구 올림픽로 424 올림픽공원내 올림픽회관|2016-4|사단법인|2016.03.07.
대한라켓볼협회|||서울특별시 송파구 올림픽로 25 B308|2016-3|사단법인|2016.03.03.
대한스쿼시연맹|||서울특별시 송파구 올림픽로 424 503호(올림픽회관)|2016-2|사단법인|2016.02.29.
재단법인 케이스포츠|||서울특별시 강남구 언주로 114길 15-5, 2층(논현동)|2016-1|재단법인|2016.01.13.
대한양궁협회|||서울특별시 송파구 올림픽로 424|2015-40|사단법인|2015.12.29.
한국캐리커처협회|||서울시 구로구 서해안로 2334, 3층|2015-39|사단법인|2015.12.24.
한국웹툰산업협회|||서울시 구로구 디지털로 26길 111 JNK 디지털타워 1703호|2015-38|사단법인|2015.12.24.
한국이슬람문화협회|||서울시 종로구 대학로 20, 703호|2015-37|사단법인|2015.12.15.
대한택견회|||서울특별시 송파구 올림픽로 424(올림픽공원) 테니스장 107호|2015-36|사단법인|2015.12.01.
(사)한국여행서비스교육협회|||서울특별시 마포구 성산동 133-3 한올빌딩 3층|2015-35|사단법인|2015.11.20.
대한하키협회|||서울특별시 송파구 올림픽로 424|2015-34|사단법인|2015.11.13.
한국효문화센터|||경기도 과천시 문원로 40-1|2015-33|사단법인|2015.11.05.
한국폰트협회|||서울시 마포구 독막로 33-1, 4층|2015-32|사단법인|2015.10.27.
(사)다문화연예예술총연합회|||서울특별시 중구 퇴계로 430-1, 3층(신당동)|2015-30|사단법인|2015.09.07.
재단법인 미르|||서울특별시 강남구 학동로 42길 21 3층|2015-31|재단법인|2015.10.27.
한국위키미디어협회|||서울시 금천구 가산디지털1로 168 우림라이온스밸리 A동 801호|2015-28|사단법인|2015.10.22.
재단법인 2018창원세계사격선수권대회조직위원회|||경상남도 창원시 진해구 진해대로 1101(풍호동)|2015-29|재단법인|2015.10.23.
한국상영발전협회|||서울특별시 종로구 삼일대로 428 낙원상가 4층 (우편번호 03140)|2015-27|사단법인|2015.10.16.
한국도시경관디자인학회|||서울특별시 강남구 봉은사로 33길 11|2015-26|사단법인|2015.09.22.
재단법인 롯데문화재단|||서울시 송파구 올림픽로 300(신천동)|2015-25|공익법인|2015.09.22.
이청준기념사업회|||서울시 마포구 잔다리로 7길 18|2015-24|사단법인|2015.09.09.
재단법인 문화창조융합센터|||서울 마포구 상암산로 66 (CJ E&M센터 1층)|2015-23|재단법인|2015.08.21.
동아시아스포츠진흥협회|||서울특별시 마포구 상암동 1653번지 DMC이안상암 2단지 2803호|2015-22|사단법인|2015.07.01.
빛된소리글로벌예술협회|||서울특별시 강서구 공항대로41길 66 세신종함B/D 5층 512호|2015-21|사단법인|2015.06.26.
사단법인 콘텐츠경영학회|||서울시 중구 퇴계로 27길 28 57-3 한영빌딩 701호|2015-20|사단법인|2015.06.24.
국민생활체육회|||서울 송파구 올림픽로 424|2015-19|사단법인|2015.06.23.
한국자연지리협회|||서울시 성북구 보문동 4가 보문하우스토리 1307|2015-18|사단법인|2015.04.13.
한국역술인협회|||서울시 강남구 논현동 48-5|2015-17|사단법인|2015.04.20.
한국청소년어문진흥회|||서울 서초구 서초대로356, 1106호(서초동, 서초지웰타워)|2015-16|사단법인|2015.05.27.
한국동양운명철학인협회|||대전광역시 중구 대흥로 48, 4층 1호|2015-15|사단법인|2015.05.06.
풍석문화재단|||서울시 관악구 과천대로 939, 르메이에르 강남타운 2차 1109호|2015-14|사단법인|2015.04.28.
동편제 이선유 판소리 보존회|||서울시 중구 충무로 2가 52-10번지 허주회관 빌딩 511|2015-13|사단법인|2015.04.01.
한국휠체어농구연맹|||서울특별시 서초구 매헌로 54-1 203빌딩 5층|2015-12|사단법인|2015.03.20.
한국창작스토리작가협회|||서울시 구로구 부일로 1길 26-13 송정빌딩 2층(온수동)|2015-11|사단법인|2015.03.19.
서울예술재단|||서울시 종로구 신문로2가 1-102|2015-10|재단법인|2015.03.16.
사단법인 해아라|||서울 종로구 삼일대로 461 Sk허브 102동 805호|2015-9|사단법인|2015.03.10.
한국장애인문화예술원|||서울특별시 종로구 대학로 112|2015-8|재단법인|2015.02.24.
(사)맑은 물결|||서울특별시 영등포구 국회대로 74길 20, 1016호|2015-6|사단법인|2015.02.10.
한국크리에이티브광고원|||서울시 중구 동호로 272번지 웰콤시티|2015-5|사단법인|2015.02.05.
한국현대문화포럼|||경기도 파주시 회동길 37-20 파주출판문화정보산업단지|2015-4|사단법인|2015.02.04.
(사) 한국여행안전협회|||서울시 양천구 오목로 177 연인빌딩 403호|2015-3|사단법인|2015.01.30.
한국프로스포츠협회|||서울특별시 종로구 경희궁길 46(축구회관 5층)|2015-2|사단법인|2015.01.19.
(사)한국정원디자인학회|||서울특별시 양천구 목동동로 233-1 현대드림타워 1919호|2015-1|사단법인|2015.01.19.
한국천연염색연구회|||인천시 연수구 송도동 19-1 커낼워크 201-406|2014-49|사단법인|2014.12.30.
한국차문화협회|||서울시 마포구 토정로37길 46, 정우빌딩 207호|2014-48|사단법인|2014.06.05.
한국시조사랑시인협회|||서울 중구 을지로 20길 12, 대성빌딩 405호|2014-47|사단법인|2014.12.01.
(사)대한캠핑장협회|||서울특별시 강서구 금낭화로 31(방화동) 삼광빌딩 302호|2014-46|사단법인|2014.11.17.
(사)한국만화가협회|||서울특별시 중구 소파로 130(예장동)|2014-45|사단법인|2014.11.17.
(사)국제문인협회|||서울 종로구 수표로 91, 401호(관수동, 금정빌딩)|2014-44|사단법인|2014.11.04.
한국시각문화협회|||서울 종로구 창성동 140|2014-43|사단법인|2014.11.04.
한국수영장경영자협회|||서울시 서초구 나루터로 61 태승빌딩 305호|2014-42|사단법인|2014.10.15.
한국실용음악작곡가협회|||서울시 마포구 도화동 555번지 한화오벨리스크 5동 1914호|2014-41|사단법인|2014.10.08.
행촌문화재단|||전남 해남군 문내면 예락리 1345|2014-40|재단법인|2014.10.02.
대한현악기제작자협회|||서울특별시 서초구 효령로 46길 5, 307|2014-38|사단법인|2014.09.29.
무대음향협회|||서울 강남구 신사동 502-5 뮤직메트로 7층|2014-37|사단법인|2014.09.25.
(재)크로스포인트문화재단|||서울시 용산구 소월로 264|2014-39|재단법인|2014.09.30.
(사)한국캘리그래피디자인센터|||부산광역시 금정구 금정로 197|2014-36|사단법인|2014.09.03.
(사)한국컬러유니버설디자인협회|||서울시 마포구 큰우물로 76 고려빌딩 214호|2014-35|사단법인|2014.08.08.
(재)한국문화복지재단|||대정광역시 유성구 덕명로 63, 107동 302호(덕명동, 하우스토리네오미아아파트)|2014-34|재단법인|2014.08.25.
유엔더블유티오스텝파운데이션|||서울시 중구 청계천로40 한국관광공사 8층|2014-33|재단법인|2004.11.24.
아시아 어린이청소년 연예협회|||서울시 서초구 효령로 304 국제전자센터 10층 33호|2014-32|사단법인|2014.08.04.
한국관악문화예술원|||경기도 양주시 화합로 1334|2014-30|사단법인|2014.07.23.
재단법인 정효국악문화재단|||서울시 서초구 사임당로 18길 50|2014-29|재단법인|2014.07.07.
퇴계학진흥회|||서울시 종로구 창경궁로29길25 명륜빌딩 4층|2014-28|사단법인|2014.07.02.
대한명인회|||광주광역시 광산구 사암로 106번길 99-21|2014-27|사단법인|2004.11.10.
사단법인 한국문화예술지원협회|||서울특별시 종로구 이화장길 66 객석빌딩 4층|2014-26|사단법인|2014.06.12.
게임개발자연대|||서울시 강남구 학동로 156 성덕빌딩구관 402호|2014-25|사단법인|2014.06.02.
한국게임법학회|||서울시 서대문구 충정로 60, KT&G, 서대문타워 10층|2014-24|사단법인|2014.06.09.
담수회|||대구시 중구 중앙대로 79길 51|-|사단법인|1978.06.12.
한국의상협회|||서울시 종로구 부암동 369-77|-|사단법인|1981.09.02.
한빛문화기획자개발원|||서울시 서초구 효령로 236(서초동) (3층)(우: 06709)|-|사단법인|1999.11.22.
한국일요화가회|||종로구 경운동 64-6(우: 03148)|-|사단법인|1977.02.09.
한민족윤리회의|||서울시 종로구 낙원동 243-3 경동빌딩 601호|-|사단법인|1987.10.20.
문공회|||서울시 종로구 삼일대로30길 21(우: 03132)|-|사단법인|1983.11.17.
한국문화복지협의회|||서울시 송파구 중대로 220 (가락동, 국토빌딩 301호)(우: 05818)|-|사단법인|1996.01.27.
다움문화예술기획연구회|||서울시 성북구 성북동 94-1 성북프라자 5층|-|사단법인|1998.02.13.
우리문화사랑|||서울시 효령로 557길 (서초동) 서초로젠빌 1006|-|사단법인|1998.02.13.
우리문화진흥회|||전주시 완산구 중앙동 3가 성원 오피스텔 1301호|-|사단법인|1998.02.24.
문화를 나누는사람들|||서울시 강남구 자곡동 287 교수마을 13-3 2F(우: 06364)|-|사단법인|1999.03.13.
이초려기념사업회|||충남 공주시 상왕 3동 302|-|사단법인|1988.05.21.
또하나의문화|||서울시 와우산로 174-5(동교동,대재빌라) 302호(우: 04057)|-|사단법인|1999.03.30.
미래사회와종교성연구원|||서울시 종로구 사직로 12-9(행촌동) (우: 03166)|-|사단법인|2005.03.09.
시민자치문화센터|||서울시 마포구 공덕2동 120-10 302호|-|사단법인|2000.05.29.
함께하는문화마당|||구로구 신도림동390-25|-|사단법인|2002.10.25.
열린세상국민문화운동본부|||송파구 오금로 23길 07(방이동)(우: 05642)|-|사단법인|2003.04.09.
한국문화정책연구소|||서울시 종로구 삼봉로 81(수송동) 426호(우: 03150)|-|사단법인|2003.08.25.
문화네트워크|||서울시 마포구만리재옛길 59(공덕동)(우 : 04205)|-|사단법인|2004.01.06.
한국여가문화학회|||서울시 서대문구 거북골로 34(남가좌동) 명지대학교경상관 7층(우: 03674)|-|사단법인|2004.02.17.
웰빙소사이어티|||서울시 서초구 서초대로 74길 51(서초동) 서초골드로즈 1512호|-|사단법인|2004.10.08.
시민문화회의|||광주시 남구 백운로 53,2층|-|사단법인|2005.02.24.
한국문화인류학회|||서울시 관악구 관악로 1(신림동)비교문화연구소 내(우: 08826)|-|사단법인|2005.03.07.
중앙아시아학회|||경기도 파주시 교하읍 문발리 513-3|-|사단법인|2007.12.17.
문화문|||서울시 강남구 압구정로 30길 12(신사동) 서원빌딩 503호|-|사단법인|2005.05.02.
일과여가문화연구원|||서울시 영등로구 국회대로780(여의도동) LG 에클라트 1301호|-|사단법인|2005.05.12.
문화사회연구소|||마포구 공덕2동백광빌딩 3층|-|사단법인|2005.06.28.
한국사회학회(공익)|||종로구 사직동 304-28(우 : 03028)|-|사단법인|1996.01.10.
서동아트비전|||전라북도 익산시 중앙동 3가 45번지 호남솔로몬 상호저축은행 6층|-|사단법인|2006.10.29.
다문화열린사회|||서울시 종로구 경로장 1길 13 2F|-|사단법인|2006.04.21.
