전통사찰 현황 (2018.12.31. 현재)|||||
번호|시도|사찰명|주소|소속 종단|
165|경기|극락사|경기도 광주시 오포읍 양촌길 268-1 (양벌리 825)|조계종|
166|경기|망월사|경기도 광주시 남한산성면 남한산성로 680 (산성리 14) |조계종|
167|경기|명성암|경기도 광주시 남종면 산수로 1876-34 (귀여리 551)|조계종|
168|경기|백련암|경기도 광주시 도척면 도척로 982-118 (추곡리 산25-1)|태고종|
169|경기|장경사|경기도 광주시 남한산성면 남한산성로 676 (산성리 22-1)|조계종|
170|경기|광은사|경기도 김포시 대곶면 약암로 872-80 (약암리 629-1)|조계종|
171|경기|금정사|경기도 김포시 승가로 73 (풍무동 662-1)|조계종|
172|경기|문수사|경기도 김포시 월곶면 문수산로 102-33 (성동리 232)|태고종|
173|경기|수리사|경기도 군포시 속달로 347-181 (속달동 329)|조계종|
174|경기|용화사|경기도 김포시 금포로 1487-5 (운양동 831)|조계종|
175|경기|견성암|경기도 남양주시 진건읍 진건오남로 390번길 284 (송능리 3)|조계종|
176|경기|내원암|경기도 남양주시 별내면 순화궁로 909번길 104 (청학리 578)|조계종|
177|경기|묘적사|경기도 남양주시 와부읍 수례로 661번길 174 (월문리 222)|조계종|
178|경기|보광사|경기도 남양주시 화도읍 가곡로 198 (가곡리 419)|조계종|
179|경기|봉선사|경기도 남양주시 진접읍 봉선사길 32 (부평리 255)|조계종|
180|경기|봉영사|경기도 남양주시 진접읍 내각2로 84-77 (내각리 148)|조계종|
181|경기|불암사|경기도 남양주시 불암산로 190 (별내동 797)|조계종|
182|경기|석천암|경기도 남양주시 불암산로 175 (별내동 산97)|조계종|
183|경기|수종사|경기도 남양주시 조안면 북한강로433번길 186 (송촌리 1060)|조계종|
184|경기|천보사|경기도 남양주시 불암산로97번길 32-200 (별내동 797-1 )|조계종|
185|경기|흥국사|경기도 남양주시 별내면 덕릉로1071번길 58 (별내동 2331)|조계종|
186|경기|자재암|경기도 동두천시 평화로2910번길 406-65 (상봉암동 1)|조계종|
187|경기|망경암|경기도 성남시 수정구 태평로55번길 72 (복정동 553-1)|조계종|
188|경기|봉국사|경기도 성남시 수정구 태평로 79 (태평동 216-2호)|조계종|
189|경기|약사사|경기도 성남시 중원구 산성대로625번길 22 (은행동 산 7-2)|여래종|
190|경기|봉녕사|경기도 수원시 팔달구 창룡대로 236-54 (우만동 248)|조계종|
191|경기|수원사|경기도 수원시 팔달구 수원천로 300 (남수동 92-1)|조계종|
192|경기|청련암|경기도 수원시 장안구 수일로 335 (조원동 474-1)|조계종|
193|경기|팔달사|경기도 수원시 팔달구 행궁로 68 (팔달로3가 116)|선학원|
194|경기|쌍계사|경기도 안산시 단원구 대부황금로 1171 (대부북동 1058)|조계종|
195|경기|화림선원|경기도 안산시 상록구 도매시장로 140 (일동 726)|선학원|
196|경기|석남사|경기도 안성시 금광면 상촌새말길 3-120 (상중리 508번지)|조계종|
197|경기|용화사|경기도 안성시 미양면 법전길 260-31 (법전리 181)|조계종|
198|경기|운수암|경기도 안성시 양성면 성하길 80-63 (방신리 85)|조계종|
199|경기|청룡사|경기도 안성시 서운면 청룡길 140 (청용리 28)|조계종|
200|경기|청원사|경기도 안성시 원곡면 통심길 16-102 (성은리 397)|조계종|
201|경기|칠장사|경기도 안성시 죽산면 칠장로 399-18 (칠장리 764)|조계종|
202|경기|망해암|경기도 안양시 동안구 임곡로 245 (비산동 산19)|조계종|
203|경기|삼막사|경기도 안양시 만안구 삼막로 478 (석수동 241-54)|조계종|
204|경기|안양사|경기도 안양시 만안구 예술공원로131번길 103 (석수동 산28)|태고종|
205|경기|염불사|경기도 안양시 만안구 예술공원로245번길 150 (석수동 산17)|조계종|
206|경기|백화암|경기도 양주시 부흥로 1325-194 (유양동 산40)|조계종|
207|경기|석굴암|경기도 양주시 장흥면 석굴암길 519 (교현리 1)|조계종|
208|경기|회암사|경기도 양주시 회암사길 281 (회암동 산4)|조계종|
209|경기|대성사|경기도 양평군 지평면 역말4길 58 (송현리 산 91)|조계종|
210|경기|사나사|경기도 양평군 옥천면 사나사길 329 (용천리 302)|조계종|
211|경기|상원사|경기도 양평군 용문면 상원사길 292 (연수리 220-5)|조계종|
212|경기|용문사|경기도 양평군 용문면 용문산로 782 (신점리 625)|조계종|
213|경기|대법사|경기도 여주시 가남읍 안금3길 3-43 (안금리 99-1 )|태고종|
214|경기|대성사|경기도 여주시 금사면 발림길 89-47 (외평리 453번지)|법상종|
215|경기|신륵사|경기도 여주시 신륵사길 73 (천송동 282)|조계종|
216|경기|흥왕사|경기도 여주시 북내면 당전로 345-4 (중암리 438)|조계종|
217|경기|원심원사|경기도 연천군 신서면 동내로 970번길 32-268 (내산리 354)|조계종|
218|경기|보적사|경기도 오산시 독산성로269번길 144 (지곶동 150)|조계종|
219|경기|동도사|경기도 용인시 처인구 이동면 어진로 842 (어비리 807-9)|불이종|
220|경기|백련사|경기도 용인시 처인구 포곡읍 에버랜드로456번길 290 (가실리 산14-2)|조계종|
221|경기|법륜사|경기도 용인시 처인구 원삼면 농촌파크로 126 (고당리 243-2)|조계종|
222|경기|용덕사|경기도 용인시 처인구 이동면 이원로 471-41 (묵리 478-2)|조계종|
223|경기|백운사|경기도 의왕시 왕곡로 323 (왕곡동 산3 )|조계종|
224|경기|청계사|경기도 의왕시 청계로 475 (청계동 11)|조계종|
225|경기|망월사|경기도 의정부시 망월로28번길 211-500 (호원동 413)|조계종|
226|경기|미륵암|경기도 의정부시 고산로65번길 94 (고산동 647)|조계종|
227|경기|석림사|경기도 의정부시 동일로122번길 177 (장암동 산147)|조계종|
228|경기|성불사|경기도 의정부시 호국로 1114번길 142(가능동 산81-219)|조계종|
229|경기|원효사|경기도 의정부시 망월로28번길 356 (호원동 229-149)|조계종|
230|경기|회룡사|경기도 의정부시 전좌로155번길 262 (호원동 411, 산89-1)|조계종|
231|경기|신흥사|경기도 이천시 장호원읍 경충대로519번길 246-314 (선읍리 930-2)|조계종|
232|경기|연화정사|경기도 이천시 설성면 설성로570번길 50-319 (자석리 산 51)|해동종|
233|경기|영원사|경기도 이천시 백사면 원적로869번길 309-52 (송말리 436)|조계종|
234|경기|영월암|경기도 이천시 경충대로2709번길 388 (관고동438)|조계종|
235|경기|검단사|경기도 파주시 탄현면 필승로 292-33 (성동리 689)|조계종|
236|경기|보광사|경기도 파주시 광탄면 보광로474번길 87 (영장리 13)|조계종|
237|경기|용상사|경기도 파주시 월롱면 용상골길 403 (덕은리 268-1)|일승종|
238|경기|용암사|경기도 파주시 광탄면 혜음로 742-28 (용미리 651-3)|조계종|
239|경기|만기사|경기도 평택시 진위면 진위로 181-82 (동천리 548)|조계종|
240|경기|보국사|경기도 평택시 서탄면 장등안길 38 (장등리 621)|태고종|
241|경기|서천사|경기도 평택시 고덕면 방축4길 22-49 (방축리 103-1)|해동종|
242|경기|수도사|경기도 평택시 포승읍 호암길 58 (원정리 85-3)|조계종|
243|경기|심복사|경기도 평택시 현덕면 심복사길 22 (덕목리 115)|조계종|
244|경기|약사사|경기도 평택시 안중읍 용성3길 120-10 (용성리 378)|조계종|
245|경기|자비사|경기도 평택시 팽성읍 동서촌로 137 (객사리 75)|조계종|
246|경기|왕산사|경기도 포천시 호병골길 193 (신읍동 699)|조계종|
247|경기|흥룡사|경기도 포천시 이동면 포화로 236-73 (도평리 38)|조계종|
248|경기|자인사|경기 포천시 영북면 산정호수로 808|조계종|
249|경기|만의사|경기도 화성시 동탄면 풀무골로 219 (중리 140)|조계종|
250|경기|봉림사|경기도 화성시 남양읍 주석로80번길 139 (북양리 642)|조계종|
251|경기|신흥사|경기도 화성시 서신면 신흥사길 17-34 (상안리 72-15)|조계종|
252|경기|용주사|경기도 화성시 용주로 136 (송산동 188)|조계종|
253|경기|석왕사|경기도 부천시 원미구 소사로 367 (원미동 산29-30)|조계종|
254|경기|선법사|경기도 하남시 서하남로588번길 125 (교산동 55-1)|태고종|
255|강원|낙가사|강원도 강릉시 강동면 정동진리 산17|조계종|
256|강원|법왕사|강원도 강릉시 구정면 어단리 산366|조계종|
257|강원|관음사|강원도 강릉시 금학동 29|조계종|
258|강원|용연사|강원도 강릉시 사천면 사기막리 821|조계종|
259|강원|보현사|강원도 강릉시 성산면 보광리 산544|조계종|
260|강원|청학사|강원도 강릉시 구정면 구정리 29|지암불교문화재단|
261|강원|극락암|강원도 고성군 간성읍 교동리 280|조계종|
262|강원|건봉사|강원도 고성군 거진읍 냉천리 36|조계종|
263|강원|화암사|강원도 고성군 토성면 신평리 476|조계종|
264|강원|삼화사|강원도 동해시 삼화동 산172|조계종|
265|강원|감추사|강원도 동해시 용정동 502-2|태고종|
266|강원|영은사|강원도 삼척시 근덕면 궁촌리 924|조계종|
267|강원|신흥사|강원도 삼척시 근덕면 동막리 1332|조계종|
268|강원|천은사|강원도 삼척시 미로면 내미로리 785|조계종|
269|강원|삼장사|강원도 삼척시 성내동 8-1|조계종|
270|강원|신흥사|강원도 속초시 설악동 170|조계종|
271|강원|계조암|강원도 속초시 설악동 216|조계종|
272|강원|보광사|강원도 속초시 동명동 579-2|조계종|
273|강원|진전사|강원도 양양군 강현면 둔전리 124-5|조계종|
274|강원|낙산사|강원도 양양군 강현면 전진리 55|조계종|
275|강원|홍련암|강원도 양양군 강현면 전진리 산5-2|조계종|
276|강원|영혈사|강원도 양양군 양양읍 파일이리 산323|조계종|
277|강원|명주사|강원도 양양군 현북면 어성전리 488|조계종|
278|강원|법흥사|강원도 영월군 무릉도원면 법흥리 산 5-3|조계종|
279|강원|보덕사|강원도 영월군 영월읍 영흥리 1110|조계종|
280|강원|금몽암|강원도 영월군 영월읍 영흥리 1117|조계종|
281|강원|구룡사|강원도 원주시 소초면 학곡2리 1029|조계종|
282|강원|입석사|강원도 원주시 소초면 흥양3리 산1|조계종|
283|강원|상원사|강원도 원주시 신림면 성남2리 1060|조계종|
284|강원|영천사|강원도 원주시 태장1동 122-1|조계종|
285|강원|영원사|강원도 원주시 판부면 금대리 1388|조계종|
286|강원|국형사|강원도 원주시 행구동 98|조계종|
287|강원|보문사|강원도 원주시 행구동 90-2|조계종|
288|강원|백담사|강원도 인제군 북면 용대2리 690|조계종|
289|강원|오세암|강원도 인제군 북면 용대리 산75|조계종|
290|강원|봉정암|강원도 인제군 북면 용대리 산76|조계종|
291|강원|백련정사|강원도 인제군 인제읍 상동3리 383|조계종|
292|강원|정암사|강원도 정선군 고한읍 고한리 산213|조계종|
293|강원|도피안사|강원도 철원군 동송읍 관우리 450|조계종|
294|강원|심원사|강원도 철원군 동송읍 상로리 72-1|조계종|
295|강원|청평사|강원도 춘천시 북산면 청평리 674|조계종|
296|강원|상원사|강원도 춘천시 서면 덕두원리 54-3|조계종|
297|강원|극락사|강원도 평창군 평창읍 중리 219-1|조계종|
298|강원|월정사|강원도 평창군 진부면 동산리 63-1|조계종|
299|강원|수타사|강원도 홍천군 동면 덕치리 산9|조계종|
300|강원|쌍계사|강원도 홍천군 내촌면 서곡리 19|조계종|
301|강원|봉복사|강원도 횡성군 청일면 신대리 138|태고종|
302|강원|보광사|강원도 횡성군 횡성읍 남산리 72-5|조계종|
303|충북|용화사|충청북도 청주시 서원구 사직동 216-1|조계종|
304|충북|보살사|충청북도 청주시 상당구 용암동 7|조계종|
305|충북|복천암|충청북도 청주시 상당구 수동 5-2|태고종|
306|충북|보현사|충청북도 청주시 청원구 우암동 산25|태고종|
307|충북|연화사|충청북도 청주시 흥덕구 비하동 395-29|태고종|
308|충북|청룡사|충청북도 청주시 흥덕구 수의동 507|태고종|
309|충북|화림사|충청북도 청주시 상당구 가덕면 병암리 산20-1|태고종|
310|충북|백족사|충청북도 청주시 상당구 가덕면 한계리 1|태고종|
311|충북|안심사|충청북도 청주시 서원구 남이면 사동리 271|조계종|
312|충북|동화사|충청북도 청주시 서원구 남이면 문동리 150|태고종|
313|충북|월리사|충청북도 청주시 상당구 문의면 염티소전로 55-100|조계종|
314|충북|현암사|충청북도 청주시 서원구 현도면 하석리 39-1|조계종|
315|충북|운용사|충청북도 청주시 상당구 미원면 운용리 274|태고종|
316|충북|단호사|충청북도 충주시 단월동 455|태고종|
317|충북|정심사|충청북도 충주시 단월동 2-14|태고종|
318|충북|대원사|충청북도 충주시 지현동 269|조계종|
319|충북|창룡사|충청북도 충주시 고든곤길 63-89|조계종|
320|충북|봉학사|충청북도 충주시 중앙탑면 장천리 산73|태고종|
321|충북|청룡사|충청북도 충주시 소태면 오량리 561-1|법화종|
322|충북|백운암|충청북도 충주시 엄정면 괴동리 223-2|조계종|
323|충북|신흥사|충청북도 충주시 엄정면 신만리 산3-6|법화종|
324|충북|석종사|충청북도 충주시 직동 148-1|조계종|
325|충북|미륵세계사|충청북도 충주시 수안보면 미륵리사지길 150 |조계종|
326|충북|복천사|충청북도 제천시 교동 140-25|대한불교육주회|
327|충북|원각사|충청북도 제천시 남천동 967|태고종|
328|충북|장락사|충청북도 제천시 장락동 64|선학원|
329|충북|무암사|충청북도 제천시 금성면 청풍호로39길 285|조계종|
330|충북|고산사|충청북도 제천시 덕산면 월악로9길 113|조계종|
331|충북|신륵사|충청북도 제천시 덕산면 월악리 803-5|조계종|
332|충북|백련사|충청북도 제천시 봉양읍 명암리 325|조계종|
333|충북|월명사|충청북도 제천시 송학면 시곡리 719-2|태고종|
334|충북|강천사|충청북도 제천시 송학면 시곡리 산79-6|선학원|
335|충북|정방사|충청북도 제천시 수산면 능강리 161-1|조계종|
336|충북|덕주사|충청북도 제천시 한수면 송계리 3|조계종|
337|충북|한산사|충청북도 제천시 남천동 1020|조계종|
338|충북|경은사|충청북도 제천시 백운면 금봉로 276|조계종|
339|충북|법주사|충청북도 보은군 속리산면 사내리 209|조계종|
340|충북|수정암|충청북도 보은군 속리산면 사내리 209|조계종|
341|충북|상환암|충청북도 보은군 속리산면 사내리 산1-21|조계종|
342|충북|복천암|충청북도 보은군 속리산면 사내리 산1-19|조계종|
343|충북|동암|충청북도 보은군 속리산면 사내리 산1-1|조계종|
344|충북|중사자암|충청북도 보은군 속리산면 사내리 산1-16|조계종|
345|충북|상고암|충청북도 보은군 속리산면 사내리 산1-1|조계종|
346|충북|탈골암|충청북도 보은군 속리산면 사내리 산1-12|조계종|
347|충북|여적암|충청북도 보은군 속리산면 사내리 산1-1|조계종|
348|충북|관음암|충청북도 보은군 속리산면 법주사로 658-191|조계종|
349|충북|구절사|충청북도 옥천군 군서면 상중리 산31-4|조계종|
350|충북|가산사|충청북도 옥천군 안내면 답양리 543|조계종|
351|충북|대성사|충청북도 옥천군 옥천읍 교동리 297-6|태고종|
352|충북|송림사|충청북도 옥천군 옥천읍 문정리 408-4|조계종|
353|충북|용암사|충청북도 옥천군 옥천읍 삼청리 산51-4|조계종|
354|충북|대성사|충청북도 옥천군 이원면 강청리 98-4|태고종|
355|충북|문수암|충청북도 옥천군 청성면 도장리 127-1|조계종|
356|충북|영암사|충청북도 영동군 심천면 심천리 238|선교종|
357|충북|영국사|충청북도 영동군 양산면 영국동길 225-35|조계종|
358|충북|금성사|충청북도 영동군 영동읍 부용리 436-2|조계종|
359|충북|중화사|충청북도 영동군 영동읍 화신로 529 |조계종|
360|충북|지장사|충청북도 영동군 황간면 난곡리 524-4|선교종|
361|충북|영천사|충청북도 영동군 황간면 신흥리 132-1|조계종|
362|충북|반야사|충청북도 영동군 황간면 우매리 151-1|조계종|
363|충북|영축선원|충청북도 영동군 매곡면 강진리 704-5|선학원|
364|충북|미륵사|충청북도 증평군 증평읍 송산리 산1-5|조계혜능종|
365|충북|보타사|충청북도 증평군 증평읍 연탄리 산63-64|태고종|
366|충북|광덕사|충청북도 증평군 도안면 광덕리 산21-2|법화종|
367|충북|성림사|충청북도 진천군 덕산면 산수리 39|태고종|
368|충북|용화사|충청북도 진천군 진천읍 신정리 584-1|조계종|
369|충북|대흥사|충청북도 진천군 진천읍 원덕리 산33-8|조계종|
