NAME|BRANCH|ADDR|TELL
초록마을|광주효천점|광주 남구 효우2로26번길 29|0626766249
초록마을|상무점|광주 서구 치평로 60|0623836205
초록마을|운암점|광주 북구 서강로54번길 35|0625156249
초록마을|첨단점|광주 광산구 첨단중앙로181번길 48|0629716289
초록마을|대구노변점|대구 수성구 노변로 103|0537945900
초록마을|대구담티역점|대구 수성구 교학로 18|0537591728
초록마을|대구대명점|대구 남구 대명남로 126|0536263300
초록마을|대구대실역점|대구 달성군 다사읍 대실역북로1길 21|0535886279
초록마을|대구만촌점|대구 수성구 동원로 123|0537426233
초록마을|대구범어점|대구 수성구 범어천로 107|0537435343
초록마을|대구범어파크점|대구 수성구 동대구로52길 27|0537465343
초록마을|대구송현점|대구 달서구 구마로40길 61|0536226234
초록마을|대구수성SK점|대구 수성구 동대구로 95|0537686249
초록마을|대구수성구청점|대구 수성구 범어로 61|0537436204
초록마을|대구수성점|대구 수성구 범어천로 180|0537526243
초록마을|대구신서혁신점|대구 동구 이노밸리로 158|0539656245
초록마을|대구월배점|대구 달서구 조암남로32길 12|0536320777
초록마을|대구월촌점|대구 달서구 송현로7길 10|0536325353
초록마을|대구율하점|대구 동구 율하서로 50|0539656249
초록마을|대구은행역점|대구 수성구 달구벌대로456길 9|0537546243
초록마을|대구이시아폴리스점|대구 동구 팔공로51길 33|0539866277
초록마을|대구죽전역점|대구 달서구 와룡로 169|0535676249
초록마을|대구칠곡점|대구 북구 대천로 100|0533126289
초록마을|대구황금점|대구 수성구 청수로 235|0537646263
초록마을|본리점|대구 달서구 당산로 43|0535576249
초록마을|부산마린시티점|부산 해운대구 마린시티2로 33|0517446200
초록마을|부산반여점|부산 해운대구 반여로 131|0515246212
초록마을|부산우동점|부산 해운대구 해운대해변로 117|0517446282
초록마을|상인점|대구 달서구 조암남로 42|0536316217
초록마을|센텀시티점|부산 해운대구 센텀중앙로 145|0517426646
초록마을|좌동점|부산 해운대구 대천로 130|0517046249
초록마을|침산점|대구 북구 침산로 153|0533586249
초록마을|해운대점|부산 해운대구 좌동순환로 173|0517036249
초록마을|부산거제점|부산 연제구 아시아드대로 106|0515066249
초록마을|부산구서점|부산 금정구 금강로 430|0515121005
