NAME|BRANCH|ADDR|TELL|XOCRD|YCORD
한샘|한샘 디자인파크 잠실점|서울특별시 송파구 백제고분로 217 (삼전동, 한샘잠실전시장)||127.090345441|37.504098154
한샘|한샘 디자인파크 방배점|서울특별시 서초구 사평대로2길 19-5 (방배동, 우림빌딩)||126.986171861|37.497507697
한샘|한샘 디자인파크 하남스타필드점|경기도 하남시 미사대로 750, 지하1층 (신장동, 스타필드 하남)||127.223740814|37.545435316
한샘|한샘 디자인파크 대구범어점|대구광역시 수성구 달구벌대로 2435, 1층 (범어동, 두산위브더제니스)||128.628962462|35.860158081
한샘|한샘 디자인파크 논현점|서울특별시 강남구 학동로 148 (논현동, 인성빌딩)||127.027118922|37.512591826
한샘|리하우스 대형쇼룸 양재점|서울특별시 서초구 청계산로 10, 2층 (양재동, 농협하나로클럽)||127.043870586|37.462797094
한샘|리하우스 대형쇼룸 송도 트리플스트리트점|인천광역시 연수구 송도과학로16번길 33-1, A동 B201 (송도동, 송도 트리플스트리트)||126.659177862|37.380894536
한샘|한샘 디자인파크 고양스타필드점|경기도 고양시 덕양구 고양대로 1955, 지하 1층 (동산동, 스타필드 고양)||126.894796373|37.64709165
한샘|리하우스 대형쇼룸 울산점|울산광역시 중구 번영로 464 (복산동)||129.334776281|35.563005264
한샘|리하우스 대형쇼룸 인천점|인천광역시 남동구 인하로 517 (구월동)||126.704480702|37.443305482
한샘|리하우스 대리점 (주) 포항|경상북도 포항시 북구 중흥로 196, 1층 (죽도동)||129.357064674|36.021072784
한샘|인테리어 대형쇼룸 울산점|울산광역시 남구 삼산로 364 (삼산동)||129.346822389|35.539552887
한샘|키친바흐 대형쇼룸 키친바흐 전문매장 논현점|서울특별시 강남구 학동로 157, B1F (논현동 원일빌딩)||127.027890281|37.513390747
한샘|리하우스 대리점 (주)디자인누리|경기도 수원시 영통구 중부대로368번길 8-12, 3층 (매탄동 농우바이오(주)수원영업소)||127.055210264|37.271962182
한샘|리하우스 대리점 (주)디자인아토|울산광역시 남구 수암로40번길 14, 201호 (신정동)||129.311234409|35.530754966
한샘|리하우스 대리점 (주) 리안건축|서울특별시 강동구 올림픽로91길 33 (천호동 현 빌딩)||127.124733032|37.548216826
한샘|키친바흐 대형쇼룸 롯데몰 은평점|서울특별시 은평구 통일로 1050, 3층 한샘키친&바스관 (진관동 롯데몰 은평점)||126.917900262|37.637536674
한샘|키친바흐 대형쇼룸 좌천점|부산광역시 동구 중앙대로 494, 5층 (범일동, 히람메디칼센타)||129.056933933|35.137321003
한샘|키친바흐 대형쇼룸 창원점|경상남도 창원시 의창구 창원대로 390 (팔용동)||128.640214098|35.234387047
한샘|리하우스 대형쇼룸 천안점|충청남도 천안시 동남구 신촌1길 23, 4층 (신방동 홈플러스)||127.120546125|36.787143809
한샘|키친바흐 대형쇼룸 인천스퀘어원 연수점|인천광역시 연수구 청능대로 210, 3층  (동춘동 스퀘어원)||126.68362206|37.405998163
한샘|리하우스 대리점 (주)드웰컴퍼니|서울특별시 양천구 은행정로5길 24-1, 드웰타워 2층 (신정동)||126.857072076|37.521108448
한샘|리하우스 대리점 (주)공간채 (경주점)|경상북도 경주시 원화로 492 (용강동)||129.222525986|35.86405693
한샘|리하우스 대리점 (주) 지현|전라북도 익산시 무왕로 1329 (팔봉동)||127.003647524|35.962467664
한샘|키친바흐 대형쇼룸 롯데마트 광교점|경기도 수원시 영통구 센트럴타운로 85, 아브뉴프랑 롯데마트 광교점 지하1층 한샘키친&바스  (이의동 광교C1 호반베르디움, Summit Place광교)||127.050470929|37.291567671
한샘|키친바흐 대형쇼룸 홈플러스 대전둔산점|대전광역시 서구 문예로 107 (둔산동, 홈플러스대전둔산점)||127.389079175|36.356328717
한샘|키친바흐 대형쇼룸 순천광양점|전라남도 광양시 순광로 466, C동 2층 (광양읍, 광양LF스퀘어)||127.56707683|34.96266679
한샘|키친바흐 대형쇼룸 부천중동점|경기도 부천시 길주로 254, 4층 (중동)||126.770617532|37.503181982
한샘|키친바흐 대형쇼룸 울산점|울산광역시 남구 삼산로 126, 파크랜드 교차로 (달동)||129.321150463|35.535465403
한샘|키친바흐 대형쇼룸 전주점|전라북도 전주시 덕진구 가리내로 46, 4층 (금암동, 아크로웨딩컨벤션)||127.131171611|35.83437443
한샘|키친바흐 대형쇼룸 천안아산점|충청남도 아산시 고속철대로 49 (배방읍)||127.108042812|36.788850998
한샘|키친바흐 대형쇼룸 달서점|대구광역시 달서구 월배로 421 (송현동)||128.552042828|35.831972052
한샘|인테리어 대형쇼룸 부산광복점|부산광역시 중구 중앙대로 2, 9층 (중앙동7가, 롯데백화점광복점)||129.036103028|35.097996132
한샘|리하우스 대리점 (주) 세컨다이브|경기도 성남시 분당구 운중로225번길 52-5, 102호 (판교동)||127.092438696|37.390544459
한샘|리하우스 대리점 (주) 시서태|경기도 부천시 길주로 246, 313호 (중동 부천중동리슈빌엔클래스)||126.769626779|37.503307997
한샘|리하우스 대리점 (주)롬퍼니처|인천광역시 남동구 논현고잔로 42 (고잔동)||126.711834486|37.386826327
한샘|키친바흐 대형쇼룸 홈플러스 센텀시티점|부산광역시 해운대구 센텀동로 6, 한샘키친&바스 3층 (우동 홈플러스 센텀시티점)||129.133691863|35.170913243
한샘|인테리어 대형쇼룸 남인천|인천광역시 미추홀구 경인로 441 (주안동)||126.689064376|37.458132599
한샘|키친바흐 대형쇼룸 광주점|광주광역시 서구 운천로 213, 2층 (치평동)||126.854530212|35.151209061
한샘|키친바흐 대형쇼룸 김해 아이스퀘어점|경상남도 김해시 김해대로 2342, 김해아이스퀘어몰 1층 (부원동)||128.883238637|35.225715745
한샘|리하우스 대리점 거제|부산광역시 동래구 연안로 45 (안락동)||129.107106963|35.191911951
한샘|리하우스 대리점 강릉교동|강원도 강릉시 경포로 74, 2층 (교동)||128.882651551|37.772038846
한샘|리하우스 대리점 153 인테리어 필름|경상남도 창원시 의창구 명서로 83 (명서동)||128.648883116|35.250026193
한샘|리하우스 대리점 고현|경상남도 거제시 고현로 59, 1층 (고현동)||128.619806802|34.886036432
한샘|리하우스 대리점 가람디자인|경기도 오산시 경기대로 154, 1층 101호 (원동, 패셔 폴라리스) (원동 패션 폴라리스)||127.073867547|37.138493844
한샘|리하우스 대리점 공간사랑|부산광역시 금정구 중앙대로 1675, 한샘리하우스 공간사랑대리점 (부곡동)||129.091415833|35.234036753
