##NAME|SUBNAME|TELNUM|ADDR@@쌍용자동차서비스프라자
쌍용자동차서비스프라자|금산||충청남도  금산군 금산읍 비단로 259(중도리 209-2)
쌍용자동차서비스프라자|금정||부산광역시  금정구 서동 237-4,5(반송로 379)
쌍용자동차서비스프라자|금천||서울특별시  금천구 시흥동 981-2(시흥대로 39)
쌍용자동차서비스프라자|기장||부산광역시  기장군 기장읍 대라리128-18(차성로 262)
쌍용자동차서비스프라자|기흥||경기도  용인시 기흥구 상갈동 123-13(상갈로 47)
쌍용자동차서비스프라자|김제||전라북도  김제시 금성로 11
쌍용자동차서비스프라자|김천||경상북도  김천시 어모면 남산리1583(시청로 300)
쌍용자동차서비스프라자|김포||경기도  김포시 통진읍 수참리 256(하성로 90)
쌍용자동차서비스프라자|김해||경상남도  김해시 내동 1073-3(금관대로 1360)
쌍용자동차서비스프라자|나주||전라남도  나주시 송월동 1451-1
쌍용자동차서비스프라자|남구||대구광역시  남구 대명동 690-8(대명로 192)
쌍용자동차서비스프라자|남양주||경기도  남양주시 금곡동 669-5(홍유릉로248번길 64)
쌍용자동차서비스프라자|남원||전라북도  남원시 도통동 290-4(동도1길 24)
쌍용자동차서비스프라자|남해||경상남도  남해군 남해읍 스포츠로 108
쌍용자동차서비스프라자|노원||서울특별시  노원구 상계동 401-5(노원로 482)
쌍용자동차서비스프라자|논산||충청남도  충남 논산시 생뫼길 35
쌍용자동차서비스프라자|논현고잔||인천광역시  앵고개로 677
쌍용자동차서비스프라자|달서||대구광역시  달서구 송현동 2015-8(앞산순환로 283)
쌍용자동차서비스프라자|담양||전라남도  담양군 담양읍 지침5길 33-6
쌍용자동차서비스프라자|당진||충청남도  당진시 시곡동 1120-1(당진시 시곡동 1120-1)
쌍용자동차서비스프라자|당진채운||충청남도  충남 당진시 남부로 69
쌍용자동차서비스프라자|대구중구||대구광역시  중구 동인동4가 455-3(국채보상로149길 11)
쌍용자동차서비스프라자|대덕||대전광역시  대덕구 오정동 391-12(대전로 1148)
쌍용자동차서비스프라자|대전서구||대전광역시  서구 가장동 21-5(유등로 445)
쌍용자동차서비스프라자|대전중구||대전광역시  중구 석교동 7-1(대종로 253)
쌍용자동차서비스프라자|대치||서울특별시  강남구 대치동 940-13(도곡로 435)
쌍용자동차서비스프라자|덕소||경기도  남양주시 와부읍 월문리1139-1(수레로 177)
쌍용자동차서비스프라자|덕양||경기도  고양시 덕양구 주교동 612-6(마상로126번길 71)
쌍용자동차서비스프라자|동광양||전라남도  광양시 중동 중마로 480
쌍용자동차서비스프라자|동구||대전광역시  동구 가양동 650-11(동대전로 250)
쌍용자동차서비스프라자|동김천||경상북도  김천시 백옥동 105-5(영남대로 1335-3)
쌍용자동차서비스프라자|동김해||경상남도  김해시 안동 382-10(분성로 617)
쌍용자동차서비스프라자|동남||충청남도  충남 천안시 동남구 용곡1길 70
쌍용자동차서비스프라자|동대문||서울특별시  동대문구 전농2동 127-359(서울시립대로 111)
쌍용자동차서비스프라자|동두천||경기도  동두천시 송내동 446-2(평화로 2085)
쌍용자동차서비스프라자|동암||인천광역시  부평구 십정2동 524-6(아트센터로 8)
쌍용자동차서비스프라자|동작||서울특별시  동작구 상도동 467-3(상도로 333)
쌍용자동차서비스프라자|동해||강원도  동해시 효가동 81(동해대로 4982)
쌍용자동차서비스프라자|마산||경상남도  마산시 월남동1가 18(문화동로 2-1)
쌍용자동차서비스프라자|마석||경기도  남양주시 화도읍 묵현리 372-74(마치로 314)
쌍용자동차서비스프라자|마포성산||서울특별시  서울 마포구 모래내로 89
쌍용자동차서비스프라자|만안||경기도  안양시 만안구 박달동 68-6(박달로 510)
쌍용자동차서비스프라자|무거||울산광역시  울산시 남구 대학로21번길 2(무거동 584-21)
쌍용자동차서비스프라자|무안||전라남도  무안군 무안읍 공항로 63-13
쌍용자동차서비스프라자|무주||전라북도  무주군 무주읍 당산리 1247-3(한풍루로 304)
쌍용자동차서비스프라자|문경||경상북도  문경시 매봉6길 8-11
쌍용자동차서비스프라자|문산||경기도  파주시 파주읍 봉서리 937-1(통일로 1498)
쌍용자동차서비스프라자|밀양||경상남도  밀양시 삼문동 581-1
쌍용자동차서비스프라자|방배||서울특별시  서초구 방배동 941-22(서초대로 72)
쌍용자동차서비스프라자|방화||서울특별시  강서구 방화동 535-15(양천로 40)
쌍용자동차서비스프라자|별내||경기도  남양주시 순화궁로 609
쌍용자동차서비스프라자|병점||경기도  화성시 기산동 18-9
쌍용자동차서비스프라자|보령||충청남도  보령시 동대동 894-7(천변남길 184)
쌍용자동차서비스프라자|보은||충청북도  보은군 보은읍 죽전리 100-6(보은로 24)
쌍용자동차서비스프라자|봉천||서울특별시  남부순환로 1689
쌍용자동차서비스프라자|봉화||경상북도  봉화군 더구로 4
쌍용자동차서비스프라자|부발||경기도  이천시 부발읍 신원리 549-2(중부대로 1864)
쌍용자동차서비스프라자|부산남구||부산광역시  남구 유엔로 67
쌍용자동차서비스프라자|부산진||부산광역시  부산진구 새싹로 224(초읍동)
쌍용자동차서비스프라자|부안||전라북도  부안군 부안읍 봉덕리 636-9(매창로 147)
쌍용자동차서비스프라자|부여||충청남도  부여읍 쌍북리 706, 602-1(성왕로 280-4)
쌍용자동차서비스프라자|부평||인천광역시  부평구 안남로 327
쌍용자동차서비스프라자|북구||부산광역시  북구 금곡동 1263-1 (효열로 23)
쌍용자동차서비스프라자|북양||경기도  화성시 북양동 510(주석로184번길 5)
쌍용자동차서비스프라자|북충주||충청북도  충주시 목행동 66(국원대로 405)
쌍용자동차서비스프라자|사천||경상남도  사천시 정동면 예수리 657-1(진삼로 1268)
쌍용자동차서비스프라자|사하||부산광역시  사하구 감천1동 750-1(을숙도대로 875)
쌍용자동차서비스프라자|산격||대구광역시  북구 산격동 622-27(호국로 21-3)
쌍용자동차서비스프라자|삼산||울산광역시  남구 삼산동 1506-11(월평로 223)
쌍용자동차서비스프라자|삼척||강원도  삼척시 사대안길 62
쌍용자동차서비스프라자|상당||충청북도  청주시 상당구 교동로 131(용담동)
쌍용자동차서비스프라자|상동||경상남도  거제시 상동동 493(계룡로 17)
쌍용자동차서비스프라자|상록||경기도  안산시 월피동 525-11(안산천서로 191)
쌍용자동차서비스프라자|상주||경상북도  상주시 신봉동 569-2
쌍용자동차서비스프라자|서귀포||제주도  서귀포시 중산간동로 7856 (동홍동)
쌍용자동차서비스프라자|서신||전라북도  전주시 완산구 서신동887-2(전룡로 56)
쌍용자동차서비스프라자|서오릉||서울특별시  은평구 구산동 339-4(서오릉로17길 2)
쌍용자동차서비스프라자|서정||경기도  평택시 서정동 887-10(송탄로 223)
쌍용자동차서비스프라자|서진주||경상남도  진주시 상봉동 1001-5,6번지(진주성로 84)
쌍용자동차서비스프라자|서천||충청남도  서천군 서천읍 화금리 671-7(서문로 73)
쌍용자동차서비스프라자|서초||서울특별시  서초구 서초동 1630-1(사임당로 94)
쌍용자동차서비스프라자|성남수정||경기도  성남시 수정구 탄리로 82 (태평동)
쌍용자동차서비스프라자|성북||서울특별시  성북구 하월곡동 84-34(오패산로3길 109)
쌍용자동차서비스프라자|성서||대구광역시  달서구 호림동 14-21(성서공단로11길 8)
쌍용자동차서비스프라자|성환||충청남도  천안시 성환읍 성환리 635-4(성환1로 360)
쌍용자동차서비스프라자|세교||경기도  오산시 내삼미동 864-1(수청로50번길 12)
쌍용자동차서비스프라자|소룡||전라북도  군산시 산북동 1226-6(공단대로 651-5)
쌍용자동차서비스프라자|소사||경기도  부천시 소사구 소사본동 216-35(소사로 152)
쌍용자동차서비스프라자|속초||강원도  속초시 조양동 1514-12(조양로 106-1)
쌍용자동차서비스프라자|송내||인천광역시  부평구 구산동 5-11(경인로 1212)
쌍용자동차서비스프라자|송산||경기도  화성시 송산면 삼존리 782(화성로 598)
쌍용자동차서비스프라자|송정||광주광역시  광산구 도산동 1134-11(송도로 123)
쌍용자동차서비스프라자|송천||전라북도  전주시 덕진구 송천동2가 492-83번지 (동부대로1163)
쌍용자동차서비스프라자|송파||서울특별시  송파구 오금동 126-5(동남로 311)
쌍용자동차서비스프라자|수성||대구광역시  수성구 만촌동 994-14(무열로 63)
쌍용자동차서비스프라자|수지||경기도  용인시 수지구 현암로 27
쌍용자동차서비스프라자|순천||전라남도  순천시 석현동 13(강변로 925)
쌍용자동차서비스프라자|숭의||인천광역시  숭의2동 309-15(인주대로 63)
쌍용자동차서비스프라자|시지||대구광역시  수성구 연호동 154-45(달구벌대로 2882)
쌍용자동차서비스프라자|시흥||경기도  시흥시 죽율로 200
쌍용자동차서비스프라자|신가||광주광역시  광산구 신가동 999-2(목련로394번길 10-6)
쌍용자동차서비스프라자|신북||경기도  포천시 신북면 호국로 2462
쌍용자동차서비스프라자|신정||울산광역시  남구 선암동 566-19 (두왕로 98)
쌍용자동차서비스프라자|신천||경기도  시흥시 은행동 530-1(은행로155번길 1)
쌍용자동차서비스프라자|강원고성||강원도  고성군 진부령로 2896
쌍용자동차서비스프라자|김포양촌||경기도  김포시 양촌읍 김포한강4로 266-1
쌍용자동차서비스프라자|남동||인천광역시  남동구 인주대로 791-1
쌍용자동차서비스프라자|대구북구||대구광역시  북구 학남로3길 31
쌍용자동차서비스프라자|대전유성||대전광역시  유성구 유성대로 622
쌍용자동차서비스프라자|동래||부산광역시  동래구 미남로 139
쌍용자동차서비스프라자|서인천||인천광역시  서구 경서동 999-1 (도요지로 182)
쌍용자동차서비스프라자|속초조양||강원도  속초시 소평로 135
쌍용자동차서비스프라자|연수||인천광역시  연수구 독배로 10
쌍용자동차서비스프라자|오정||경기도  부천시 삼작로 184
쌍용자동차서비스프라자|일죽||경기도  안성시 일죽면 금일로 413
쌍용자동차서비스프라자|정선||강원도  정선군 정선읍 정선로 1241
쌍용자동차서비스프라자|청양||충청남도  청양군 청양읍 교월리 129-2
쌍용자동차서비스프라자|아산||충청남도  아산시 방축동 19-1(신정로 689)
쌍용자동차서비스프라자|아중||전라북도  전주시 덕진구 인후동1가821-4(견훤로 228)
쌍용자동차서비스프라자|안동||경상북도  안동시 옥동 985-11(경북대로 333)
쌍용자동차서비스프라자|안동용상||경상북도  안동시 용상북1길 43-14
쌍용자동차서비스프라자|안산||경기도  안산시 상록구 항가울로 89
쌍용자동차서비스프라자|안성||경기도  안성시 신건지동 84(중앙로 127)
쌍용자동차서비스프라자|안중||경기도  평택시 현화리 654외 2필지(서동대로 1452)
쌍용자동차서비스프라자|양구||강원도  양구군 남면 170-1(정중앙로 352)
쌍용자동차서비스프라자|양산||경상남도  양산시 남부동 473-11(중앙로 45)
쌍용자동차서비스프라자|양양||강원도  양양군 양양읍 포월리71-54(동해대로 2845-1)
쌍용자동차서비스프라자|양재||서울특별시  서초구 동산로13길 30-2
쌍용자동차서비스프라자|양주||경기도  양주시 덕정동 222-6,7(회정로109번길 7-24)
쌍용자동차서비스프라자|양천||서울특별시  양천구 신정동 874-4
쌍용자동차서비스프라자|양평||경기도  양평군 양평읍 양근리504-12(양근로 75)
쌍용자동차서비스프라자|언양||울산광역시  울주군 삼남면 교동리 205-8 (울산역2길 70)
쌍용자동차서비스프라자|여수||전라남도  여수시 둔덕동 491-4(좌수영로 486)
쌍용자동차서비스프라자|여주||경기도  여주군 여주읍 점봉리 429-45,46(세종로 356-8)
쌍용자동차서비스프라자|여천||전라남도  여수시 성산로 120
쌍용자동차서비스프라자|연제||부산광역시  연제구 고분로 151
쌍용자동차서비스프라자|연천||경기도  연천군 전곡읍 전곡리 219-1(전곡로 11)
쌍용자동차서비스프라자|영광||전라남도  영광군 영광읍 신하리840-3(천년로11길 5)
쌍용자동차서비스프라자|영덕||경상북도  영덕군 영덕읍 우곡리 344-3(덕곡천길 10)
쌍용자동차서비스프라자|영도||부산광역시  영도구 청학동 217-1
쌍용자동차서비스프라자|영동||충청북도  영동군 영동읍 회동리352-5
쌍용자동차서비스프라자|영암||전라남도  영암군 덕진면 덕진리 199-15(예향로 1727)
쌍용자동차서비스프라자|영월||강원도  영월군 영월읍 영흥리 960-5(단종로 30)
쌍용자동차서비스프라자|영종||인천광역시  중구 백운로61번길 40
쌍용자동차서비스프라자|영주||경상북도  영주시 휴천1동 1732(구성로88번길 216)
쌍용자동차서비스프라자|영천||경상북도  영천시 성내동 175-6(최무선로 224)
쌍용자동차서비스프라자|예산||충청남도  예산군 예산읍 벚꽃로 98-4
쌍용자동차서비스프라자|예천||경상북도  예천군 예천읍 청복리 860-2(양궁로 56)
쌍용자동차서비스프라자|오창||충청북도  청원군 오창읍 송대리 317-2(양청송대길 127)
쌍용자동차서비스프라자|오천||경상북도  포항시 남구 오천읍 원리897-1(냉천로270번길 28)
쌍용자동차서비스프라자|옥천||충청북도  옥천군 옥천읍 금구리202-59(옥천로 1563-5)
쌍용자동차서비스프라자|완도||전라남도  완도군 완도읍 가용리1065-5(개포로159번길 17-8)
쌍용자동차서비스프라자|왜관||경상북도  칠곡군 왜관읍 왜관리 1185-10
쌍용자동차서비스프라자|용당||전라남도  목포시 용당동 1184-2(목포시 용당동 1184-2)
쌍용자동차서비스프라자|용봉||광주광역시  북구 용봉동 1337-5(설죽로 265)
쌍용자동차서비스프라자|용산||서울특별시  용산구 갈월동 69-108(한강대로 317)
쌍용자동차서비스프라자|용인||경기도  용인시 기흥구 중동 705-3(어정로 134-18)
쌍용자동차서비스프라자|울산중구||울산광역시  중구 서동 56-6(북부순환도로 842)
쌍용자동차서비스프라자|울진||경상북도  울진군 근남면 울진북로 105
쌍용자동차서비스프라자|웅상||경상남도  양산시 웅상대로 785
쌍용자동차서비스프라자|원곡||경기도  안산시 원곡동 995-2(삼일로 187-1)
쌍용자동차서비스프라자|원주단계||강원도  원주시 원문로 202
쌍용자동차서비스프라자|원주||강원도  원주시 단구동 576(단구로 265)
쌍용자동차서비스프라자|원통||강원도  인제군 북면 원통리 465-1(금강로18번길)
쌍용자동차서비스프라자|은평||서울특별시  은평구 응암3동 584-48(가좌로 250)
쌍용자동차서비스프라자|음성||충청북도  음성군 금왕읍 금석로 19
쌍용자동차서비스프라자|의왕||경기도  의왕시 철도박물관로 85
쌍용자동차서비스프라자|의정부||경기도  의정부시 녹양동 382-16(진등로 17)
쌍용자동차서비스프라자|이천||경기도  이천시 중리동458-10(이섭대천로1177번길 30)
쌍용자동차서비스프라자|익산||전라북도  익산시 남중동 323(익산대로44길 1)
쌍용자동차서비스프라자|인천남구||인천광역시  남구 도화동 551-2(경인로265번길 43)
쌍용자동차서비스프라자|인천서구||인천광역시  서구 오류동 55-4(봉수대로 1458)
쌍용자동차서비스프라자|일산동구||경기도  고양시 일산동구 경의로 367 (마두동)
쌍용자동차서비스프라자|일산||경기도  고양시 일산동구 식사동504-5(고양대로1119번길 41)
쌍용자동차서비스프라자|장성||전라남도  장성군 장성읍 영천리 1473-12(역전로 130)
쌍용자동차서비스프라자|장안||경기도  수원시 장안구 경수대로 1075
쌍용자동차서비스프라자|장유||경상남도  김해시 부곡동 317-4(장유로 87)
쌍용자동차서비스프라자|정관||부산광역시  정관읍 정관산업로 1123
쌍용자동차서비스프라자|정읍||전라북도  정읍시 농소동 48-63(벚꽃로 23)
쌍용자동차서비스프라자|제주||제주도  노형동 1100로 3218
쌍용자동차서비스프라자|제천||충청북도  제천시 내토로40나길 4
쌍용자동차서비스프라자|조치원||충청남도  연기군 조치원읍 서창리 295 - 5(돌마루5길 10)
쌍용자동차서비스프라자|종로||서울특별시  종로구 권농동 123(율곡로10길 5)
쌍용자동차서비스프라자|중랑||서울특별시  중랑구 봉우재로 15
쌍용자동차서비스프라자|중리||경상남도  창원시 마산회원구 내서읍 중리1117-1(광려천남로 13)
쌍용자동차서비스프라자|중흥||광주광역시  북구 중흥동 682-9(무등로262번길 61)
쌍용자동차서비스프라자|진도||전라남도  진도군 진도읍 쌍정리 257-3(쌍정1길 8)
쌍용자동차서비스프라자|진량||경상북도  경산시 진량읍 부기리365-1(대학로 1334)
쌍용자동차서비스프라자|진안||전라북도  진안군 진안읍 311-4(진무로 1008)
쌍용자동차서비스프라자|진영||경상남도  김해시 진영읍 김해대로332번길 13-10
쌍용자동차서비스프라자|진접||경기도  남양주시 진접읍 팔야리 565(금강로 1875)
쌍용자동차서비스프라자|진주||경상남도  진주시 말티고개로100번길 16-12
쌍용자동차서비스프라자|진천||충청북도  진천군 진천읍 장관리 5-6
쌍용자동차서비스프라자|진해||경상남도  진해구 풍호동 750-15
쌍용자동차서비스프라자|창녕||경상남도  창녕군 창녕읍 말흘리 712-6(화왕산로 180-5)
쌍용자동차서비스프라자|창원||경상남도  창원시 성산구 마디미로70번길 5
쌍용자동차서비스프라자|천안||충청남도  천안시 성정동 153블럭4롯드
쌍용자동차서비스프라자|철원||강원도  강원도 철원군 동송읍 금학로210번길 8-18
쌍용자동차서비스프라자|첨단||광주광역시  북구 대촌동 628-3(삼소로 179)
쌍용자동차서비스프라자|청당||충청남도  천안시 목천읍 삼성리 203-9(삼성4길 39)
쌍용자동차서비스프라자|청도||경상북도  청도군 청도읍 송읍리 526-1(새마을로 1398)
쌍용자동차서비스프라자|청주||충청북도  청주시 서원구 청남로 1833-50(미평동)
쌍용자동차서비스프라자|청평||경기도  가평군 청평면 청평리 432-76(여울길 24)
쌍용자동차서비스프라자|충효||경상북도  경주시 충효동 543-1(태종로 410)
쌍용자동차서비스프라자|칠곡||대구광역시  북구 태전동 148-6(태전로 18)
쌍용자동차서비스프라자|태백||강원도  태백시 태백로 608(화전동)
쌍용자동차서비스프라자|태안||충청남도  태안군 태안읍 동문리885-6(중앙로 176)
쌍용자동차서비스프라자|통영||경상남도  통영시 무전동 406번지(안개4길 117)
쌍용자동차서비스프라자|파주||경기도  파주시 아동동 87-1(통일로 578)
쌍용자동차서비스프라자|팔달||경기도  수원시 팔달구 경수대로 698((우만동)
쌍용자동차서비스프라자|팔용||경상남도  창원시 팔용동 165-12(사화로17번길 21)
쌍용자동차서비스프라자|평창||강원도  평창군 진부면 진부중앙로 161
쌍용자동차서비스프라자|평택||경기도  평택시 합정동 422-1
쌍용자동차서비스프라자|평화||전라북도  전주시 완산구 평화동2가 844-3(맏내로 149)
쌍용자동차서비스프라자|포천||경기도  포천시 선단동 153-9(호국로 1097)
쌍용자동차서비스프라자|포항남구||경상북도  포항시 남구 대잠동 909-8번지(새천년대로 409)
쌍용자동차서비스프라자|하남||경기도  하남시 신장동 303-9(신평로 180)
쌍용자동차서비스프라자|하단||부산광역시  사하구 하단동 611-49, 50(동매로 71)
쌍용자동차서비스프라자|하동||경상남도  하동군 하동읍 비파리 738(군청로 85)
쌍용자동차서비스프라자|함안||경상남도  함안군 가야읍 광정리 308-1,8(함안대로 456)
쌍용자동차서비스프라자|함양||경상남도  함양군 함양읍 운림리 337-3(상림1길 18)
쌍용자동차서비스프라자|함평||전라남도  함평군 함평읍 함장로 1202-9
쌍용자동차서비스프라자|해남||전라남도  해남군 해남읍 중앙1로 432
쌍용자동차서비스프라자|해룡||전라남도  순천시 해룡면 대안리 930-5
쌍용자동차서비스프라자|해운대||부산광역시  해운대구 중동 290-11(좌동로10번길 52-3)
쌍용자동차서비스프라자|행신||경기도  고양시 덕양구 행신동 709(무원로 8)
쌍용자동차서비스프라자|현풍||대구광역시  달성군 현풍면 원교리131-3, 309-2(비슬로 608-1)
쌍용자동차서비스프라자|호룡||경기도  평택시 독곡동 398-41(탄현로 387)
쌍용자동차서비스프라자|호원||경기도  의정부시 호원동 309-6(신흥로 67)
쌍용자동차서비스프라자|홍성||충청남도  홍성군 홍성읍 월산리 59-1(월계1길 6)
쌍용자동차서비스프라자|홍천||강원도  홍천군 홍천읍 갈마곡리 489-3(설악로 1800)
쌍용자동차서비스프라자|화서||경기도  수원시 팔달구 화서동 737
쌍용자동차서비스프라자|화성||경기도  화성시 팔탄면 삼천병마로 518-2
쌍용자동차서비스프라자|화성우정||경기도  화성시 장안면 기아자동차로 649-14
쌍용자동차서비스프라자|화순||전라남도  화순군 화순읍 교리 209-1(쌍충로 113)
쌍용자동차서비스프라자|화원||대구광역시  달성군 화원읍 명곡리 190(비슬로 2496)
쌍용자동차서비스프라자|화천||강원도  화천군 하남면 용암리 1126-9(춘화로 3258)
쌍용자동차서비스프라자|황금||대구광역시  수성구 중동 72-3(희망로 144)
쌍용자동차서비스프라자|후평||강원도  춘천시 후평1동 292-4(춘천로 391)
