##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@지역재래시장
먹자골음식문화의거리||127.6358745|37.2944527|지역재래시장|||경기도 여주시 세종로 40의 11|소형시장(점포 100개 미만);||||||먹자골음식문화의거리||||90302
모란가축시장||||지역재래시장||경기도 성남시 중원구 둔촌대로 79||공동시장;소형시장(점포 100개 미만);||||||모란가축시장||||90302
문산자유시장||126.7842678|37.8568861|지역재래시장||경기도 파주시 문산읍 문향로 57||공동시장;소형시장(점포 100개 미만);||||||문산자유시장||||90302
문화의거리||||지역재래시장||경기도 시흥시 호현로22번길 3||중형시장(점포 100~499개);||||||문화의거리||||90302
미금현대벤처빌시장||||지역재래시장||경기도 성남시 분당구 돌마로90번길 8||공동시장;소형시장(점포 100개 미만);||||||미금현대벤처빌시장||||90302
미래타운A상가||||지역재래시장||경기도 성남시 분당구 불정로386번길 10||법인시장;소형시장(점포 100개 미만);||||||미래타운A상가|미래타운A상가|||90302
미래타운제1종합시장||127.1381144|37.3731224|지역재래시장||경기도 성남시 분당구 불정로386번길 10||공동시장;소형시장(점포 100개 미만);||||||미래타운제1종합시장|(서현동,효자촌미래타운아파트)|||90302
미래타운제2종합시장||127.1388749|37.3720763|지역재래시장||경기도 성남시 분당구 불정로376번길 31||공동시장;소형시장(점포 100개 미만);||||||미래타운제2종합시장||||90302
반월제일현대상가||||지역재래시장||경기도 화성시 영통로 59||소형시장(점포 100개 미만);||||||반월제일현대상가||||90302
발안만세시장||126.9100668|37.134105|지역재래시장||경기도 화성시 향남읍 평2길 7||공동시장;중대형시장(점포 500~999개);||||||발안만세시장||||90302
범한프라자시장||||지역재래시장||경기도 성남시 분당구 불정로376번길 37||공동시장;소형시장(점포 100개 미만);||||||범한프라자시장|(서현동)|||90302
병점중심상가||||지역재래시장||경기도 화성시 효행로 1060||중대형시장(점포 500~999개);||||||병점중심상가||||90302
봉일천시장||126.8074|37.7429476|지역재래시장||경기도 파주시 조리읍 봉천로 33-1||공동시장;소형시장(점포 100개 미만);||||||봉일천시장||||90302
부곡도깨비시장||||지역재래시장||경기도 의왕시 부곡시장길 18||법인시장;중형시장(점포 100~499개);||||||부곡도깨비시장||||90302
부천상동시장||126.7634519|37.4908549|지역재래시장||경기도 부천시 석천로60번길 51||공동시장;중형시장(점포 100~499개);||||||부천상동시장||||90302
북광장상가||||지역재래시장||경기도 화성시 효행로 1060||중형시장(점포 100~499개);||||||북광장상가||||90302
분당우성시장||127.1321687|37.3782231|지역재래시장||경기도 성남시 분당구 중앙공원로40번길 42||공동시장;소형시장(점포 100개 미만);||||||분당우성시장||||90302
분당종합시장||127.1267239|37.3671332|지역재래시장||경기도 성남시 분당구 돌마로 366번길 42||공동시장;소형시장(점포 100개 미만);||||||분당종합시장||||90302
사강시장||126.7363218|37.2133389|지역재래시장||경기도 화성시 송산면 사강로 183-1||공동시장;중형시장(점포 100~499개);||||||사강시장||||90302
사기막골도자기시장||127.411931|37.2947916|지역재래시장||경기도 이천시 경충대로2993번길 24||공동시장;소형시장(점포 100개 미만);||||||사기막골도자기시장|(사음동)|||90302
산본로데오거리상점가||126.9317468|37.3591831|지역재래시장||경기도 군포시 산본로 323번길 10-22||대형시장(점포 1,000개 이상);||||||산본로데오거리상점가||||90302
산본시장||126.9372612|37.3705438|지역재래시장||경기도 군포시 산본천로 181||공동시장;중형시장(점포 100~499개);||||||산본시장||||90302
삼송시장||||지역재래시장||경기도 고양시 덕양구 삼송로205번길 10||소형시장(점포 100개 미만);||||||삼송시장||||90302
상대원시장||127.1587593|37.4359433|지역재래시장||경기도 성남시 중원구 희망로344번길 6||공동시장;소형시장(점포 100개 미만);||||||상대원시장||||90302
서정리시장||127.0545554|37.0575985|지역재래시장||경기도 평택시 서정역로 40번길 40||공동시장;중형시장(점포 100~499개);||||||서정리시장||||90302
서현역상점가||127.1254716|37.3868034|지역재래시장||경기도 성남시 분당구 황새울로311번길 14||중대형시장(점포 500~999개);||||||서현역상점가||||90302
석수시장||126.9074253|37.417107|지역재래시장||경기도 안양시 만안구 석천로 171번길 20||법인시장;소형시장(점포 100개 미만);||||||석수시장||||90302
선부광장로||||지역재래시장||경기도 안산시 단원구 삼일로 310||중대형시장(점포 500~999개);||||||선부광장로|401-2호|||90302
설악리/신천리/상점가||||지역재래시장||경기도 가평군 설악면 신천중앙로 139||중형시장(점포 100~499개);||||||설악리 신천리 상점가||||90302
성남남한산성시장||||지역재래시장||경기도 성남시 중원구 산성대로518번길 7||법인시장;소형시장(점포 100개 미만);|||||은행골목시장|성남남한산성시장||||90302
성남지하상가||127.1388351|37.4340286|지역재래시장||경기도 성남시 중원구 산성대로 204-5||중형시장(점포 100~499개);||||||성남지하상가||||90302
세아프라자상가||127.0502495|37.90052|지역재래시장||경기도 동두천시 큰시장로 64||공동시장;소형시장(점포 100개 미만);||||||세아프라자상가||||90302
송탄시장||127.0570971|37.0820678|지역재래시장||경기도 평택시 탄현로 346번길 24||공동시장;중형시장(점포 100~499개);||||||송탄시장||||90302
스타프라자전통시장||||지역재래시장||경기도 안산시 상록구 화랑로 513||공동시장;중형시장(점포 100~499개);||||||스타프라자전통시장||||90302
시흥삼미시장||126.7838563|37.4404457|지역재래시장||경기도 시흥시 삼미시장2길 35||공동시장;중형시장(점포 100~499개);||||||시흥삼미시장||||90302
신안코아||||지역재래시장||경기도 안산시 상록구 반석로 44||공동시장;중형시장(점포 100~499개);||||||신안코아||||90302
신안프라자전통시장||||지역재래시장||경기도 안산시 상록구 반석로 54||공설시장;중형시장(점포 100~499개);||||||신안프라자전통시장||||90302
안성시장||127.2704023|37.0065988|지역재래시장||경기도 안성시 시장길 37||공동시장;소형시장(점포 100개 미만);||||||안성시장||||90302
안양1번가||126.92305|37.3997943|지역재래시장||경기도 안양시 만안구 안양로 258번길 ||중대형시장(점포 500~999개);||||||안양1번가||||90302
안양1번가지하쇼핑몰||126.9187585|37.4168283|지역재래시장||경기도 안양시 만안구 만안로 17||중형시장(점포 100~499개);||||||안양1번가지하쇼핑몰||||90302
안양관양시장||126.9600334|37.4042846|지역재래시장||경기도 안양시 동안구 관평로 336번길 31||공동시장;소형시장(점포 100개 미만);||||||안양관양시장||||90302
안양중앙인정시장||126.9195788|37.3976235|지역재래시장||경기도 안양시 만안구 냉천로185번길 8||공동시장;중대형시장(점포 500~999개);||||||안양중앙인정시장||||90302
안양중앙지하상가||126.9238618|37.3798288|지역재래시장||경기도 안양시 만안구 안양로 301||소형시장(점포 100개 미만);||||||안양중앙지하상가|(안양동)|||90302
안양호계종합시장||126.9584336|37.3735453|지역재래시장||경기도 안양시 동안구 흥안대로 113||공동시장;중형시장(점포 100~499개);||||||안양호계종합시장||||90302
안중시장||126.9282913|36.9874439|지역재래시장||경기도 평택시 안중읍 안현로서3길 29||공동시장;중형시장(점포 100~499개);||||||안중시장||||90302
양곡시장||||지역재래시장||경기도 김포시 양촌읍 양곡1로 42-2||공동시장;소형시장(점포 100개 미만);||||||양곡시장||||90302
양곡장터시장||||지역재래시장||경기도 김포시 양곡1로 54||공동시장;소형시장(점포 100개 미만);||||||양곡장터시장||||90302
양수리전통시장||127.3199422|37.5445329|지역재래시장||경기도 양평군 양서면 양수로 3의15 ||공설시장;중형시장(점포 100~499개);|||||양평양수리시장|양수리전통시장||||90302
양평물맑은시장||127.4927594|37.4909446|지역재래시장||경기도 양평군 양평읍 양평시장길18번길 3||공설시장;중형시장(점포 100~499개);||||||양평물맑은시장||||90302
역전시장||127.0026992|37.2667918|지역재래시장||경기도 수원시 팔달구 매산로 2의 10||법인시장;중형시장(점포 100~499개);||||||역전시장||||90302
역전지하도상가||126.998482|37.2694747|지역재래시장||경기도 수원시 팔달구 덕영대로 907-65||소형시장(점포 100개 미만);||||||역전지하도상가||||90302
예술광장로/상점가||||지역재래시장||경기도 안산시 상록구 예술광장로 ||중형시장(점포 100~499개);||||||예술광장로 상점가||||90302
오색시장||127.0688718|37.1518977|지역재래시장||경기도 오산시 오산로 272번길 21||공동시장;중형시장(점포 100~499개);||||||오색시장||||90302
와우로상가||||지역재래시장||경기도 화성시 봉답읍 와우로 79||소형시장(점포 100개 미만);||||||와우로상가||||90302
용문천년시장||127.5912869|37.4850982|지역재래시장||경기도 양평군 용문면 시장2길 ||공설시장;중형시장(점포 100~499개);||||||용문천년시장||||90302
운천전통시장||127.2718649|38.0901531|지역재래시장||경기도 포천시 영북면 영북로 177번길 25||공동시장;소형시장(점포 100개 미만);||||||운천전통시장||||90302
원당시장||126.8374016|37.6564743|지역재래시장||경기도 고양시 덕양구 호곡로 790번길 17||공동시장;소형시장(점포 100개 미만);||||||원당시장||||90302
월드프라자||||지역재래시장||경기도 안산시 상록구 본삼로 60||공동시장;소형시장(점포 100개 미만);||||||월드프라자||||90302
은행시장||127.164473|37.457549|지역재래시장||경기도 성남시 중원구 산성대로 526||공동시장;소형시장(점포 100개 미만);||||||은행시장||||90302
의정부시장||127.0514097|37.7395877|지역재래시장||경기도 의정부시 시민로143번길 40||공동시장;소형시장(점포 100개 미만);||||||의정부시장||||90302
의정부역지하상가||127.0452534|37.7382666|지역재래시장||경기도 의정부 시민로 100||중대형시장(점포 500~999개);||||||의정부역지하상가|지하|||90302
의정부제일시장||127.0503901|37.7397326|지역재래시장||경기도 의정부시 태평로 73번길 20||법인시장;중형시장(점포 100~499개);||||||의정부제일시장||||90302
의정부청과야채시장||127.0526864|37.738405|지역재래시장||경기도 의정부시 시민로 157번길 ||공동시장;소형시장(점포 100개 미만);||||||의정부청과야채시장||||90302
일동전통시장||127.3156429|37.9568376|지역재래시장||경기도 포천시 일동면 화동로 1090-14||공동시장;소형시장(점포 100개 미만);||||||일동전통시장||||90302
일산서문상점가||||지역재래시장||경기도 고양시 일산 서구 고양대로 667-3||중형시장(점포 100~499개);||||||일산서문상점가||||90302
일산시장||126.7708106|37.68558|지역재래시장||경기도 고양시 일산서구 일행로 12번길 9||공동시장;소형시장(점포 100개 미만);||||||일산시장||||90302
장안문거북시장||127.0138163|37.2915628|지역재래시장||경기도 수원시 장안구 수성로370번길 52||공동시장;중형시장(점포 100~499개);||||||장안문거북시장||||90302
적성전통시장||||지역재래시장||경기도 파주시 적성면 청송로 1023||법인시장;소형시장(점포 100개 미만);||||||적성전통시장||||90302
전곡재래시장||127.0681518|38.0270052|지역재래시장||경기도 연천시 전곡읍 전곡로172번길 14||공동시장;소형시장(점포 100개 미만);||||||전곡재래시장||||90302
정자시장||127.0008933|37.2906606|지역재래시장||경기도 수원시 장안구 수성로 261번길 16||공동시장;중형시장(점포 100~499개);||||||정자시장||||90302
제일쇼핑시장||126.9929882|37.427291|지역재래시장||경기도 과천시 별양상가 2로 14||법인시장;중형시장(점포 100~499개);||||||제일쇼핑시장||||90302
제일시장||127.631502|37.2985344|지역재래시장||경기도 여주시 여흥로 57번길 20||법인시장;소형시장(점포 100개 미만);||||||제일시장||||90302
조공시장||126.8052777|37.4801909|지역재래시장||경기도 부천시 소사구 범안로 8번길 11||공동시장;소형시장(점포 100개 미만);||||||조공시장||||90302
조암시장||126.8185704|37.0827231|지역재래시장||경기도 화성시 우정읍 조암남로 8||공동시장;중형시장(점포 100~499개);||||||조암시장||||90302
조원시장||127.0153916|37.3003272|지역재래시장||경기도 수원시 장안구 송정로 187번길 35의 1새마을금고 지층 ||공동시장;중형시장(점포 100~499개);||||||조원시장||||90302
죽산시장||127.4236497|37.0760367|지역재래시장||경기도 안성시 죽산면 중서길 8-9||공동시장;소형시장(점포 100개 미만);||||||죽산시장||||90302
죽전로데오상점가전통시장||||지역재래시장||경기도 용인시 수지구 용구대로 2725의1 ||공동시장;중형시장(점포 100~499개);||||||죽전로데오상점가전통시장||||90302
중앙시장||126.9195788|37.3976235|지역재래시장||경기도 안양시 만안구 냉천로 196||공동시장;중형시장(점포 100~499개);||||||중앙시장||||90302
중앙시장||127.051999|37.0808818|지역재래시장||경기도 평택시 중앙시장로 18-4||공동시장;중형시장(점포 100~499개);||||||중앙시장||||90302
중앙시장||127.0536925|37.9064753|지역재래시장||경기도 동두천시 중앙로285번길 9||공동시장;중형시장(점포 100~499개);||||||중앙시장||||90302
중앙시장||127.2687905|37.0065303|지역재래시장||경기도 안성시 장기로45번길 30||공동시장;소형시장(점포 100개 미만);||||||중앙시장||||90302
청구문화시장||||지역재래시장||경기도 성남시 분당구 내정로165번길 38||공동시장;소형시장(점포 100개 미만);||||||청구문화시장||||90302
코끼리시장||127.1205679|37.3729184|지역재래시장||경기도 성남시 분당구 내정로 166번길 7-6||공동시장;소형시장(점포 100개 미만);||||||코끼리시장||||90302
코코프라자시장||127.1240252|37.3858213|지역재래시장||경기도 성남시 서현로210번길 20||공동시장;소형시장(점포 100개 미만);||||||코코프라자시장||||90302
통복시장||127.085074|36.997786|지역재래시장||경기도 평택시 동복시장로 25번길 10||공동시장;중대형시장(점포 500~999개);||||||통복시장||||90302
통진시장||126.5994942|37.6914165|지역재래시장||경기도 김포시 서암로84번길 29||공동시장;중형시장(점포 100~499개);||||||통진시장||||90302
평촌1번가||126.9533161|37.3904112|지역재래시장||경기도 안양시 동안구 평촌대로 223번길 48||중대형시장(점포 500~999개);||||||평촌1번가|백운빌딩 b01호|||90302
하남시동석바대시장상점가||||지역재래시장||경기도 하남시 하남대로 801번길 43||소형시장(점포 100개 미만);||||||하남시동석바대시장상점가||||90302
하남시서석바대시장상점가||||지역재래시장||경기도 하남시 하남대로 801번길 56||소형시장(점포 100개 미만);||||||하남시서석바대시장상점가||||90302
한대앞역상점가||||지역재래시장||경기도 안산시 상록구 광덕1로 379||중대형시장(점포 500~999개);||||||한대앞역상점가||||90302
현대시장||127.1319666|37.4416651|지역재래시장||경기도 성남시 수정구 수정북로 18||법인시장;소형시장(점포 100개 미만);||||||현대시장||||90302
현대시장||127.1301398|37.379385|지역재래시장||경기도 성남시 중앙공원로40번길 8||공동시장;소형시장(점포 100개 미만);|||||분당|현대시장||||90302
현대프라자시장||127.1236449|37.3699785|지역재래시장||경기도 성남시 분당구 돌마로 364||공동시장;소형시장(점포 100개 미만);||||||현대프라자시장||||90302
호계시장||126.9592294|37.3747011|지역재래시장||경기도 안양시 동안구 흥안대로 113||법인시장;중형시장(점포 100~499개);||||||호계시장||||90302
가야상설시장||128.4064797|35.2725591|지역재래시장||경상남도 함안군 가야읍 가야8길 8||법인시장;소형시장(점포 100개 미만);|||||가야시장|가야상설시장||||90302
가야시장||128.138319|35.7602566|지역재래시장||경상남도 합천군 가야면 가야시장로 63-15||공설시장;소형시장(점포 100개 미만);||||||가야시장||||90302
가음정대상가||128.6970083|35.2080478|지역재래시장||경상남도 창원시 성산구 원이대로 883||공동시장;중형시장(점포 100~499개);||||||가음정대상가|15-24|||90302
가음정시장||128.7004538|35.2130995|지역재래시장||경상남도 창원시 성산구 원이대로863번길 24||공동시장;중형시장(점포 100~499개);||||||가음정시장||||90302
거창시장||127.9140091|35.6870497|지역재래시장||경상남도 거창군 거창읍 중앙로 140||공설시장;중형시장(점포 100~499개);||||||거창시장||||90302
경민인터빌상가||128.5838156|35.2319084|지역재래시장||경상남도 창원시 마산회원구 양덕북12길 113||법인시장;소형시장(점포 100개 미만);||||||경민인터빌상가||||90302
경창상가||128.6792712|35.2202031|지역재래시장||경상남도 창원시 성산구 상남로 67||공동시장;소형시장(점포 100개 미만);||||||경창상가||||90302
경화시장||128.6904273|35.1567554|지역재래시장||경상남도 창원시 진해구 경화로 38번길 ||공설시장;중형시장(점포 100~499개);||||||경화시장||||90302
계천공설시장||127.8095769|34.9960488|지역재래시장||경상남도 하동군 금남면 섬진강대로 977-17||공설시장;소형시장(점포 100개 미만);|||||계천시장|계천공설시장||||90302
고성공룡시장||128.3234223|34.9726431|지역재래시장||경상남도 고성군 고성읍 성내로112번길 75-8||공동시장;소형시장(점포 100개 미만);||||||고성공룡시장||||90302
고성시장||128.323632|34.9772427|지역재래시장||경상남도 고성군 고성읍 중앙로25번길 57||법인시장;중형시장(점포 100~499개);||||||고성시장||||90302
고현공설시장||||지역재래시장||경상남도 남해군 고현면 탑동로 68-2||공설시장;소형시장(점포 100개 미만);||||||고현공설시장||||90302
곤양종합시장||127.9627417|35.0566677|지역재래시장||경상남도 사천시 곤양면 남산로 65||공설시장;소형시장(점포 100개 미만);||||||곤양종합시장||||90302
구암시장||128.5996447|35.2495491|지역재래시장||경상남도 창원시 마산 회원구 구암남 14길 8||법인시장;소형시장(점포 100개 미만);||||||구암시장||||90302
구암현대시장||128.5915299|35.2482126|지역재래시장||경상남도 창원시 마산회원구 구암서5길 15||공동시장;소형시장(점포 100개 미만);||||||구암현대시장||||90302
군복공설시장||128.3465424|35.261095|지역재래시장||경상남도 함안군 군북면 중암8길 27||공설시장;소형시장(점포 100개 미만);||||||군복공설시장||||90302
금곡시장||128.1857069|35.0903807|지역재래시장||경상남도 진주시 금곡면 두문리 월아산로115번길 26||공설시장;소형시장(점포 100개 미만);||||||금곡시장||||90302
기산프라자||||지역재래시장||경상남도 창원시 오동동14길 29||법인시장;소형시장(점포 100개 미만);||||||기산프라자||||90302
김해전통시장||128.8833725|35.2361512|지역재래시장||경상남도 김해시 호계로 517번길 5-13||공동시장;중형시장(점포 100~499개);|||||김해동상시장|김해전통시장||||90302
김해중앙상가||128.8819995|35.2353752|지역재래시장||경상남도 김해시 가락로94번길 ||대형시장(점포 1,000개 이상);||||||김해중앙상가||||90302
남면공설시장||127.8859393|34.7710586|지역재래시장||경상남도 남해군 남면 남서대로 785-5||공설시장;소형시장(점포 100개 미만);||||||남면공설시장||||90302
남지시장||128.4825203|35.3890819|지역재래시장||경상남도 창녕군 남지읍 본동길 4||공동시장;소형시장(점포 100개 미만);||||||남지시장||||90302
남해전통시장||127.894447|34.8410112|지역재래시장||경상남도 남해군 남해읍 화전로 110||법인시장;중형시장(점포 100~499개);||||||남해전통시장||||90302
