##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@레드테이블
명동교자||||레드테이블|||서울 중구 명동2가 25-2|||||||명동교자||||
베니건스|서울역점|||레드테이블|||서울 중구 봉래동2가 122-11|||||||베니건스(서울역점)||||
레미콘||||레드테이블|||서울시 강남구 신사동 547-12|||||||레미콘|1층|||
로스꼬꼬||||레드테이블|||서울 마포구 서교동 358-37|||||||로스꼬꼬||||
닭날다|홍대점|||레드테이블|||서울 마포구 서교동 360-17|||||||닭날다(홍대점)||||
봉구비어(강남역)||||레드테이블|||서울시 강남구 역삼동 811-6|||||||봉구비어(강남역)||||
마망갸또|본점|||레드테이블|||서울 강남구 신사동 524-27|||||||마망갸또(본점)||||
고디바||||레드테이블|||서울시 마포구 서교동 360-6|||||||고디바||||
박용석스시||||레드테이블|||서울시 마포구 서교동 465-1|||||||박용석스시||||
멘야산다이메||||레드테이블|||서울 마포구 서교동 355-25|||||||멘야산다이메||||
제일제면소|여의도IFC점|||레드테이블|||서울 영등포구 여의도동 23|||||||제일제면소(여의도IFC점)||||
돈코보쌈||||레드테이블|||서울 마포구 연남동 568-38|||||||돈코보쌈||||
매화반점||||레드테이블|||서울 광진구 자양동 4-11|||||||매화반점||||
한옥집||||레드테이블|||서울 서대문구 냉천동 178|||||||한옥집||||
새벽집||||레드테이블|||서울 강남구 청담동 129-10|||||||새벽집||||
로니로티|건대점|||레드테이블|||서울시 광진구 화양동 7-44|||||||로니로티(건대점)|단산화양빌딩 3층|||
코다차야||||레드테이블|||서울시 마포구 상수동 93-45|||||||코다차야||||
스윗비||||레드테이블|||서울시 용산구 이태원동 673|||||||스윗비||||
해주냉면||||레드테이블|||서울 송파구 잠실본동 183-4|||||||해주냉면||||
함박식당||||레드테이블|||서울 마포구 서교동 402-5|||||||함박식당||||
수지스||||레드테이블|||서울 용산구 이태원동 34-16|||||||수지스||||
호밀밭||||레드테이블|||서울 서대문구 창천동 4-77|||||||호밀밭||||
무이무이||||레드테이블|||서울 강남구 신사동 653-4|||||||무이무이||||
카페마마스||||레드테이블|||서울특별시 영등포구 영등포동4가 442|||||||카페마마스||||
돈부리|명동점|||레드테이블|||서울 중구 저동1가 103-9|||||||돈부리(명동점)||||
일비노파스타||||레드테이블|||서울 마포구 동교동 197-42|||||||일비노파스타||||
에이미초코||||레드테이블|||서울 강남구 신사동 524-18|||||||에이미초코||||
빕스|홍대점|||레드테이블|||서울 마포구 동교동 166-6|||||||빕스(홍대점)||||
밀탑|현대백화점압구정점|||레드테이블|||서울 강남구 압구정동 429|||||||밀탑(현대백화점압구정점)||||
디오디아||||레드테이블|||서울 서초구 양재동 24|||||||디오디아||||
카페마마스|광화문점|||레드테이블|||서울시 종로구 중학동 19|||||||카페마마스(광화문점)||||
프랭크||||레드테이블||서울 용산구 소월로44길 41||||||FRANK's||프랭크(FRANK'S)||||
듀자미||||레드테이블|||서울 강남구 신사동 535-9|||||||듀자미||||
겐지||||레드테이블|||서울 마포구 상수동 318-2|||||||겐지||||
니뽕내뽕|명동점|||레드테이블|||서울시 중구 명동2가 32-2|||||||니뽕내뽕(명동점)||||
니뽕내뽕|타임스퀘어직영점|||레드테이블|||서울시 영등포구 영등포동 4가 441-10|||||||니뽕내뽕(타임스퀘어직영점)||||
토다이|목동점|||레드테이블|||서울 양천구 목동 908-28|||||||토다이(목동점)||||
우노|용산점|||레드테이블|||서울 용산구 한강로3가 40-999|||||||우노(용산점)||||
영화루||||레드테이블||서울 종로구 자하문로7길 65||||||||영화루||||
모로미|홍대점|||레드테이블|||서울 마포구 서교동 364-4|||||||모로미(홍대점)||||
육회자매집||||레드테이블||서울 종로구 종로 200-4||||||||육회자매집|제우빌딩|||
세븐스프링스||||레드테이블|||서울시 송파구 잠실동 40-1|||||||세븐스프링스|B1F 롯데월드 어드벤처 세븐스프링스|||
클로리스|홍대점|||레드테이블|||서울 마포구 서교동 358-18|||||||클로리스(홍대점)||||
밥스바비||||레드테이블|||서울시 마포구 연남동 358-1|||||||밥스바비||||
도쿄팡야|가로수길점|||레드테이블|||서울 강남구 신사동 543-8|||||||도쿄팡야(가로수길점)||||
고블앤고|이태원점|||레드테이블||서울 용산구 이태원로19길 12||||||||고블앤고(이태원점)||||
스쿨푸드|가로수길점|||레드테이블|||서울시 강남구 신사동 538|||||||스쿨푸드(가로수길점)||||
서가앤쿡|혜화점|||레드테이블|||서울 종로구 동숭동 1-145|||||||서가앤쿡(혜화점)||||
혼가츠||||레드테이블|||서울특별시 마포구 서교동 358-49|||||||혼가츠||||
서가앤쿡|신림점|||레드테이블|||서울 관악구 신림동 1424-28|||||||서가앤쿡(신림점)|서원프라자 B1|||
바피아노|강남점|||레드테이블|||서울 서초구 서초동 1317-16|||||||바피아노(강남점)||||
부탄츄|홍대점|||레드테이블|||서울 마포구 서교동 330-19|||||||부탄츄(홍대점)||||
어글리스토브홍대점||||레드테이블||서울 마포구 홍익로 19||||||||어글리스토브홍대점|2층|||
시향||||레드테이블|||서울시 마포구 서교동 376-5|||||||시향||||
맛있는교토||||레드테이블|||서울시 마포구 서교동 362-9|||||||맛있는교토||||
유가네||||레드테이블|||서울시 중구 명동2가 3-1|||||||유가네||||
연남서서갈비||||레드테이블|||서울 마포구 노고산동 109-69|||||||연남서서갈비||||
코푸플레이트|강남본점|||레드테이블|||서울시 강남구 역삼동 817-37|||||||코푸플레이트(강남본점)||||
시카고피자||||레드테이블|||서울 용산구 이태원동 119-8|||||||시카고피자||||
젤렌|이태원점|||레드테이블|||서울 용산구 이태원동 116-14|||||||젤렌(이태원점)||||
호미빙|강남역점|||레드테이블|||서울시 강남구 역삼동 815-7|||||||호미빙(강남역점)||||
대도식당|왕십리본점|||레드테이블|||서울 성동구 홍익동 431|||||||대도식당(왕십리본점)||||
비트윈|이태원점|||레드테이블|||서울 용산구 이태원동 124-7|||||||비트윈(이태원점)||||
북막골||||레드테이블||서울 종로구 삼청로 124-6||||||||북막골||||
라이너스바베큐||||레드테이블|||서울시 용산구 이태원동 56-20|||||||라이너스바베큐||||
코코브루니|홍대점|||레드테이블|||서울 마포구 동교동 165-3|||||||코코브루니(홍대점)||||
요기|신촌점|||레드테이블|||서울 서대문구 창천동 13|||||||요기(신촌점)|3|||
진진바라|서울점|||레드테이블|||서울 용산구 동자동 12|||||||진진바라(서울점)||||
롤링핀||||레드테이블|||서울 강남구 신사동 579|||||||롤링핀||||
부첼라|본점|||레드테이블|||서울 강남구 신사동 534-22|||||||부첼라(본점)||||
자연별곡|목동점|||레드테이블|||서울시 양천구 목동 917-9|||||||자연별곡(목동점)||||
온더보더|타임스퀘어점|||레드테이블|||서울 영등포구 영등포동4가 442|||||||온더보더(타임스퀘어점)|지하1층|||
동빙고||||레드테이블||서울 용산구 이촌로 319||||||||동빙고||||
아비꼬|홍대점|||레드테이블|||서울 마포구 서교동 356-1|||||||아비꼬(홍대점)||||
에비슈라||||레드테이블|||서울 강남구 신사동 611|||||||에비슈라||||
영동족발|양재본점|||레드테이블|||서울 서초구 양재동 1-8|||||||영동족발(양재본점)||||
성북동누룽지백숙||||레드테이블|||서울 성북구 성북동 281-1|||||||성북동누룽지백숙||||
그릴타이||||레드테이블|||서울시 성동구 행당동 168-1|||||||그릴타이||||
은행골||||레드테이블|||서울 관악구 신림동 1654-27|||||||은행골||||
후쿠오카함바그|홍대직영점|||레드테이블|||서울 마포구 서교동 333-29|||||||후쿠오카함바그(홍대직영점)||||
순대실록||||레드테이블|||서울 종로구 동숭동 1-42|||||||순대실록||||
부야스곱창||||레드테이블||서울 마포구 어울마당로 136-13||||||||부야스곱창|2층|||
제일제면소||||레드테이블|||서울시 영등포구 영등포동4가 442|||||||제일제면소|5층|||
폴앤폴리나|홍대점|||레드테이블|||서울 마포구 서교동 344-6|||||||폴앤폴리나(홍대점)||||
그리다꿈||||레드테이블|||서울 마포구 서교동 358-42|||||||그리다꿈||||
봉추찜닭|홍대점|||레드테이블|||서울 마포구 서교동 361-9|||||||봉추찜닭(홍대점)||||
빅플라토||||레드테이블|||서울시 강남구 역삼동 619-2|||||||빅플라토||||
퍼블리크||||레드테이블|||서울 마포구 상수동 311-1|||||||퍼블리크||||
서가앤쿡|서울종로점|||레드테이블|||서울시 종로구 관철동 18-4|||||||서가앤쿡(서울종로점)||||
기쿠||||레드테이블|||서울 용산구 이촌동 301-160|||||||기쿠||||
계절밥상|올림픽공원점|||레드테이블|||서울시 송파구 방이동 88|||||||계절밥상(올림픽공원점)||||
모우모우||||레드테이블|||서울 용산구 이태원동 118-71|||||||모우모우||||
골동면||||레드테이블|||서울 종로구 동숭동 1-45|||||||골동면||||
후게츠|홍대점|||레드테이블|||서울 마포구 서교동 408-27|||||||후게츠(홍대점)||||
교대곱창||||레드테이블|||서울 서초구 서초3동 1578-3|||||||교대곱창||||
자하손만두||||레드테이블|||서울 종로구 부암동 245-2|||||||자하손만두||||
우래옥||||레드테이블|||서울 중구 주교동 118-1|||||||우래옥||||
로코스||||레드테이블|||서울특별시 용산구 이태원동 273-11|||||||로코스||||
마노핀|이태원점|||레드테이블|||서울시 용산구 이태원동 112-5|||||||마노핀(이태원점)||||
카페히비||||레드테이블|||서울 마포구 서교동 337-1|||||||카페히비||||
부야스곱창||||레드테이블|||서울시 마포구 서교동 410-7|||||||부야스곱창||||
별다방미스리|인사동본점|||레드테이블|||서울 종로구 관훈동 144|||||||별다방미스리(인사동본점)||||
수연산방||||레드테이블|||서울 성북구 성북동 248|||||||수연산방||||
배터리파크|동대문디자인플라자점|||레드테이블||서울특별시 중구 을지로 281||||||||배터리파크(동대문디자인플라자점)|B2F|||
군산오징어|본점|||레드테이블|||서울 송파구 삼전동 130-14|||||||군산오징어(본점)||||
두루두루||||레드테이블|||서울시 서초구 서초동 1302-32|||||||두루두루||||
누하의숲||||레드테이블||서울 종로구 필운대로 42||||||||누하의숲||||
또보겠지떡볶이집||||레드테이블|||서울 마포구 서교동 358-68|||||||또보겠지떡볶이집||||
꽁시면관||||레드테이블|||서울 중구 충무로1가 22-13|||||||꽁시면관||||
아소산||||레드테이블|||서울 강남구 역삼동 619-4|||||||아소산||||
바스티유||||레드테이블|||서울시 용산구 이태원1동 118-19|||||||바스티유||||
태극당|장충점|||레드테이블|||서울 중구 장충동2가 189-5|||||||태극당(장충점)||||
토다이|명동점|||레드테이블|||서울 중구 명동2가 83-5|||||||토다이(명동점)||||
에스프레소퍼블릭||||레드테이블|||서울 강남구 역삼동 618-16|||||||에스프레소퍼블릭||||
오시정|가로수길점|||레드테이블|||서울 강남구 신사동 525-11|||||||오시정(가로수길점)||||
아오이토리||||레드테이블|||서울시 마포구 서교동 327-17|||||||아오이토리||||
도쿄스테이크||||레드테이블|||서울 광진구 화양동 11-32|||||||도쿄스테이크||||
평양면옥|본점|||레드테이블|||서울 중구 장충동 26-14|||||||평양면옥(본점)||||
동해도|테헤란점|||레드테이블|||서울 강남구 역삼동 649-14|||||||동해도(테헤란점)||||
일일향||||레드테이블|||서울 강남구 신사동 601-3|||||||일일향||||
마시찜|가로수길점|||레드테이블|||서울시 강남구 신사동 541-14|||||||마시찜(가로수길점)||||
산더미불고기||||레드테이블|||서울 마포구 서교동 403-16|||||||산더미불고기||||
데미타스||||레드테이블|||서울 종로구 부암동 254-5|||||||데미타스||||
고우||||레드테이블|||서울시 용산구 이태원동 119-17|||||||고우|지층|||
돈사돈||||레드테이블|||서울 마포구 합정동 426-5|||||||돈사돈||||
신토불이떡볶이||||레드테이블|||서울 광진구 구의동 52-17|||||||신토불이떡볶이||||
뱃고동|압구정본점|||레드테이블|||서울시 강남구 신사동 663|||||||뱃고동(압구정본점)||||
마농트로포||||레드테이블|||서울시 용산구 한남동 32-22|||||||마농트로포||||
마망갸또||||레드테이블|||서울특별시 강남구 역삼동 812-8|||||||마망갸또||||
비너스키친||||레드테이블|||서울 마포구 서교동 358-50|||||||비너스키친||||
기다스시|가로수길점|||레드테이블|||서울시 강남구 신사동 524-25|||||||기다스시(가로수길점)||||
트로이카||||레드테이블|||서울 용산구 이태원동 119-29|||||||트로이카||||
베러댄비프||||레드테이블|||서울시 강남구 신사동 515-6|||||||베러댄비프||||
동아냉면||||레드테이블|||서울 용산구 보광동 265-576|||||||동아냉면||||
바토스|가로수길점|||레드테이블|||서울시 강남구 신사동 532-11|||||||바토스(가로수길점)||||
리김밥||||레드테이블|||서울시 강남구 신사동 610|||||||리김밥||||
엉클스||||레드테이블|||서울시 마포구 서교동 345-6|||||||엉클스||||
김덕후의곱창조||||레드테이블|||서울시 마포구 상수동 92-2|||||||김덕후의곱창조||||
치카리셔스||||레드테이블|||서울 마포구 상수동 313-3|||||||치카리셔스||||
누보||||레드테이블|||서울시 마포구 서교동 330-21|||||||누보||||
보나베띠|여의도점|||레드테이블|||서울 영등포구 여의도동 16-2|||||||보나베띠(여의도점)||||
호호미욜||||레드테이블|||서울 마포구 상수동 93-44|||||||호호미욜||||
훌리오|강남역점|||레드테이블|||서울시 강남구 역삼동 619-1|||||||훌리오(강남역점)||||
블룸앤구떼||||레드테이블|||서울 강남구 신사동 545-24|||||||블룸앤구떼||||
핏제리아오||||레드테이블|||서울시 종로구 동숭동 31-19|||||||핏제리아오||||
피자그라피||||레드테이블|||서울시 마포구 서교동 395-106|||||||피자그라피||||
더블트러블||||레드테이블|||서울시 강남구 역삼동 618-3|||||||더블트러블|지하1층|||
일호식|한남점|||레드테이블|||서울시 용산구 한남동 68-4|||||||일호식(한남점)||||
진진바라|여의도점|||레드테이블|||서울 영등포구 여의도동 45-3|||||||진진바라(여의도점)|NH농협캐피탈빌딩 (구 유도회관) B1,B2|||
영빈루||||레드테이블|||서울 마포구 서교동 364-42|||||||영빈루|2층|||
바다식당||||레드테이블|||서울 용산구 한남동 743-7|||||||바다식당||||
우노|강남삼성타운점|||레드테이블|||서울 서초구 서초동 1327-1|||||||우노(강남삼성타운점)||||
빙수로||||레드테이블||서울 마포구 홍익로 10||||||||빙수로|서교푸르지오상가 109호|||
노리타|홍대점|||레드테이블|||서울 마포구 서교동 486|||||||노리타(홍대점)||||
무스토이||||레드테이블|||서울시 마포구 서교동 344-6|||||||무스토이||||
이딸라시안||||레드테이블|||서울 종로구 신문로1가 24|||||||이딸라시안||||
줄라이||||레드테이블|||서울 서초구 반포동 577-20|||||||줄라이||||
십원집||||레드테이블|||서울 중구 서소문동 101-4|||||||십원집||||
허디거디|강남역CGV점|||레드테이블|||서울시 강남구 역삼동 620-6|||||||허디거디(강남역CGV점)||||
코야코||||레드테이블||서울 종로구 동숭길 68||||||||코야코||||
슬로우레시피||||레드테이블||서울 종로구 자하문로10길 8||||||||슬로우레시피||||
도치피자|역삼점|||레드테이블|||서울 강남구 역삼동 829-10|||||||도치피자(역삼점)||||
별다방미스리|대학로점|||레드테이블|||서울 종로구 동숭동 1-74|||||||별다방미스리(대학로점)||||
소프트리|홍대점|||레드테이블|||서울시 마포구 서교동 367-38|||||||소프트리(홍대점)||||
파머스반|대학로점|||레드테이블|||서울 종로구 명륜4가 132|||||||파머스반(대학로점)||||
뉴욕아파트먼트||||레드테이블|||서울 마포구 서교동 395-23|||||||뉴욕아파트먼트||||
지구당||||레드테이블|||서울시 관악구 봉천동 1598-23|||||||지구당||||
라세느||||레드테이블|||서울 중구 소공동 1|||||||라세느||||
코다차야|강남점|||레드테이블|||서울시 강남구 역삼동 808-5|||||||코다차야(강남점)||||
테이스팅룸|서래마을점|||레드테이블|||서울 서초구 반포동 72-7|||||||테이스팅룸(서래마을점)||||
쉐즈롤||||레드테이블||서울 마포구 와우산로23길 20-28||||||||쉐즈롤|1층|||
토마틸로|이태원점|||레드테이블|||서울시 용산구 이태원동 112-4|||||||토마틸로(이태원점)||||
코코브루니|가로수길점|||레드테이블|||서울 강남구 신사동 536-18|||||||코코브루니(가로수길점)||||
맥파이|이태원점|||레드테이블|||서울시 용산구 이태원동 691|||||||맥파이(이태원점)||||
샤이바나||||레드테이블|||서울 강남구 신사동 525-23|||||||샤이바나||||
페르시안걸프||||레드테이블|||서울시 광진구 화양동 12-40|||||||페르시안걸프||||
리치망고|가로수길점|||레드테이블|||서울시 강남구 신사동 555|||||||리치망고(가로수길점)||||
모우모우|홍대점|||레드테이블|||서울시 마포구 서교동 373-4|||||||모우모우(홍대점)||||
돈수백||||레드테이블|||서울 마포구 동교동 164-24|||||||돈수백||||
부자피자|2호점|||레드테이블|||서울시 용산구 한남동 740-1|||||||부자피자(2호점)||||
어글리스토브|노원점|||레드테이블||서울 노원구 노해로81길 12-21||||||||어글리스토브(노원점)|3층|||
애슐리||||레드테이블|||서울시 양천구 목동 917-6|||||||애슐리|행복한세상 백화점 5층|||
잉클링||||레드테이블|||서울시 강남구 역삼동 619-10|||||||잉클링||||
라구뜨|건대점|||레드테이블|||서울 광진구 자양동 227-342|||||||라구뜨(건대점)||||
파킹인플레이트||||레드테이블|||서울 중구 명동2가 32-27|||||||파킹인플레이트||||
아웃닭|홍대점|||레드테이블|||서울시 마포구 서교동 409-17|||||||아웃닭(홍대점)||||
마시찜||||레드테이블|||서울시 강남구 역삼동 813|||||||마시찜||||
베르에블랑||||레드테이블||서울 마포구 와우산로 50-1||||||Vertetblanc||베르에블랑(Vertetblanc)||||
조금||||레드테이블|||서울 종로구 관훈동 123-4|||||||조금||||
향토||||레드테이블|||서울시 영등포구 여의도동 35-2|||||||향토||||
몽고네||||레드테이블||서울 서대문구 연희로11가길 53||||||||몽고네||||
꼬또여의도점||||레드테이블|||서울 영등포구 여의도동 23|||||||꼬또여의도점|IFC몰 지하3층 312호|||
파파초밥||||레드테이블|||서울시 마포구 서교동 358-41|||||||파파초밥||||
봉쥬르하와이||||레드테이블|||서울시 마포구 서교동 395-112|||||||봉쥬르하와이||||
커피츄||||레드테이블|||서울 용산구 한남동 682-10|||||||커피츄||||
카페마마스|강남역점|||레드테이블|||서울 서초구 서초동 1321-6|||||||카페마마스(강남역점)||||
유림면||||레드테이블|||서울 중구 서소문동 16|||||||유림면||||
콩부인||||레드테이블|||서울 강남구 청담동 90-20|||||||콩부인||||
육쌈냉면|신림본점|||레드테이블|||서울 관악구 신림동 1638-20|||||||육쌈냉면(신림본점)||||
스시오||||레드테이블|||서울시 강남구 역삼동 820-6|||||||스시오||||
바피아노|디큐브점|||레드테이블|||서울 구로구 신도림동 360-51|||||||바피아노(디큐브점)||||
츠키지|본점|||레드테이블|||서울 강남구 도곡동 418|||||||츠키지(본점)||||
김피라|홍대일호점|||레드테이블|||서울시 마포구 서교동 411-12|||||||김피라(홍대일호점)|101호|||
북촌손만두||||레드테이블|||서울시 마포구 서교동 405-14|||||||북촌손만두||||
애슐리||||레드테이블|||서울시 은평구 불광동 308-1|||||||애슐리|범서쇼핑 4층|||
빠네파스타|1호점|||레드테이블|||서울 중구 명동2가 26-3|||||||빠네파스타(1호점)||||
허밍벨라||||레드테이블|||서울시 마포구 서교동 395-199|||||||허밍벨라||||
베나레스||||레드테이블|||서울 용산구 청파동 2가 76-2|||||||베나레스||||
킹콩스테이크||||레드테이블|||서울 강남구 신사동 550-1|||||||킹콩스테이크||||
밀탑|현대백화점목동점|||레드테이블|||서울 양천구 목동 916|||||||밀탑(현대백화점목동점)||||
마코토||||레드테이블|||서울 강남구 청담동 92-18|||||||마코토||||
딘타이펑|강남역점|||레드테이블|||서울 서초구 서초동 1317-31|||||||딘타이펑(강남역점)||||
코코이찌방야|강남점|||레드테이블|||서울 강남구 역삼동 619-4|||||||코코이찌방야(강남점)||||
지유가오카||||레드테이블|||서울시 강남구 신사동 589-10|||||||지유가오카||||
쭈꾸미달인||||레드테이블|||서울 노원구 상계동 595|||||||쭈꾸미달인||||
봉우화로|강남역점|||레드테이블|||서울 강남구 역삼1동 619-14|||||||봉우화로(강남역점)||||
희야네석쇠쭈꾸미|홍대점|||레드테이블|||서울시 마포구 서교동 369-4|||||||희야네석쇠쭈꾸미(홍대점)||||
글래머러스펭귄||||레드테이블||서울 용산구 이태원로49길 16||||||||글래머러스펭귄||||
노리타||||레드테이블|||서울 서초구 서초동 1317-13|||||||노리타||||
블루크랩||||레드테이블|||서울시 용산구 이태원1동 112-2|||||||블루크랩|지하1층|||
로얄맨션||||레드테이블|||서울시 용산구 한남동 26-5|||||||로얄맨션||||
더글램핑||||레드테이블|||서울시 용산구 이태원동 171-24|||||||더글램핑||||
멘야산다이메||||레드테이블|||서울 종로구 명륜4가 147-1|||||||멘야산다이메||||
맛있는교토|홍대2호점|||레드테이블|||서울 마포구 서교동 362-9|||||||맛있는교토(홍대2호점)||||
브릭레인||||레드테이블|||서울시 용산구 이태원동 532|||||||브릭레인||||
TEAM1994||||레드테이블||서울 서대문구 명물길 37||||||||TEAM1994||||
레빠쥬||||레드테이블|||서울 강남구 신사동 506|||||||레빠쥬||||
