##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@현대자동차서비스블루핸즈
현대차블루핸즈|만장공업사|||현대자동차서비스블루핸즈|052-2380002|울산광역시 울주군 온양읍 덕망로 290||마이티;중형트럭;대형트럭;카운티;중대형버스;쏠라티||||||현대차블루핸즈 만장공업사||||160405
현대차블루핸즈|만촌동부점|||현대자동차서비스블루핸즈|053-7528572|대구광역시 수성구 국채보상로 989||||||||현대차블루핸즈 만촌동부점|(만촌동)|||160405
현대차블루핸즈|만촌점|||현대자동차서비스블루핸즈|053759-8204|대구광역시 수성구 달구벌대로 2543||||||||현대차블루핸즈 만촌점|(만촌동)|||160405
현대차블루핸즈|망미동부점|||현대자동차서비스블루핸즈|051-7587080|부산광역시 수영구 좌수영로 113||||||||현대차블루핸즈 망미동부점|(망미동)|||160405
현대차블루핸즈|망미서부점|||현대자동차서비스블루핸즈|051-7578204|부산광역시 수영구 연수로 322||||||||현대차블루핸즈 망미서부점|(망미동)|||160405
현대차블루핸즈|매송점|||현대자동차서비스블루핸즈|031292-2244|경기도 화성시 매송면 화성로 2371-4||||||||현대차블루핸즈 매송점||||160405
현대차블루핸즈|매탄점|||현대자동차서비스블루핸즈|031-2131717|경기도 수원시 영통구 중부대로 384||||||||현대차블루핸즈 매탄점|(매탄동)|||160405
현대차블루핸즈|면목동부점|||현대자동차서비스블루핸즈|02-491-8272|서울특별시 중랑구 동일로 596||||||||현대차블루핸즈 면목동부점|(면목동)|||160405
현대차블루핸즈|명동점|||현대자동차서비스블루핸즈|055-3868572|경상남도 양산시 서창로 89||||||||현대차블루핸즈 명동점|(명동)|||160405
현대차블루핸즈|명성공업사|||현대자동차서비스블루핸즈|033461-4500|강원도 인제군 인제읍 인제로 43||마이티;카운티||||||현대차블루핸즈 명성공업사||||160405
현대차블루핸즈|명일동부점|||현대자동차서비스블루핸즈|02-4427784|서울특별시 강동구 상암로 295||||||||현대차블루핸즈 명일동부점|(명일동)|||160405
현대차블루핸즈|명일점|||현대자동차서비스블루핸즈|02-4887784|서울특별시 강동구 상암로 197||||||||현대차블루핸즈 명일점||||160405
현대차블루핸즈|명지점|||현대자동차서비스블루핸즈|051271-3535|부산광역시 강서구 명지새동네길1번길 12||||||||현대차블루핸즈 명지점|(명지동)|||160405
현대차블루핸즈|명촌점|||현대자동차서비스블루핸즈|052289-9945|울산광역시 북구 명촌8길 35||||||||현대차블루핸즈 명촌점||||160405
현대차블루핸즈|모라점|||현대자동차서비스블루핸즈|051-3058787|부산광역시 사상구 사상로 501||||||||현대차블루핸즈 모라점|(모라동)|||160405
현대차블루핸즈|모전서부점|||현대자동차서비스블루핸즈|054-5532902|경상북도 문경시 당교로 216||||||||현대차블루핸즈 모전서부점|(모전동)|||160405
현대차블루핸즈|모전점|||현대자동차서비스블루핸즈|054-5558272|경상북도 문경시 모전로 150||||||||현대차블루핸즈 모전점|(모전동)|||160405
현대차블루핸즈|모현점|||현대자동차서비스블루핸즈|031-3326400|경기도 용인시 처인구 모현면 백옥대로 2529-1||||||||현대차블루핸즈 모현점|외2필지|||160405
현대차블루핸즈|모현점|||현대자동차서비스블루핸즈|063-8424935|전라북도 익산시 동서로 110||||||||현대차블루핸즈 모현점|(모현동2가)|||160405
현대차블루핸즈|목감점|||현대자동차서비스블루핸즈|031484-8285|경기도 시흥시 수인로 2331-17||||||||현대차블루핸즈 목감점|(목감동)|||160405
현대차블루핸즈|목동서부점|||현대자동차서비스블루핸즈|0226537093|서울특별시 양천구 등촌로 128||||||||현대차블루핸즈 목동서부점|(목동)|||160405
현대차블루핸즈|목동점|||현대자동차서비스블루핸즈|0226428272|서울특별시 양천구 등촌로 152||||||||현대차블루핸즈 목동점|(목동)|||160405
현대차블루핸즈|목상점|||현대자동차서비스블루핸즈|042-9352110|대전광역시 대덕구 대덕대로 1508||||||||현대차블루핸즈 목상점|(목상동)|||160405
현대차블루핸즈|목포산정점|||현대자동차서비스블루핸즈|061-2428207|전라남도 목포시 용당로 8||||||||현대차블루핸즈 목포산정점|(산정동)|||160405
현대차블루핸즈|무거점|||현대자동차서비스블루핸즈|052-2224454|울산광역시 남구 남부순환도로 1||||||||현대차블루핸즈 무거점|(무거동)|||160405
현대차블루핸즈|무안자동차정비공업사|||현대자동차서비스블루핸즈|061-4537600|전라남도 무안군 무안읍 무안중앙로 76||||||||현대차블루핸즈 무안자동차정비공업사||||160405
현대차블루핸즈|무안점|||현대자동차서비스블루핸즈|061454-1177|전라남도 무안군 무안읍 공항로 27||||||||현대차블루핸즈 무안점||||160405
현대차블루핸즈|무양점|||현대자동차서비스블루핸즈|054-5339011|경상북도 상주시 경상대로 3063-9||||||||현대차블루핸즈 무양점|(무양동)|||160405
현대차블루핸즈|무주점|||현대자동차서비스블루핸즈|063-3241951|전라북도 무주군 무주읍 한풍루로 295||||||||현대차블루핸즈 무주점||||160405
현대차블루핸즈|문막점|||현대자동차서비스블루핸즈|033734-8204|강원도 원주시 문막읍 원문로 1619||||||||현대차블루핸즈 문막점||||160405
현대차블루핸즈|문산점|||현대자동차서비스블루핸즈|031-9527304|경기도 파주시 파주읍 충현로 42-8||||||||현대차블루핸즈 문산점||||160405
현대차블루핸즈|문정점|||현대자동차서비스블루핸즈|02-449-9021|서울특별시 송파구 새말로 110||||||||현대차블루핸즈 문정점|(문정동)|||160405
현대차블루핸즈|문학점|||현대자동차서비스블루핸즈|032-4228504|인천광역시 미추홀구 매소홀로 537||||||||현대차블루핸즈 문학점||||160405
