##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@쌍용자동차서비스프라자
쌍용자동차서비스프라자|방배|||쌍용자동차서비스프라자|||서울특별시 서초구 방배동 941-22|||||||쌍용자동차서비스프라자 방배|(서초대로 72)|||160414
쌍용자동차서비스프라자|방화|||쌍용자동차서비스프라자|||서울특별시 강서구 방화동 535-15|||||||쌍용자동차서비스프라자 방화|(양천로 40)|||160414
쌍용자동차서비스프라자|별내|||쌍용자동차서비스프라자||경기도 경기 남양주시 순화궁로 609||||||||쌍용자동차서비스프라자 별내||||160414
쌍용자동차서비스프라자|병점|||쌍용자동차서비스프라자|||경기도 화성시 기산동 18-9|||||||쌍용자동차서비스프라자 병점||||160414
쌍용자동차서비스프라자|보령|||쌍용자동차서비스프라자|||충청남도 보령시 동대동 894-7|||||||쌍용자동차서비스프라자 보령|(천변남길 184)|||160414
쌍용자동차서비스프라자|보은|||쌍용자동차서비스프라자|||충청북도 보은군 보은읍 죽전리 100-6|||||||쌍용자동차서비스프라자 보은|(보은로 24)|||160414
쌍용자동차서비스프라자|봉천|||쌍용자동차서비스프라자||서울특별시 남부순환로 1689||||||||쌍용자동차서비스프라자 봉천||||160414
쌍용자동차서비스프라자|봉화|||쌍용자동차서비스프라자||경상북도 봉화군 더구로 4||||||||쌍용자동차서비스프라자 봉화||||160414
쌍용자동차서비스프라자|부발|||쌍용자동차서비스프라자|||경기도 이천시 부발읍 신원리 549-2|||||||쌍용자동차서비스프라자 부발|(중부대로 1864)|||160414
쌍용자동차서비스프라자|부산남구|||쌍용자동차서비스프라자||부산광역시 남구 유엔로 67||||||||쌍용자동차서비스프라자 부산남구||||160414
쌍용자동차서비스프라자|부산진|||쌍용자동차서비스프라자||부산광역시 부산진구 새싹로 224||||||||쌍용자동차서비스프라자 부산진|(초읍동)|||160414
쌍용자동차서비스프라자|부안|||쌍용자동차서비스프라자|||전라북도 부안군 부안읍 봉덕리 636-9|||||||쌍용자동차서비스프라자 부안|(매창로 147)|||160414
쌍용자동차서비스프라자|부여|||쌍용자동차서비스프라자|||충청남도 부여읍 쌍북리 706|||||||쌍용자동차서비스프라자 부여|602-1 (성왕로 280-4)|||160414
쌍용자동차서비스프라자|부평|||쌍용자동차서비스프라자||인천광역시 부평구 안남로 327||||||||쌍용자동차서비스프라자 부평||||160414
쌍용자동차서비스프라자|북구|||쌍용자동차서비스프라자|||부산광역시 북구 금곡동 1263-1|||||||쌍용자동차서비스프라자 북구|(효열로 23)|||160414
쌍용자동차서비스프라자|북양|||쌍용자동차서비스프라자|||경기도 화성시 북양동 510|||||||쌍용자동차서비스프라자 북양|(주석로184번길 5)|||160414
쌍용자동차서비스프라자|북충주|||쌍용자동차서비스프라자|||충청북도 충주시 목행동 66|||||||쌍용자동차서비스프라자 북충주|(국원대로 405)|||160414
쌍용자동차서비스프라자|사천|||쌍용자동차서비스프라자|||경상남도 사천시 정동면 예수리 657-1|||||||쌍용자동차서비스프라자 사천|(진삼로 1268)|||160414
쌍용자동차서비스프라자|사하|||쌍용자동차서비스프라자|||부산광역시 사하구 감천1동 750-1|||||||쌍용자동차서비스프라자 사하|(을숙도대로 875)|||160414
쌍용자동차서비스프라자|산격|||쌍용자동차서비스프라자|||대구광역시 북구 산격동 622-27|||||||쌍용자동차서비스프라자 산격|(호국로 21-3)|||160414
쌍용자동차서비스프라자|삼산|||쌍용자동차서비스프라자|||울산광역시 남구 삼산동 1506-11|||||||쌍용자동차서비스프라자 삼산|(월평로 223)|||160414
쌍용자동차서비스프라자|삼척|||쌍용자동차서비스프라자||강원도 삼척시 사대안길 62||||||||쌍용자동차서비스프라자 삼척||||160414
쌍용자동차서비스프라자|상당|||쌍용자동차서비스프라자||충청북도 청주시 상당구 용암북로 199||||||||쌍용자동차서비스프라자 상당||||160414
쌍용자동차서비스프라자|상동|||쌍용자동차서비스프라자|||경상남도 거제시 상동동 493|||||||쌍용자동차서비스프라자 상동|(계룡로 17)|||160414
쌍용자동차서비스프라자|상록|||쌍용자동차서비스프라자|||경기도 안산시 월피동 525-11|||||||쌍용자동차서비스프라자 상록|(안산천서로 191)|||160414
쌍용자동차서비스프라자|상주|||쌍용자동차서비스프라자|||경상북도 상주시 신봉동 569-2|||||||쌍용자동차서비스프라자 상주||||160414
쌍용자동차서비스프라자|서귀포|||쌍용자동차서비스프라자||제주도 서귀포시 중산간동로 7856||||||||쌍용자동차서비스프라자 서귀포|(동홍동)|||160414
쌍용자동차서비스프라자|서산|||쌍용자동차서비스프라자|||충청남도 서산시 예천동 506-6|||||||쌍용자동차서비스프라자 서산|(고운로 19)|||160414
쌍용자동차서비스프라자|서신|||쌍용자동차서비스프라자|||전라북도 전주시 완산구 서신동 887-2|||||||쌍용자동차서비스프라자 서신|(전룡로 56)|||160414
쌍용자동차서비스프라자|서오릉|||쌍용자동차서비스프라자|||서울특별시 은평구 구산동 339-4|||||||쌍용자동차서비스프라자 서오릉|(서오릉로17길 2)|||160414
쌍용자동차서비스프라자|서정|||쌍용자동차서비스프라자|||경기도 평택시 서정동 887-10|||||||쌍용자동차서비스프라자 서정|(송탄로 223)|||160414
쌍용자동차서비스프라자|서진주|||쌍용자동차서비스프라자|||경상남도 진주시 상봉동 1001-5|||||||쌍용자동차서비스프라자 서진주|6번지 (진주성로 84)|||160414
쌍용자동차서비스프라자|서천|||쌍용자동차서비스프라자|||충청남도 서천군 서천읍 화금리 671-7|||||||쌍용자동차서비스프라자 서천|(서문로 73)|||160414
쌍용자동차서비스프라자|서초|||쌍용자동차서비스프라자|||서울특별시 서초구 서초동 1630-1|||||||쌍용자동차서비스프라자 서초|(사임당로 94)|||160414
쌍용자동차서비스프라자|석촌|||쌍용자동차서비스프라자|||서울특별시 송파구 석촌동 177-2|||||||쌍용자동차서비스프라자 석촌|(송파대로45길 3)|||160414
쌍용자동차서비스프라자|성남수정|||쌍용자동차서비스프라자||경기도 경기도 성남시 수정구 탄리로 82||||||||쌍용자동차서비스프라자 성남수정|(태평동)|||160414
쌍용자동차서비스프라자|성북|||쌍용자동차서비스프라자|||서울특별시 성북구 하월곡동 84-34|||||||쌍용자동차서비스프라자 성북|(오패산로3길 109)|||160414
쌍용자동차서비스프라자|성서|||쌍용자동차서비스프라자|||대구광역시 달서구 호림동 14-21|||||||쌍용자동차서비스프라자 성서|(성서공단로11길 8)|||160414
쌍용자동차서비스프라자|성환|||쌍용자동차서비스프라자|||충청남도 천안시 성환읍 성환리 635-4|||||||쌍용자동차서비스프라자 성환|(성환1로 360)|||160414
쌍용자동차서비스프라자|세교|||쌍용자동차서비스프라자|||경기도 오산시 내삼미동 864-1|||||||쌍용자동차서비스프라자 세교|(수청로50번길 12)|||160414
쌍용자동차서비스프라자|소룡|||쌍용자동차서비스프라자|||전라북도 군산시 산북동 1226-6|||||||쌍용자동차서비스프라자 소룡|(공단대로 651-5)|||160414
쌍용자동차서비스프라자|소사|||쌍용자동차서비스프라자|||경기도 부천시 소사구 소사본동 216-35|||||||쌍용자동차서비스프라자 소사|(소사로 152)|||160414
쌍용자동차서비스프라자|속초|||쌍용자동차서비스프라자|||강원도 속초시 조양동 1514-12|||||||쌍용자동차서비스프라자 속초|(조양로 106-1)|||160414
쌍용자동차서비스프라자|송내|||쌍용자동차서비스프라자|||인천광역시 부평구 구산동 5-11|||||||쌍용자동차서비스프라자 송내|(경인로 1212)|||160414
쌍용자동차서비스프라자|송산|||쌍용자동차서비스프라자|||경기도 화성시 송산면 삼존리 782|||||||쌍용자동차서비스프라자 송산|(화성로 598)|||160414
쌍용자동차서비스프라자|송정|||쌍용자동차서비스프라자|||광주광역시 광산구 도산동 1134-11|||||||쌍용자동차서비스프라자 송정|(송도로 123)|||160414
쌍용자동차서비스프라자|송천|||쌍용자동차서비스프라자|||전라북도 전주시 덕진구 송천동2가 492-83|||||||쌍용자동차서비스프라자 송천|(동부대로1163)|||160414
쌍용자동차서비스프라자|송파|||쌍용자동차서비스프라자|||서울특별시 송파구 오금동 126-5|||||||쌍용자동차서비스프라자 송파|(동남로 311)|||160414
