##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@작은도서관
꿈쟁이문고||||작은도서관||강원 강릉시 주문진읍 신리대동길 31||||||||꿈쟁이문고||||200102
남산작은도서관||||작은도서관|||강원 강릉시 내곡동 123-8|||||||남산작은도서관||||200102
남양/작은도서관||||작은도서관||강원도 삼척시 중앙시장1길 18||||||||남양 작은도서관|2층|||200102
너울문화사랑방||||작은도서관||강원도 원주시 남원로 612-9||||||||너울문화사랑방||||200102
노엘문고||||작은도서관||강원 정선군 임계면 송계10길 17||||||||노엘문고||||200102
눈마을작은도서관||||작은도서관||강원 평창군 대관령면 대관령면 대관령로 81||||||||눈마을작은도서관||||200102
느릅마을작은도서관||||작은도서관|||강원 화천군 간동면 유촌리 552-1|||||||느릅마을작은도서관||||200102
느티나무도서관||||작은도서관|||강원 원주시 태장2동 546-47|||||||느티나무도서관|태장성결교회 1층|||200102
늘푸른문고||||작은도서관|||강원 삼척시 정상동 460-7|||||||늘푸른문고||||200102
다니엘/작은도서관||||작은도서관||강원도 정선군 고한2길 56||||||||다니엘 작은도서관|(하늘문감리교회) 다니엘 작은도서관|||200102
다솔도서관||||작은도서관||강원 태백시 구문소동 방터골2길 19||||||||다솔도서관||||200102
단계은행/작은도서관||||작은도서관|||강원 원주시 단계동 806|||||||단계은행 작은도서관||||200102
단구작은도서관||||작은도서관||강원도 원주시 단구초교길 6-28||||||||단구작은도서관|(단구동) 1층|||200102
달팽이도서관||||작은도서관|||강원 춘천시 석사동 822|||||||달팽이도서관|퇴계주공4단지아파트 관리사무소2층|||200102
대우이안강릉타운작은도서관||||작은도서관|||강원 강릉시 입암동 210|||||||대우이안강릉타운작은도서관|이안아파트 관리사무소2층|||200102
대포마을문고||||작은도서관||강원도 속초시 설악산로4번길 135||||||||대포마을문고|(대포동)|||200102
동네작은도서관이음||||작은도서관||강원도 춘천시 벌말길47번길 4||||||||동네작은도서관이음|(석사동) 1층|||200102
동성마을문고||||작은도서관||강원도 동해시 전천로 107||||||||동성마을문고|(이도동) 동성교회|||200102
동점마을도서관||||작은도서관||강원 태백시 구문소동 방터골1길 13-20||||||||동점마을도서관||||200102
동해문화커뮤니티센터||||작은도서관||강원도 동해시 부곡3길 22||||||||동해문화커뮤니티센터|(부곡동,삼정아파트) 상가층 1호 (삼정@1차 가동203호)|||200102
동호동새힘새마을문고||||작은도서관||강원도 동해시 발한로 109-1||||||||동호동새힘새마을문고|(발한동) 장수건강원 (새힘교회)|||200102
두란노어린이도서관||||작은도서관||강원도 홍천군 남산마을길4길 2||||||||두란노어린이도서관|두란노어린이도서관|||200102
두산위브||||작은도서관|||강원 원주시 흥업면 흥업리 1827|||||||두산위브||||200102
뒤뚜르어린이도서관||||작은도서관||강원도 춘천시 세실로208번길 8-5||||||||뒤뚜르어린이도서관|(후평동) 875-12번지|||200102
드림작은도서관||||작은도서관||강원도 고성군 간성읍 수성로 115-43||||||||드림작은도서관|고성청소년수련관|||200102
등대작은도서관||||작은도서관||강원도 동해시 논골길 78||||||||등대작은도서관|(묵호진동) 묵호동주민센터 2층|||200102
뜨란채도서관||||작은도서관|||강원 춘천시 퇴계동 뜨란채아파트 1007동 1층 |||||||뜨란채도서관||||200102
로고스작은도서관||||작은도서관||강원도 원주시 관설안길 10||||||||로고스작은도서관|(관설동) 1층|||200102
로뎀나무문고||||작은도서관|||강원 춘천시 퇴계동 11지구 24블럭 5롯트 (춘천사랑의교회내) |||||||로뎀나무문고||||200102
로하스강릉작은도서관||||작은도서관|||강원 강릉시 홍제동 1001|||||||로하스강릉작은도서관||||200102
마리서사작은도서관||||작은도서관||강원 인제군 인제읍 인제로156번길 50||||||||마리서사작은도서관||||200102
마실작은도서관||||작은도서관||강원도 강릉시 현내중길 23||||||||마실작은도서관|(옥계면)|||200102
마음이머무는작은도서관||||작은도서관||강원도 고성군 죽왕면 구성길 278||||||||마음이머무는작은도서관|고성문화마을|||200102
만나문고||||작은도서관||강원도 동해시 해안로 447||||||||만나문고|(부곡동) 동해만나감리교회 (부곡동5-97)|||200102
매봉힐링쉼터작은도서관||||작은도서관||강원도 원주시 신림면 창촌길 132||||||||매봉힐링쉼터작은도서관||||200102
명륜나눔도서관||||작은도서관|||강원 원주시 명륜2동 705|||||||명륜나눔도서관||||200102
모퉁이/휴게실과/책/읽는/방||||작은도서관||강원도 강릉시 강릉대로 33||||||||모퉁이 휴게실과 책 읽는 방|(홍제동) 강릉시의회|||200102
무릉작은도서관||||작은도서관||강원도 동해시 무릉1길 4||||||||무릉작은도서관|(이로동) (무릉복지회관 내 3층)|||200102
무실1단지작은도서관||||작은도서관||강원도 원주시 시청로 68||||||||무실1단지작은도서관|(무실동,무실주공1단지아파트) 주택관리공단 원주무실1관리소|||200102
무실이편한/문고||||작은도서관||강원 원주시 무실동 만대로 89||||||||무실이편한 문고||||200102
무실작은도서관||||작은도서관||강원도 원주시 송삼길 20-1||||||||무실작은도서관|(무실동) (성도교회)|||200102
무지개/작은도서관||||작은도서관||강원도 정선군 북평8길 28-42||||||||무지개 작은도서관|무지개 작은도서관|||200102
묵호동새마을문고||||작은도서관||강원도 동해시 일출로 20-4||||||||묵호동새마을문고|(발한동) (새묵호교회)|||200102
문래문고||||작은도서관||강원도 정선군 백두대간로 309-4||||||||문래문고|문래문고|||200102
문화작은도서관||||작은도서관|||강원 강릉시 홍제동 15-2|||||||문화작은도서관||||200102
미동문고||||작은도서관||강원 태백시 삼수동 역둔원동로 1470-9||||||||미동문고||||200102
미래작은도서관||||작은도서관|||강원 원주시 관설동 1716-3|||||||미래작은도서관||||200102
미로지역/행복도서관||||작은도서관||강원도 삼척시 강원남부로 4039||||||||미로지역 행복도서관|(미로교회) 미로교회|||200102
민들레도서관||||작은도서관|||강원 원주시 판부면 서곡리 446|||||||민들레도서관|포스코더샵아파트 민들레도서관|||200102
민토||||작은도서관||강원도 원주시 송림길 33||||||||민토|(단계동 794-14 지역아동센터에서도 운영)|||200102
반곡벽산블루밍도서관||||작은도서관|||강원 원주시 반곡동 1800|||||||반곡벽산블루밍도서관||||200102
반곡아이파크/작은도서관||||작은도서관|||강원 원주시 반곡동 1805|||||||반곡아이파크 작은도서관||||200102
반석작은도서관||||작은도서관|||강원 삼척시 남양동 158-1|||||||반석작은도서관|2층|||200102
반올림도서관||||작은도서관||강원도 춘천시 후석로 325||||||||반올림도서관|(후평동,춘천더？아파트)|||200102
발한동새마을문고||||작은도서관||강원도 동해시 동문산1길 20||||||||발한동새마을문고|(발한동) 한사랑교회|||200102
백담솔방울도서관||||작은도서관||강원 인제군 북면 만해로 410-17||||||||백담솔방울도서관||||200102
백운작은도서관||||작은도서관||강원도 원주시 적동1길 31||||||||백운작은도서관|(태장동,백운2차아파트) 백운상가|||200102
복골/작은도서관||||작은도서관||강원도 양양군 강현면 복골길 243||||||||복골 작은도서관|천복교회|||200102
봄빛작은도서관||||작은도서관||강원 강릉시 지변동 지변길 172번길 3||||||||봄빛작은도서관|(봄빛아동센터)|||200102
봉산샘터/작은도서관||||작은도서관|||강원 원주시 봉산동 937-6|||||||봉산샘터 작은도서관|예수로교회 1층|||200102
빅캣영어도서관||||작은도서관||강원도 원주시 단관길 196||||||||빅캣영어도서관|(관설동) 빅캣영어도서관|||200102
빨간머리앤의작은책마을||||작은도서관||강원도 고성군 중앙로 535||||||||빨간머리앤의작은책마을|(강원건재) 빨간머리앤의작은책마을 (1층)|||200102
쁘레네/작은도서관/별찌||||작은도서관||강원도 태백시 번영로 192-3||||||||쁘레네 작은도서관 별찌|(황지동) 쁘레네 작은도서관 별찌|||200102
쁘레네작은도서관/별찌||||작은도서관||강원도 강릉시 솔올로 79||||||||쁘레네작은도서관 별찌|서강 쁘레네|||200102
쁘레네작은도서관별찌||||작은도서관||강원도 원주시 오리현길 28||||||||쁘레네작은도서관별찌||||200102
쁘레네작은도서관별찌||||작은도서관||강원도 원주시 솔우물2길 19-1||||||||쁘레네작은도서관별찌|(무실동) 2층|||200102
사랑하는작은도서관||||작은도서관||강원도 원주시 현충로58번길 71-2||||||||사랑하는작은도서관|(태장동)|||200102
산/아래/작은도서관||||작은도서관||강원도 정선군 구절안길 30-5||||||||산 아래 작은도서관|(구절교회) 산아래 작은도서관|||200102
삼흥마을문고||||작은도서관||강원도 동해시 월평로 12-7||||||||삼흥마을문고|(이로동) 삼흥교회|||200102
상록작은도서관||||작은도서관||강원도 원주시 현충로 234-13||||||||상록작은도서관|(상록2차프라자아파트) 상록프라자상가 201,303-1호|||200102
새냉이작은도서관||||작은도서관||강원도 강릉시 새냉이길27번길 13-5||||||||새냉이작은도서관|(홍제동) 새냉이까페|||200102
새능력작은도서관||||작은도서관||강원도 원주시 관설안길 23-12||||||||새능력작은도서관|(관설동) 1층|||200102
새마을작은도서관(/구/그린새마을열린문고)||||작은도서관|||강원 춘천시 소양로4가 소양로4가 109-1|||||||새마을작은도서관( 구 그린새마을열린문고)||||200102
새문문고||||작은도서관||강원 고성군 죽왕면 문암항길 63-1||||||||새문문고||||200102
생각이자라는도서관||||작은도서관||강원도 정선군 남면 무릉3로 30||||||||생각이자라는도서관|생각이자라는도서관|||200102
서화평화도서관||||작은도서관||강원 인제군 서화면 금강로 1630||||||||서화평화도서관||||200102
선한문고||||작은도서관|||강원 삼척시 교동 501-5|||||||선한문고||||200102
성덕반딧불작은도서관||||작은도서관|||강원 강릉시 입암동 632-6|||||||성덕반딧불작은도서관||||200102
세인도서방||||작은도서관|||강원 원주시 단구동 1697-3|||||||세인도서방||||200102
세종꿈도서관||||작은도서관||강원도 원주시 섬밭들2길 12||||||||세종꿈도서관|(무실동)|||200102
소도교회독서실||||작은도서관||강원 태백시 소도동 소도길 46||||||||소도교회독서실||||200102
소망/작은도서관||||작은도서관|||강원 홍천군 서면 반곡리 67-2|||||||소망 작은도서관||||200102
속초어린이작은도서관||||작은도서관|||강원 속초시 청호동 444-48|||||||속초어린이작은도서관||||200102
솔올꿈나무작은도서관||||작은도서관|||강원 강릉시 교1동 1874-3|||||||솔올꿈나무작은도서관||||200102
송정해변신도브래뉴아파트작은도서관||||작은도서관||강원도 강릉시 경강로2539번길 8||||||||송정해변신도브래뉴아파트작은도서관|(견소동,송정한신아파트) 289|||200102
숲속에서꿈꾸는도서관||||작은도서관||강원도 영월군 중선로 9||||||||숲속에서꿈꾸는도서관|24|||200102
숲으로/작은도서관||||작은도서관||강원도 인제군 인제로240번길 3||||||||숲으로 작은도서관|숲으로 작은도서관|||200102
스무숲도서관||||작은도서관|||강원 춘천시 석사동 현진에버빌1차apt 관리사무소2F |||||||스무숲도서관||||200102
스카이문고||||작은도서관||강원 강릉시 포남동 성덕포남로174번길 44||||||||스카이문고|스카이아동센터 (포남문구사앞)|||200102
스프링영어/작은도서관||||작은도서관||강원도 원주시 남원로469번길 7-19||||||||스프링영어 작은도서관|(명륜동) 1층|||200102
신화마을도서관||||작은도서관||강원 원주시 부론면 부론면 법천시장길 41-10||||||||신화마을도서관|2층|||200102
쌀보리작은도서관||||작은도서관||강원도 횡성군 횡성읍 읍하로37번길 6||||||||쌀보리작은도서관|횡성여성농업인지원센터|||200102
아낌없이/주는/나무||||작은도서관||강원 삼척시 교동로 107||||||||아낌없이 주는 나무||||200102
아낌없이주는나무||||작은도서관|||강원 삼척시 남양동 332-13|||||||아낌없이주는나무||||200102
아우라지작은도서관||||작은도서관||강원 정선군 여량면 서동로 2908||||||||아우라지작은도서관||||200102
안흥찐빵마을/책사랑방||||작은도서관||강원도 횡성군 안흥로 27||||||||안흥찐빵마을 책사랑방|안흥찐빵마을 책사랑방|||200102
앞짱어린이도서관||||작은도서관||강원도 춘천시 지석로 64||||||||앞짱어린이도서관|(퇴계 (6)주공아파트) 퇴계주공6차 아파트 관리동 2층|||200102
양문/작은/도서관||||작은도서관|||강원 원주시 명륜2동 824-15|||||||양문 작은 도서관||||200102
양양/거말/작은도서관||||작은도서관||강원도 양양군 양양읍 단지길 40||||||||양양 거말 작은도서관|양양사랑교회|||200102
양양감리교회작은도서관||||작은도서관||강원도 양양군 양양읍 구성사잇길 9||||||||양양감리교회작은도서관|양양감리교회작은도서관|||200102
여행자의노래도서관||||작은도서관||강원도 영월군 단종로 70||||||||여행자의노래도서관||||200102
영랑작은도서관||||작은도서관||강원도 속초시 영랑로 46||||||||영랑작은도서관|196-1|||200102
영재도서관||||작은도서관|||강원 원주시 행구동 1610-1|||||||영재도서관|원주영강교회 본관 1층|||200102
예꿈작은도서관||||작은도서관||강원도 강릉시 주문진읍 철둑길 9||||||||예꿈작은도서관|주문진그리스도의교회|||200102
예꿈터/작은/도서관||||작은도서관||강원도 원주시 원문로137번길 19-7||||||||예꿈터 작은 도서관|(단계동) .|||200102
오스타작은도서관||||작은도서관||강원도 춘천시 춘천순환로 93||||||||오스타작은도서관|(현대성우오스타) 관리동2층|||200102
옥거리작은도서관||||작은도서관||강원도 강릉시 경강로 2157||||||||옥거리작은도서관|135|||200102
우리들/작은도서관||||작은도서관||강원도 동해시 월평로 49||||||||우리들 작은도서관|(이로동,동해규수방아파트) 이로동 규수방@ 상가 1층|||200102
우리작은도서관||||작은도서관||강원도 동해시 청운로 82||||||||우리작은도서관|(쇄운동) (동신교회)|||200102
우천면/매화작은도서관||||작은도서관||강원도 횡성군 우천면 우항3길 5-2||||||||우천면 매화작은도서관|우천 매화작은도서관|||200102
웅진다책문고||||작은도서관||강원도 동해시 중앙로 233||||||||웅진다책문고|(천곡동) 신한은행 빌딩|||200102
원주YMCA아름드리도서관||||작은도서관||강원도 원주시 원문로137번길 7-6||||||||원주YMCA아름드리도서관|(단계동) .|||200102
원주단관영어도서관||||작은도서관|||강원 원주시 단구동 1630-10|||||||원주단관영어도서관||||200102
월담/작은도서관||||작은도서관||강원도 영월군 영월읍 중리1길 10||||||||월담 작은도서관|월담 작은도서관|||200102
월대산작은도서관||||작은도서관||강원도 강릉시 성덕포남로 80-21||||||||월대산작은도서관|(입암동)|||200102
은혜어린이도서관||||작은도서관|||강원 원주시 태장1동 851-8|||||||은혜어린이도서관||||200102
의상작은도서관||||작은도서관||강원 양양군 양양읍 남서길 28-4||||||||의상작은도서관||||200102
이도작은도서관||||작은도서관||강원도 동해시 이원길 151||||||||이도작은도서관|(이도동)|||200102
자작나무도서관||||작은도서관||강원도 원주시 혁신로 92||||||||자작나무도서관|(반곡동,푸른숨휴브레스) 푸른숨 LH4단지|||200102
작은도서관별찌(2012년개관)||||작은도서관||강원 춘천시 퇴계로 형인빌딩202호 ||||||||작은도서관별찌(2012년개관)||||200102
장성도서관||||작은도서관||강원도 태백시 목련길 20||||||||장성도서관|(장성동) 태백주사랑교회|||200102
정선꿈꾸는도서관||||작은도서관||강원 정선군 정선읍 용담길 65||||||||정선꿈꾸는도서관||||200102
좋은씨앗작은도서관||||작은도서관|||강원 정선군 고한읍 고한리 64-44|||||||좋은씨앗작은도서관||||200102
죽왕문고||||작은도서관||강원 고성군 죽왕면 오호길 9-7||||||||죽왕문고||||200102
진리도서관||||작은도서관||강원도 홍천군 홍천읍 희망로16길 16-14||||||||진리도서관|진리31-2|||200102
책날개어린이도서관||||작은도서관|||강원 춘천시 석사동 873|||||||책날개어린이도서관|현진에버빌2차아파트 관리동 2층|||200102
책드림도서관||||작은도서관||강원도 춘천시 중앙로 131||||||||책드림도서관|(춘천시민복지회관) 4층 책드림도서관|||200102
천곡동/새마을문고||||작은도서관||강원도 동해시 평릉길 20||||||||천곡동 새마을문고|(천곡동) 신웅빌딩|||200102
천진문고||||작은도서관|||강원 고성군 토성면 천진2리 1반 |||||||천진문고||||200102
철암도서관||||작은도서관||강원도 태백시 피내골길 23||||||||철암도서관|피내골길 23|||200102
청나래작은도서관||||작은도서관||강원도 원주시 소초면 북원로 3223||||||||청나래작은도서관|스포렉스 1층|||200102
청소년도서관/도란도란||||작은도서관||강원도 원주시 서원대로 234||||||||청소년도서관 도란도란|(단계동) 원주시청소년수련관 이음관|||200102
청일면/버들골작은도서관||||작은도서관||강원도 횡성군 청정로 823||||||||청일면 버들골작은도서관|(자율방범대) 버들골 작은도서관|||200102
초당작은도서관||||작은도서관||강원도 강릉시 연당길 116||||||||초당작은도서관|(초당동)|||200102
초록도서관||||작은도서관||강원도 동해시 중앙로 184||||||||초록도서관|(천곡동) 주연택크 (5층)|||200102
춘천YMCA푸름이도서관||||작은도서관|||강원 춘천시 후평1동 849-6|||||||춘천YMCA푸름이도서관|춘천YMCA 3층|||200102
큰사랑문고||||작은도서관|||강원 원주시 소초면 1529-9|||||||큰사랑문고||||200102
탄광촌/생명의/양식문고||||작은도서관||강원도 정선군 물한리길 16-10||||||||탄광촌 생명의 양식문고|(교회) 고한리 140-4|||200102
태장도서관||||작은도서관||강원 원주시 현충로 53||||||||태장도서관|(태장1동 809-4) 태장도서관|||200102
패랭이꽃그림책버스||||작은도서관||강원도 원주시 토지길 1||||||||패랭이꽃그림책버스|(단구동) 토지문학공원|||200102
포남어울림작은도서관||||작은도서관|||강원 강릉시 포남동 1005-367|||||||포남어울림작은도서관||||200102
푸른초장/작은도서관||||작은도서관||강원도 원주시 갈머리1길 23||||||||푸른초장 작은도서관|일산동|||200102
하남옹달샘작은도서관||||작은도서관|||강원 화천군 하남면 원천리 539-8|||||||하남옹달샘작은도서관||||200102
하늘마루/작은도서관||||작은도서관||강원도 홍천군 남노일로 22||||||||하늘마루 작은도서관||||200102
하슬라작은도서관||||작은도서관||강원도 강릉시 율곡로 2974||||||||하슬라작은도서관|(교동) 교2동 주민센터 2층|||200102
한빛사랑문고||||작은도서관||강원 태백시 상장동 연립길 8||||||||한빛사랑문고||||200102
함께하는누리/작은도서관||||작은도서관||강원도 횡성군 횡성읍 북천서로3번길 15||||||||함께하는누리 작은도서관|함께하는 누리|||200102
해누리글터/작은도서관||||작은도서관||강원도 양양군 관아길 25-6||||||||해누리글터 작은도서관||||200102
햇살/도서관||||작은도서관||강원 태백시 소도동 버들치길 10||||||||햇살 도서관||||200102
햇살작은도서관||||작은도서관||강원도 원주시 호저면 칠봉로 6-6||||||||햇살작은도서관|성공회원주교회 (햇살작은도서관)|||200102
행복한/도서관||||작은도서관||강원 평창군 대관령면 대관령면 돌뱅이길 21||||||||행복한 도서관||||200102
행복한도서관||||작은도서관||강원 태백시 황지동 황지로 77-1||||||||행복한도서관||||200102
화목작은도서관||||작은도서관||강원도 원주시 치악로 1871||||||||화목작은도서관|(봉산동) 2층 원주화목교회|||200102
횡성느티나무작은도서관||||작은도서관||강원도 횡성군 횡성읍 태기로 85||||||||횡성느티나무작은도서관||||200102
희망의문고||||작은도서관||강원 태백시 황연동 서황지로 2길 17||||||||희망의문고||||200102
희망찾는작은도서관||||작은도서관||강원도 원주시 원문로 178||||||||희망찾는작은도서관|(단계동) 4층|||200102
(사)행복한아침독서/책마을도서관||||작은도서관||경기 파주시 교하읍 회동길 455-2||||||||(사)행복한아침독서 책마을도서관||||200102
1318하랑/작은도서관||||작은도서관||경기 성남시 수정구 태평동 수정로 131||||||||1318하랑 작은도서관|낙원상가 내|||200102
153작은도서관||||작은도서관||경기도 연천군 청산면 궁평로 73||||||||153작은도서관|청산교회|||200102
7단지/숲속도서관||||작은도서관||경기도 고양시 일산동구 숲속마을1로 116||||||||7단지 숲속도서관|(숲속마을7단지아파트) 관리사무소 2층|||200102
BOOK소리작은도서관||||작은도서관||경기도 양주시 고덕로 159||||||||BOOK소리작은도서관|(양주덕계현진에버빌2단지아파트) 관리동|||200102
Book/Tree(북트리)||||작은도서관||경기도 고양시 일산동구 일산로394번길 19-17||||||||Book Tree(북트리)|19-17 1층|||200102
HJ제니스작은도서관||||작은도서관||경기도 안산시 상록구 선암로 54||||||||HJ제니스작은도서관|(본오동)|||200102
Jump작은도서관||||작은도서관||경기도 부천시 오정구 소사로 855||||||||Jump작은도서관|(원종동,세창짜임아파트) 상가 2층|||200102
KCC스위첸아파트/작은도서관||||작은도서관||경기도 오산시 오산로 49-5||||||||KCC스위첸아파트 작은도서관|(케이씨씨스위첸) 스위첸아파트|||200102
LG신산본자이2차아파트문고||||작은도서관||경기도 군포시 고산로151번길 26-23||||||||LG신산본자이2차아파트문고|(당정동,당정마을 엘지아파트)|||200102
LH리더스하임/작은도서관||||작은도서관||경기도 평택시 비전3로 59||||||||LH리더스하임 작은도서관|(비전동,엘에이치리더스하임) LH리더스하임 작은도서관|||200102
THE기쁜어린이도서관||||작은도서관||경기도 평택시 정암로 164||||||||THE기쁜어린이도서관|(이충동) 더기쁜문화센터 2층|||200102
TS푸른솔작은도서관||||작은도서관||경기도 양주시 부흥로 2021-7||||||||TS푸른솔작은도서관|(TS푸른솔1차아파트) 관리동 2층|||200102
with/you/작은도서관||||작은도서관||경기도 부천시 오정구 신흥로377번길 24||||||||with you 작은도서관|(내동) 3층|||200102
가곡힘찬문고||||작은도서관||경기 남양주시 화도읍 비룡로 329||||||||가곡힘찬문고|3층|||200102
가능1동작은도서관||||작은도서관||경기도 의정부시 신촌로 35||||||||가능1동작은도서관|(가능동)|||200102
가능2동작은도서관||||작은도서관||경기도 의정부시 의정로88번길 9||||||||가능2동작은도서관|(가능2동주민센터) 가능2동작은도서관|||200102
가능3동작은도서관||||작은도서관||경기 의정부시 가능동 호국로 1135번길 15||||||||가능3동작은도서관||||200102
가온누리/작은도서관||||작은도서관||경기도 김포시 북변중로25번길 5||||||||가온누리 작은도서관|북변동 4층|||200102
가온누리/작은도서관||||작은도서관||경기 성남시 분당구 판교동 판교동 서판교로 147||||||||가온누리 작은도서관|원마을 11단지|||200102
가온책마루작은도서관||||작은도서관||경기도 수원시 권선구 서수원로577번길 263||||||||가온책마루작은도서관|(금곡동,가온마을 3단지) 커뮤니티센터|||200102
가운휴먼시아5단지/도서관||||작은도서관||경기도 남양주시 가운로2길 111||||||||가운휴먼시아5단지 도서관|(가운동,남양주가운마을휴먼시아5단지) 503동 (3.4라인)1층|||200102
가좌대우푸르지오||||작은도서관||경기도 고양시 일산서구 가좌3로 45||||||||가좌대우푸르지오|(가좌마을2단지아파트) 가좌마을2단지아파트 관리사무소 2층|||200102
갈담/작은도서관||||작은도서관|||경기 화성시 봉담읍화성시 봉담읍 유리 120-5|||||||갈담 작은도서관|호수빌딩 2층|||200102
갈릴리/작은도서관||||작은도서관||경기도 고양시 일산서구 대화로156번길 30-15||||||||갈릴리 작은도서관|(대화동) 대한예수교장로회갈릴리교회 2층|||200102
갈보리/작은도서관||||작은도서관||경기도 성남시 분당구 이매로 132||||||||갈보리 작은도서관|갈보리교회 4층|||200102
갈현동꿈나무문고||||작은도서관||경기도 과천시 별양로 12||||||||갈현동꿈나무문고|(원문동,래미안슈르아파트) 스포츠센터내|||200102
감나무골작은도서관||||작은도서관||경기도 시흥시 목감초등길 45||||||||감나무골작은도서관|(목감 종합사회복지관) 목감종합사회복지관|||200102
강변교회어린이도서관||||작은도서관||경기도 남양주시 와부읍 덕소로 230-19||||||||강변교회어린이도서관|강변교회 1층|||200102
강상작은도서관||||작은도서관||경기도 양평군 강상면 송학길 60||||||||강상작은도서관|2층|||200102
강아지똥작은도서관||||작은도서관||경기도 고양시 일산서구 탄중로471번길 36||||||||강아지똥작은도서관|(정원상가) 정원상가 1층|||200102
강촌공원/5분걸음/예쁜도서관||||작은도서관||경기도 고양시 일산동구 강석로 132-1||||||||강촌공원 5분걸음 예쁜도서관|(강촌공원 5분걸음 예쁜도서관) 강촌공원내|||200102
강하작은도서관||||작은도서관||경기도 양평군 강하면 운심길 47||||||||강하작은도서관|2층|||200102
개척병영작은도서관||||작은도서관|||경기 양주시 광적면 효촌리 555|||||||개척병영작은도서관||||200102
거북작은도서관||||작은도서관||경기도 파주시 거북뫼길 115||||||||거북작은도서관|거북뫼길 115|||200102
건영리버파크아파트문고||||작은도서관||경기도 남양주시 와부읍 덕소로 286-1||||||||건영리버파크아파트문고|(건영리버파크아파트) 104동 102호|||200102
