##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@식신맛집
동해막국수||||식신맛집||인천광역시 중구 용유서로479번길 16|인천광역시 중구 을왕동 859-3|||||||동해막국수|동해막국수|||
화미소금구이구월동본점||||식신맛집||인천 남동구 용천로97번길 3|인천광역시 남동구 구월동 70-80|||||||화미소금구이구월동본점||||
진흥각||||식신맛집||인천광역시 중구 신포로23번길 20|인천광역시 중구 중앙동4가 6-2|||||||진흥각||||
피플즈||||식신맛집|||인천광역시 부평구 부평동 152-9|||||||피플즈||||
배가족발||||식신맛집||인천광역시 부평구 마장로 428|인천광역시 부평구 청천동 174-20|||||||배가족발||||
충남서산꽃게집||||식신맛집||인천 연수구 대암로 15|인천광역시 연수구 옥련동 550-2|||||||충남서산꽃게집||||
청실홍실||||식신맛집||인천 미추홀구 미추홀대로 697|인천광역시 미추홀구 주안동 190-8|||||||청실홍실||||
뉴욕반점||||식신맛집|||인천광역시 부평구 부평동 465-47|||||||뉴욕반점||||
토가||||식신맛집||인천광역시 강화군 해안남로 1912|인천광역시 강화군 화도면 흥왕리 566-1|||||||토가|토가|||
막줄래횟집||||식신맛집||인천 미추홀구 경인로438번길 10|인천광역시 미추홀구 주안동 300-23|||||||막줄래횟집||||
화미소금구이부평점||||식신맛집||인천 부평구 부흥로 249-13|인천광역시 부평구 부평동 70-83|||||||화미소금구이부평점||||
전가복||||식신맛집||인천광역시 남동구 하촌로59번길 24|인천광역시 남동구 만수동 953-6|||||||전가복||||
풍전식당||||식신맛집||인천 미추홀구 제일로 41|인천광역시 미추홀구 도화동 442-5|||||||풍전식당||||
평화옥||||식신맛집||인천 중구 공항로 272|인천광역시 중구 운서동 2868|||||||평화옥||||
제이스레시피송도점||||식신맛집||인천 연수구 해돋이로 107|인천광역시 연수구 송도동 4-1|||||||제이스레시피송도점||||
그랜드하얏트인천/레스토랑8||||식신맛집||인천광역시 중구 영종해안남로321번길 208|인천광역시 중구 운서동 2850-1|||||||그랜드하얏트인천 레스토랑8||||
원조선창집장어구이||||식신맛집||인천 강화군 선원면 더리미길13번길 7|인천광역시 강화군 선원면 신정리 320-2|||||||원조선창집장어구이||||
미애네||||식신맛집||인천광역시 중구 용유로21번길 53|인천광역시 중구 덕교동 188|||||||미애네||||
명월집||||식신맛집||인천 중구 신포로23번길 41|인천광역시 중구 중앙동3가 4-46|||||||명월집||||
신성루||||식신맛집||인천 중구 우현로 19-14|인천광역시 중구 신생동 9-12|||||||신성루||||
