##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@비영리법인
성동스포츠/사회적협동조합||||비영리법인||서울특별시 성동구 성덕정17길 12||사단법인||||||성동스포츠 사회적협동조합|2층|||210104
사단법인/뉴월드하모니카문화예술교육협회||||비영리법인||광주광역시 서구 하남대로 710번길 5||사단법인||||||사단법인 뉴월드하모니카문화예술교육협회|605동 106호|||210104
한일문화교류협회||||비영리법인||||사단법인||||||한일문화교류협회||||210104
날마다좋은날||||비영리법인||서울특별시 종로구 우정국로 67||사단법인||||||날마다좋은날||||210104
평화한반도/문화인회의||||비영리법인||서울특별시 종로구 인사동10길 23-4||사단법인||||||평화한반도 문화인회의|인영아트센터 4층|||210104
한복여행가||||비영리법인||서울특별시 종로구 창경궁로 지하18||사단법인||||||한복여행가||||210104
사단법인/한중문화예술포럼||||비영리법인||경기도 성남시 분당구 성남대로 925번길 37||사단법인||||||사단법인 한중문화예술포럼|204호 (야탑동,한승베네피아)|||210104
우리문화계승선양회||||비영리법인||서울특별시 동대문구 회기로 56번길 세종대왕기념관 내 ||사단법인||||||우리문화계승선양회||||210104
대한걷기협회||||비영리법인||서울 송파구 올림픽로 25||재단법인||||||대한걷기협회|잠실주경기장내 지하216호|||210104
사단법인/동아시아사회학회||||비영리법인||서울특별시 관악구 관악로 1||사단법인||||||사단법인 동아시아사회학회|서울대학교 아시아연구소 609호|||210104
사단법인/한국서점조합연합회||||비영리법인||서울특별시 구로구 가마산로 282||사단법인||||||사단법인 한국서점조합연합회|6층 (구로동,대림오피스밸리)|||210104
사회적협동조합/엠콤||||비영리법인||서울특별시 구로구 디지털로 34길 43||사단법인||||||사회적협동조합 엠콤|코오롱싸이언스밸리 1차 606호|||210104
사단법인/한국종합유원시설협회||||비영리법인||경기도 안양시 동안구 동편로 16||공익재단법인||||||사단법인 한국종합유원시설협회|4층 402호|||210104
맑고/향기롭게||||비영리법인||서울특별시 성북구 선잠로5길 길상사 내 ||사단법인||||||(사)맑고 향기롭게||||210104
사단법인/한국시각장애인스포츠연맹||||비영리법인||||사단법인||||||사단법인 한국시각장애인스포츠연맹||||210104
대한축구협회축구사랑나눔재단||||비영리법인||서울특별시 종로구 경희궁길 46||공익재단법인||||||대한축구협회축구사랑나눔재단|축구회관 6층|||210104
대한골프협회||||비영리법인||경기도 파주시 회동길 174||사단법인||||||대한골프협회|(문발동)|||210104
한국게임정책자율기구||||비영리법인||서울특별시 강남구 역삼로12길 18-4||사단법인||||||한국게임정책자율기구|502호 (역삼동 834-20)|||210104
대한민국합기도총협회||||비영리법인||충남 예산군 예산읍 아리랑로 185-5||사단법인||||||대한민국합기도총협회|2동 202호|||210104
최진한축구교실/사회적협동조합||||비영리법인||경남 사천시 사천읍 옥산로 49||사단법인||||||최진한축구교실 사회적협동조합||||210104
대한민국합기도총협회||||비영리법인||충청남도 천안시 서북구 번영로 208||사단법인||||||대한민국합기도총협회|천안종합운동장 내 주경기장|||210104
한국임상미술치료협회||||비영리법인||서울특별시 영등포구 여의동로3길 10||사단법인||||||한국임상미술치료협회|501동 307호|||210104
사회적협동조합/무하||||비영리법인||강원도 춘천시 금강로 91||사단법인||||||사회적협동조합 무하|2층,무하하우스|||210104
잇자잇자/사회적협동조합||||비영리법인||서울특별시 서대문구 통일로 36나길 3||사단법인||||||잇자잇자 사회적협동조합||||210104
한국프로스포츠협회||||비영리법인||서울특별시 중구 통일로2길 16||사단법인||||||(사)한국프로스포츠협회||||210104
사단법인/한국연극치료협회||||비영리법인||서울특별시 종로구 창경궁로 224||사단법인||||||사단법인 한국연극치료협회|지하층|||210104
한국꽃예술학회||||비영리법인||서울시 서대문구 세검정로1길 95||사단법인||||||한국꽃예술학회|홍은벽산 102동 1302호|||210104
한국역사연구회||||비영리법인||서울시 마포구 새창로 52||사단법인||||||한국역사연구회|현대1차 아파트 상가 213호|||210104
한국종교지도자협의회||||비영리법인||서울시 종로구 창경궁로 112-7||사단법인||||||한국종교지도자협의회|인의빌딩 602호|||210104
한국웹툰작가협회||||비영리법인||서울시 중구 소파로 130||사단법인||||||한국웹툰작가협회|만화의집 1층 (사)한국웹툰작가협회|||210104
우리도서관재단||||비영리법인||||재단법인||||||우리도서관재단||||210104
공정여행나눔사회적협동조합||||비영리법인||충청북도 청주시 상당구 교동로3번길 112||재단법인||||||공정여행나눔사회적협동조합|1층|||210104
한국예절문화원||||비영리법인||서울시 마포구 성미산로 107||사단법인||||||한국예절문화원|유진빌딩 2층|||210104
아트허브/사회적협동조합||||비영리법인||서울시 마포구 양화로1길 29||사단법인||||||아트허브 사회적협동조합|B1|||210104
문화예술/사회적협동조합/컬처75||||비영리법인||경기도 안산시 상록구 광덕산안길 20||사단법인||||||문화예술 사회적협동조합 컬처75|광덕종합시장 3층,사회적경제지원센터 11호|||210104
서울가무연극/사회적협동조합||||비영리법인||서울 송파구 올림픽로 88||사단법인||||||서울가무연극 사회적협동조합|올림픽타워 401호|||210104
한국미디어콘텐츠학회||||비영리법인||대전광역시 서구 배재로 155-40||사단법인||||||한국미디어콘텐츠학회|214호|||210104
마을문화공동체/사회적협동조합||||비영리법인||경기도 김포시 북변중로25길 25||사단법인||||||마을문화공동체 사회적협동조합|1층 1호|||210104
사회적협동조합/동화나무(해산)||||비영리법인||경북 칠곡군 석전읍 석적로 955-19||재단법인||||||사회적협동조합 동화나무(해산)||||210104
예술인/사회적협동조합/목요일||||비영리법인||경기도 수원시 영통구 인계로29번길 63-14||사단법인||||||예술인 사회적협동조합 목요일||||210104
가상현실콘텐츠산업협회||||비영리법인||경기도 성남시 분당구 판교역로 230||사단법인||||||가상현실콘텐츠산업협회|삼환하이펙스 B동 805호|||210104
한국난연합회||||비영리법인||천안시 동남구 옛시청길 16||사단법인||||||(사)한국난연합회|3층|||210104
사회적협동조합/놀터||||비영리법인|||서울시 광진구 구의동 546-6|사단법인||||||사회적협동조합 놀터|테크노마트 17층 18호|||210104
사단법인/린덴바움||||비영리법인||서울특별시 서초구 강남대로 631||사단법인||||||사단법인 린덴바움|크레신타워 613호|||210104
사단법인/한국매니지먼트연합||||비영리법인||서울특별시 영등포구 국회대로62길 14||사단법인||||||사단법인 한국매니지먼트연합|한국스카웃연맹 5층,501호|||210104
한국서각협회||||비영리법인||||사단법인||||||(사)한국서각협회||||210104
사단법인/대한출판문화협회||||비영리법인||서울시 종로구 삼청로 6||사단법인||||||사단법인 대한출판문화협회|(사간동) 출판문화회관|||210104
한국문화경제학회||||비영리법인||서울시 강남구 도산대로 446||사단법인||||||(사)한국문화경제학회|경원하이츠텔 1522호|||210104
사단법인/한국브이알에이알/콘텐츠진흥협회||||비영리법인||서울특별시 강남구 테헤란로 4길6 , 310호 ||사단법인||||||사단법인 한국브이알에이알 콘텐츠진흥협회||||210104
카카오/임팩트||||비영리법인||경기도 성남시 분당구 판교역로 235||재단법인||||||카카오 임팩트||||210104
한국걷는길연합||||비영리법인|||경상남도 하동군 하동읍 읍내리 425|사단법인||||||한국걷는길연합||||210104
대한아이스하키협회||||비영리법인||서울특별시 송파구 올림픽로 424||사단법인||||||대한아이스하키협회|벨로드롬 동계종목 사무국 103호|||210104
한중패션산학협회||||비영리법인||서울시 마포구 만리재로 14||사단법인||||||한중패션산학협회|르네상스타워 801호|||210104
대한수상스키/웨이크스포츠협회||||비영리법인||서울특별시 송파구 올림픽로 424||사단법인||||||대한수상스키 웨이크스포츠협회|SK핸드볼경기장내 122호|||210104
신나는/사회적협동조합||||비영리법인||경기도 파주시 중앙로 294||사단법인||||||신나는 사회적협동조합|(금촌동) 207호|||210104
대한민국농악연합회||||비영리법인||||사단법인||||||대한민국농악연합회||||210104
대한카바디협회||||비영리법인||부산광역시 사하구 낙동대로 536길 27||사단법인||||||대한카바디협회|명문OT 102호|||210104
대한킥복싱협회(이관/재교부)||||비영리법인||경기도 성남시 중원구 양현로 411||사단법인||||||대한킥복싱협회(이관, 재교부)|시티오피스타워 402호|||210104
사회적협동조합/문화배달||||비영리법인||경상북도 포항시 북구 칠성로 51번길 12-1||사단법인||||||사회적협동조합 문화배달||||210104
넥슨재단||||비영리법인||서울특별시 강남구 도산대로 313||재단법인||||||넥슨재단|6층 (신사동,313빌딩)|||210104
예술로/함께||||비영리법인||서울시 관악구 양지길 40-4||사단법인||||||예술로 함께|2층|||210104
지역문화진흥원||||비영리법인||서울시 종로구 율곡로 190||재단법인||||||지역문화진흥원|(여전도회관)|||210104
재단법인/플라톤/아카데미||||비영리법인||서울시 종로구 인사동7길 32||공익재단법인||||||재단법인 플라톤 아카데미|SK건설빌딩 2층|||210104
노사학연구원||||비영리법인||전라남도 장성군 진원면 고산로 68||사단법인||||||노사학연구원|(고산서원 집의재)|||210104
한국예절문화원||||비영리법인||서울특별시 마포구 성미산로 107.||공익사단법인||||||(사)한국예절문화원|유진빌딩 2층|||210104
시흥시민축구단/사회적협동조합||||비영리법인|||경기도 시흥시 정왕동 2160|사단법인||||||시흥시민축구단 사회적협동조합||||210104
스포츠복지/케이디/사회적협동조합||||비영리법인||경기도 성남시 중원구 둔촌대로 449||사단법인||||||스포츠복지 케이디 사회적협동조합|중앙인더스피아 304호|||210104
재단법인/넷마블문화재단||||비영리법인||서울특별시 구로구 디지털로 300||재단법인||||||재단법인 넷마블문화재단|지밸리비즈플라자 19층|||210104
대한요트협회||||비영리법인||서울특별시 송파구 올림픽로 424||사단법인||||||대한요트협회|올림픽회관 501호|||210104
대한카라테연맹||||비영리법인||서울특별시 송파구 올림픽로 424||사단법인||||||대한카라테연맹|올림픽 공원 벨로드롬 B08호|||210104
한국음식인문학연구원||||비영리법인||서울특별시 서초구 사평대로 140||사단법인||||||(사)한국음식인문학연구원|코웰빌딩 타호비즈센터 201-1호|||210104
놀이마당/얼쑤/사회적협동조합||||비영리법인||제주도 제주시 전농로 96||사단법인||||||놀이마당 얼쑤 사회적협동조합|지하1층|||210104
한국청소년게임문화협의회||||비영리법인||서울시 송파구 올림픽로 82||사단법인||||||(사)한국청소년게임문화협의회|8층 802호|||210104
아시아모델페스티벌조직위원회||||비영리법인||서울시 강남구 봉은사로 129||사단법인||||||아시아모델페스티벌조직위원회|거평타운 1812호|||210104
대한씨름협회||||비영리법인||서울특별시 송파구 올림픽로 25||사단법인||||||대한씨름협회|잠실주경기장 B 103|||210104
동학농민혁명유족회||||비영리법인||서울시 종로구 삼일대로 457||사단법인||||||(사)동학농민혁명유족회|수운회관 1205호|||210104
한국방송예술인단체연합회||||비영리법인||서울시 영등포구 의사당대로 1길 대우메종 오피스텔 813호 ||사단법인||||||한국방송예술인단체연합회||||210104
캐릭터디자이너협회||||비영리법인||서울특별시 마포구 와우산로 103||사단법인||||||캐릭터디자이너협회|(서교동)|||210104
문화콘텐츠개발원||||비영리법인||서울특별시 서초구 서초중앙로22길 122||사단법인||||||문화콘텐츠개발원|4층 (서초동,가나빌딩)|||210104
한국전통춤협회||||비영리법인||서울시 서초구 논현로 151||사단법인||||||한국전통춤협회|103호|||210104
한국민족춤협회||||비영리법인||서울시 송파구 백제고분로 22길 29||사단법인||||||한국민족춤협회|(삼전동)|||210104
사단법인/저작권해외진흥협회||||비영리법인||서울특별시 마포구 월드컵북로 375.||사단법인||||||사단법인 저작권해외진흥협회|디엠씨이안상암 1동 1807호|||210104
한국문학관협회||||비영리법인||경기도 광주시 남한산성면 남한산성로 792번길 24-7||사단법인||||||한국문학관협회||||210104
한국사진교육학회||||비영리법인||경기도 성남시 분당구 정자일로 ||사단법인||||||한국사진교육학회||||210104
한국관광유람선업협회||||비영리법인||인천광역시 중구 연안부두로 36||사단법인||||||한국관광유람선업협회|(해양광장전망대 1층)|||210104
대한산악연맹||||비영리법인||서울특별시 송파구 올림픽로 424||사단법인||||||대한산악연맹|(제2체육관 106호)|||210104
세계전통문화놀이협회||||비영리법인||경기도 수원시 효원로 288||사단법인||||||세계전통문화놀이협회|대원콤비프라자 11층|||210104
사단법인/전국지역문화재단연합회||||비영리법인||경기도 용인시 수지구 포은대로 499||사단법인||||||사단법인 전국지역문화재단연합회|(용인문화재단 내)|||210104
사단법인/한국광역문화재단연합회||||비영리법인|||대구광역시 중구 대봉동 260|사단법인||||||사단법인 한국광역문화재단연합회||||210104
한국문화관광연구원||||비영리법인||서울시 강서구 금낭화로 154||특수법인||||||한국문화관광연구원||||210104
재단법인/유네스코국제무예센터||||비영리법인||충주시 으뜸로 21||재단법인||||||재단법인 유네스코국제무예센터|충주시청|||210104
사단법인/한국농아인스포츠연맹||||비영리법인||서울특별시 강남구 테헤란로 435||사단법인||||||사단법인 한국농아인스포츠연맹|대종빌딩 1301호|||210104
공공통번역협회||||비영리법인||서울특별시 동대문구 이문로 107||사단법인||||||공공통번역협회|한국외국어대학교 교수회관 435호|||210104
가산불교문화연구원||||비영리법인||서울시 종로구 창경궁로26길 15||사단법인||||||가산불교문화연구원|(명륜4가 206-6)|||210104
재단법인/한국저작권보호원||||비영리법인||서울 마포구 월드컵북로 400||재단법인||||||재단법인 한국저작권보호원|(서울산업진흥원 빌딩 9,10층)|||210104
사단법인/지리산권역인문연구원||||비영리법인||전북 남원시 충정로 134||사단법인||||||사단법인 지리산권역인문연구원|(2층)|||210104
대한우슈협회||||비영리법인||서울특별시 송파구 올림픽로 424||사단법인||||||대한우슈협회|SK핸드볼경기장 118호|||210104
한국가톨릭문인회||||비영리법인|||서울시 종로구 돈의동 낙원오피스텔 205호 |사단법인||||||한국가톨릭문인회||||210104
2019광주세계수영선수권대회조직위원회||||비영리법인||광주광역시 동구 천변우로 369||재단법인||||||2019광주세계수영선수권대회조직위원회||||210104
또하나의문화||||비영리법인|||서울시 마포구 동교동 184-6|사단법인||||||또하나의문화|대재빌라 302호|||210104
대한컬링경기연맹||||비영리법인||서울특별시 송파구 올림픽로 424||사단법인||||||대한컬링경기연맹|벨로드롬 동계종목 사무국 105호|||210104
한국/에스지아이||||비영리법인|||서울특별시 구로구 구로5동 45|재단법인||||한국 SGI||한국 에스지아이(SGI)||||210104
대한민국댄스스포츠연맹||||비영리법인||서울특별시 송파구 올림픽로 424||사단법인||||||대한민국댄스스포츠연맹|Sk핸드볼경기장 119호|||210104
한국테디베어협회||||비영리법인||서울특별시 마포구 독막로 7길 64||사단법인||||||한국테디베어협회|풀꽃빌딩 1층|||210104
2017/무주/WTF/세계태권도선수권대회/조직위원회||||비영리법인||전북 저주시 완산구 중화산로 68||재단법인||||||2017 무주 WTF 세계태권도선수권대회 조직위원회|강석빌딩 2층|||210104
사랑그리고문화나눔||||비영리법인||서울특별시 강남구 광평로 295||사단법인||||||사랑그리고문화나눔|동관 1117호 (수서동,사이룩스오피스텔)|||210104
한국패션문화협회||||비영리법인||경상북도 경산시 대학로 280||사단법인||||||한국패션문화협회|영남대학교 패션디자인연구실|||210104
대한피구연맹||||비영리법인||경기도 고양시 일산동구 중산로 248||사단법인||||||대한피구연맹|(중산동,702호)|||210104
대한루지경기연맹||||비영리법인||서울특별시 송파구 올림픽로 424||사단법인||||||대한루지경기연맹||||210104
대한그라운드골프협회||||비영리법인||경남 창원시 의창구 원이대로 450||사단법인||||||대한그라운드골프협회|창원종합운동장 152-2호|||210104
대한민국줄다리기협회||||비영리법인||서울 송파구 올림픽로 25||사단법인||||||대한민국줄다리기협회|B-215|||210104
대한국학기공협회||||비영리법인||서울 송파구 올림픽로 25||사단법인||||||대한국학기공협회|(잠실동) 주경기장내 B-309호 국학기공|||210104
대한파크골프협회||||비영리법인||서울특별시 송파구 올림픽로 25||사단법인||||||대한파크골프협회|B202호 (잠실동,잠실주경기장)|||210104
대한게이트볼협회||||비영리법인||경기도 수원시 권선구 여기산로 26번길 30||사단법인||||||대한게이트볼협회|(서둔동)|||210104
대한민국플라잉디스크연맹||||비영리법인||서울시 강서구 개화동로 523||사단법인||||||대한민국플라잉디스크연맹|4층|||210104
대한민국족구협회||||비영리법인||서울특별시 송파구 올림픽로 25||사단법인||||||대한민국족구협회|잠실동,잠실주경기장 B208호|||210104
대한민국줄넘기협회||||비영리법인||인천광역시 남구 낙섬중로 3||사단법인||||||대한민국줄넘기협회|302호|||210104
대한당구연맹||||비영리법인|||서울특별시 송파구 오륜동 88-2|사단법인||||||대한당구연맹|올림픽공원 SK핸드볼경기장 115호|||210104
재단법인/생활문화진흥원||||비영리법인||서울 종로구 율곡로 190||재단법인||||||재단법인 생활문화진흥원||||210104
대한궁도협회||||비영리법인||서울특별시 중구 퇴계로 51길 20||사단법인||||||대한궁도협회|608호|||210104
대한봅슬레이스켈레톤경기연맹||||비영리법인||서울특별시 송파구 올림픽로 424||사단법인||||||대한봅슬레이스켈레톤경기연맹|올림픽공원 벨로드롬 동계종목단체 107호|||210104
재단법인/2017피파20세월드컵조직위원회||||비영리법인||서울시 용산구 한강대로 366||재단법인||||||재단법인 2017피파20세월드컵조직위원회|트윈시티남산 3층|||210104
대한크리켓협회||||비영리법인||인천광역시 서구 봉수대로 806||사단법인||||||대한크리켓협회|연희크리켓 경기장|||210104
대한민국독도사랑/세계연대||||비영리법인||경상남도 김해시 함박로 45번길 3-2||사단법인||||||대한민국독도사랑 세계연대|1층|||210104
대한체육회||||비영리법인||서울 송파구 올림픽로 424||사단법인||||||대한체육회|올림픽공원내 올림픽회관|||210104
대한라켓볼협회||||비영리법인||서울특별시 송파구 올림픽로 25||사단법인||||||대한라켓볼협회|B308|||210104
대한스쿼시연맹||||비영리법인||서울특별시 송파구 올림픽로 424||사단법인||||||대한스쿼시연맹|503호 (올림픽회관)|||210104
재단법인/케이스포츠||||비영리법인||서울특별시 강남구 언주로 114길 15-5||재단법인||||||재단법인 케이스포츠|2층 (논현동)|||210104
대한양궁협회||||비영리법인||서울특별시 송파구 올림픽로 424||사단법인||||||대한양궁협회||||210104
한국캐리커처협회||||비영리법인||서울시 구로구 서해안로 2334||사단법인||||||한국캐리커처협회|3층|||210104
한국웹툰산업협회||||비영리법인||서울시 구로구 디지털로 26길 111||사단법인||||||한국웹툰산업협회|JNK 디지털타워 1703호|||210104
한국이슬람문화협회||||비영리법인||서울시 종로구 대학로 20||사단법인||||||한국이슬람문화협회|703호|||210104
대한택견회||||비영리법인||서울특별시 송파구 올림픽로 424||사단법인||||||대한택견회|(올림픽공원) 테니스장 107호|||210104
한국여행서비스교육협회||||비영리법인|||서울특별시 마포구 성산동 133-3|사단법인||||||(사)한국여행서비스교육협회|한올빌딩 3층|||210104
대한하키협회||||비영리법인||서울특별시 송파구 올림픽로 424||사단법인||||||대한하키협회||||210104
한국효문화센터||||비영리법인||경기도 과천시 문원로 40-1||사단법인||||||한국효문화센터||||210104
한국폰트협회||||비영리법인||서울시 마포구 독막로 33-1||사단법인||||||한국폰트협회|4층|||210104
다문화연예예술총연합회||||비영리법인||서울특별시 중구 퇴계로 430-1||사단법인||||||(사)다문화연예예술총연합회|3층 (신당동)|||210104
재단법인/미르||||비영리법인||서울특별시 강남구 학동로 42길 21||재단법인||||||재단법인 미르|3층|||210104
한국위키미디어협회||||비영리법인||서울시 금천구 가산디지털1로 168||사단법인||||||한국위키미디어협회|우림라이온스밸리 A동 801호|||210104
재단법인/2018창원세계사격선수권대회조직위원회||||비영리법인||경상남도 창원시 진해구 진해대로 1101||재단법인||||||재단법인 2018창원세계사격선수권대회조직위원회|(풍호동)|||210104
한국상영발전협회||||비영리법인||서울특별시 종로구 삼일대로 428||사단법인||||||한국상영발전협회|낙원상가 4층 (우편번호 03140)|||210104
한국도시경관디자인학회||||비영리법인||서울특별시 강남구 봉은사로 33길 11||사단법인||||||한국도시경관디자인학회||||210104
재단법인/롯데문화재단||||비영리법인||서울시 송파구 올림픽로 300||공익법인||||||재단법인 롯데문화재단|(신천동)|||210104
이청준기념사업회||||비영리법인||서울시 마포구 잔다리로 7길 18||사단법인||||||이청준기념사업회||||210104
재단법인/문화창조융합센터||||비영리법인||서울 마포구 상암산로 66||재단법인||||||재단법인 문화창조융합센터|(CJ E&M센터 1층)|||210104
동아시아스포츠진흥협회||||비영리법인|||서울특별시 마포구 상암동 1653|사단법인||||||동아시아스포츠진흥협회|DMC이안상암 2단지 2803호|||210104
빛된소리글로벌예술협회||||비영리법인||서울특별시 강서구 공항대로41길 66||사단법인||||||빛된소리글로벌예술협회|세신종함B/D 5층 512호|||210104
사단법인/콘텐츠경영학회||||비영리법인||서울시 중구 퇴계로 27길 28||사단법인||||||사단법인 콘텐츠경영학회|57-3 한영빌딩 701호|||210104
국민생활체육회||||비영리법인||서울 송파구 올림픽로 424||사단법인||||||국민생활체육회||||210104
한국자연지리협회||||비영리법인|||서울시 성북구 보문동 4가 보문하우스토리 1307|사단법인||||||한국자연지리협회||||210104
한국역술인협회||||비영리법인|||서울시 강남구 논현동 48-5|사단법인||||||한국역술인협회||||210104
한국청소년어문진흥회||||비영리법인||서울 서초구 서초대로 356||사단법인||||||한국청소년어문진흥회|1106호 (서초동,서초지웰타워)|||210104
한국동양운명철학인협회||||비영리법인||대전광역시 중구 대흥로 48||사단법인||||||한국동양운명철학인협회|4층 1호|||210104
풍석문화재단||||비영리법인||서울시 관악구 과천대로 939||사단법인||||||풍석문화재단|르메이에르 강남타운 2차 1109호|||210104
동편제/이선유/판소리/보존회||||비영리법인||서울시 중구 충무로 2가 52-10||사단법인||||||동편제 이선유 판소리 보존회|허주회관 빌딩 511|||210104
한국휠체어농구연맹||||비영리법인||서울특별시 서초구 매헌로 54-1||사단법인||||||한국휠체어농구연맹|203빌딩 5층|||210104
한국창작스토리작가협회||||비영리법인||서울시 구로구 부일로 1길 26-13||사단법인||||||한국창작스토리작가협회|송정빌딩 2층 (온수동)|||210104
서울예술재단||||비영리법인|||서울시 종로구 신문로2가 1-102|재단법인||||||서울예술재단||||210104
사단법인/해아라||||비영리법인||서울 종로구 삼일대로 461||사단법인||||||사단법인 해아라|Sk허브 102동 805호|||210104
한국장애인문화예술원||||비영리법인||서울특별시 종로구 대학로 112||재단법인||||||한국장애인문화예술원||||210104
맑은/물결||||비영리법인||서울특별시 영등포구 국회대로 74길 20||사단법인||||||(사)맑은 물결|1016호|||210104
한국크리에이티브광고원||||비영리법인||서울시 중구 동호로 272||사단법인||||||한국크리에이티브광고원|웰콤시티|||210104
한국현대문화포럼||||비영리법인||경기도 파주시 회동길 37-20||사단법인||||||한국현대문화포럼|파주출판문화정보산업단지|||210104
한국여행안전협회||||비영리법인||서울시 양천구 오목로 177||사단법인||||||(사) 한국여행안전협회|연인빌딩 403호|||210104
한국프로스포츠협회||||비영리법인||서울특별시 종로구 경희궁길 46||사단법인||||||한국프로스포츠협회|(축구회관 5층)|||210104
한국정원디자인학회||||비영리법인||서울특별시 양천구 목동동로 233-1||사단법인||||||(사)한국정원디자인학회|현대드림타워 1919호|||210104
한국천연염색연구회||||비영리법인|||인천시 연수구 송도동 19-1|사단법인||||||한국천연염색연구회|커낼워크 201-406|||210104
한국차문화협회||||비영리법인||서울시 마포구 토정로37길 46||사단법인||||||한국차문화협회|정우빌딩 207호|||210104
한국시조사랑시인협회||||비영리법인||서울 중구 을지로 20길 12||사단법인||||||한국시조사랑시인협회|대성빌딩 405호|||210104
대한캠핑장협회||||비영리법인||서울특별시 강서구 금낭화로 31||사단법인||||||(사)대한캠핑장협회|(방화동) 삼광빌딩 302호|||210104
한국만화가협회||||비영리법인||서울특별시 중구 소파로 130||사단법인||||||(사)한국만화가협회|(예장동)|||210104
국제문인협회||||비영리법인||서울 종로구 수표로 91||사단법인||||||(사)국제문인협회|401호 (관수동,금정빌딩)|||210104
한국시각문화협회||||비영리법인|||서울 종로구 창성동 140|사단법인||||||한국시각문화협회||||210104
한국수영장경영자협회||||비영리법인||서울시 서초구 나루터로 61||사단법인||||||한국수영장경영자협회|태승빌딩 305호|||210104
한국실용음악작곡가협회||||비영리법인|||서울시 마포구 도화동 555|사단법인||||||한국실용음악작곡가협회|한화오벨리스크 5동 1914호|||210104
행촌문화재단||||비영리법인|||전남 해남군 문내면 예락리 1345|재단법인||||||행촌문화재단||||210104
대한현악기제작자협회||||비영리법인||서울특별시 서초구 효령로 46길 5||사단법인||||||대한현악기제작자협회|307|||210104
