##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@GS25
GS25|송파희망점|37.50894393|127.13060405|GS25||서울 송파구 위례성대로22길 16||cafe25;bakery;instant;drug;post;withdrawal;smart_atm;self_cook||||||GS25 송파희망점|1층 (오금동 8)|||90702
GS25|송하삼익점|35.10885873|126.89438631|GS25||광주 남구 서문대로556번길 6||cafe25;instant;drug;post;withdrawal||||||GS25 송하삼익점|(송하동 45-1)|||90702
GS25|송학현대점|35.94085185|126.93813095|GS25||전북 익산시 배산로4길 28||drug;post;withdrawal||||||GS25 송학현대점|상가 1동 106호 (송학동 208-6,송학현대아파트)|||90702
GS25|송현타운점|35.82518143|128.54746426|GS25||대구 달서구 월배로68길 8||cafe25;instant;drug;post;withdrawal||||||GS25 송현타운점|(송현동 798-249)|||90702
GS25|송화중앙점|36.96304719|127.05844473|GS25||경기 평택시 팽성읍 부용로 23||cafe25;drug;withdrawal||||||GS25 송화중앙점|106호 (송화리 780-4,한미빌딩)|||90702
GS25|쇠소깍점|33.25055002|126.62102064|GS25||제주 서귀포시 쇠소깍로 151-8||cafe25;instant;withdrawal||||||GS25 쇠소깍점|(하효동 999)|||90702
GS25|수곡대로점|36.62083215|127.47034593|GS25||충북 청주시 흥덕구 수곡로 109||cafe25;instant;drug;post;withdrawal||||||GS25 수곡대로점|(수곡2동 656)|||90702
GS25|수곡매봉마을점|36.61985492|127.47557366|GS25||충북 청주시 서원구 구룡산로 275-44||cafe25;instant;drug;post;withdrawal;self_cook||||||GS25 수곡매봉마을점|(수곡동 319)|||90702
GS25|수곡한마음점|36.61872354|127.47242862|GS25||충북 청주시 서원구 수곡로 74||cafe25;instant;drug;post;withdrawal||||||GS25 수곡한마음점|상가 1동 101호 (수곡2동 777,한마음1차이파트)|||90702
GS25|수내제일점|37.37350819|127.1202015|GS25||경기 성남시 분당구 내정로174번길 6||cafe25;drug;post;battery||||||GS25 수내제일점|106호 (수내2동 58-5,한올상가)|||90702
GS25|수덕사IC점|36.6710113|126.78150272|GS25||충남 예산군 오가면 충서로 392||drug;post;withdrawal;self_cook||||||GS25 수덕사IC점|(월곡리 138-3)|||90702
GS25|수동입석점|37.70980019|127.32213519|GS25||경기 남양주시 수동면 비룡로 810||cafe25;instant;drug;battery;atm;withdrawal;jella_soft||||||GS25 수동입석점|(입석리 338-3)|||90702
GS25|수락디자인점|37.67524842|127.0576234|GS25||서울 노원구 동일로242길 39||cafe25;instant;drug;post;withdrawal;jella_soft;smart_atm||||||GS25 수락디자인점|1층 (상계동 1120-88,인성빌딩)|||90702
GS25|수명산4단지점|37.5511638|126.82339364|GS25||서울 강서구 수명로1길 16||cafe25;bakery;instant;drug;post;atm;withdrawal||||||GS25 수명산4단지점|마곡수명산파크4단지 상가동 101호,102호일부 (내발산동 753)|||90702
GS25|수산삼거리점|33.44379249|126.88865629|GS25|||제주 서귀포시 성산읍수산리 269|cafe25;post;withdrawal||||||GS25 수산삼거리점||||90702
GS25|수산항점|38.07710865|128.67444185|GS25||강원 양양군 손양면 수산1길 20-16||post;withdrawal||||||GS25 수산항점|(수산리 89-38)|||90702
GS25|수색두빌점|37.57825864|126.90107267|GS25||서울 은평구 수색로 191||cafe25;drug;post;battery;withdrawal||||||GS25 수색두빌점|1층 (증산동 223-47,두빌191)|||90702
GS25|수서로즈데일점|37.48731987|127.1030716|GS25||서울 강남구 광평로 280||||||||GS25 수서로즈데일점|지하2층 118,119호 (수서동 724,로즈데일오피스텔)|||90702
GS25|수서벤처점|37.48800357|127.10174041|GS25||서울 강남구 밤고개로1길 10||cafe25;drug||||||GS25 수서벤처점|1층 1177호 (수서동 713,현대벤쳐빌)|||90702
GS25|수성뉴타운점|35.5779468|126.85311314|GS25||전북 정읍시 수성1로 52||cafe25;drug;post;withdrawal||||||GS25 수성뉴타운점|(수성동 964-1)|||90702
GS25|수성덕원점|35.82943745|128.7061419|GS25||대구 수성구 유니버시아드로 326||post;withdrawal||||||GS25 수성덕원점|(욱수동 117)|||90702
GS25|수성덕일점|35.85550753|128.64282219|GS25||대구 수성구 청호로88길 50||drug;post;withdrawal||||||GS25 수성덕일점|1층 (범어동 64-97)|||90702
GS25|수성도서관점|35.87235465|128.64086527|GS25||대구 수성구 만촌로 156||cafe25;instant;drug;post;withdrawal||||||GS25 수성도서관점|(만촌동 427-1)|||90702
GS25|수성동계곡점|37.58188562|126.96438785|GS25||서울 종로구 옥인6길 5||cafe25;post;withdrawal||||||GS25 수성동계곡점|1층 1호 (누상동 166-118)|||90702
GS25|수성동로점|35.8510966|128.60887615|GS25||대구 수성구 신천동로 292||cafe25;drug;withdrawal||||||GS25 수성동로점|(수성동1가 649-82)|||90702
GS25|수성동서점|35.83325508|128.70681769|GS25||대구 수성구 신매로 41||instant;drug;post;withdrawal||||||GS25 수성동서점|상가 106동 1층 101호 (신매동 594,동서타운)|||90702
GS25|수성두산점|35.83177852|128.62172274|GS25||대구 수성구 동대구로3길 23||cafe25;instant;drug;post;withdrawal||||||GS25 수성두산점|(두산동 183-8)|||90702
GS25|수성로점|35.85124425|128.61351603|GS25||대구 수성구 수성로 288||cafe25;drug;post;withdrawal||||||GS25 수성로점|(수성동2가 296-2)|||90702
GS25|수성마을점|35.57867091|126.85533145|GS25||전북 정읍시 수성택지4길 6-1||cafe25;instant;drug;post;withdrawal;self_cook||||||GS25 수성마을점|(수성동 949-13)|||90702
GS25|수성만촌점|35.86896591|128.63573311|GS25||대구 수성구 동원로 123||toto;instant;drug;post||||||GS25 수성만촌점|상가 222동 101호 (만촌1동 1356-7,메트로)|||90702
GS25|수성범물점|35.81776526|128.645218|GS25||대구 수성구 범안로 68||cafe25;instant;drug;post;withdrawal||||||GS25 수성범물점|(범물1동 1321)|||90702
GS25|수성범어점|35.85778087|128.63396087|GS25||대구 수성구 달구벌대로496길 10||cafe25;instant;drug;post;withdrawal;jella_soft||||||GS25 수성범어점|1층 (범어동 201-9)|||90702
GS25|수성보성타운점|35.86242913|128.6153849|GS25||대구 수성구 수성로 412||instant;drug;post||||||GS25 수성보성타운점|118동 105호 (수성동4가 1090-6,수성보성타운)|||90702
GS25|수성삼주점|35.81544922|128.64177986|GS25||대구 수성구 범안로8길 35||cafe25;instant;drug;post;withdrawal||||||GS25 수성삼주점|105동 107호 (범물동 1382,범물삼주타운)|||90702
GS25|수성쉐르빌점|35.85478837|128.64077923|GS25||대구 수성구 청호로 426||cafe25;instant;drug;post;withdrawal;self_cook||||||GS25 수성쉐르빌점|301동 지하1층 105호 (범어동 77-7)|||90702
GS25|수성시지점|35.83922977|128.70546488|GS25||대구 수성구 고산로18길 9||lotto;cafe25;drug;withdrawal||||||GS25 수성시지점|(신매동 567-4)|||90702
