##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@기아자동차오토큐
기아오토큐|서초중부점|127.0247497|37.4837949|기아자동차오토큐|025232654|서울 서초구 효령로 356||||||||기아오토큐 서초중부점|(서초동 1438-1,10,11)|||160412
기아오토큐|수유북부점|127.01305|37.642408|기아자동차오토큐|029921210|서울특별시 강북구 인수봉로 296||||||||기아오토큐 수유북부점|수유동,기아모터스오토수유북부점|||160412
기아오토큐|신내점|127.0827556|37.6118194|기아자동차오토큐|029498272|서울특별시 중랑구 숙선옹주로5길 1||||||||기아오토큐 신내점|묵동|||160412
기아오토큐|신당중부점|127.0123028|37.5529528|기아자동차오토큐|0222388490|서울특별시 중구 동호로 198||||||||기아오토큐 신당중부점|신당동|||160412
기아오토큐|신림서부점|126.9137472|37.4817111|기아자동차오토큐|028378208|서울특별시 관악구 조원로 85||||||||기아오토큐 신림서부점|신림동,글로리아빌딩|||160412
기아오토큐|신림점|126.9251944|37.4808944|기아자동차오토큐|028396677|서울특별시 관악구 남부순환로 1553||||||||기아오토큐 신림점|신림동|||160412
기아오토큐|신수점|126.9374639|37.5447778|기아자동차오토큐|027152777|서울특별시 마포구 독막로 193||||||||기아오토큐 신수점|신수동|||160412
기아오토큐|신월남부점|126.8482361|37.5183722|기아자동차오토큐|0226941232|서울특별시 양천구 신월로 216||||||||기아오토큐 신월남부점|신월동|||160412
기아오토큐|쌍문점|127.032195|37.641221|기아자동차오토큐|029952523||서울 도봉구 쌍문3동 103-153|||||||기아오토큐 쌍문점||||160412
기아오토큐|안암점|127.0281295|37.5777769|기아자동차오토큐|029139999|서울특별시 성북구 안암로 33||||||||기아오토큐 안암점|(안암동4가 29-1) 안암동4가|||160412
기아오토큐|역촌점|126.9217222|37.5981917|기아자동차오토큐|023563096|서울특별시 은평구 진흥로 41||||||||기아오토큐 역촌점|역촌동,역촌동수리점|||160412
기아오토큐|연희점|126.937239|37.569288|기아자동차오토큐|023248280|서울특별시 서대문구 연희로 168||||||||기아오토큐 연희점|기아오토큐 연희점 (연희동)|||160412
기아오토큐|옥수점|127.0166854|37.5407446|기아자동차오토큐|0222997218|서울특별시 성동구 독서당로 214||||||||기아오토큐 옥수점|(옥수동)|||160412
기아오토큐|용강점|126.9403991|37.5404943|기아자동차오토큐|027039118|서울특별시 마포구 토정로 252||||||||기아오토큐 용강점||||160412
기아오토큐|잠실점|127.079478|37.50149|기아자동차오토큐|024120290|서울특별시 송파구 도곡로62길 5||||||||기아오토큐 잠실점|(잠실동)|||160412
기아오토큐|전농점|127.058789|37.576179|기아자동차오토큐|0222428573|서울특별시 동대문구 전농로29길 93-12||||||||기아오토큐 전농점|전농동|||160412
기아오토큐|정릉점|127.007212|37.608593|기아자동차오토큐|029182200|서울특별시 성북구 솔샘로 41||||||||기아오토큐 정릉점|정릉동|||160412
