##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@도서관
문래정보문화도서관||||도서관||서울특별시 영등포구 문래로20길 49||||||||문래정보문화도서관|(문래동3가 98)|||200101
상계문화정보도서관||||도서관||서울특별시 노원구 동일로243길 57||||||||상계문화정보도서관|(상계동)|||200101
서구어린이도서관||||도서관||대전광역시 서구 정림동로 25||||||||서구어린이도서관||||200101
서울도서관||||도서관||서울특별시 중구 세종대로 110||||||||서울도서관||||200101
서울특별시교육청강남도서관||||도서관||서울특별시 강남구 선릉로116길 45||||||||서울특별시교육청강남도서관||||200101
서울특별시교육청강동도서관||||도서관||서울특별시 강동구 양재대로116길 57||||||||서울특별시교육청강동도서관||||200101
서울특별시교육청강서도서관||||도서관||서울특별시 강서구 등촌로51나길 29||||||||서울특별시교육청강서도서관||||200101
서울특별시교육청개포도서관||||도서관||서울특별시 강남구 선릉로4길 30||||||||서울특별시교육청개포도서관||||200101
서울특별시교육청고덕평생학습관||||도서관||서울특별시 강동구 고덕로 295||||||||서울특별시교육청고덕평생학습관||||200101
서울특별시교육청고척도서관||||도서관||서울특별시 구로구 고척로45길 31||||||||서울특별시교육청고척도서관||||200101
서울특별시교육청구로도서관||||도서관||서울특별시 구로구 공원로 15||||||||서울특별시교육청구로도서관||||200101
서울특별시교육청남산도서관||||도서관|||서울특별시 용산구 후암동 30-84|||||||서울특별시교육청남산도서관||||200101
서울특별시교육청노원평생학습관||||도서관|||서울특별시 노원구 중계3동 508|||||||서울특별시교육청노원평생학습관||||200101
서울특별시교육청도봉도서관||||도서관||서울특별시 도봉구 삼양로 556||||||||서울특별시교육청도봉도서관||||200101
서울특별시교육청동대문도서관||||도서관||서울특별시 동대문구 천호대로4길 22||||||||서울특별시교육청동대문도서관||||200101
서울특별시교육청동작도서관||||도서관|||서울특별시 동작구 노량진2동 310-150|||||||서울특별시교육청동작도서관||||200101
서울특별시교육청마포평생학습관||||도서관|||서울특별시 마포구 서교동 341-1|||||||서울특별시교육청마포평생학습관||||200101
서울특별시교육청마포평생학습관아현분관||||도서관||서울특별시 마포구 마포대로 224||||||||서울특별시교육청마포평생학습관아현분관||||200101
서울특별시교육청서대문도서관||||도서관||서울특별시 서대문구 모래내로 412||||||||서울특별시교육청서대문도서관||||200101
서울특별시교육청송파도서관||||도서관||서울특별시 송파구 동남로 263||||||||서울특별시교육청송파도서관||||200101
서울특별시교육청양천도서관||||도서관||서울특별시 양천구 목동서로 113||||||||서울특별시교육청양천도서관||||200101
서울특별시교육청어린이도서관||||도서관||서울특별시 종로구 사직로9길 7||||||||서울특별시교육청어린이도서관||||200101
서울특별시교육청영등포평생학습관||||도서관||서울특별시 영등포구 버드나루로15길 10||||||||서울특별시교육청영등포평생학습관||||200101
서울특별시교육청용산도서관||||도서관||서울특별시 용산구 두텁바위로 160||||||||서울특별시교육청용산도서관||||200101
서울특별시교육청정독도서관||||도서관||서울특별시 종로구 북촌로5길 48||||||||서울특별시교육청정독도서관|(화동2번지)|||200101
서울특별시교육청종로도서관||||도서관||서울특별시 종로구 사직로9길 15-14||||||||서울특별시교육청종로도서관|(사직동 1-28번지)|||200101
서초구립반포도서관||||도서관||서울특별시 서초구 고무래로 34||||||||서초구립반포도서관||||200101
선유정보문화도서관||||도서관||서울특별시 영등포구 선유로43가길 10-8||||||||선유정보문화도서관|(양평동3가 88-1)|||200101
성동구립금호도서관||||도서관||서울특별시 성동구 난계로 20||||||||성동구립금호도서관|(금호1가 688)|||200101
성동구립도서관(구/성동문화정보센터)||||도서관||서울특별시 성동구 고산자로 10길 9||||||||성동구립도서관(구 성동문화정보센터)|(행당동 142-4)|||200101
성동구립무지개도서관||||도서관||서울시 성동구 도산자로 270||||||||성동구립무지개도서관|성동구청 3층|||200101
성동구립성수도서관||||도서관||서울시 성동구 뚝섬로1길 43||||||||성동구립성수도서관|성수문화복지회관 내 7층|||200101
성동구립용답도서관||||도서관||서울특별시 성동구 용답 중앙3길 10||||||||성동구립용답도서관|(용답동 95-1)|||200101
성동구립청계도서관||||도서관||서울시 성동구 마장로 141||||||||성동구립청계도서관||||200101
성북정보도서관||||도서관||서울특별시 성북구 화랑로18자길 13||||||||성북정보도서관|(상월곡동)|||200101
송파구립거마도서관(거마도서정보센터)||||도서관||서울특별시 송파구 거마로2길 19||||||||송파구립거마도서관(거마도서정보센터)|거여제2동 주민센터|||200101
송파글마루도서관||||도서관||서울 송파구 충민로 120||||||||송파글마루도서관||||200101
송파돌마리도서관||||도서관||서울시 송파구 백제고분로 37길 16||||||||송파돌마리도서관|석촌동 주민센터 5층|||200101
송파위례도서관||||도서관||서울특별시 송파구 위례광장로 210||||||||송파위례도서관|4-5층|||200101
아리랑정보도서관||||도서관||서울특별시 성북구 아리랑로 82||||||||아리랑정보도서관|(돈암동 538-98)|||200101
오류도서관||||도서관||서울특별시 구로구 경인로19길 29-6||||||||오류도서관||||200101
은평구/상림마을작은도서관||||도서관||서울특별시 은평구 진관4로 48-25||||||||은평구 상림마을작은도서관||||200101
은평구립도서관||||도서관||서울특별시 은평구 통일로78가길 13-84||||||||은평구립도서관||||200101
은평뉴타운도서관||||도서관||서울특별시 은평구 진관2로 111-51||||||||은평뉴타운도서관||||200101
응암정보도서관||||도서관||서울특별시 은평구 가좌로 7길 15||||||||응암정보도서관|(응암동 730-3)|||200101
이진아기념도서관||||도서관||서울특별시 서대문구 독립문공원길 80||||||||이진아기념도서관|(현저동 101)|||200101
중곡문화체육센터도서관||||도서관||서울특별시 광진구 능동로 433||||||||중곡문화체육센터도서관||||200101
중랑구립면목정보도서관||||도서관||서울특별시 중랑구 면목로 397||||||||중랑구립면목정보도서관||||200101
중랑구립정보도서관||||도서관||서울특별시 중랑구 신내로15길 197||||||||중랑구립정보도서관||||200101
증산정보도서관||||도서관||서울특별시 은평구 증산로5길 6||||||||증산정보도서관||||200101
지샘터올림픽공원도서관||||도서관||서울특별시 송파구 올림픽로 424||||||||지샘터올림픽공원도서관|스포츠비즈홀 1층|||200101
한국점자도서관||||도서관||서울특별시 강동구 상암로4가길 32||||||||한국점자도서관||||200101
한국학생공공도서관||||도서관||서울특별시 중구 동호로27길 30||||||||한국학생공공도서관||||200101
구덕도서관||||도서관|||부산광역시 서구 서대신동 3가 산2|||||||구덕도서관||||200101
구포도서관||||도서관||부산광역시 북구 백양대로1016번다길 43||||||||구포도서관||||200101
금곡도서관||||도서관||부산광역시 북구 효열로203번길 34||||||||금곡도서관|(금곡동 92-2번지)|||200101
금정도서관||||도서관||부산광역시 금정구 금정도서관로 33||||||||금정도서관||||200101
기장도서관||||도서관||부산광역시 기장군 차성동로126번길 13-5||||||||기장도서관|(동부리 444-2)|||200101
남구도서관||||도서관||부산광역시 남구 수영로 267번길 61||||||||남구도서관||||200101
다대도서관||||도서관||부산광역시 사하구 다대낙조2길 9||||||||다대도서관||||200101
동구도서관||||도서관||부산광역시 동구 성북로 36번길 54||||||||동구도서관||||200101
동래읍성도서관||||도서관||부산시 동래구 동래로 159번길 153||||||||동래읍성도서관|(칠산동)|||200101
명장도서관||||도서관|||부산광역시 동래구 명장1동 611-4|||||||명장도서관||||200101
반송도서관||||도서관||부산광역시 해운대구 아랫반송로 22||||||||반송도서관|(반송동)|||200101
부산강서도서관||||도서관||부산광역시 강서구 공항로811번길 10||||||||부산강서도서관||||200101
부산북구디지털도서관||||도서관||부산광역시 북구 은행나무로 26||||||||부산북구디지털도서관|(만덕2동 843번지)|||200101
부산수영구도서관||||도서관||부산광역시 수영구 남천서로 33||||||||부산수영구도서관|(남천1동 489-33번지)|||200101
부산시민도서관||||도서관||부산광역시 부산진구 월드컵대로 462||||||||부산시민도서관|(초읍동 산51-1)|||200101
부산중앙도서관||||도서관||부산광역시 중구 망양로193번길 146||||||||부산중앙도서관|(보수1가 산31-41)|||200101
부산진구어린이청소년도서관||||도서관||부산광역시 부산진구 백양순환로 110번길 25||||||||부산진구어린이청소년도서관|3층|||200101
부전도서관||||도서관||부산광역시 부산진구 동천로 79||||||||부전도서관||||200101
사상도서관||||도서관||부산광역시 사상구 덕상로 72번길 9||||||||사상도서관||||200101
사하도서관||||도서관||부산광역시 사하구 승학로 247||||||||사하도서관||||200101
서동도서관||||도서관||부산광역시 금정구 서부로 76번길 5||||||||서동도서관||||200101
안락누리도서관||||도서관||부산광역시 동래구 명안로10번길 64||||||||안락누리도서관||||200101
연산도서관||||도서관||부산광역시 연제구 고분로191번길 16||||||||연산도서관|(연산9동)|||200101
연제도서관||||도서관||부산광역시 연제구 황령산로 612||||||||연제도서관||||200101
영도도서관||||도서관||부산광역시 영도구 함지로79번길 6||||||||영도도서관|(동삼동516-1)|||200101
정관도서관||||도서관||부산광역시 기장군 정관읍 정관중앙로 100||||||||정관도서관||||200101
해운대도서관||||도서관||부산광역시 해운대구 양운로 183||||||||해운대도서관||||200101
해운대인문학도서관||||도서관||부산광역시 해운대구 반여로 132||||||||해운대인문학도서관||||200101
화명도서관||||도서관||부산광역시 북구 화명대로12번길 59||||||||화명도서관||||200101
2/28민주운동기념회관||||도서관||대구광역시 중구 2.28길 9||||||||2 28민주운동기념회관||||200101
달서구립달서가족문화도서관||||도서관||대구광역시 달서구 조암남로 137||||||||달서구립달서가족문화도서관|(대천동)|||200101
달서구립달서어린이도서관||||도서관||대구광역시 달서구 송현로 67||||||||달서구립달서어린이도서관|(상인동 806-1)|||200101
달서구립도원도서관||||도서관||대구광역시 달서구 한실로 113||||||||달서구립도원도서관|(도원동 1438-3번지)|||200101
달서구립본리도서관||||도서관||대구광역시 달서구 당산로 37-25||||||||달서구립본리도서관|(본리동)|||200101
달서구립성서도서관||||도서관||대구광역시 달서구 선원남로 129||||||||달서구립성서도서관|(이곡동)|||200101
달성군립도서관||||도서관||대구광역시 달성군 다사읍 달구벌대로174길 10-13||||||||달성군립도서관|(죽곡리 25-2)|||200101
대구/북구/구수산도서관||||도서관||대구광역시 북구 대천로 21||||||||대구 북구 구수산도서관||||200101
대구2·28기념학생도서관||||도서관||대구광역시 동구 아양로41길 56||||||||대구2·28기념학생도서관||||200101
대구동구신천도서관||||도서관||대구광역시 동구 동부로6길 65||||||||대구동구신천도서관||||200101
대구시립/남부도서관||||도서관||대구광역시 남구 앞산순환로 512||||||||대구시립 남부도서관||||200101
대구시립/달성도서관||||도서관||대구광역시 달성군 현풍면 현풍동로19길 26||||||||대구시립 달성도서관||||200101
대구시립/동부도서관||||도서관||대구광역시 동구 신암북로 11길 54||||||||대구시립 동부도서관||||200101
대구시립/두류도서관||||도서관|||대구광역시 달서구 두류3동 154|||||||대구시립 두류도서관||||200101
대구시립/북부도서관||||도서관||대구광역시 북구 옥산로 75||||||||대구시립 북부도서관||||200101
대구시립/서부도서관||||도서관||대구광역시 서구 국채보상로49길 12||||||||대구시립 서부도서관||||200101
대구시립/수성도서관(구/효목도서관)||||도서관||대구광역시 수성구 만촌로 151||||||||대구시립 수성도서관(구 효목도서관)||||200101
대구시립/중앙도서관||||도서관||대구광역시 중구 공평로10길 25||||||||대구시립 중앙도서관||||200101
대현도서관||||도서관||대구광역시 북구 대현남로 43||||||||대현도서관||||200101
수성구립/고산도서관||||도서관||대구광역시 수성구 달구벌대로650길 6||||||||수성구립 고산도서관|(신매동)|||200101
수성구립/범어도서관||||도서관||대구광역시 수성구 달구벌대로 2451||||||||수성구립 범어도서관||||200101
수성구립/용학도서관||||도서관||대구광역시 수성구 지범로 41길 36||||||||수성구립 용학도서관|(범물동 1283-1번지)|||200101
안심도서관||||도서관||대구광역시 동구 금호강변로 360||||||||안심도서관||||200101
태전도서관||||도서관||대구광역시 북구 영송로 36-16||||||||태전도서관||||200101
강화군립도서관||||도서관||인천광역시 강화군 강화읍 북문길42번길 5||||||||강화군립도서관||||200101
계양도서관||||도서관||인천광역시 계양구 계양산로134번길 18||||||||계양도서관||||200101
남동구립서창도서관||||도서관||인천광역시 남동구 독곡로 16번길 15||||||||남동구립서창도서관|(서창동588-1)|||200101
부개도서관||||도서관||인천광역시 부평구 부일로83번길 46||||||||부개도서관||||200101
부평기적의도서관||||도서관||인천광역시 부평구 길주남로 166||||||||부평기적의도서관||||200101
부평도서관||||도서관||인천광역시 부평구 경원대로 1191||||||||부평도서관||||200101
삼산도서관||||도서관||인천광역시 부평구 부평북로 445||||||||삼산도서관|(삼산동)|||200101
서구도서관||||도서관||인천광역시 서구 건지로 334번길 45||||||||서구도서관||||200101
송림도서관||||도서관||인천광역시 동구 새천년로 72||||||||송림도서관|(송림동)|||200101
수봉도서관||||도서관||인천광역시 남구 경인로 218||||||||수봉도서관||||200101
연수도서관||||도서관||인천광역시 연수구 함박뫼로 152번길 96||||||||연수도서관||||200101
영종도서관||||도서관||인천광역시 중구 영종대로 85||||||||영종도서관||||200101
영종하늘도서관||||도서관||인천광역시 중구 하늘중앙로 132||||||||영종하늘도서관||||200101
율목도서관||||도서관||인천광역시 중구 답동로24번길 17||||||||율목도서관||||200101
인천광역시북구도서관||||도서관||인천광역시 부평구 신트리로 21||||||||인천광역시북구도서관||||200101
인천광역시평생학습관||||도서관||인천광역시 연수구 경원대로 73||||||||인천광역시평생학습관||||200101
인천미추홀도서관||||도서관||인천광역시 광역시 남동구 인주대로 776번길 53||||||||인천미추홀도서관|(구월동)|||200101
인천중앙도서관||||도서관||인천광역시 남동구 정각로 9||||||||인천중앙도서관||||200101
주안도서관||||도서관||인천광역시 남구 구월남로 27||||||||주안도서관||||200101
청라국제도서관||||도서관||인천광역시 서구 담지로 24||||||||청라국제도서관||||200101
청라호수도서관||||도서관||인천광역시 서구 크리스탈로 59||||||||청라호수도서관||||200101
청천도서관||||도서관||인천광역시 부평구 원길로 23||||||||청천도서관||||200101
화도진도서관||||도서관||인천광역시 동구 화도진로 122||||||||화도진도서관||||200101
계림꿈나무도서관||||도서관||광주광역시 동구 경양로247번길 26||||||||계림꿈나무도서관||||200101
광산구립신가도서관||||도서관||광주광역시 광산구 신가로 40번길 24||||||||광산구립신가도서관||||200101
광산구립장덕도서관||||도서관||광주광역시 광산구 풍영로 179||||||||광산구립장덕도서관||||200101
광주광역시남구청소년도서관||||도서관||광주광역시 남구 제석로 100||||||||광주광역시남구청소년도서관|(봉선동)|||200101
광주광역시중앙도서관분관/석봉도서관||||도서관||광주광역시 북구 설죽로 315번길 8||||||||광주광역시중앙도서관분관 석봉도서관||||200101
광주남구문화정보도서관||||도서관||광주광역시 남구 봉선로 208||||||||광주남구문화정보도서관||||200101
광주남구푸른길도서관||||도서관||광주광역시 남구 금당로 140||||||||광주남구푸른길도서관||||200101
광주북구운암도서관||||도서관||광주광역시 북구 북문대로 118||||||||광주북구운암도서관|(운암동)|||200101
광주북구일곡도서관||||도서관||광주광역시 북구 일곡로 55||||||||광주북구일곡도서관||||200101
광주송정도서관||||도서관||광주광역시 광산구 송정공원로 8-13||||||||광주송정도서관||||200101
광주시립도서관/사직분관||||도서관||광주광역시 남구 제중로 56||||||||광주시립도서관 사직분관||||200101
광주시립도서관/산수분관||||도서관||광주광역시 동구 경양로 355||||||||광주시립도서관 산수분관||||200101
광주시립무등도서관||||도서관||광주광역시 북구 면앙로 130||||||||광주시립무등도서관||||200101
광주중앙도서관||||도서관||광주광역시 동구 장동로 23-16||||||||광주중앙도서관|(동명동)|||200101
광주첨단도서관||||도서관||광주광역시 광산구 임방울대로 673-12||||||||광주첨단도서관||||200101
광주학생교육문화회관||||도서관||광주광역시 서구 상무민주로 77||||||||광주학생교육문화회관||||200101
광주학생독립운동기념회관||||도서관||광주광역시 서구 백일로 30||||||||광주학생독립운동기념회관|(화정동 512)|||200101
금호평생교육관||||도서관||광주광역시 남구 중앙로 15||||||||금호평생교육관||||200101
상록도서관||||도서관||광주광역시 서구 상무대로 1171번길 11||||||||상록도서관||||200101
서구공공도서관||||도서관||광주광역시 서구 마재로 3||||||||서구공공도서관||||200101
서구어린이생태학습도서관||||도서관||광주광역시 서구 풍암공원로 8||||||||서구어린이생태학습도서관||||200101
운남어린이도서관||||도서관||광주광역시 광산구 목련로 217번길 10||||||||운남어린이도서관||||200101
이야기꽃도서관||||도서관||광주광역시립 광산구 선운중앙로 67번길 6||||||||이야기꽃도서관||||200101
가수원도서관||||도서관||대전광역시 서구 가수원로 91-11||||||||가수원도서관||||200101
가양도서관(구/대전동구문화정보관)||||도서관||대전광역시 동구 우암로277번길 72||||||||가양도서관(구 대전동구문화정보관)|(가양2동 22-4)|||200101
가오도서관||||도서관||대전광역시 동구 동구청로 147||||||||가오도서관|(가오동)|||200101
갈마도서관||||도서관||대전광역시 서구 신갈마로 127번길 138||||||||갈마도서관||||200101
관평도서관||||도서관||대전광역시 유성구 테크노4로 131||||||||관평도서관||||200101
구암도서관||||도서관||대전광역시 유성구 유성대로 626번길 57||||||||구암도서관||||200101
구즉도서관||||도서관||대전광역시 유성구 와룡로 37번길 20||||||||구즉도서관||||200101
노은도서관||||도서관||대전광역시 유성구 노은동로 234번길 34||||||||노은도서관||||200101
대전학생교육문화원||||도서관||대전광역시 중구 동서대로 1360||||||||대전학생교육문화원||||200101
둔산도서관(갈마도서관/분관)||||도서관||대전광역시 서구 청사로 263||||||||둔산도서관(갈마도서관 분관)|(둔산동)|||200101
산성도서관(대전학생교육문화원/부설,/구/대전평생학습관)||||도서관||대전광역시 중구 산서로 62번길 53||||||||산성도서관(대전학생교육문화원 부설, 구 대전평생학습관)|(사정동)|||200101
송촌평생학습도서관||||도서관||대전광역시 대덕구 송촌로 59||||||||송촌평생학습도서관||||200101
신탄진평생학습도서관||||도서관||대전광역시 대덕구 신탄진동로 64||||||||신탄진평생학습도서관||||200101
안산평생학습도서관||||도서관||대전광역시 대덕구 계족로 663번길 25||||||||안산평생학습도서관||||200101
용운도서관||||도서관||대전광역시 동구 새울로 68번길 23-23||||||||용운도서관||||200101
원신흥도서관||||도서관||대전광역시 유성구 원신흥남로 59||||||||원신흥도서관||||200101
유성도서관||||도서관||대전광역시 유성구 대덕대로 507-38||||||||유성도서관||||200101
진잠도서관||||도서관||대전광역시 유성구 진잠로 160번길 19||||||||진잠도서관||||200101
한밭도서관||||도서관||대전광역시 중구 서문로 10||||||||한밭도서관||||200101
도산도서관||||도서관||울산광역시 남구 번영로54번길 6||||||||도산도서관|(야음동)|||200101
신복도서관||||도서관||울산광역시 남구 신복로 72번길 18-13||||||||신복도서관||||200101
약숫골도서관||||도서관||울산광역시 중구 평산4길 38||||||||약숫골도서관||||200101
옥현어린이도서관||||도서관||울산광역시 남구 옥현로 58번길 40||||||||옥현어린이도서관||||200101
울산남부도서관||||도서관||울산광역시 남구 거마로13번길 6||||||||울산남부도서관||||200101
울산도서관||||도서관||울산광역시 남구 꽃대나리로 140||||||||울산도서관|(여천동)|||200101
울산동부도서관||||도서관||울산광역시 동구 봉수로 505||||||||울산동부도서관||||200101
울산북구매곡도서관||||도서관||울산광역시 북구 매곡로 138-19||||||||울산북구매곡도서관|(매곡동,795-35번지)|||200101
울산북구중앙도서관||||도서관||울산광역시 북구 두부곡1길 9||||||||울산북구중앙도서관|(연암동)|||200101
울산중부도서관||||도서관||울산광역시 중구 도서관길 60||||||||울산중부도서관||||200101
울주도서관||||도서관|||울산광역시 울주군 언양읍 어음리 238-2|||||||울주도서관||||200101
울주선바위도서관||||도서관||울산광역시 울주군 범서읍 점촌3길 40||||||||울주선바위도서관|(구영리)|||200101
울주옹기종기도서관||||도서관||울산광역시 울주군 온양읍 온양로 38-1||||||||울주옹기종기도서관||||200101
고양시립원당도서관||||도서관||경기도 고양시 덕양구 호국로 790번길 49-9||||||||고양시립원당도서관|(성사동)|||200101
가평군립중앙도서관||||도서관||경기도 가평군 가평읍 가화로 64||||||||가평군립중앙도서관||||200101
경기과천교육도서관||||도서관||경기도 과천시 도서관길 36||||||||경기과천교육도서관|(별양동 2번지)|||200101
경기광주교육도서관||||도서관||경기도 광주군 경안안길 58번길 3||||||||경기광주교육도서관|(경안동 47-1번지)|||200101
경기김포교육도서관||||도서관||경기도 김포시 봉화로 68||||||||경기김포교육도서관||||200101
경기성남교육도서관||||도서관||경기도 성남시 수정구 공원로370번길 26||||||||경기성남교육도서관|(신흥2동 2344)|||200101
경기여주가남교육도서관||||도서관||경기도 여주시 가남읍 태평로2길 28-7||||||||경기여주가남교육도서관||||200101
경기의정부교육도서관||||도서관||경기도 의정부시 체육로 265-25||||||||경기의정부교육도서관|(녹양동)|||200101
경기중앙교육도서관||||도서관||경기도 수원시 장안구 조원로 18||||||||경기중앙교육도서관|(조원동 495번지)|||200101
경기평생교육학습관||||도서관||경기도 수원시 권선구 권중로 55||||||||경기평생교육학습관|(권선동)|||200101
경기평택교육도서관||||도서관||경기도 평택시 서정북로125번길 103||||||||경기평택교육도서관||||200101
경기포천교육도서관||||도서관||경기도 포천시 중앙로 92-6||||||||경기포천교육도서관|(신읍동 33)|||200101
경기화성교육도서관||||도서관||경기도 화성시 향남읍 발안로 85-10||||||||경기화성교육도서관||||200101
고양시립/백석도서관||||도서관||경기도 고양시 일산동구 일산로 118||||||||고양시립 백석도서관|(백석동 1231)|||200101
고양시립/화정도서관||||도서관|||경기도 고양시 덕양구 화정동 873|||||||고양시립 화정도서관||||200101
고양시립/화정어린이도서관||||도서관|||경기도 고양시 덕양구 화정2동 945|||||||고양시립 화정어린이도서관||||200101
고양시립가좌도서관||||도서관||경기도 고양시 일산서구 가좌3로 16||||||||고양시립가좌도서관||||200101
고양시립대화도서관||||도서관||경기도 고양시 일산서구 일산로 689||||||||고양시립대화도서관|(대화동)|||200101
고양시립덕이도서관||||도서관||경기도 고양시 일산서구 하이파크로 128||||||||고양시립덕이도서관|(덕이동 1533)|||200101
고양시립마두도서관||||도서관||경기도 고양시 일산동구 일산로 355||||||||고양시립마두도서관|(마두동)|||200101
고양시립삼송도서관||||도서관||경기도 고양시 덕양구 덕수천1로 73||||||||고양시립삼송도서관|(삼송동)|||200101
고양시립식사도서관||||도서관||경기도 일산동구 위시티2로 43-6||||||||고양시립식사도서관|(식사동)|||200101
고양시립신원도서관||||도서관||경기도 고양시 덕양구 신원2로 24||||||||고양시립신원도서관||||200101
고양시립아람누리도서관||||도서관||경기도 고양시 일산동구 중앙로 1286||||||||고양시립아람누리도서관|(마두동)|||200101
고양시립주엽어린이도서관||||도서관||경기도 고양시 일산서구 주엽로 104||||||||고양시립주엽어린이도서관|(주엽동)|||200101
고양시립풍동도서관||||도서관||경기도 고양시 일산동구 숲속마을로 108||||||||고양시립풍동도서관|(풍동)|||200101
고양시립한뫼도서관||||도서관||경기도 고양시 일산서구 탄중로 125||||||||고양시립한뫼도서관|(일산동 1558)|||200101
고양시립행신도서관||||도서관||경기도 고양시 덕양구 행당로33번길 25-6||||||||고양시립행신도서관||||200101
고양시립행신어린이도서관||||도서관||경기도 고양시 덕양구 소원로181번길 42||||||||고양시립행신어린이도서관|(행신동 804)|||200101
고촌도서관||||도서관||경기도 김포시 고촌읍 장차로 14||||||||고촌도서관||||200101
과천시문원도서관||||도서관||경기도 과천시 문원로 104||||||||과천시문원도서관|(문원동)|||200101
과천시정보과학도서관||||도서관|||경기도 과천시 갈현동 677|||||||과천시정보과학도서관||||200101
광교홍재도서관||||도서관||경기도 수원시 영통구 대학로 88||||||||광교홍재도서관|(이의동)|||200101
광명시소하도서관||||도서관||경기도 광명시 소하일로 7||||||||광명시소하도서관||||200101
광명시중앙도서관||||도서관||경기도 광명시 원광명안로 48||||||||광명시중앙도서관||||200101
광명시철산도서관||||도서관||경기도 광명시 철산로 56||||||||광명시철산도서관||||200101
광명시하안도서관||||도서관||경기도 광명시 철망산로 46||||||||광명시하안도서관|(하안2동)|||200101
교하도서관||||도서관||경기도 파주시 교하읍 숲속노을로 256||||||||교하도서관||||200101
군포시산본도서관||||도서관||경기도 군포시 광정로 96||||||||군포시산본도서관|(산본동 1122)|||200101
군포시중앙도서관||||도서관||경기도 군포시 수리산로 79||||||||군포시중앙도서관||||200101
김포시중봉도서관||||도서관||경기도 김포시 봉화로 130번길 26||||||||김포시중봉도서관||||200101
남양주시도농도서관||||도서관||경기도 남양주시 경춘로 409||||||||남양주시도농도서관|(도농동 산53-1)|||200101
남양주시별내도서관||||도서관|||경기도 남양주시 별내면 청학리 416|||||||남양주시별내도서관||||200101
남양주시오남도서관||||도서관||경기도 남양주시 오남읍 양지로 240번길 12||||||||남양주시오남도서관||||200101
