##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@교촌치킨
교촌치킨|동양미래대학점|||교촌치킨|02-2060-1991|서울 구로구 중앙로 8길 11|서울 구로구 고척동 343|||||||교촌치킨 동양미래대학점|106호|||80607
교촌치킨|신도림1호점|||교촌치킨|02-2675-9288||서울 구로구 신도림동 410-1|||||||교촌치킨 신도림1호점|신도림6차대림@상가 902동111호;신도림6차대림@상가 902동111호|||80607
교촌치킨|오류1호점|||교촌치킨|02-2060-9277|서울 구로구 경인로 189-1|서울 구로구 오류1동 10-3|||||||교촌치킨 오류1호점||||80607
교촌치킨|천왕역점|||교촌치킨|02-2616-1991|서울 구로구 서해안로 2264|서울 구로구 오류동 203-1|||||||교촌치킨 천왕역점|1층|||80607
교촌치킨|가산디지털점|||교촌치킨|02-865-0865|서울 금천구 가산디지털1로 165|서울 금천구 가산동 371-6|||||||교촌치킨 가산디지털점|가산비지니스센터 2층|||80607
교촌치킨|독산1호점|||교촌치킨|02-868-8788|서울 금천구 문성로 7|서울 금천구 독산동 888-20|||||||교촌치킨 독산1호점|102호,103호;102호,103호|||80607
교촌치킨|시흥1호점|||교촌치킨|02-806-9990807-9990|서울 금천구 금하로 753-1|서울 금천구 시흥2동 264-17|||||||교촌치킨 시흥1호점||||80607
교촌치킨|시흥2호점|||교촌치킨|02-806-9911,806-9922|서울 금천구 은행나무로 12|서울 금천구 시흥1동 905-5|||||||교촌치킨 시흥2호점||||80607
교촌치킨|공릉1호점|||교촌치킨|02-974-3999|서울 노원구 공릉로 35길 2|서울 노원구 공릉동 338-6|||||||교촌치킨 공릉1호점||||80607
교촌치킨|공릉2호점|||교촌치킨|02-975-9991|서울 노원구 공릉로 235|서울 노원구 공릉동 461-1|||||||교촌치킨 공릉2호점||||80607
교촌치킨|상계4단지점|||교촌치킨|02-937-4785,952-9992|서울 노원구 동일로 1356|서울 노원구 상계7동 749-5|||||||교촌치킨 상계4단지점|101호 (상계동,상계주공4단지아파트);상계주공@4단지상가101호|||80607
교촌치킨|상계보람점|||교촌치킨|02-952-7123|서울 노원구 한글비석로52길 14|서울 노원구 상계5동 456-130|||||||교촌치킨 상계보람점||||80607
교촌치킨|석계역점|||교촌치킨|02-909-9229,5297|서울 노원구 석계로 31|서울 노원구 월계1동 73-13|||||||교촌치킨 석계역점||||80607
교촌치킨|수락산역점|||교촌치킨|02-936-1212|서울 노원구 동일로 1651|서울 노원구 상계동 1118|||||||교촌치킨 수락산역점||||80607
교촌치킨|중계1호점|||교촌치킨|02-933-9992|서울 노원구 한글비석로 245|서울 노원구 중계1동 360-9|||||||교촌치킨 중계1호점||||80607
교촌치킨|중계2호점|||교촌치킨|02-933-9829,930-9829|서울 노원구 덕릉로 721|서울 노원구 중계동 137-39|||||||교촌치킨 중계2호점|정진빌라 1층;정진빌라 1층|||80607
