,원주시,판부문화의집,강원도 원주시 치악로 1503 판부면사무소 2층,033)761-8854,panbu.kr,2005. 10,위탁,판부                              주민자치위원회,"1,200 ",3,월; 공휴일,10:00~20:00,10:00~16:00,10:00~16:00, - ,514.8,"155,000,000 ",
,태백시,태백문화의집,강원도 태백시 장성동 205,033)550-2835,,2000. 11. 22,직영,태백시청,"1,440 ",3,토; 일; 공휴일,08:00~17:00,-,-,-,393.4,"51,000,000 ",
,고성군,고성문화의집,강원도 고성군 간성읍 간성로 71-7,033)680-3695,,2002. 3. 3,직영,고성군청,"30,313 ",2,월; 공휴일,09:00~20:00,09:00~18:00,09:00~18:00,-,1457.6,"47,931,000 ",
강원 총계,,6,,,,,,,,,,,,,,,,
충북,청주시,청주문화의집,충청북도 청주시 상당구 대성로 6번길 18,043)223-0686,http://cjculturehouse.or.kr,2001. 7. 5,위탁,청주예총,"40,000 ",3,월; 공휴일,10:00~21:00,10:00~18:00,10:00~18:00,-,709.9,"116,600,000 ",
,청주시,흥덕문화의집,충청북도 청주시 서원구 예체로 118,043)274-7500,www.hdmunhwa.org,2003. 7. 3,위탁,청주민예총,"30,000 ",5,월; 공휴일,10:00~20:00,10:00~18:00,-,-,630.4,"252,000,000 ",
,제천시,제천문화의집,충청북도 제천시 의림대로 125,043)642-3646,jecheoncc.or.kr,1998. 8. 12,위탁,제천문화원,100 ,4,별도일,09:00~18:00,필요시 10:00~18:00,필요시 10:00~18:00,필요시 10:00~18:00,370.6,-,
,영동군,영동문화의집,충청북도 영동군 영동읍 영동천2길29,043)745-2215,,2000. 9. 5　,위탁,영동문화원,"16,534 ",3,월; 공휴일,10:00~20:00,10:00~18:00,10:00~18:00,-,725;76,"65,000,000 ",
,증평군,증평문화의집,충청북도 증평군 증평읍 문화로 75 2층 문화의집,043)835-3980,http://jpcc.pr.kr,2000,위탁,증평문화의집,"5,000 ",1,토;일; 공휴일,09:00,-,-,-,228,"58,000,000 ",
,진천군,진천문화의집,충청북도 진천군 진천읍 읍내리 431-23번지,043)532-2004,cafe.daum.net/munzip2004,2003. 4. 1,위탁,진천문화원,"5,040 ",1,월; 공휴일,10:00~19:00,10:00~17:00,10:00~17:00,-,472.6,"42,200,000",
,단양군,단양문화의집,충청북도 단양군 단양읍 수변로81,043)420-3132,www.dyyouth.co.kr,2001,직영,단양군청,"60,219 ",4,월,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,368.3,"113,621,000 ",
충북 총계,,7,,,,,,,,,,,,,,,,
충남,보령시,주산문화의집,충청남도 보령시주산면 충서로411,041)930-4713,,1999. 5. 18,직영 ,주산면사무소,"14,450 ",1,일; 공휴일,09:00~22:00,09:00~22:00,-,-,485,"25,000,000 ",
,금산군,추부문화의집,충청남도 금산군 추부면 하마전로 31,041)752-7097,금산군 홈페이지,2003. 5,위탁,추부                                 문화예술진흥회,"53,000 ",3,일,09:00~23:00,09:00~23:00,-,09:00~18:00,"2,868","378,564,399 ",
,금산군,금산문화의집,충청남도 금산군 금산읍 방아동4길 17,041)754-1318,http://www.geumsan.go.kr/html/gsc/,2000. 5. 20,위탁,금산문화의집                운영위원회,"70,000 ",7,일; 공휴일,10:00,10:00,-,-,330,"125,000,000 ",
,당진시,당진문화의집,충청남도 당진시 남산공원길 151-16,041)354-2367,http://www.cnkccf.or.kr/dangjin.do,1999. 5. 19,위탁,당진문화원,"1,500 ",1,토;일; 공휴일,09:00~18:00,-,-,-,710.8,"38,040,000 ",
,계룡시,계룡문화의집,충청남도 계룡시 신도안2길 59,042)840-3231,www.gyeryong.go.kr,2016. 7,직영,신도안면사무소,"7,148 ",4,일; 공휴일,09:00~18:00,09:00~18:00,-,-,456,"68,295,000 ",
,공주시,유구문화의집,충청남도 공주시 유구읍 유구외곽로 322,041)840-2707,,2006. 1. 9,직영,유구읍                             행정복지센터,"3,900 ",1,토; 일; 공휴일,09:00~18:00,-,-,-,382.1,"18,000,000 ",
충남 총계,,6,,,,,,,,,,,,,,,,
전북,전주시,인후문화의집,전라북도 전주시 덕진구 견훤로 290 2F,063)247-8800,www.jjcp.or.kr,2003. 11. 15,위탁,(사)사랑의 하모니,"23,381 ",4,일; 공휴일,09:30~19:00,09:30~17:00,-,-,438,"244,239,200 ",
,전주시,우아문화의집,전라북도 전주시 덕진구 우아2길 25 2층 우아문화의집,063)245-8455,wooa.jjcp.or.kr,2002. 3. 22,위탁,"공연문화발전소
명태","11,000 ",3,일; 공휴일,"9:00~19:00
(야간프로그램진행시
09:00~21:00)",10:00~17:00,-,-,453.95,"187,744,000 ",
,전주시,진북문화의집 ,전라북도 전주시 덕진구 팔달로 340-30(진북동 364-7번지) ,063)275-0186,https://www.facebook.com/jinbuk0186,2000. 4. 20,위탁,(사)한국마을연구소,"22,000 ",3,"일; 공휴일
별도지정일",9:00~19:00(2층)     8:00~22:00(3층),9:00~17:00(2층) 9:00~22:00(3층)    ,-,-,633,"216,259,420 ",
,전주시,효자문화의집,전라북도 전주시 완산구 강변로 180,063)228-9074;6,http://jjcp.or.kr,2002. 3. 29,위탁,예술기획mystage,"40,000 ",5,일; 공휴일,08:45,10:00,-,-,438.2,"115,524,000 ",
,,,,,,,,,,,,,,,,,,
,전주시,삼천문화의집,전라북도 전주시 완산구 거마중앙로 49; 2층,063)224-3088,3000.jjcp.or.kr/ ,2001. 3. 15,위탁,(사)전통예술원모악,"40,259 ",4,일; 공휴일,"09:30~18:30
(야간 프로그램 진행시 ~21:00)",10:00~17:00,-,-,380.2,"281,576,590 ",
,,,,,,,,,,,,,,,,,,
,정읍시,정읍문화의집,전라북도 정읍시 조곡천1길 7,063)539-5596,,1996.12,직영,여성문화관,"4,000 ",2,공휴일,09:00~18:00,09:00~18:00,09:00~18:00,-,430,"14,630,000 ",
,완주군,완주문화의집,전라북도 완주군 삼례읍 삼봉로 125,063)290-2608,http://culture.wanju.go.kr,2000.08.11,위탁,비비락공연예술협동조합,"35,000 ",4,월,09:00,09:00,10:00,_,861.57,"314,000,000 ",
,,,,,,,,,,,,,,,,,,
,완주군,이서문화의집,전라북도 완주군 이서면 오공로 11-10,063)221-0336,완주문화예술,2016.04,직영,이서문화의집,"3,360,000 ",4,일; 월;  공휴일,09:00~18:00,09:00~18:00,-,-,98,"220,000,000 ",
,진안군,진안문화의집,전라북도 진안군 진안읍 대성길5,063)433-1671,http://cafe.daum.net/jinanmunhwa,2002,위탁, 진안문화원,"23,594 ",5,일; 공휴일,09:00,09:30,-,-,"1,493.40","195,008,685 ",
,무주군,전통문화의집,전라북도 무주군 무주읍 읍내리 229-2(주계로 97),063)320-2257,,2001. 12. 14,직영,무주군청,"4,000 ",2,월; 공휴일,09:00~18:00,09:00~18:00,09:00~18:00,-,538,-,
,임실군,관촌문화의집,전라북도 임실군 관촌면 관촌리 ,063)640-4308,,2002. 4. 17,직영,관촌면사무소,"2,200 ",1,토; 일; 공휴일,05:00 ~ 21:00,-,-, -,301,"23,000,000 ",
,순창군,순창문화의집,전라북도 순창군 순창읍 장류로 407-11,063)650-1665,네이버밴드(문화의집/작은도서관),2005. 2. 25,직영,순창군청,"16,870 ",1,월; 공휴일,10:00~19:00,10:00~18:00,10:00~18:00,-,397.7,-,
전북 총계,,12,,,,,,,,,,,,,,,,
전남,해남군,해남문화의집,전라남도 해남군 해남읍 군청길 4,061)530-5896,http://lib.haenam.go.kr/main/main.php,2002. 4. 20,직영,해남군청,"56,000 ",2,월; 공휴일,09:00~18:00,09:00~18:00,09:00~18:00,-,797,"164,000,000 ",
,영암군,삼호문화의집,전라남도 영암군 삼호읍 신항로 63-12 한마음회관 2층,061)461-1100,,2001. 11. 08,위탁,주)현대삼호중공업,"20,346 ",3,일; 공휴일,09:00~19:00,09:00~17:00,-,-,#REF!,"74,188,000 ",
,무안군,무안문화의집,전라남도 무안군 무안읍 창포로 8,061)450-4083,cafe.daum.net/seungdalculture,2001. 5. 12,직영,무안군,"21,532 ",3,일; 공휴일,09:00~18:00,09:00~17:00,-,-,280.6,"35,964,000 ",
,나주시,전남장애인문화의집,전라남도 나주시 내영산 1길 67,061)332-4110,www.relife.or;kr,2000. 12. 27,위탁,대한불교조계종                             사회복지재단,"4,701 ",4,일; 공휴일,09:00~18:00,09:00~12:00,-,-,541.73,"7,000,000 ",
전남 총계,,4,,,,,,,,,,,,,,,,
경북,포항시,동해문화의집,경상북도 포항시 남구 동해면 일월로 41번길 21,054)284-6820,,1999. 3. 17,직영,동해면사무소,"15,881 ",1,일; 월;  공휴일,09:00~18:00,09:00~17:00,-,-,640,"58,693,000 ",
,포항시,기계문화의집,경상북도 포항시 북구 기계면 기계로 94,054)244-8806,http://cafe.daum.net/gg.ipohang,2007. 12. 1,직영,기계면,"20,000 ",2,토; 일; 공휴일,09:00-18:00,-,-,-,"1,491","43,044,000 ",
,김천시,김천문화의집,경상북도 김천시 중앙공원1길 16(남산동),054)435-3723,"http://blog.naver.com/4353723
www.facebook.com/gimcheonculture",2002. 4. 23,위탁,대구가톨릭                         사회복지회,"57,789 ",4,일; 공휴일,"09:00~18:00
(목)09:00~21:00",09:00~17:00,-,-,702,"171,587,000 ",
,구미시,선산문화의집,경상북도 구미시 선산읍 선산중앙로83-1,054)482-3060,,1997. 12. 29,위탁,민간위탁,"20,800 ",3,토; 일; 공휴일,09:00,-,-,-,648,"60,000,000 ",
,영주시,풍기문화의집,경상북도 영주시 풍기읍 동성로 18,054)636-2868,http://cafe.daum.net/7393547,1996. 12. 27,위탁,영주문화원,"30,000 ",1,토;일; 공휴일,09:00~21:00,-,-,-,521.82,"42,300,000 ",
,영양군,영양문화의집,경상북도 영양군 영양읍 군민회관길 7,054)683-7600,없음,2002. 4. 10,직영,영양군청,422 ,1,토;일,09:00,09:00,09:00,-,194, - ,
경북 총계,,6,,,,,,,,,,,,,,,,
경남,창원시,내서문화의집,경상남도 창원시 마산회원구 내서읍 중리 330-3,055)230-5035,,2001. 7. 11,직영,내서읍사무소,"2,000 ",1,토; 일; 공휴일,09:00~18:00,-,-,-,761,"166,703,146",
,창원시,경화문화의집,경상남도 창원시 진해구 경화동 1133-25번지,055)548-2055,,2000. 2. 28,직영,경화동사무소,"12,300 ",2,월; 공휴일,09:00~18:00,09:00~18:00,09:00~18:00,-,377.4,"61,072,000 ",
,창원시,웅동문화의집,경상남도 창원시 진해구 용원동 1218-3,055)548-6814,,2002. 3. 25,직영,웅동2동주민센터,"12,600 ",1,월; 공휴일,09:00~18:00,09:00~18:00,-,-,424.6,"52,936,000 ",
,통영시,통영문화의집,경상남도 통영시 산양읍 둔전길 155,055)650-2500,www.tongyeonglib.or.kr,1997. 11. 18,직영,통영시,"15,996 ",3,월; 공휴일,09:00~22:00,09:00~18:00,09:00~18:00,-,1223.47,"90,084,000 ",
,통영시,욕지문화의집,경상남도 통영시 욕지면 중촌길 203,055)650-4580,www.tongyeonglib.or.kr,2001. 5. 16,직영,통영시,"8,450 ",1,월; 공휴일,09:00~18:00,09:00~18:00,09:00~18:00,-,886.31,"42,007,000 ",
,김해시,김해문화의집,경상남도 김해시 부원동 619-3,055)330-3227,tour.gimhae.go.kr,1996. 12. 15,직영,김해시청,"12,000 ",11,일; 공휴일,09:00-18:00,10:00-17:00,-,-,528.92,"49,000,000 ",
,김해시,내외문화의집,경상남도 김해시 내동 201-4 (경남 김해시 금관대로 1255),055)338-4578,cafe.daum.net/culturehome,1998. 7. 13 ,직영,내외동                    주민자치센터,"32,000 ",1,일; 공휴일,09:00~18:00,10:00~17:00,-,-,343,"44,984,000 ",
,김해시,진영문화의집,경상남도 김해시 진영읍 여래로 20번길 11,055)330-3226,tour.gimhae.go.kr,1999. 12. 20,직영,진영읍사무소,"47,500 ",2,일; 공휴일,09:00~18:00,10:00~17:00,-,-,783.1,"95,680,000 ",
,김해시,안동문화의집,경상남도 김해시 안동747-8번지(삼안로 72번지),055)330-3225,caf?.daum.net/culturehome,2002. 4. 15,직영,동사무소,"33,000 ",18,일; 공휴일,09:00~18:00,10:00~17:00,-,-,541,"77,190,000 ",
,산청군,덕산문화의집,경상남도 산청군 시천면 사리 900-34,055-970-0190,,2001,직영,산청군,"16,000 ",1,공휴일,09:00~18:00,-,-,-,"4,343", - ,
,하동군,진교문화의집,경상남도 하동군 진교면 강변길 13-2,055-880-2993,,2006. 4. 6,직영,진교면사무소,"14,693 ",1,월; 공휴일,10:00 ~19:00,10:00~15:00,-,-,726.18, - ,
,양산시,상북문화의집,경상남도 양산시 상북면 석계리 25-9,055)374-4764,coc.yangsan.go.kr,2005. 7. 28,직영,상북면사무소,"31,355 ",2,월; 공휴일,10:00~20:00,10:00~18:00,10:00~18:00,-,1046,-,
